,SVVul,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-3.115497615115201,-5.070358215115201,-8.271951696747855,-2.718,-4.6728606,-7.874454081632654,-1.145770839306059,-1.145770839306059,-0.5354240413229752,-0.7303885874384188,-0.7303885874384188,-0.1200417894553345,-0.183638017452939,-0.13794807626699807,-0.0807197218803338,-0.029887232681725634
1,V,-4.6024976151152,-6.0947576151152,-8.53872210491112,-4.204999999999999,-5.697259999999999,-8.141224489795917,-1.054347348943462,-1.054347348943462,-0.5884337626968321,-0.6389650970758218,-0.6389650970758218,-0.17305151082918968,-0.15551475298528195,-0.15551475298528195,-0.06387065676630688,-0.06387065676630688
2,I,-6.1454976151152,-7.0527916951152,-8.53872210491112,-5.747999999999999,-6.655294079999999,-8.141224489795919,-0.8717092231347836,-0.8717092231347836,-0.5884337626968321,-0.45632697126714383,-0.45632697126714383,-0.17305151082919146,-0.09455296981505235,-0.0945529698150519,-0.03883335931391349,-0.038833359313914934
3,J,-7.1474976151152,-7.5832375351152,-8.296875166135608,-6.749999999999999,-7.185739919999999,-7.899377551020407,-0.6442732248577032,-0.6442732248577032,-0.5082264576736879,-0.22889097299006167,-0.22889097299006167,-0.09284420580604724,-0.03077261562907485,-0.03479787627839137,-0.016726032735963306,0.05615832994965392
4,H,-7.7254976151152,-7.9955966751152,-8.43795424776826,-7.327999999999999,-7.598099059999999,-8.040456632653061,-0.5434858976942483,-0.5434858976942483,-0.459155538583607,-0.1281036458266076,-0.1281036458266076,-0.04377328671596459,-0.018890537752256575,0.0006298518852275725,-0.010326393997011185,0.10928475187972014
5,K,-7.8854976151152005,-8.0630765551152,-8.353908329400914,-7.4879999999999995,-7.66557894,-7.956410714285713,-0.49603063721421403,-0.49603063721421403,-0.44058692045086456,-0.08064838534657426,-0.08064838534657426,-0.0252046685832239,-0.011125422225321535,0.0179736685428733,-0.006758719905684607,0.1303847160374435
