,SVul,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.0327758856314038,-5.362808985631403,-8.783286089713037,-2.149000000000001,-5.4790331000000005,-8.899510204081636,0.18276538432371225,0.18276538432371225,-0.5067663482162068,0.08257341273887198,0.08257341273887198,-0.6069583198010502,-0.14538744149647254,-0.10295893206084977,-0.07350658099989238,-0.024749604925882074
1,V,-3.921775885631403,-6.4637858856314026,-9.0748371101212,-4.038,-6.58001,-9.191061224489797,-0.02956144214999501,-0.02956144214999501,-0.5559215433255051,-0.12975341373483573,-0.12975341373483573,-0.656113514910345,-0.12532463970943075,-0.12532463970943075,-0.05865486861798641,-0.05865486861798641
2,I,-5.941775885631404,-7.487317965631403,-9.074837110121202,-6.058000000000001,-7.60354208,-9.191061224489797,-0.2358946018107959,-0.2358946018107959,-0.5559215433255069,-0.3360865733956375,-0.3360865733956375,-0.656113514910345,-0.0761973809433345,-0.07619738094333556,-0.035662160119735886,-0.03566216011973611
3,J,-7.346775885631404,-8.089042805631404,-8.851469763182426,-7.463000000000001,-8.205266920000001,-8.96769387755102,-0.3441486440550925,-0.3441486440550925,-0.49784579359834424,-0.4443406156399323,-0.4443406156399323,-0.5980377651831823,-0.023259179673193797,-0.044268653430605986,-0.01014485038747881,0.020479545045147707
4,H,-8.050775885631403,-8.510879695631402,-8.983479967264056,-8.167000000000002,-8.627103810000001,-9.099704081632654,-0.33549426619549383,-0.33549426619549383,-0.43076544450826226,-0.4356862377803363,-0.4356862377803363,-0.5309574160931003,-0.013881078776492806,0.00752498742028368,-0.006202209534578729,0.0825668404315838
5,K,-8.282775885631404,-8.585275075631404,-8.895990171345689,-8.399000000000001,-8.701499190000002,-9.012214285714286,-0.34512104395316534,-0.34512104395316534,-0.40775789599305057,-0.44531301553800695,-0.44531301553800695,-0.5079498675778904,-0.007856687367492732,0.02803635666266935,-0.0036315857350025516,0.1037944155486914
