,CKSct,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.7592789812540595,-2.4438151187459405,-5.246001630990834,1.5389999999999997,-1.6640941000000002,-4.466280612244894,1.6885457156687893,1.6885457156687893,0.2048992546251336,2.4939924301658873,2.4939924301658873,1.0103459691222314,0.3571371678194201,0.4171614072036608,0.3676569000528308,0.43699858926375423
1,V,-0.8307210187459404,-3.2758310187459405,-5.414904692215325,-0.051000000000000156,-2.4961100000000003,-4.635183673469385,1.2611073596148703,1.2611073596148703,0.12855280919986534,2.066554074111968,2.066554074111968,0.933999523696964,0.26229314129343084,0.26229314129343084,0.2784942581855051,0.2784942581855051
2,I,-2.627721018745939,-4.114347898745939,-5.414904692215325,-1.847999999999999,-3.334626879999999,-4.635183673469385,0.817145975852188,0.817145975852188,0.12855280919986534,1.6225926903492862,1.6225926903492862,0.933999523696964,0.15947422990640592,0.15947422990640625,0.16932450897678608,0.1693245089767874
3,J,-3.9077210187459395,-4.62169313874594,-5.246302651399,-3.1279999999999992,-3.841972119999999,-4.466581632653059,0.481678826051283,0.481678826051283,0.1509728973301021,1.2871255405483835,1.2871255405483835,0.9564196118272008,0.07450499714256772,0.11421380359539776,0.0715144309766943,0.13287869320590062
4,H,-4.585721018745939,-5.028285928745939,-5.415458263643898,-3.805999999999999,-4.248564909999999,-4.635737244897958,0.3391169455464187,0.3391169455464187,0.13412457192130312,1.1445636600435183,1.1445636600435183,0.9395712864184045,0.046085630283860646,0.07500270503856951,0.044256949601442996,0.10149346948745475
5,K,-4.7537210187459396,-5.044689108745939,-5.299238875888796,-3.9739999999999993,-4.264968089999999,-4.519517857142856,0.31542888664390656,0.31542888664390656,0.18065489514452082,1.1208756011410035,1.1208756011410035,0.9861016096416195,0.03043510423028009,0.10764486223074561,0.02827460010695937,0.13846782466222352
