,WZSgr,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.5437606562515693,-3.3843761562515695,-6.6667963705372815,-1.7860000000000014,-3.6266155000000015,-6.9090357142857135,0.009585299280534976,0.009585299280534976,0.15504824911743587,-0.211631500974367,-0.211631500974367,-0.06616855113746656,0.353785826253123,0.3660401140356884,0.3187598858103516,0.3346025765733665
1,V,-2.9377606562515695,-4.34281065625157,-6.848474941965854,-3.1800000000000015,-4.585050000000002,-7.090714285714286,0.027585390527515408,0.027585390527515408,0.13862581025033993,-0.19363140972738657,-0.19363140972738657,-0.0825909900045616,0.2691795954866497,0.2691795954866497,0.24260375912629056,0.24260375912629056
2,I,-4.470760656251569,-5.325031056251569,-6.848474941965854,-4.713000000000001,-5.567270400000001,-7.090714285714286,0.07111323505886258,0.07111323505886258,0.13862581025034082,-0.15010356519603985,-0.15010356519603985,-0.0825909900045616,0.16366119405588225,0.16366119405588336,0.14750308554878486,0.14750308554878522
3,J,-5.563760656251569,-5.974035256251569,-6.70568922768014,-5.806000000000001,-6.216274600000001,-6.947928571428572,0.09353408448194322,0.09353408448194322,0.1259578870410083,-0.12768271577295653,-0.12768271577295653,-0.09525891321389413,0.07532560086121295,0.08232798461997341,0.07169380680960279,0.05559575694089089
4,H,-6.202760656251569,-6.457074706251569,-6.910599941965854,-6.445000000000001,-6.699314050000001,-7.152839285714286,0.0759546139786611,0.0759546139786611,0.09605292994849357,-0.14526218627623955,-0.14526218627623955,-0.1251638703064053,0.046313709552170026,0.02982490545625678,0.044424595680570306,-0.00268629856837424
5,K,-6.399760656251569,-6.566961606251569,-6.865135656251569,-6.642000000000001,-6.809200950000001,-7.107375000000001,0.06114060310418612,0.06114060310418612,0.07435441305120172,-0.1600761971507163,-0.1600761971507163,-0.14686238720369982,0.030002408715851775,-0.0060027176409613026,0.029322778283993878,-0.04010808224222469
