,CSVel,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.5017797713118419,-2.616688328688158,-4.982174310320811,0.3739999999999988,-2.744468100000001,-5.1099540816326545,1.2995031657156324,1.2995031657156324,0.17975922685557677,1.1984404199983616,1.1984404199983616,0.07869648113830507,0.015100937617177373,-0.01400716332778143,-0.017465274527908303,-0.050990331188387555
1,V,-0.8382202286881579,-3.218730228688158,-5.024444718484077,-0.9660000000000011,-3.346510000000001,-5.15222448979592,1.0694882050018828,1.0694882050018828,0.21472183945985535,0.968425459284612,0.968425459284612,0.11365909374258454,0.019552676957835358,0.019552676957835358,-0.01184703744326393,-0.01184703744326393
2,I,-2.479220228688158,-3.926570308688158,-5.024444718484077,-2.607000000000001,-4.054350080000001,-5.15222448979592,0.734419789709408,0.734419789709408,0.21472183945985535,0.6333570439921372,0.6333570439921372,0.11365909374258454,0.011888027590364447,0.011888027590364725,-0.007202998765503649,-0.007202998765503135
3,J,-3.7072202286881577,-4.402329148688158,-4.9295977797085655,-3.835000000000001,-4.530108920000001,-5.057377551020409,0.41493288884955604,0.41493288884955604,0.16534111011128516,0.313870143132287,0.313870143132287,0.06427836439401435,-0.00019253219167744695,-0.018275899306717247,-0.004718937854453514,-0.049294205204388
4,H,-4.313220228688158,-4.744092538688157,-5.070926861341219,-4.441000000000001,-4.8718723100000005,-5.198706632653062,0.32624764674077866,0.32624764674077866,0.17153493457767244,0.22518490102350963,0.22518490102350963,0.0704721888604043,0.00023553306111551153,-0.0029749436885789793,-0.002924627444510844,-0.039792556352418934
5,K,-4.529220228688157,-4.812500918688157,-5.027380942973871,-4.657,-4.94028069,-5.1551607142857145,0.24657650074169268,0.24657650074169268,0.14485930324219076,0.145513755024421,0.145513755024421,0.043796557524919955,-0.0005238936628089164,-0.026897532696158077,-0.0019730745113505158,-0.06479535349856716
