,UUMus,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3772323826099289,-3.086677582609929,-5.74835483158952,-0.9440000000000008,-2.653445200000001,-5.315122448979592,-0.1877392708770751,-0.1877392708770751,0.27419739145943733,0.26925770345656597,0.26925770345656597,0.731194365793078,0.03334538370608808,0.01948284640361228,0.015295541856574113,-0.00161405550360183
1,V,-2.5192323826099283,-3.8241523826099284,-5.855967076487479,-2.0860000000000003,-3.3909200000000004,-5.422734693877551,-0.06316765302294902,-0.06316765302294902,0.28945575334080065,0.3938293213106916,0.3938293213106916,0.7464527276744422,0.031313875030295424,0.031313875030295424,0.012962774806300148,0.012962774806300148
2,I,-3.827232382609928,-4.620623742609928,-5.855967076487479,-3.394,-4.18739136,-5.422734693877551,0.0750607222716404,0.0750607222716404,0.28945575334080065,0.5320576966052815,0.5320576966052815,0.7464527276744422,0.019038836018419325,0.019038836018419603,0.007881367082230306,0.007881367082231305
3,J,-4.785232382609929,-5.166269022609929,-5.759558913222174,-4.352000000000001,-4.733036640000001,-5.326326530612246,0.13284985446259512,0.13284985446259512,0.23581588912081042,0.5898468287962384,0.5898468287962384,0.6928128634544519,0.0015478875112447388,-0.010261881178286164,-0.004142810552499987,-0.02656740963425064
4,H,-5.324232382609929,-5.560422902609929,-5.928181362201766,-4.891000000000001,-5.127190520000001,-5.494948979591838,0.16514061944035507,0.16514061944035507,0.22896545599219387,0.6221375937739975,0.6221375937739975,0.685962430325838,0.0011719884178888473,-0.005385550994431915,-0.0026163881443271864,-0.021769034652588615
5,K,-5.4852323826099285,-5.640517862609928,-5.882303811181357,-5.0520000000000005,-5.20728548,-5.449071428571429,0.1642451490093233,0.1642451490093233,0.20620733436660998,0.6212421233429639,0.6212421233429639,0.6632043087002506,-8.39484954634484e-06,-0.024739699431652218,-0.002299153514998986,-0.03916847354420849
