,DDCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.001054664486075,-2.905139664486075,-5.586054664486075,-1.1020000000000003,-3.0060850000000006,-5.687,0.08995680231880265,0.08995680231880265,0.22015836721774207,0.013518230603873693,0.013518230603873693,0.143719795502812,0.11627675226636017,0.11545553949977852,0.07884114605472123,0.07894363946415511
1,V,-2.198054664486076,-3.651554664486076,-5.698054664486076,-2.2990000000000013,-3.7525000000000013,-5.799000000000001,0.1201662562564767,0.1201662562564767,0.21955676381291855,0.04372768454154752,0.04372768454154752,0.14311819209799026,0.09131098555926148,0.09131098555926148,0.060291472524534734,0.060291472524534734
2,I,-3.570054664486076,-4.453782664486075,-5.698054664486076,-3.671000000000001,-4.554728000000001,-5.799000000000001,0.15912733521860156,0.15912733521860156,0.21955676381291855,0.08268876350367238,0.08268876350367238,0.14311819209799026,0.05551707922003132,0.05551707922003163,0.03665721529491761,0.03665721529491808
3,J,-4.450054664486076,-4.8744766644860755,-5.472054664486075,-4.551000000000001,-4.975422000000001,-5.573,0.26794980886275166,0.26794980886275166,0.2969718370692336,0.19151123714782425,0.19151123714782425,0.22053326535430529,0.024192905897448602,0.13004516258749368,0.016196688106768636,0.09948508721882965
4,H,-5.009054664486076,-5.272138164486076,-5.642554664486076,-5.110000000000001,-5.373083500000002,-5.743500000000001,0.26667228173062973,0.26667228173062973,0.2846619635983467,0.19023371001570233,0.19023371001570233,0.2082233918834202,0.01519496211192728,0.11913118470947534,0.01001696166848487,0.08299217465176126
5,K,-5.129054664486075,-5.302021164486075,-5.545554664486075,-5.23,-5.402966500000001,-5.6465000000000005,0.3008001685534998,0.3008001685534998,0.3126276389527165,0.2243615968385706,0.2243615968385706,0.23618906723778732,0.009578028622467094,0.14549017470919987,0.006396761911865945,0.10840129751675642
