,name,logP,EBV,r_B_g,r_V_g,r_I_g,r_J_g,r_H_g,r_K_g,r_B0_g,r_V0_g,r_I0_g,r_J0_g,r_H0_g,r_K0_g,r_BVI_g,r_VVI_g,r_IVI_g,r_JVI_g,r_HVI_g,r_KVI_g,r_B_i,r_V_i,r_I_i,r_J_i,r_H_i,r_K_i,r_B0_i,r_V0_i,r_I0_i,r_J0_i,r_H0_i,r_K0_i,r_BVI_i,r_VVI_i,r_IVI_i,r_JVI_i,r_HVI_i,r_KVI_i
0,EVSct,0.490098,0.655,0.48866583413368125,0.30324738485112346,-0.04568199183677102,-0.198523856475759,-0.22570906640743393,-0.25506522733842374,-0.46942858022699685,-0.42812239710359323,-0.4903548192652387,-0.4120838328065348,-0.35808699694123813,-0.34209823139103257,-0.6773991746957613,-0.5868785760873836,-0.5868785760873836,-0.45844063706980087,-0.38682186533730345,-0.360990216690106,0.342459336588823,0.1570408873062652,-0.1918884893816295,-0.3447303540206148,-0.37191556395229064,-0.4012717248832818,-0.6156350777718553,-0.5743288946484513,-0.6365613168100959,-0.5582903303513929,-0.5042934944860944,-0.4883047289358906,-0.8236056722406202,-0.7330850736322416,-0.7330850736322416,-0.6046471346146589,-0.5330283628821579,-0.5071967142349649
1,SZTau,0.498166,0.295,-1.1181718065892627,-0.9923021929704188,-0.8253895963014344,-0.7062937482594132,-0.652000846109769,-0.6377059193594787,-0.5482975488989035,-0.5572836756495341,-0.5608983377703374,-0.579268341201713,-0.5732624944746902,-0.5859387157982914,-0.5603771595577092,-0.5665047524883171,-0.5665047524883171,-0.5819608956386375,-0.574931509382508,-0.5870360239421082,-0.984893052460926,-0.8590234388420819,-0.6921108421730979,-0.5730149941310732,-0.5187220919814308,-0.5044271652311423,-0.415018794770567,-0.4240049215211972,-0.42761958364199915,-0.4459895870733761,-0.4399837403463511,-0.45265996166995404,-0.4270984054293727,-0.43322599835998066,-0.43322599835998066,-0.44868214151030106,-0.44165275525416803,-0.45375726981377174
2,SSSct,0.564814,0.325,-0.38571746750755953,-0.3324250953050849,-0.24777478913075335,-0.1284111331110438,-0.09290786730302347,-0.06523444628130459,0.09604902355631406,0.03533558489634503,-0.024176295568284267,-0.021025014492225047,-0.026343184186565338,-0.021470925337332858,-0.10282996473109396,-0.1164804366970964,-0.1164804366970964,-0.06535529279750918,-0.0538218840949769,-0.03953703190695457,-0.7299354452953002,-0.6766430730928255,-0.5919927669184943,-0.47262911089878124,-0.4371258450907618,-0.4094524240690456,-0.2481689542314265,-0.30888239289139596,-0.3683942733560239,-0.36524299227996515,-0.37056116197430367,-0.36568890312507296,-0.44704794251883584,-0.4606984144848365,-0.4606984144848365,-0.40957327058525017,-0.39803986188271523,-0.38375500969469467
3,QZNor,0.578244,0.263,-1.1283833806522252,-1.0079530951173465,-0.797907436664524,-0.6886536614943477,-0.6096899289966746,-0.6029327068396588,-0.3764515466972469,-0.43395932873950205,-0.44891922670679385,-0.5210474817120154,-0.505797057282285,-0.534627448640693,-0.4264450832716191,-0.4721223337581053,-0.4721223337581053,-0.5321910791774478,-0.5127045611906516,-0.5391688462379092,-0.4852114226054314,-0.36478113707055293,-0.1547354786177304,-0.045481703447551425,0.033482029050120765,0.040239251207134785,0.2667204113495467,0.20921262930729156,0.1942527313400002,0.12212447633477819,0.13737490076450953,0.10854450940610061,0.2167268747751745,0.1710496242886883,0.1710496242886883,0.11098087886934582,0.13046739685614472,0.10400311180888444
4,ADGem,0.578408,0.173,-0.8579383915724186,-0.542420941645394,-0.14429718656013257,0.1820163041380165,0.2840100825431442,0.3347805395018124,0.27490599397110316,0.3223457648763772,0.38148097100510414,0.43452818244237523,0.44053285642358464,0.43768777757790467,0.47252619812577734,0.47320088255170223,0.47320088255170134,0.4785778768035698,0.4678376327228193,0.4556395365812662,-1.3969949862896345,-1.0814775363626101,-0.6833537812773485,-0.35704029057919673,-0.2550465121740695,-0.20427605521540393,-0.26415060074611274,-0.21671082984083867,-0.15757562371211042,-0.10452841227484022,-0.09852373829362993,-0.10136881713931079,-0.066530396591439,-0.06585571216551411,-0.06585571216551411,-0.060478717913645674,-0.07121896199439348,-0.08341705813595013
5,YAur,0.586529,0.375,-0.14062392969076087,-0.026790247881944174,0.1482007191060437,0.16147122079607357,0.18595282124041557,0.1903786429808969,0.14222940738058298,0.18912833003511187,0.27947921447961344,0.22451944554785497,0.2250340838434024,0.21607295375302904,0.44416731202930215,0.419615280148637,0.419615280148637,0.2918216349810052,0.26675222181395153,0.24350090081653697,-0.5892774294568419,-0.4754437476480251,-0.30045278066003744,-0.2871822789700049,-0.2627006785256629,-0.25827485678518425,-0.30642409238549817,-0.2595251697309693,-0.16917428528646639,-0.22413405421822485,-0.2236194159226761,-0.23258054601305211,-0.00448618773677989,-0.02903821961744324,-0.02903821961744324,-0.15683186478507594,-0.18190127795212696,-0.20515259894954418
6,STTau,0.605768,0.368,-0.4973806161037969,-0.3223215944139586,-0.17616903528256822,-0.11389324674698065,-0.08088693158616511,-0.06790852235186495,-0.17369892895933692,-0.07523633705177568,-0.025941198806361143,-0.041744351597222895,-0.03616450000361038,-0.03850537672576415,-0.008962625128996038,0.05051656663550741,0.05051656663550652,-0.0050245037205352006,-0.013403224436211225,-0.023540781186978776,-0.5768870740934479,-0.4018280524036095,-0.25567549327221917,-0.19339970473662893,-0.16039338957581428,-0.1474149803415159,-0.2532053869489883,-0.15474279504142663,-0.10544765679601076,-0.12125080958687295,-0.11567095799325955,-0.11801183471541421,-0.08846908311864787,-0.028989891354143538,-0.028989891354144426,-0.08453096171018615,-0.09290968242585951,-0.10304723917662884
7,BFOph,0.609329,0.235,-0.7821838534103999,-0.6212321951325706,-0.3633838914394749,-0.17881147488491456,-0.10715276047749711,-0.09088697850732341,0.10633548499505929,0.05702684181816098,0.048997603026569525,0.019240163904699514,0.01561212521058497,-0.010174153110184214,0.0795030798496903,0.03654408979879609,0.0365440897987952,0.013259200315045128,0.011904747095080381,-0.012611600600490824,-0.2991875026266855,-0.13823584434885605,0.11961245934423914,0.30418487589880217,0.3758435903062196,0.39210937227639064,0.589331835778774,0.5400231926018755,0.5319939538102849,0.5022365146884145,0.4986084759943008,0.47282219767353073,0.5624994306334035,0.5195404405825101,0.5195404405825101,0.4962555510987601,0.494901097878798,0.47038475018322323
8,SYCas,0.609712,0.442,-0.24490879497255313,-0.19775357594965293,-0.08972288804786954,-0.08301101388834864,-0.056282131294620896,-0.03798544122058978,-0.23204540864994616,-0.1879341970774342,-0.08375270569356097,-0.08014375525766049,-0.05450482371874976,-0.03681693513479356,0.11611212633187673,0.07783491359571393,0.07783491359571304,-0.0025391749411003417,-0.006400614686909556,-0.005190410964690528,-0.12468204464528465,-0.07752682562238444,0.03050386227939894,0.037215736438922065,0.06394461903264848,0.0822413091066787,-0.11181865832267768,-0.06770744675016571,0.0364740446337084,0.040082995069608884,0.06572192660851961,0.08340981519247492,0.23633887665914433,0.19806166392298152,0.19806166392298152,0.11768757538616814,0.11382613564036159,0.11503633936257796
9,XSct,0.62305,0.589,0.8840700058390791,0.7883142410963513,0.6326964709706209,0.346264965325894,0.3084374595880188,0.3078105263964215,0.28270343294214406,0.3292557885032701,0.3535889317940275,0.21221989716871548,0.22534787966866965,0.2531825705378461,0.3640208250617656,0.3913301336327537,0.3913301336327528,0.23034560594652387,0.2365833361371079,0.26056941760825403,-0.3310794374496433,-0.42683520219237137,-0.582452972318102,-0.8688844779628262,-0.9067119837007018,-0.907338916892301,-0.9324460103465788,-0.8858936547854523,-0.861560511494694,-1.002929546120007,-0.989801563620051,-0.9619668727508754,-0.8511286182269577,-0.8238193096559687,-0.8238193096559687,-0.9848038373421986,-0.9785661071516119,-0.9545800256804693
