,name,logP,EBV,r_B_g,r_V_g,r_I_g,r_J_g,r_H_g,r_K_g,r_B0_g,r_V0_g,r_I0_g,r_J0_g,r_H0_g,r_K0_g,r_BVI_g,r_VVI_g,r_IVI_g,r_JVI_g,r_HVI_g,r_KVI_g,r_B_i,r_V_i,r_I_i,r_J_i,r_H_i,r_K_i,r_B0_i,r_V0_i,r_I0_i,r_J0_i,r_H0_i,r_K0_i,r_BVI_i,r_VVI_i,r_IVI_i,r_JVI_i,r_HVI_i,r_KVI_i
10,YLac,0.635863,0.217,-1.1421264479522466,-0.8340722288135067,-0.45958846143035537,-0.17135450939265917,-0.06883458700733858,-0.03442751096985397,-0.16198416167839103,-0.08587201028384683,-0.004682728564322058,0.047119954418001875,0.06658965254652927,0.0546083150351766,0.10933716243532654,0.12124350430677833,0.12124350430677744,0.1075976846784652,0.10407756068743357,0.07925506127145976,-1.5371696904112742,-1.2291154712725343,-0.8546317038893831,-0.5663977518516843,-0.46387782946636413,-0.4294707534288822,-0.5570274041374188,-0.4809152527428746,-0.3997259710233494,-0.34792328804102546,-0.3284535899124972,-0.34043492742385073,-0.2857060800237017,-0.273799738152249,-0.2737997381522499,-0.28744555778056213,-0.2909656817715911,-0.31578818118756846
11,TVul,0.646934,0.06,-1.7571305243947843,-1.3501921772960244,-0.8024364110241775,-0.3921712967292361,-0.228623092384038,-0.16732258653502186,-0.10622382326259583,-0.08995805429435455,-0.03621406423916218,-0.02418293281274675,-0.0005207161207358979,-0.017354725897821055,0.0733798169728681,0.047143961152564806,0.047143961152564806,0.01585085569775302,0.024294748675157685,-0.0010395860596394968,-1.7645589193614204,-1.3576205722626606,-0.8098648059908138,-0.39959969169586973,-0.2360514873506725,-0.17475098150165813,-0.11365221822923255,-0.09738644926099083,-0.04364245920579757,-0.031611327779383025,-0.007949111087370397,-0.024783120864456443,0.06595142200623094,0.03971556618592942,0.03971556618592942,0.008422460731116743,0.016866353708524073,-0.008467981026275773
12,XYCas,0.653376,0.533,0.10467697298872858,0.020039179930178896,0.05286262002019759,0.01447338938344167,0.013201811629961036,0.01702218694387536,-0.2420679128705583,-0.24465157263416293,-0.10806935753892244,-0.06281631036534474,-0.03470721458418513,-0.014476012611279288,0.2143675508405769,0.10377244546594167,0.10377244546594078,0.03892350291988489,0.02835753269193475,0.026986445542631188,0.5889428047017331,0.5043050116431833,0.537128451733202,0.4987392210964483,0.49746764334296767,0.5012880186568793,0.24219791884244612,0.23961425907884149,0.37619647417408286,0.4214495213476597,0.4495586171288206,0.46978981910172557,0.6986333825535818,0.5880382771789465,0.5880382771789456,0.5231893346328897,0.5126233644049414,0.511252277255636
13,TVel,0.666501,0.289,-0.45410227543391557,-0.3117642596698422,-0.1286907079897146,0.007699124206730801,0.04883213508330986,0.04971169802944875,0.23923707894847634,0.21750242306480727,0.19310343511295214,0.16224499556524918,0.14462940465828034,0.11269443327487405,0.1576996447216148,0.15526010686109615,0.15526010686109615,0.14407023923376627,0.13336354542540985,0.10528759764663054,-0.5027356913664333,-0.36039767560236013,-0.17732412392223207,-0.040934291725784444,0.0001987191507941688,0.0010782820969312823,0.19060366301595844,0.16886900713228936,0.14447001918043556,0.1136115796327326,0.09599598872576376,0.06406101734235659,0.10906622878909555,0.10662669092857868,0.10662669092857868,0.09543682330124881,0.08473012949289505,0.056654181714112184
14,VZCyg,0.687034,0.266,-0.6407031805579672,-0.4554520765992345,-0.21260073129779222,0.015265557824680975,0.10616035295581217,0.12269692920880626,0.1619192492364152,0.15723680110640004,0.1599141063472338,0.19417071011472764,0.21705703982053137,0.19560690565577854,0.17086636624022056,0.16406666141464932,0.16406666141464843,0.19616502932473612,0.21829324453632548,0.19641965903245762,-1.0386376006820652,-0.8533864967233327,-0.6105351514218906,-0.38266886229941477,-0.29177406716828447,-0.27523749091529215,-0.23601517088768276,-0.24069761901769793,-0.23802031377686372,-0.20376371000937077,-0.18087738030356526,-0.20232751446831898,-0.22706805388387874,-0.2338677587094482,-0.2338677587094491,-0.2017693907993623,-0.17964117558776937,-0.2015147610916399
15,CFCas,0.687994,0.553,0.77252397679035,0.6282853113372533,0.45759380765785806,0.34580965109041584,0.2788803247042031,0.24249437296686782,0.3613226329566954,0.31439115573904264,0.26674616105414595,0.25415255765573974,0.22206548254092606,0.20514096845068241,0.20210083949441326,0.1928478019510429,0.19284780195104112,0.21866189834964267,0.20006613550529906,0.19067730934990923,0.7046293436055175,0.5603906781524208,0.3896991744730256,0.27791501790558604,0.21098569151937152,0.17459973978203536,0.2934279997718625,0.24649652255421017,0.19885152786931481,0.18625792447090728,0.15417084935609537,0.13724633526585084,0.1342062063095799,0.12495316876620954,0.12495316876620866,0.1507672651648102,0.13217150232046926,0.12278267616507677
16,VLac,0.697493,0.335,-0.8567651092561228,-0.6809551493373291,-0.4651232389219082,-0.328448628414868,-0.27463767385655213,-0.22825705619819292,-0.3400086351655336,-0.28648455842848275,-0.22528511964932996,-0.2132632158694845,-0.20323849690205176,-0.18131505588003805,-0.13549010251071092,-0.1303635411347246,-0.13036354113472548,-0.1676758788197068,-0.17498059277188105,-0.16273665482208344,-0.9168345066155487,-0.7410245466967551,-0.5251926362813344,-0.3885180257742915,-0.334707071215977,-0.28832645355761954,-0.40007803252495977,-0.3465539557879085,-0.2853545170087548,-0.27333261322890934,-0.2633078942614766,-0.24138445323946378,-0.19555949987013754,-0.19043293849415033,-0.19043293849415033,-0.22774527617913254,-0.23504999013130412,-0.22280605218150917
17,V0386Cyg,0.720788,0.841,1.7382508236587086,1.2814418476935419,0.6783668133083234,0.30852357762103244,0.1436023334850418,0.053862857878081094,0.12754190174395674,0.05189305233876862,-0.06919885426737782,-0.05050467062256114,-0.07894599847417272,-0.09245344876913553,-0.2771274800265866,-0.2570148726769128,-0.2570148726769137,-0.1407057847271389,-0.13485833290200944,-0.12921349184600217,2.1809086883628943,1.7240997123977273,1.121024678012509,0.7511814423252199,0.5862601981892288,0.4965207225822663,0.570199766448142,0.4945509170429543,0.37345901043680785,0.39215319408162497,0.3637118662300143,0.3502044159350506,0.16553038467759862,0.1856429920272733,0.1856429920272724,0.3019520799770472,0.30779953180217845,0.31344437285818305
18,CRSer,0.724391,1.036,2.1644599312918054,1.6105659145028581,0.9362066250364345,0.395675310369183,0.20441416016340952,0.12196544669274711,-0.26925326883317346,-0.24723042147040886,-0.19333354723531215,-0.1468012197350097,-0.13184697664775236,-0.09911231728807035,-0.08913871462915157,-0.10973839536046714,-0.10973839536046803,-0.10665354811090744,-0.10696091992185153,-0.08275076618098876,1.5436636886422392,0.989769671853292,0.3154103823868679,-0.22512093228038044,-0.41638208248615527,-0.49883079595681945,-0.89004951148274,-0.8680266641199754,-0.8141297898848769,-0.7675974623845763,-0.7526432192973171,-0.719908559937636,-0.7099349572787181,-0.7305346380100337,-0.7305346380100346,-0.7274497907604731,-0.7277571625714154,-0.7035470088305553
19,V1162Aql,0.730464,0.195,-0.9201146985655132,-0.7197809753940947,-0.37724830846533797,-0.10856832800222538,-0.011716863598447702,0.02832451409206982,0.20823372324380962,0.14155369774279203,0.14644317280188934,0.1429413965537467,0.14418471223932805,0.13082334019536201,0.22457355060966933,0.15402684840375436,0.15402684840375436,0.14658355654674704,0.14644235250896287,0.1323076451240146,-0.68432156900515,-0.48398784583373144,-0.14145517890497494,0.12722480155813987,0.22407626596191665,0.2641176436524333,0.44402685280417264,0.37734682730315505,0.3822363023622537,0.3787345261141102,0.3799778417996924,0.3666164697557255,0.4603666801700319,0.3898199779641178,0.3898199779641178,0.3823766861071105,0.382235482069329,0.3681007746843781
20,CVMon,0.730685,0.722,1.3610464664675685,1.1584976489723047,0.756135555875264,0.4378960066535109,0.3347879597496499,0.2528471721423937,0.2596285498687707,0.31772061340070223,0.24494311824772996,0.1923891122666035,0.18260731631118965,0.15279470490937452,0.016418043107560898,0.13206373801046745,0.13206373801046656,0.13817730465265576,0.14900342186555715,0.13070153673793516,1.3009700921277207,1.0984212746324569,0.6960591815354165,0.3778196323136651,0.2747115854098041,0.19277079780254613,0.19955217552892268,0.25764423906085465,0.18486674390788327,0.1323127379267568,0.12253094197134295,0.09271833056952694,-0.04365833123228757,0.07198736367061986,0.07198736367061898,0.07810093031280818,0.08892704752571312,0.07062516239808758
21,SWCas,0.735675,0.467,0.04576044231083698,0.03186376089365961,0.004877900698307958,0.013455305650852623,0.0062614604432962295,0.016723365886310404,0.026231357582970016,0.016956062628111557,-0.004185979847145305,0.009102257757313659,0.0035631670572318086,0.014949349792712674,-0.044421896607302,-0.03697771919652215,-0.03697771919652215,-0.006646406535479876,-0.006198847453026346,0.008531229755578629,-0.21944443704409955,-0.23334111846127703,-0.2603269786566287,-0.2517495737040818,-0.2589434189116391,-0.2484815134686258,-0.23897352177196662,-0.24824881672682508,-0.2693908592020806,-0.25610262159762254,-0.2616417122977035,-0.2502555295622235,-0.3096267759622391,-0.30218259855145835,-0.30218259855145835,-0.2718512858904161,-0.2714037268079599,-0.25667364959935757
22,XLac,0.735997,0.336,-1.2339599305757112,-1.0436854721497728,-0.8425179962741138,-0.6558233449800612,-0.5959581976132267,-0.5734703067669678,-0.6990011079163154,-0.635319958669319,-0.5942317640779979,-0.5365806150437686,-0.5220440396732657,-0.5248748106627916,-0.5616910698687887,-0.5305031357322747,-0.5305031357322747,-0.5059741027461513,-0.5030721947216596,-0.5124016087332857,-1.3960194828143067,-1.2057450243883685,-1.0045775485127093,-0.8178828972186549,-0.7580177498518212,-0.7355298590055641,-0.8610606601549109,-0.7973795109079145,-0.7562913163165925,-0.6986401672823632,-0.6841035919118603,-0.6869343629013871,-0.723750622107385,-0.6925626879708702,-0.6925626879708702,-0.6680336549847468,-0.6651317469602525,-0.6744611609718811
23,VCen,0.739882,0.294,-0.7363565207504128,-0.5140172229129789,-0.26099971400664757,-0.08689046011396684,-0.020313554512635612,-0.0055121441272376615,-0.021419574179479817,0.03173617141597651,0.07081834974535761,0.07246953103008824,0.0784678098609044,0.05943250979790893,0.10918668503350304,0.13143560592970438,0.1314356059297035,0.10158176590809731,0.09651340750789039,0.0712967425050417,-0.7028923176504831,-0.48055301981304943,-0.22753551090671786,-0.05342625701403492,0.013150648587295422,0.027952058972690708,0.01204462892044944,0.06520037451590577,0.10428255284528776,0.10593373413001839,0.11193201296083544,0.09289671289783907,0.1426508881334314,0.16489980902963364,0.16489980902963364,0.13504596900802746,0.1299776106078223,0.10476094560497096
24,FMCas,0.764123,0.325,-0.5856258785681794,-0.47040272688928275,-0.31784167855012413,-0.16690581420871098,-0.12788779371356807,-0.10013013438396179,0.01226434152644984,-0.01399797872544406,-0.04034759166651014,-0.03363562774486972,-0.045278534295913886,-0.04581796935246274,-0.07579176294496914,-0.08121637908530577,-0.08121637908530577,-0.053263400649949055,-0.05744506476104849,-0.05381695899528882,-0.2779006546553149,-0.16267750297641825,-0.010116454637259409,0.14081940970415552,0.17983743019929754,0.20759508952890293,0.31998956543931456,0.2937272451874202,0.26737763224635547,0.2740895961679959,0.2624466896169517,0.261907254560402,0.2319334609678947,0.22650884482755895,0.22650884482755895,0.25446182326291567,0.2502801591518189,0.2539082649175759
25,CSVel,0.771201,0.737,1.2995031657156324,1.0694882050018828,0.734419789709408,0.41493288884955604,0.32624764674077866,0.24657650074169268,0.1582216525402127,0.19828094303591248,0.20472577443409845,0.1605403683554929,0.1685591323249378,0.14290283656774339,0.17975922685557677,0.21472183945985535,0.21472183945985535,0.16534111011128516,0.17153493457767244,0.14485930324219076,1.1984404199983616,0.9684254592846118,0.6333570439921372,0.313870143132287,0.22518490102350963,0.145513755024421,0.05715890682294145,0.09721819731864123,0.10366302871682898,0.05947762263822298,0.06749638660766788,0.04184009085047258,0.07869648113830507,0.11365909374258454,0.11365909374258454,0.06427836439401435,0.0704721888604043,0.043796557524919955
26,MWCyg,0.774852,0.635,0.44387491303657556,0.19780042302845713,-0.10352938979426662,-0.2686868919185743,-0.3407032461730024,-0.37207975643530755,-0.26368681203047384,-0.34232303122119934,-0.4319244499780579,-0.42640294055947425,-0.4384655913921902,-0.4363544474910146,-0.5631201247128326,-0.5708980790703277,-0.5708980790703286,-0.4931468545314184,-0.4798376750528819,-0.4635548781850627,1.2422587674920849,0.9961842774839664,0.6948544646612422,0.5296969625369368,0.45768060828250867,0.42630409802020175,0.5346970424250355,0.4560608232343095,0.3664594044774523,0.37198091389603594,0.35991826306332,0.3620294069644947,0.23526372974267673,0.22748577538518244,0.22748577538518155,0.3052369999240909,0.3185461794026301,0.3348289762704466
27,FMAql,0.786342,0.589,0.47060012083976477,0.3126324531837925,0.07277416662166925,0.06380039264619697,0.024889083981056714,0.002439816834503894,-0.0356273667128546,-0.07380074342126175,-0.16217721691420373,-0.04903810076247872,-0.04505532460445938,-0.043545733561496824,-0.33096711231426834,-0.2992509309032556,-0.2992509309032556,-0.11486955550722033,-0.08586180853869863,-0.07037430587185511,-0.13657749306587408,-0.29454516072184656,-0.5344034472839696,-0.5433772212594397,-0.5822885299245808,-0.6047377970711354,-0.6428049806184939,-0.6809783573269006,-0.7693548308198412,-0.6562157146681162,-0.6522329385100969,-0.6507233474671352,-0.9381447262199076,-0.9064285448088949,-0.9064285448088949,-0.7220471694128587,-0.6930394224443353,-0.6775519197774935
28,CRCep,0.794695,0.709,1.2117562851989705,0.9412281551502633,0.5323475586538318,0.27441527129517596,0.14003428863589296,0.11525910867349065,0.20263951971406424,0.1709100135587307,0.06399412856618003,0.04948237395044863,0.0006067050078248926,0.02359124982409977,-0.1546559122763469,-0.10183459101410097,-0.10183459101410275,-0.03015905058481838,-0.04876006841985703,-0.008865358120069722,1.7964462419697536,1.5259181119210463,1.1170375154246148,0.8591052280659612,0.7247242454066773,0.6999490654442733,0.7873294764848473,0.7555999703295138,0.648684085336964,0.634172330721233,0.5852966617786093,0.6082812065948833,0.43003404449443483,0.48285536575668164,0.48285536575668075,0.5545309061859651,0.5359298883509291,0.5758245986507138
29,RSCas,0.799056,0.833,1.3855412743977658,1.0313309730938565,0.6235270803417645,0.20918271626048757,0.07460069825001892,0.016177451031549772,-0.14571583451617265,-0.13756758332899777,-0.08716324196333058,-0.13213566221498585,-0.1369699404625191,-0.12292147718276869,0.022727245047663658,-0.008985079845152733,-0.008985079845152733,-0.0945895711977025,-0.11369650733194181,-0.10762015926819224,1.7992016003428373,1.4449912990389282,1.0371874062868365,0.6228430422055613,0.48826102419509176,0.42983777697662084,0.26794449142889887,0.2760927426160742,0.32649708398174226,0.281524663730087,0.27669038548255465,0.29073884876230327,0.43638757099273473,0.40467524609991923,0.40467524609991923,0.31907075474736946,0.2999638186131328,0.3060401666768797
30,RRLac,0.807281,0.319,-1.0759084593171102,-0.8577472537588431,-0.5606344099144658,-0.39698389462027084,-0.3120590370892353,-0.2648185267248433,-0.4274852230129298,-0.36276768406099613,-0.2596868315381746,-0.25244986026849947,-0.22246773497392613,-0.20591595793079875,-0.0830058434086034,-0.09980632558441105,-0.09980632558441105,-0.17566514359333585,-0.17487172908966286,-0.1746235562720866,-0.31794359052654697,-0.09978238496828018,0.19733045887609713,0.3609809741702943,0.4459058317013289,0.49314634206571917,0.33047964577763356,0.3951971847295668,0.4982780372523896,0.5055150085220648,0.5354971338166381,0.5520489108597655,0.6749590253819591,0.6581585432061523,0.6581585432061523,0.5822997251972275,0.5830931397009032,0.5833413125184768
31,XXSgr,0.807815,0.521,0.2209301975570771,0.23937521888001223,0.1757423529787996,0.12458730785797911,0.11360999779499181,0.11589360196476317,0.014941959155661877,0.08213228880259482,0.0801386514917306,0.07867237227537416,0.08514902745097874,0.0971816932855516,0.008279548754556387,0.07704647933610342,0.07704647933610254,0.0771873159111589,0.08422849593754478,0.09657648195903779,0.19176114723342264,0.21020616855635765,0.146573302655145,0.09541825753432764,0.08444094747133946,0.08672455164110815,-0.0142270911679927,0.052963238478940244,0.05096960116807736,0.04950332195172091,0.0559799771273255,0.06801264296189746,-0.020889501569099522,0.04787742901244929,0.0478774290124484,0.04801826558750477,0.05505944561389331,0.06740743163538365
32,BBSgr,0.821971,0.281,-0.7705781498947799,-0.6176093533571363,-0.4055011465216176,-0.2015017220449682,-0.1348855573157941,-0.12345956380341239,0.047193345163705214,0.00664369630582895,-0.02595529232653515,-0.01921983154338225,-0.021895755326798216,-0.04917345089351777,-0.061747152561796526,-0.0765169889808126,-0.0765169889808126,-0.04350275164708162,-0.03694783936367951,-0.05906957244262934,-0.9685567034592233,-0.8155879069215799,-0.6034797000860612,-0.3994802756094096,-0.3328641108802364,-0.32143811736785644,-0.1507852084007384,-0.19133485725861465,-0.22393384589097742,-0.21719838510782452,-0.2198743088912396,-0.24715200445796093,-0.2597257061262406,-0.27449554254525577,-0.27449554254525577,-0.24148130521152478,-0.23492639292812,-0.2570481260070734
33,VCar,0.82586,0.166,-1.2836246852706186,-1.0115889233606938,-0.6266287786985889,-0.3132132951470208,-0.20488463935633838,-0.1671448035047769,0.023012164225953313,-0.014156213821326258,-0.02018969129865411,-0.021962943961524317,-0.024349318929713704,-0.0484503110695913,0.0028492675542723944,-0.02954773799818078,-0.029547737998181667,-0.026457269021165963,-0.027135184805723078,-0.05028190244663833,-0.7394242593608696,-0.467388497450945,-0.08242835278884009,0.23098713076273114,0.33931578655341177,0.3770556224049715,0.5672125901357021,0.5300442120884226,0.524010734611096,0.5222374819482258,0.5198511069800364,0.49575011484015796,0.5470496934640208,0.5146526879115685,0.5146526879115676,0.5177431568885833,0.5170652411040288,0.49391852346311094
34,V0495Cyg,0.827263,0.978,1.4962231362514427,1.0080045789063679,0.41663283073501933,-0.1154408266539857,-0.27885513178917165,-0.36600207382347616,-0.6321381820646277,-0.6166987175181133,-0.5711867734910658,-0.5898541892099338,-0.5729264284420035,-0.5593417660979876,-0.48004469564770424,-0.5005968194899282,-0.5005968194899291,-0.5559524349857039,-0.5519119848989007,-0.5455256402326354,0.6034273269260924,0.11520876958101711,-0.47616297859033097,-1.0082366359793342,-1.171650941114521,-1.2587978831488273,-1.524933991389978,-1.509494526843464,-1.4639825828164152,-1.4826499985352832,-1.465722237767352,-1.4521375754233379,-1.3728405049730554,-1.3933926288152785,-1.3933926288152794,-1.4487482443110533,-1.4447077942242483,-1.4383214495579857
35,USgr,0.828997,0.402,-0.2624628262620321,-0.21775977960722592,-0.14830579875021277,-0.05774807366662582,-0.02384469829251401,-0.021851706509349533,0.04741493868125568,0.018788132563221538,-0.004484668150580795,0.011323916687145719,0.01897047381033623,0.006297495038935175,-0.030358961663338846,-0.04058125701280346,-0.04058125701280435,-0.006011945069054114,0.008224614297076549,-0.0007674623206144204,-0.3712842549544566,-0.32658120829965087,-0.2571272274426377,-0.16656950235904766,-0.13266612698493763,-0.13067313520177493,-0.061406490011168824,-0.09003329612920297,-0.11330609684300352,-0.0974975120052779,-0.08985095488208739,-0.10252393365348933,-0.13918039035576424,-0.14940268570522797,-0.14940268570522885,-0.11483337376147773,-0.10059681439534529,-0.10958889101303804
36,TWCMa,0.844792,0.329,-0.4722902646705158,-0.2931923303697439,-0.09721678665057398,0.0790921991911393,0.12488932522519569,0.16115697366748272,0.15567506698647193,0.18617051822337594,0.19423582529404282,0.21906615098033022,0.2116540008205492,0.21820115265006468,0.18262800643181354,0.20674528115875201,0.20674528115875113,0.22507398175746118,0.2153780329118531,0.22064954943937387,0.008560937777225996,0.1876588720779977,0.3836344157971676,0.5599434016388836,0.6057405276729382,0.6420081761152234,0.6365262694342135,0.6670217206711175,0.6750870277417849,0.6999173534280727,0.6925052032682917,0.6990523550978072,0.6634792088795551,0.6875964836064936,0.6875964836064927,0.7059251842052028,0.6962292353595974,0.7015007518871155
