,B,V,I,J,H,K,B0,V0,I0,J0,H0,K0,BVI,VVI,IVI,JVI,HVI,KVI
m_g,-1.3297548599510665,-1.8612450559603906,-2.337444034254535,-2.7015631072602857,-2.8847698600267035,-2.9654698701009536,-1.9123864974122737,-2.306002031121618,-2.6078562751525607,-2.8314321440073624,-2.9652708725308856,-3.0183959501451385,-2.9211340986381313,-3.0760383679352503,-3.076038367935251,-3.0562827543569426,-3.104647449494153,-3.1100302742259625
c_g,-1.1019699766057345,-2.333559441248722,-3.748444875990969,-4.740268054915759,-5.299500334633186,-5.454293270239077,-3.212462099449801,-3.9446221304426654,-4.727970991020887,-5.210698360160391,-5.591102681377289,-5.646009730253158,-5.830286097810694,-5.942961060489149,-5.942961060489149,-5.7942133277339645,-5.952802027715704,-5.883812062928688
err_m_g,0.35918516672325235,0.27478834270632524,0.17083679146197428,0.09999370918128127,0.08210721489372444,0.07951180424736906,0.10824186124337244,0.09747961090790444,0.09240532319641177,0.08624154000554245,0.08213193277199883,0.08171031500481234,0.09917251577594827,0.0955572179344566,0.09555721793445662,0.08698693665675986,0.08301343033110933,0.08222960589582005
err_c_g,0.10564508634914425,0.08082192941813561,0.05024725199611829,0.02941057988891559,0.02414972724644457,0.02338635390241958,0.03183656185462377,0.02867112248981377,0.027178651159966004,0.025365732733024074,0.024156997375131918,0.024032989343767224,0.029169046951998415,0.02810569999887509,0.028105699998875102,0.02558497200256468,0.024416267229169463,0.024185725414472236
m_i,-1.3197336329016014,-1.8512238289109253,-2.3274228072050698,-2.6915418802108197,-2.874748632977238,-2.955448643051489,-1.9023652703628087,-2.295980804072152,-2.5978350481030965,-2.821410916957899,-2.9552496454814197,-3.0083747230956734,-2.9111128715886667,-3.0660171408857857,-3.0660171408857853,-3.046261527307478,-3.0946262224446888,-3.100009047176497
c_i,-1.1263941554726162,-2.3579836201156037,-3.7728690548578507,-4.764692233782643,-5.323924513500069,-5.478717449105958,-3.2368862783166827,-3.969046309309547,-4.7523951698877696,-5.235122539027274,-5.615526860244172,-5.67043390912004,-5.854710276677575,-5.967385239356031,-5.967385239356031,-5.818637506600846,-5.977226206582588,-5.90823624179557
err_m_i,0.3719758488111846,0.2931200177471689,0.20170763460900418,0.15213585341268604,0.1427348023609871,0.14175628829506903,0.16235013045898644,0.1547596707823444,0.14998115428064354,0.14752338653753103,0.1452862125369353,0.14467122942035973,0.15109600215395708,0.1494075992937091,0.14940759929370923,0.146714956501973,0.1450040417918363,0.1444483786072283
err_c_i,0.10940713678672594,0.08621372053880444,0.059327117180115976,0.04474685165094124,0.041981774074965846,0.04169396930860862,0.04775111875471592,0.045518580102621754,0.04411310227332164,0.043390213052099086,0.042732205811357164,0.04255132433162737,0.04444100612557931,0.04394440581329393,0.04394440581329397,0.043152434132404514,0.04264921253799029,0.0424857784918283
