,B,V,I,J,H,K,B0,V0,I0,J0,H0,K0,BBI,VBI,IBI,JBI,HBI,KBI,BVI,VVI,IVI,JVI,HVI,KVI,BVK,VVK,IVK,JVK,HVK,KVK,BJK,VJK,IJK,JJK,HJK,KJK
m_g,-1.2238180686081315,-1.7773369062908957,-2.269665401923128,-2.643349896882047,-2.830240943542554,-2.9134262177854415,-1.855270735129275,-2.2593618425665785,-2.562736563178743,-2.7841011782745464,-2.9174874570084524,-2.970787185202248,-3.1754704997230103,-3.2671479224091233,-3.1754704997230103,-3.0783747135885693,-3.0998967374599524,-3.090713728703511,-2.8690995208484957,-3.0332769461690368,-3.033276946169038,-3.010084388526464,-3.0575660907604982,-3.0628830825309397,-2.9131222661766376,-3.0668820952744884,-3.0537088768251515,-3.0198970920652557,-3.063648622748584,-3.0668820952744875,-3.26890466041996,-3.338471709200689,-3.218835362092282,-3.0992012593317058,-3.1128063428692276,-3.0992012593317058
c_g,-1.1173105827672305,-2.345710100726907,-3.7582598353793,-4.748697854633953,-5.307396615251018,-5.461829662112545,-3.2207329787514087,-3.951376051859868,-4.734504733668141,-5.217552312364777,-5.598022152406082,-5.652903910297368,-6.0455777065874745,-6.107746073108775,-6.045577706587475,-5.847212358569458,-5.9883251262521355,-5.909511942825987,-5.837821175610686,-5.9491533013707665,-5.9491533013707665,-5.800903269221959,-5.959619834567556,-5.890639402989164,-5.750814130344059,-5.882735709564182,-5.908771405552364,-5.781509332414437,-5.947598250450563,-5.882735709564182,-6.517326003558885,-6.467859276903743,-6.264526534494816,-5.9523654140775895,-6.0535056161390255,-5.9523654140775895
err_m_g,0.3552488627701942,0.27202499299580685,0.17069282860816495,0.10247084764910723,0.08530188580582092,0.08246732324011383,0.11000713679597936,0.0983888760245956,0.09339128918411445,0.08792350879915158,0.08416151703542525,0.08374094384193376,0.09456604646791844,0.09493187259019552,0.09456604646791844,0.08781383278041385,0.08454823015593013,0.08389614492013696,0.10074616392139374,0.09606010050533084,0.0960601005053306,0.08844991970616806,0.08487003915148524,0.08414995629188242,0.08525454298899253,0.08337270706880825,0.08673838501612503,0.0858570704524948,0.08347730060446794,0.08337270706880855,0.08886070582811874,0.08173353153104757,0.08133358379225437,0.08201088769510939,0.0811639357527386,0.0820108876951094
err_c_g,0.1059668977950148,0.08114211655935183,0.050915826675465375,0.030565946798894357,0.02544463096776969,0.024599111577921107,0.03281394043229518,0.029348338763322438,0.027857612600774368,0.02622663278369398,0.025104471283657444,0.024979018843746707,0.028208030006916313,0.02831715198694967,0.028208030006916313,0.026193917612201193,0.02521982362960722,0.025025313648643164,0.03005149227572375,0.028653690185102793,0.028653690185102724,0.02638365547012009,0.02531581577628318,0.025101022838756353,0.025430509116983,0.024869177792608988,0.02587312316282954,0.02561023654987541,0.02490037691430875,0.024869177792609075,0.026506188532325885,0.024380229438704368,0.02426092934910081,0.024462961785996832,0.024210325171724115,0.024462961785996835
