,name_x,logP,plx_x,IRSB_x,EBV_x,M_B_g,M_B_i,M_V_g,M_V_i,M_I_g,M_I_i,M_J_g,M_J_i,M_H_g,M_H_i,M_K_g,M_K_i,name_y,plx_y,IRSB_y,EBV_y,M_B0_g,M_V0_g,M_I0_g,M_J0_g,M_H0_g,M_K0_g,M_B0_i,M_V0_i,M_I0_i,M_J0_i,M_H0_i,M_K0_i,name,BBV_g,BBV_i,VBV_g,VBV_i,IBV_g,IBV_i,JBV_g,JBV_i,HBV_g,HBV_i,KBV_g,KBV_i,BBI_g,BBI_i,VBI_g,VBI_i,IBI_g,IBI_i,JBI_g,JBI_i,HBI_g,HBI_i,KBI_g,KBI_i,BBJ_g,BBJ_i,VBJ_g,VBJ_i,IBJ_g,IBJ_i,JBJ_g,JBJ_i,HBJ_g,HBJ_i,KBJ_g,KBJ_i,BBH_g,BBH_i,VBH_g,VBH_i,IBH_g,IBH_i,JBH_g,JBH_i,HBH_g,HBH_i,KBH_g,KBH_i,BBK_g,BBK_i,VBK_g,VBK_i,IBK_g,IBK_i,JBK_g,JBK_i,HBK_g,HBK_i,KBK_g,KBK_i,BVI_g,BVI_i,VVI_g,VVI_i,IVI_g,IVI_i,JVI_g,JVI_i,HVI_g,HVI_i,KVI_g,KVI_i,BVJ_g,BVJ_i,VVJ_g,VVJ_i,IVJ_g,IVJ_i,JVJ_g,JVJ_i,HVJ_g,HVJ_i,KVJ_g,KVJ_i,BVH_g,BVH_i,VVH_g,VVH_i,IVH_g,IVH_i,JVH_g,JVH_i,HVH_g,HVH_i,KVH_g,KVH_i,BVK_g,BVK_i,VVK_g,VVK_i,IVK_g,IVK_i,JVK_g,JVK_i,HVK_g,HVK_i,KVK_g,KVK_i,BIJ_g,BIJ_i,VIJ_g,VIJ_i,IIJ_g,IIJ_i,JIJ_g,JIJ_i,HIJ_g,HIJ_i,KIJ_g,KIJ_i,BIH_g,BIH_i,VIH_g,VIH_i,IIH_g,IIH_i,JIH_g,JIH_i,HIH_g,HIH_i,KIH_g,KIH_i,BIK_g,BIK_i,VIK_g,VIK_i,IIK_g,IIK_i,JIK_g,JIK_i,HIK_g,HIK_i,KIK_g,KIK_i,BJH_g,BJH_i,VJH_g,VJH_i,IJH_g,IJH_i,JJH_g,JJH_i,HJH_g,HJH_i,KJH_g,KJH_i,BJK_g,BJK_i,VJK_g,VJK_i,IJK_g,IJK_i,JJK_g,JJK_i,HJK_g,HJK_i,KJK_g,KJK_i,BHK_g,BHK_i,VHK_g,VHK_i,IHK_g,IHK_i,JHK_g,JHK_i,HHK_g,HHK_i,KHK_g,KHK_i
0,EVSct,0.490098,11.225259479873284,11.401,0.655,0.0647405201267155,-0.11100000000000065,-1.0812594798732835,-1.2569999999999997,-2.6022594798732843,-2.7780000000000005,-3.561259479873284,-3.737,-4.054259479873283,-4.2299999999999995,-4.197259479873284,-4.373,EVSct,11.225259479873284,11.401,0.655,-2.706760979873285,-3.1969094798732836,-3.888574679873284,-4.1790292798732835,-4.437192129873283,-4.449021829873284,-2.882501500000001,-3.3726499999999997,-4.0643152,-4.3547698,-4.612932649999999,-4.62476235,EVSct,-4.7780336734216675,-4.953774193548384,-4.7780336734216675,-4.953774193548384,-4.849898189550702,-5.025638709677418,-4.640717544389412,-4.816458064516128,-4.723375608905541,-4.899116129032257,-4.637175608905542,-4.812916129032258,-4.912139821753627,-5.087880341880343,-4.880404779018583,-5.0561452991452995,-4.912139821753627,-5.087880341880343,-4.670609907223711,-4.846350427350427,-4.741904779018583,-4.917645299145299,-4.649357770471575,-4.825098290598291,-4.601330206788804,-4.77707072691552,-4.6431455309538325,-4.818886051080549,-4.767886198930258,-4.943626719056974,-4.601330206788804,-4.77707072691552,-4.698960855118862,-4.874701375245579,-4.621123919951869,-4.796864440078585,-4.714612889970715,-4.890353410097431,-4.729620861627046,-4.905361381753762,-4.820463199979573,-4.996203720106289,-4.6265810033453825,-4.802321523472099,-4.714612889970715,-4.890353410097431,-4.631414484301982,-4.807155004428698,-4.623101629327524,-4.798842149454241,-4.659764937471939,-4.835505457598655,-4.777990798093267,-4.953731318219983,-4.606183073492091,-4.781923593618807,-4.70196896769864,-4.877709487825356,-4.623101629327524,-4.798842149454241,-5.018193153342675,-5.193933673469391,-4.9613615206896124,-5.137102040816329,-4.9613615206896124,-5.137102040816329,-4.694249275791652,-4.869989795918368,-4.756557949261039,-4.932298469387755,-4.6589916227304276,-4.834732142857144,-4.523960044845037,-4.699700564971753,-4.584084338630346,-4.759824858757062,-4.731976993997579,-4.907717514124295,-4.584084338630346,-4.759824858757062,-4.688270779308311,-4.8640112994350275,-4.614095638065375,-4.789836158192091,-4.6906074652212695,-4.866347985347986,-4.711296109909913,-4.887036630036629,-4.809321750935555,-4.985062271062271,-4.62123017584398,-4.796970695970696,-4.711296109909913,-4.887036630036629,-4.629233838847643,-4.804974358974359,-4.568585246048087,-4.7443257661748035,-4.6181493777166445,-4.793889897843361,-4.752688537762047,-4.9284290578887635,-4.594031330043546,-4.769771850170262,-4.694436551382932,-4.870177071509648,-4.618149377716644,-4.79388989784336,-3.910860745696068,-4.086601265822784,-4.116069606455561,-4.291810126582277,-4.447424036835309,-4.623164556962025,-4.447424036835309,-4.623164556962025,-4.603560112784676,-4.779300632911392,-4.558401884936575,-4.734142405063291,-4.389873063011454,-4.565613583138171,-4.4817278639482225,-4.657468384074939,-4.669744257390848,-4.845484777517564,-4.554196248023166,-4.729936768149882,-4.669744257390847,-4.845484777517563,-4.601915217578202,-4.777655737704918,-4.208163365353856,-4.3839038854805725,-4.343018171079827,-4.518758691206543,-4.585408764126862,-4.7611492842535785,-4.513693017705594,-4.68943353783231,-4.644637802981667,-4.820378323108383,-4.585408764126862,-4.7611492842535785,-5.753547768161567,-5.929288288288284,-5.522700921314721,-5.698441441441437,-5.302655876269679,-5.478396396396395,-4.8581603807741836,-5.0339009009009,-4.8581603807741836,-5.0339009009009,-4.725791011404815,-4.901531531531531,-4.75121323709872,-4.926953757225436,-4.757560057907967,-4.933300578034683,-4.837450231318372,-5.013190751445088,-4.634739248659411,-4.810479768786127,-4.719669884497561,-4.895410404624277,-4.634739248659411,-4.810479768786127,-2.9567110927765246,-3.1324516129032407,-3.38771109277652,-3.5634516129032363,-4.004582060518453,-4.180322580645169,-4.234743350841029,-4.410483870967745,-4.471727221808769,-4.647467741935485,-4.471727221808769,-4.647467741935485
1,SZTau,0.498166,8.917825582806314,8.814,0.295,-1.5528255828063138,-1.4489999999999998,-2.391825582806314,-2.2880000000000003,-3.4008255828063136,-3.2969999999999997,-4.090825582806314,-3.987,-4.503825582806314,-4.4,-4.603825582806314,-4.5,SZTau,8.917825582806314,8.814,0.295,-2.8010590828063138,-3.344675582806314,-3.9801583828063136,-4.369057782806314,-4.676291432806314,-4.717214732806314,-2.6972335,-3.24085,-3.8763327999999997,-4.2652322,-4.57246585,-4.61338915,SZTau,-5.0982771957095405,-4.994451612903227,-5.0982771957095405,-4.994451612903227,-5.0463481634514755,-4.942522580645162,-4.881109453774056,-4.777283870967742,-4.993693324741798,-4.889867741935484,-4.925893324741798,-4.822067741935484,-5.001372591353322,-4.897547008547008,-5.024304215284946,-4.920478632478632,-5.001372591353322,-4.897547008547008,-4.859509343490075,-4.755683760683761,-4.980304215284947,-4.876478632478633,-4.917090540071271,-4.813264957264957,-4.818817724260144,-4.7149921414538305,-4.884949354908475,-4.781123772102161,-4.916644836244427,-4.812819253438113,-4.818817724260145,-4.714992141453831,-4.955080985556806,-4.851255402750492,-4.9005073116864715,-4.7966817288801575,-4.9769265571198655,-4.873100974313552,-5.005643120450246,-4.901817537643932,-4.990026645693825,-4.886201062887511,-4.8540603037983425,-4.750234720992029,-4.9769265571198655,-4.873100974313552,-4.914869869785942,-4.811044286979628,-4.90866941152168,-4.804843828715366,-4.953538429153921,-4.849712846347607,-4.958346993385659,-4.854521410579345,-4.838845733939815,-4.735020151133501,-4.967495607995231,-4.863670025188917,-4.90866941152168,-4.804843828715366,-4.924738848112435,-4.820913265306121,-4.965805174643048,-4.861979591836734,-4.965805174643048,-4.861979591836734,-4.8424276236226405,-4.7386020408163265,-4.9697158889287625,-4.8658903061224485,-4.910129154234885,-4.806303571428571,-4.696455526309139,-4.592629943502825,-4.791543096930607,-4.6877175141242935,-4.859853831393885,-4.756028248587571,-4.791543096930607,-4.6877175141242935,-4.938174452862811,-4.834348870056497,-4.889391966987104,-4.7855663841807905,-4.930994080974813,-4.827168498168499,-4.970580161560893,-4.866754578754579,-4.968708366689098,-4.864882783882784,-4.843821919802651,-4.739996336996337,-4.970580161560893,-4.866754578754579,-4.910697377678109,-4.806871794871795,-4.841951575995871,-4.738125993189557,-4.902608783714372,-4.798783200908058,-4.927381768958414,-4.8235561861521,-4.823974277471467,-4.720148694665153,-4.958277342170673,-4.854451759364359,-4.902608783714373,-4.798783200908059,-4.413268620780999,-4.309443037974685,-4.575369886603784,-4.4715443037974705,-4.728420519515176,-4.624594936708862,-4.728420519515175,-4.624594936708861,-4.8990471017936565,-4.795221518987343,-4.863667354958213,-4.759841772151899,-4.936736589832076,-4.832911007025762,-4.974963756108423,-4.871138173302109,-4.971373592173996,-4.867548009367682,-4.8451019294105295,-4.741276346604216,-4.971373592173996,-4.867548009367682,-4.911219025429265,-4.807393442622951,-4.775586319002633,-4.671760736196319,-4.851948282192817,-4.748122699386503,-4.896580184033308,-4.792754601226994,-4.809181411027173,-4.705355828220859,-4.949107791395271,-4.845282208588957,-4.896580184033308,-4.792754601226994,-6.426969726950462,-6.323144144144148,-6.112546303527038,-6.008720720720724,-5.663023781004513,-5.5591981981981995,-5.177276033256765,-5.073450450450451,-5.177276033256765,-5.073450450450451,-5.04659134857208,-4.942765765765766,-5.437392056794753,-5.333566473988439,-5.357143501881459,-5.253317919075145,-5.2037388776040014,-5.0999132947976875,-4.956698415176256,-4.852872832369942,-5.040548126158916,-4.936722543352602,-4.956698415176256,-4.852872832369942,-3.6657288086127577,-3.561903225806444,-4.00472880861276,-3.900903225806446,-4.3814707440966325,-4.277645161290319,-4.561793324741796,-4.457967741935482,-4.795761066677281,-4.691935483870967,-4.795761066677281,-4.691935483870967
2,SSSct,0.564814,10.073996745630629,10.447,0.325,-0.9089967456306294,-1.282,-1.8559967456306286,-2.228999999999999,-2.9789967456306288,-3.3519999999999994,-3.6929967456306283,-4.065999999999999,-4.136996745630628,-4.509999999999999,-4.228996745630629,-4.601999999999999,SSSct,10.073996745630629,10.447,0.325,-2.2841692456306295,-2.9057467456306285,-3.6172447456306287,-3.9995237456306283,-4.327001495630628,-4.3539169956306285,-2.6571725,-3.278749999999999,-3.9902479999999994,-4.372526999999999,-4.700004749999999,-4.726920249999999,SSSct,-4.910835455308045,-5.283838709677416,-4.910835455308045,-5.283838709677416,-4.836338681114498,-5.209341935483868,-4.585009648856434,-4.9580129032258045,-4.6899225520822405,-5.062925806451611,-4.592522552082241,-4.965525806451612,-4.771817258451142,-5.1448205128205124,-4.8047146943485775,-5.177717948717948,-4.771817258451142,-5.1448205128205124,-4.5540223866562695,-4.92702564102564,-4.670714694348577,-5.043717948717948,-4.579894181528065,-4.952897435897436,-4.49155077313554,-4.86455402750491,-4.59077081242827,-4.96377406679764,-4.641739378243594,-5.014742632612965,-4.49155077313554,-4.86455402750491,-4.631990851721001,-5.004994106090372,-4.554434859579548,-4.927438113948918,-4.654506045896349,-5.02750930026572,-4.715164150413621,-5.0881674047829915,-4.717370527738688,-5.090373782108059,-4.527873627827262,-4.900876882196632,-4.654506045896349,-5.02750930026572,-4.569237666799805,-4.942240921169176,-4.560717988283862,-4.933721242653233,-4.6435702133048515,-5.016573467674222,-4.673841413976556,-5.046844668345926,-4.506968198191501,-4.879971452560872,-4.641547543279662,-5.014550797649033,-4.560717988283861,-4.933721242653232,-4.6618793986918545,-5.034882653061225,-4.720792663997976,-5.093795918367347,-4.720792663997976,-5.093795918367347,-4.529517153793893,-4.902520408163264,-4.6555248068551185,-5.028528061224489,-4.569907459916343,-4.942910714285714,-4.3079656721843005,-4.680968926553671,-4.45062951399221,-4.8236327683615805,-4.55653346879447,-4.9295367231638405,-4.45062951399221,-4.8236327683615805,-4.606625276704074,-4.979628531073445,-4.537758045065657,-4.910761299435028,-4.5574827041165875,-4.930485958485958,-4.6411005307344135,-5.014103785103784,-4.67233984697373,-5.045343101343101,-4.506247050880933,-4.879250305250304,-4.6411005307344135,-5.014103785103784,-4.560424096057979,-4.933427350427349,-4.437521149716895,-4.810524404086266,-4.549526825085794,-4.922530079455164,-4.6166630339393695,-4.98966628830874,-4.479507528831537,-4.852510783200907,-4.624525690012013,-4.997528944381384,-4.549526825085794,-4.922530079455164,-3.868933454491387,-4.241936708860758,-4.115490416516703,-4.488493670886074,-4.352768897529362,-4.725772151898733,-4.352768897529362,-4.725772151898733,-4.545965100061007,-4.918968354430378,-4.497876492466071,-4.870879746835442,-4.461643115654047,-4.8346463700234175,-4.567940539541635,-4.940943793911005,-4.62785857232852,-5.000861826697891,-4.484884333452642,-4.857887587822012,-4.62785857232852,-5.000861826697891,-4.551718057106038,-4.924721311475409,-4.2576675022768455,-4.630670756646216,-4.412233964444534,-4.785237218813904,-4.533188974669484,-4.906192229038854,-4.439418013524289,-4.81242126789366,-4.5996756822359455,-4.972678936605316,-4.533188974669484,-4.906192229038854,-6.1489967456306305,-6.522000000000001,-5.855996745630629,-6.229,-5.410996745630629,-5.784,-4.8609967456306284,-5.233999999999999,-4.8609967456306284,-5.233999999999999,-4.704996745630629,-5.077999999999999,-4.967725069330056,-5.340728323699427,-4.954262641584389,-5.32726589595376,-4.862742410370515,-5.235745664739886,-4.597690387249126,-4.970693641618497,-4.697782872798259,-5.070786127167629,-4.597690387249126,-4.970693641618497,-2.852867713372576,-3.2258709677419466,-3.3398677133725725,-3.712870967741943,-3.881190294017731,-4.254193548387102,-4.126287068211276,-4.499290322580647,-4.40557739079192,-4.77858064516129,-4.40557739079192,-4.77858064516129
3,QZNor,0.578244,11.425521266544438,10.811,0.263,-1.6695212665444377,-1.0549999999999997,-2.556521266544438,-1.9420000000000002,-3.5605212665444377,-2.9459999999999997,-4.289521266544438,-3.675,-4.692521266544438,-4.078,-4.806521266544438,-4.192,QZNor,11.425521266544438,10.811,0.263,-2.7823531665444374,-3.4060112665444384,-4.077011186544437,-4.5375723465444375,-4.846278956544438,-4.907610576544438,-2.1678318999999995,-2.7914900000000005,-3.46248992,-3.9230510799999996,-4.23175769,-4.29308931,QZNor,-5.417811589125085,-4.803290322580647,-5.417811589125085,-4.803290322580647,-5.300185782673471,-4.685664516129033,-5.125018040737986,-4.510496774193548,-5.210414814931536,-4.595893548387098,-5.147014814931535,-4.532493548387097,-5.198310440333612,-4.583789173789174,-5.250253460276632,-4.635732193732194,-5.198310440333612,-4.583789173789174,-5.0760910671142385,-4.461569800569801,-5.1800867936099655,-4.5655655270655275,-5.127075397598569,-4.512554131054131,-5.041034036681962,-4.426512770137524,-5.1301951368784255,-4.515673870333988,-5.125314979707502,-4.510793713163064,-5.041034036681962,-4.426512770137524,-5.15835623707489,-4.543834970530452,-5.112788457114183,-4.498267190569745,-5.177165199228229,-4.562643932683791,-5.234112054852676,-4.619590788308238,-5.188496465835846,-4.573975199291408,-5.0713777767304435,-4.456856510186006,-5.177165199228229,-4.562643932683791,-5.125154570353119,-4.510633303808681,-5.119957874436966,-4.505436607892528,-5.190442341271559,-4.575921074727121,-5.161945279978527,-4.547424013434089,-5.058626220364757,-4.444104953820319,-5.169260981070047,-4.554739714525609,-5.119957874436966,-4.505436607892528,-5.024725348177089,-4.410204081632651,-5.117745756340355,-4.503224489795917,-5.117745756340355,-4.503224489795917,-5.037398817564846,-4.422877551020408,-5.156102899197499,-4.541581632653061,-5.111306980830152,-4.496785714285714,-4.876060814567036,-4.261539548022598,-5.004261379538788,-4.38974011299435,-5.048747255245003,-4.434225988700565,-5.004261379538788,-4.38974011299435,-5.135562226996416,-4.521040960451978,-5.097802339990766,-4.483281073446328,-5.086078043101215,-4.471556776556777,-5.164579874603047,-4.550058608058609,-5.146220900244072,-4.531699633699634,-5.0510743800975515,-4.4365531135531135,-5.164579874603047,-4.550058608058609,-5.116880240903413,-4.502358974358975,-5.015151232492224,-4.400629965947786,-5.110437271084733,-4.495916004540295,-5.113302197304938,-4.4987809307605,-5.035264739870204,-4.420743473325766,-5.154780063366232,-4.540258796821794,-5.1104372710847334,-4.4959160045402955,-4.691641519708995,-4.077120253164557,-4.863483291860894,-4.248962025316456,-4.963154177936843,-4.348632911392405,-4.963154177936842,-4.3486329113924045,-5.110081393126717,-4.495560126582279,-5.081049747557096,-4.466528481012658,-5.14240182860533,-4.527880562060892,-5.2075751307130576,-4.59305386416862,-5.172362015958958,-4.55784074941452,-5.063628994881674,-4.4491077283372364,-5.172362015958958,-4.55784074941452,-5.121996676380504,-4.507475409836066,-5.0074762767693874,-4.3929550102249495,-5.104578526258139,-4.490057259713701,-5.1097400804503685,-4.495218813905931,-5.033553986380839,-4.419032719836401,-5.153719630552619,-4.539198364008181,-5.1097400804503685,-4.495218813905931,-6.42564739267057,-5.811126126126132,-6.187151897175074,-5.572630630630636,-5.767944689967864,-5.153423423423426,-5.3496654106885835,-4.7351441441441455,-5.3496654106885835,-4.7351441441441455,-5.238566311589484,-4.624045045045046,-5.584376757873921,-4.969855491329483,-5.544960572902822,-4.930439306358384,-5.377492364810335,-4.762971098265897,-5.162145544001086,-4.547624277456648,-5.233428780995306,-4.618907514450868,-5.162145544001086,-4.547624277456648,-4.07823094396379,-3.4637096774193523,-4.395230943963791,-3.7807096774193534,-4.678456750415404,-4.063935483870966,-4.826424492350888,-4.21190322580645,-5.0253277181573415,-4.4108064516129035,-5.0253277181573415,-4.4108064516129035
4,ADGem,0.578408,11.946294357261664,12.514,0.173,-1.3992943572616632,-1.9669999999999987,-2.0912943572616634,-2.658999999999999,-2.907294357261664,-3.4749999999999996,-3.4192943572616645,-3.987,-3.7992943572616635,-4.366999999999999,-3.869294357261664,-4.436999999999999,ADGem,11.946294357261664,12.514,0.173,-2.131309257261663,-2.6500843572616635,-3.247038677261664,-3.5824610372616643,-3.9004353472616637,-3.9357903672616636,-2.6990148999999986,-3.217789999999999,-3.8147443199999995,-4.15016668,-4.468140989999999,-4.503496009999999,ADGem,-4.3235524217777925,-4.891258064516128,-4.3235524217777925,-4.891258064516128,-4.264507260487471,-4.832212903225806,-4.071113712100375,-4.63881935483871,-4.203333066939083,-4.771038709677419,-4.134933066939083,-4.7026387096774185,-4.21336843133574,-4.781074074074075,-4.239442505409813,-4.807148148148149,-4.21336843133574,-4.781074074074075,-4.046553616520924,-4.61425925925926,-4.188109172076478,-4.755814814814814,-4.124923986891294,-4.6926296296296295,-3.998704966298993,-4.566410609037328,-4.075577264923747,-4.6432829076620825,-4.113738365120211,-4.681444007858547,-3.998704966298993,-4.566410609037328,-4.1584495635485,-4.726155206286836,-4.105424023273452,-4.673129666011787,-4.184059636269636,-4.751765279007971,-4.217069379405153,-4.784775022143489,-4.199765570724906,-4.767471213463241,-4.040020663727564,-4.607726306465899,-4.184059636269636,-4.751765279007971,-4.122261584896739,-4.689967227635075,-4.116086968512714,-4.683792611251049,-4.1651818467662824,-4.732887489504618,-4.1682179508804715,-4.735923593618807,-4.024869504197013,-4.592575146935348,-4.174667992861999,-4.742373635600335,-4.116086968512714,-4.683792611251049,-4.126233132771869,-4.693938775510205,-4.17292701032289,-4.740632653061225,-4.17292701032289,-4.740632653061225,-4.0271310919555425,-4.594836734693878,-4.1760698674657455,-4.743775510204081,-4.11700864297595,-4.684714285714286,-3.8564694985046035,-4.424175141242939,-3.9670005719509307,-4.534706214689266,-4.047723735792738,-4.615429378531074,-3.9670005719509307,-4.534706214689266,-4.13879718212042,-4.706502824858756,-4.092503396809686,-4.660209039548022,-4.131260169227476,-4.698965811965811,-4.176764442731749,-4.744470085470085,-4.175260169227476,-4.742965811965812,-4.02825162221893,-4.595957264957265,-4.176764442731749,-4.744470085470085,-4.117465297432604,-4.68517094017094,-4.043085503686182,-4.610791146424518,-4.109455537738395,-4.67716118047673,-4.134336354991517,-4.702041997729853,-4.00859742196087,-4.576303064699205,-4.164581530927952,-4.732287173666288,-4.109455537738395,-4.67716118047673,-3.521826002831286,-4.089531645569622,-3.711547521818627,-4.2792531645569625,-3.8924082813122975,-4.460113924050633,-3.8924082813122975,-4.460113924050633,-4.0925601800464735,-4.660265822784809,-4.062104483843942,-4.629810126582278,-4.135875153514589,-4.703580796252925,-4.180287331500538,-4.747992974238874,-4.177402085598899,-4.745107728337235,-4.029280305739416,-4.5969859484777515,-4.177402085598899,-4.745107728337235,-4.11788452119609,-4.6855901639344255,-3.9764313715765907,-4.544137014314926,-4.058574520860844,-4.62628016359918,-4.103400696729967,-4.671106339468302,-3.9937401650326256,-4.561445807770961,-4.155372066873115,-4.7230777096114505,-4.103400696729967,-4.671106339468302,-5.883979041946337,-6.451684684684673,-5.5147177806850785,-6.082423423423414,-4.9887357987031,-5.556441441441436,-4.418933996901302,-4.9866396396396375,-4.418933996901302,-4.9866396396396375,-4.27668174464905,-4.8443873873873855,-4.806808808128711,-5.374514450867046,-4.692450426625822,-5.260156069364157,-4.488797247435072,-5.056502890173408,-4.178831929515999,-4.746537572254335,-4.270103605816576,-4.837809248554912,-4.178831929515999,-4.746537572254335,-2.878326615326186,-3.4460322580645215,-3.2203266153261847,-3.7880322580645203,-3.5937459701648926,-4.161451612903228,-3.7489717766165054,-4.316677419354841,-4.003649195971342,-4.571354838709677,-4.003649195971342,-4.571354838709677
5,YAur,0.586529,11.204778834597668,11.682,0.375,-0.692778834597668,-1.17,-1.5907788345976677,-2.0679999999999996,-2.6337788345976687,-3.1110000000000007,-3.461778834597668,-3.939,-3.9207788345976686,-4.398000000000001,-4.037778834597669,-4.515000000000001,YAur,11.204778834597668,11.682,0.375,-2.279516334597668,-2.8020288345976674,-3.3702188345976687,-3.815463834597668,-4.140015084597668,-4.181917584597668,-2.7567375,-3.2792499999999993,-3.8474400000000006,-4.292685,-4.61723625,-4.65913875,YAur,-4.487553028146054,-4.964774193548386,-4.487553028146054,-4.964774193548386,-4.395017544275087,-4.872238709677419,-4.307636899113796,-4.784858064516128,-4.445094963629926,-4.922316129032258,-4.382494963629926,-4.859716129032258,-4.314872851691687,-4.792094017094019,-4.3557360995549335,-4.832957264957265,-4.314872851691686,-4.792094017094018,-4.26914635596519,-4.746367521367522,-4.421236099554934,-4.8984572649572655,-4.366808749127583,-4.844029914529915,-4.256030308075074,-4.733251473477406,-4.310818127328512,-4.788039292730844,-4.287562724578022,-4.764783889980354,-4.256030308075075,-4.733251473477407,-4.413105946581951,-4.890327111984283,-4.361463510432639,-4.838684675834971,-4.43828813486339,-4.915509300265722,-4.449946239380662,-4.927167404782994,-4.372152616705729,-4.849373782108061,-4.2966557167943025,-4.773876882196634,-4.438288134863391,-4.915509300265723,-4.378019755766845,-4.855240921169177,-4.371997978174495,-4.849219143576827,-4.399343066335703,-4.876564231738035,-4.341385887494394,-4.818607052896726,-4.2818795902651745,-4.7591007556675065,-4.429128960542253,-4.906350125944585,-4.371997978174495,-4.849219143576827,-4.178314548883385,-4.655535714285717,-4.251493120311956,-4.728714285714288,-4.251493120311956,-4.728714285714288,-4.23870740602624,-4.715928571428572,-4.402368120311955,-4.879589285714287,-4.354403834597669,-4.831625000000001,-4.154657365671115,-4.631878531073447,-4.233434201829306,-4.710655367231638,-4.2405132978745055,-4.717734463276837,-4.233434201829306,-4.710655367231638,-4.399099456066595,-4.876320621468927,-4.352254823298233,-4.829475988700565,-4.419640861459697,-4.896862026862029,-4.435711679530514,-4.912932844932846,-4.363498004316839,-4.840719169719171,-4.292499225318059,-4.769720390720391,-4.435711679530514,-4.912932844932846,-4.376325843144677,-4.853547008547009,-4.331337290897329,-4.808558456299661,-4.368304373757714,-4.845525539160046,-4.322514362406977,-4.799735527809309,-4.2728162920324015,-4.7500374574347335,-4.423510957185637,-4.900732122587969,-4.368304373757714,-4.845525539160046,-4.125310480167286,-4.602531645569618,-4.211031999154628,-4.68825316455696,-4.226892758648301,-4.704113924050633,-4.2268927586483,-4.704113924050632,-4.395044657382479,-4.872265822784811,-4.349588961179947,-4.826810126582279,-4.641186328742867,-5.118407494145199,-4.604830356845911,-5.082051522248243,-4.466322160124601,-4.9435433255269325,-4.341881879094155,-4.819103044496487,-4.466322160124601,-4.9435433255269325,-4.39645096574521,-4.873672131147542,-4.454005828462698,-4.93122699386503,-4.461944478769446,-4.939165644171778,-4.37944754625411,-4.856668711656442,-4.300159202695827,-4.777380368098159,-4.44045981619276,-4.917680981595092,-4.37944754625411,-4.856668711656442,-6.109805861624703,-6.587027027027035,-5.725913969732808,-6.20313513513514,-5.147940996759834,-5.625162162162166,-4.669238294057129,-5.146459459459461,-4.669238294057129,-5.146459459459461,-4.529859915678751,-5.007081081081083,-5.0543973317074995,-5.5316184971098314,-4.9202586033837985,-5.3974797687861304,-4.658102534019637,-5.135323699421969,-4.433986927083218,-4.91120809248555,-4.5234146727479585,-5.0006358381502904,-4.433986927083218,-4.91120809248555,-3.164875608791217,-3.642096774193549,-3.4778756087912157,-3.9550967741935477,-3.7811336733073464,-4.258354838709678,-4.012811092662184,-4.490032258064516,-4.262343350726701,-4.7395645161290325,-4.262343350726701,-4.7395645161290325
