,name,mg,cg,err_mg,err_cg,mi,ci,err_mi,err_ci
0,B,-1.3295472028337674,-1.1021191696512562,0.3569440052969245,0.10453888238542958,-1.3006359862117967,-1.1401150243212583,0.3727420329846709,0.10916568136191686
1,V,-1.8682435072717405,-2.3285313435911243,0.27363652750450035,0.08014045996193342,-1.83933229064977,-2.3665271982611267,0.2928122803452961,0.0857564998481012
2,I,-2.3448085757322805,-3.743153757698343,0.17077160756584134,0.0500142115658891,-2.315897359110311,-3.7811496123683455,0.2025205831683866,0.05931259556203279
3,J,-2.709328464397264,-4.734688967158513,0.10125863553262007,0.02965581276998366,-2.6804172477752934,-4.772684821828514,0.15373719296416552,0.04502530955850589
4,H,-2.8923994010639205,-5.294018825123279,0.08380662197746626,0.02454460774802649,-2.8634881844419517,-5.332014679793281,0.14462582406433552,0.0423568452961708
5,K,-2.9730183094478053,-5.448870028937551,0.08125001541513778,0.023795849430870417,-2.9441070928258366,-5.486865883607553,0.1437123324503047,0.042089309237343296
6,B0,-1.9158991553577553,-3.2099384000766307,0.10792622041826183,0.03160856127342233,-1.8869879387357849,-3.2479342547466326,0.16587865636234594,0.048581203467169654
7,V0,-2.3158404175953953,-3.9375536568929363,0.09996185250354571,0.029276021411831964,-2.2869292009734252,-3.975549511562938,0.1554589228518936,0.045529555926456404
8,I0,-2.6169474972090634,-4.721439324185845,0.09461469652601574,0.027709989480950933,-2.5880362805870933,-4.759435178855847,0.15105596007901076,0.04424005168872887
9,J0,-2.84002676221177,-5.2045234826426405,0.08837025920992526,0.02588116902602566,-2.8111155455898,-5.242519337312642,0.14885737631974408,0.04359614820354971
10,H0,-2.973414441832503,-5.585251863830907,0.084133910411494,0.024640461345798715,-2.9445032252105334,-5.62324771850091,0.14687154603568603,0.04301455424084994
11,K0,-3.026282341776321,-5.640343684220468,0.08357264078111279,0.0244760812217282,-2.997371125154351,-5.67833953889047,0.14639093362062536,0.04287379635169808
12,BBV,-3.605973521587782,-6.284699646622958,0.12910065561574527,0.03780995913370093,-3.5770623049658123,-6.32269550129296,0.1593180143038676,0.04665977551671661
13,VBV,-3.605973521587782,-6.284699646622958,0.1291006556157453,0.037809959133700936,-3.5770623049658123,-6.32269550129296,0.15931801430386777,0.046659775516716656
14,IBV,-3.401348424436435,-6.148504085941698,0.11101315512942289,0.0325126378230008,-3.3724372078144658,-6.186499940611698,0.15122926784046728,0.044290808668598344
15,JBV,-3.216745628577548,-5.889890111643807,0.09444598749340133,0.027660579339707163,-3.1878344119555755,-5.927885966313808,0.14722426043000927,0.04311785438887493
16,HBV,-3.206928533655126,-6.010085287972041,0.08810820267128941,0.025804420019839108,-3.178017317033155,-6.048081142642043,0.14583400802538532,0.04271068847361563
17,KBV,-3.179808181151416,-5.919654056998338,0.08584196421157295,0.025140702371462965,-3.1508969645294442,-5.957649911668343,0.14548209275641258,0.042607622366980284
18,BBI,-3.2241232690688846,-6.030545537659354,0.10062282530187497,0.02946960179586736,-3.195212052446916,-6.0685413923293545,0.14918864395356768,0.043693167197275576
19,VBI,-3.314484779206945,-6.0906888764217335,0.10518985306692347,0.030807156065714932,-3.285573562584975,-6.128684731091737,0.14962817001679996,0.04382189204696551
20,IBI,-3.2241232690688846,-6.030545537659354,0.10062282530187497,0.02946960179586736,-3.195212052446917,-6.068541392329355,0.14918864395356707,0.043693167197275395
21,JBI,-3.1316309158023414,-5.833238966745051,0.09058829388781048,0.02653076913942542,-3.102719699180373,-5.871234821415054,0.1473867020038992,0.04316542896733929
22,HBI,-3.154169071284194,-5.97496933856562,0.08597066486676837,0.025178395181698593,-3.125257854662224,-6.0129651932356225,0.14617655157799572,0.042811009867522884
23,KBI,-3.1451210208080953,-5.896566775344394,0.08465673601716613,0.024793582293870062,-3.1162098041861253,-5.934562630014397,0.14585390996903136,0.04271651719440987
24,BBJ,-3.1051006926649842,-5.77664415465568,0.08876194429675041,0.025995882596266683,-3.0761894760430164,-5.814640009325684,0.1476223315030076,0.043234438235258896
25,VBJ,-3.2236278506543496,-5.896871026800608,0.09487603584433991,0.027786528433435237,-3.1947166340323774,-5.93486688147061,0.14725818081455622,0.04312778871761557
26,IBJ,-3.1688822565089074,-5.912704285089709,0.09398833373180555,0.02752654539587636,-3.1399710398869374,-5.950700139759712,0.14762411501559558,0.04323496057604597
27,JBJ,-3.1051006926649856,-5.776644154655682,0.08876194429674948,0.025995882596266413,-3.0761894760430164,-5.814640009325684,0.1476223315030076,0.043234438235258896
