,name,logP,EBV,r_B_g,r_V_g,r_I_g,r_J_g,r_H_g,r_K_g,r_B0_g,r_V0_g,r_I0_g,r_J0_g,r_H0_g,r_K0_g,r_BBI_g,r_VBI_g,r_IBI_g,r_JBI_g,r_HBI_g,r_KBI_g,r_BVI_g,r_VVI_g,r_IVI_g,r_JVI_g,r_HVI_g,r_KVI_g,r_BVK_g,r_VVK_g,r_IVK_g,r_JVK_g,r_HVK_g,r_KVK_g,r_BJK_g,r_VJK_g,r_IJK_g,r_JJK_g,r_HJK_g,r_KJK_g
0,V0465Mon,0.433514,0.244,-1.547738401026752,-1.2258995553506338,-0.9902470208749614,-0.8504960364316059,-0.7966684372730661,-0.7603586836762952,-0.8344623002894704,-0.6814139822687393,-0.6591997924411692,-0.6915062490916934,-0.6981165485452445,-0.6955649004795483,-0.5074054836494781,-0.43175229017714045,-0.5074054836494764,-0.6186050350009458,-0.6529277822766639,-0.6658551591206496,-0.7602261046922321,-0.6247451306677956,-0.6247451306677956,-0.6749589444242172,-0.6878594864054719,-0.6888213071390368,-0.8555039607391421,-0.697476318489862,-0.6689656928636101,-0.6961964512682606,-0.701023831401268,-0.697476318489862,-0.865195440856473,-0.704874394915306,-0.6734637233302836,-0.6983566895844895,-0.7023628832342723,-0.6983566895844895
1,EVSct,0.490098,0.655,0.5580238220745224,0.3581829776620833,-0.0013065722653911038,-0.16041102435928067,-0.19000838221650085,-0.2209916730619712,-0.4320342595057638,-0.3975865502617988,-0.4608144452431109,-0.38109572651305434,-0.32680266677072556,-0.31092824688491216,-0.4857408739159146,-0.4385839658420654,-0.4857408739159137,-0.39306697186249107,-0.3342231989907525,-0.3158069393389651,-0.6433315616116788,-0.5588822007243301,-0.558882200724331,-0.42819405644811326,-0.3559971795044419,-0.33012242928995494,-0.30317798547202823,-0.2992229822971151,-0.4010093959205818,-0.35237356466736713,-0.3089988609691181,-0.2992229822971142,0.09929174230270643,0.008005817530926329,-0.21421428562513523,-0.2626627551175771,-0.2533904482002409,-0.2626627551175771
2,SZTau,0.498166,0.295,-1.0496685166809763,-0.9380435711109922,-0.7815610147357042,-0.6686505803242664,-0.6167401012170304,-0.6040522532699084,-0.5113640381477698,-0.5271241218490021,-0.5317219895844141,-0.5486621011397652,-0.5423636809006123,-0.5551528388077305,-0.5493539475238443,-0.5561240526704312,-0.5493539475238434,-0.557130080939622,-0.5476126683792888,-0.5586038305754819,-0.5267293614472326,-0.5388533762760739,-0.5388533762760748,-0.5520870434324703,-0.5444866759519105,-0.5565486200845529,-0.5530412449762991,-0.5589387835501682,-0.5510653038987225,-0.5579519823565056,-0.5481221346685228,-0.5589387835501682,-0.560513554593058,-0.5646428366927339,-0.5545333682094036,-0.5596175658741336,-0.5491545682873262,-0.5596175658741336
3,SSSct,0.564814,0.325,-0.32427465286869717,-0.283758783804831,-0.20846351785264705,-0.09464775922118562,-0.06128136563612063,-0.03504938553125836,0.1291758829828109,0.062386663410060716,0.0019929140540080326,0.0064267113655622765,0.0013709603097735723,0.006141922687314505,-0.10815985675612527,-0.11878565700133947,-0.10815985675612438,-0.0464756061945657,-0.03142122968468808,-0.015417583441643679,-0.07265016716114214,-0.09167902372272785,-0.09167902372272874,-0.03856046927721124,-0.02651492906125963,-0.012191894081488464,0.04554295409881792,-0.0014552670357348418,-0.036822979657035404,-0.012215132324609357,-0.010184429100915438,-0.0014552670357348418,0.12701939067930823,0.060740486079143174,0.0009920382368084901,0.005946027584935898,0.001073002212879537,0.005946027584935898
4,QZNor,0.578244,0.263,-1.0683632971210983,-0.960413670067154,-0.759506432418628,-0.6556720910198695,-0.5787957506781538,-0.5734465923402094,-0.34409175195821096,-0.40753462795808026,-0.42335597481631027,-0.4942314107240202,-0.47872464405641324,-0.5076539863292284,-0.4920064698273148,-0.5204466263314398,-0.4920064698273139,-0.527201714249041,-0.4991617157619901,-0.5210905141356594,-0.396964110081381,-0.4478952066780568,-0.4478952066780577,-0.506016699710254,-0.48602990880472774,-0.5124568951969071,-0.49296389664175866,-0.5211774864951382,-0.492450832806842,-0.5274151254168409,-0.49929400145162095,-0.5211774864951382,-0.44573090827511663,-0.48512177018472435,-0.4705289572901119,-0.5168868562541995,-0.4927679167994343,-0.5168868562541995
5,ADGem,0.578408,0.173,-0.797935681675072,-0.49489527753174745,-0.10590729800993914,0.21498832764599252,0.3148953181193619,0.3642581188422813,0.30725642172512435,0.3487628166668757,0.4070368232628243,0.4613364911519904,0.4675974331693107,0.4646534320519189,0.4934563163325114,0.49090014079465494,0.4934563163325123,0.5028405897973016,0.4933242888364413,0.481567773623123,0.5019986376452579,0.49742099675858054,0.49742099675857965,0.504744679738768,0.49450456376591134,0.48234375548283026,0.47957958421593627,0.48030721551482536,0.48701581776237735,0.49974745561559253,0.4914069693607894,0.48030721551482536,0.3323731418344025,0.36793588545258515,0.4186940490845341,0.466935027237418,0.471067758619526,0.466935027237418
6,YAur,0.586529,0.375,-0.08148153247591028,0.020053998148236607,0.18604017738307377,0.193970494822568,0.21639522748586604,0.21943357582091227,0.17411599802910427,0.21516661685435512,0.30466864955639394,0.25094337948475376,0.2517106114716716,0.24265197744694156,0.4177398919048141,0.40113905492741875,0.41773989190481586,0.3052473314020894,0.28537162276289774,0.26478269757763506,0.4732171787425523,0.44348812884935285,0.44348812884935196,0.3176132609872937,0.2930368051427674,0.2698222373743455,0.21498526292841014,0.24636452899123018,0.32363698013561404,0.26005316982872184,0.25735743356844587,0.24636452899123018,0.1113313930028843,0.16723943744502634,0.2755289244755206,0.2369486430972314,0.24303579199858394,0.2369486430972314
7,STTau,0.605768,0.368,-0.44027633681759304,-0.2770916572752693,-0.13963357011296207,-0.08251393667495321,-0.05149360716495366,-0.039854857338748495,-0.14291118846137874,-0.050095360820142876,-0.0016198218682443866,-0.016231018110056894,-0.01040727750657755,-0.012842298060587787,0.12075218794461051,0.15117439216152917,0.12075218794461229,0.04253974976059194,0.026022547783106198,0.0111088025442303,0.019086148342159603,0.07356672834286293,0.07356672834286115,0.019878311925540793,0.011975560631928062,0.0018734905498094534,-0.08751787153173307,-0.007810386064687869,0.024089442783072457,-0.003883805481463831,-0.002753697075840833,-0.007810386064687869,-0.1172509383758058,-0.03050738365558381,0.010289668247806638,-0.01051132877800498,-0.006861853639790638,-0.01051132877800498
8,BFOph,0.609329,0.235,-0.7254568150381682,-0.5763010549148542,-0.3270897859796009,-0.1476394620550443,-0.07795361352788532,-0.06301864094010146,0.13691983626352844,0.08200173233834906,0.0731583086703469,0.04458495182289113,0.04119919096494229,0.01531939074303068,0.017934649444343087,-0.008826654546523649,0.017934649444343975,0.018063062852508693,0.02475925293878234,0.004510812703729883,0.10736655818933638,0.05944197808324159,0.0594419780832407,0.03799750358039944,0.03711587544476913,0.012634779986671063,0.0377667517120317,0.006312354818123644,0.02713916713805009,0.022483653586985675,0.027499413633782055,0.006312354818124533,-0.08468643549727162,-0.08716336060882668,-0.029694067841536942,-0.00481125531768356,0.010580309141505317,-0.00481125531768356
9,SYCas,0.609712,0.442,-0.1882223303914058,-0.15285457255325996,-0.05345474180417842,-0.051861296718053396,-0.027103868920023366,-0.010137036372205088,-0.20148293271843132,-0.16297716974946264,-0.059609280899469486,-0.05481709509934518,-0.028936059012537818,-0.011341625438552327,0.06326704432265107,0.03912204936586949,0.06326704432265196,0.004195876882333138,0.007643899647338692,0.012708181636171823,0.14395567542822985,0.10071642425562288,0.100716424255622,0.02218143435013964,0.018792481502384106,0.020037912248052514,0.023991032147962166,0.009140360682899917,0.04503817760340745,-0.004558776213094973,0.0022172139957197246,0.009140360682899917,0.1277243808979689,0.08832612308748367,0.09318312114539395,0.01856346640904505,0.016549836990951583,0.01856346640904505
