,B,V,R,I,J,H,K,B0,V0,R0,I0,J0,H0,K0,BVI,VVI,RVI,IVI,JVI,HVI,KVI
m_h,-1.0905417805639357,-1.76360866902486,-2.1082722737642343,-2.431183624670691,-2.9318531551014546,-3.167520971638119,-3.2672086680952455,-2.2691644862532256,-2.6633206581006537,-2.8685289045332785,-2.978208514028773,-3.194569055911586,-3.3303688416608357,-3.374274394795264,-3.3214682905028075,-3.4666060048560596,-3.5473050225415985,-3.4666060048560605,-3.4291283771641656,-3.475763489423566,-3.469865351059157
c_h,-1.7426958487853632,-2.821073007069894,-3.4465709589189615,-4.023304749862164,-4.929745320847493,-5.3548279427852385,-5.524880288128016,-3.2141818532266573,-3.9443447661853854,-4.395735595371551,-4.706253979404384,-5.257740674509217,-5.558140131185143,-5.658549627462759,-5.760358050463616,-5.887990718274667,-6.0381164248869945,-5.887990718274667,-5.825285292519286,-5.9099400485133025,-5.889843495761385
err_m_h,0.4026856791982833,0.3167568165561216,0.2614663483536641,0.1990651417037577,0.1094717086752928,0.08949383823096853,0.0807504195787107,0.09861925277172467,0.0819332387064109,0.07821350531239511,0.07369523541392203,0.06803872000432817,0.07328540432187856,0.0732699913870782,0.07407794414512307,0.07390304533229801,0.07653970560719635,0.07390304533229702,0.06927767924253202,0.07531542754942948,0.07469446851662873
err_c_h,0.1201065325091984,0.09447706946259389,0.07798592820863005,0.05937391158556126,0.03265144010838368,0.026692765961433742,0.024084921305299732,0.02941454613593942,0.024437713349696407,0.02332825179471044,0.02198061576373285,0.02029348238147856,0.021858378013739358,0.021853780894322675,0.022094763897227605,0.022042597925022646,0.022829018052138352,0.02204259792502235,0.02066301898461072,0.022463860312637342,0.022278650755623918
