,name,logP,EBV,HST,r_B_h,r_V_h,r_R_h,r_I_h,r_J_h,r_H_h,r_K_h,r_B0_h,r_V0_h,r_R0_h,r_I0_h,r_J0_h,r_H0_h,r_K0_h,r_BVI_h,r_VVI_h,r_RVI_h,r_IVI_h,r_JVI_h,r_HVI_h,r_KVI_h
0,RT Aur,0.571489,0.059,8.099,-0.7849666001458695,-0.5840827073026174,-0.4958152513840246,-0.30261761632909856,-0.21093956649818635,-0.11799646629238358,-0.09247673544614532,-0.06818008994219893,-0.0369174323379835,-0.03346059403890855,0.03005887084940051,-0.05116730620851273,-0.018959551523783702,-0.0273640677253546,0.15564378040339566,0.13394048395636293,0.11091434522981469,0.13394048395636293,-0.0012767946505638506,0.011965731325491724,-0.007031975686325964
1,QZ Nor,0.578244,0.253,10.512,0.5232722095818398,0.4244504692566453,0.3979200278252528,0.34478998905555214,0.2618381415645241,0.25681835787103235,0.23416103910683805,0.42714811616244175,0.3510732987074858,0.3359163187112135,0.30017666936166476,0.24041200776416982,0.24353709000163448,0.22542915581148826,0.257059890542477,0.22123495853957476,0.22620292126932906,0.22123495853957387,0.20249921243513835,0.2200363504312417,0.20997839333150825
2,SU Cyg,0.584952,0.098,9.622,-0.905263936154137,-0.6743692437915363,-0.5409869317623359,-0.42329683119015726,-0.2746847874710556,-0.18255156145121898,-0.15349987514757935,-0.33763032846377117,-0.24106114631797482,-0.17484158939717664,-0.1598455079262302,-0.14815882300877536,-0.10412279580850381,-0.1019362115482263,-0.06622092465462526,-0.03387839531862635,0.0002278351972719861,-0.03387839531862724,-0.08766145971696648,-0.06662271787762286,-0.07728146417930137
3,Y Lac,0.635863,0.207,11.783,-0.5685316635638467,-0.4625121628428115,-0.40615353203272564,-0.35546428167454724,-0.27261677149168495,-0.2575652312641523,-0.2452666846461824,-0.4021048953041335,-0.3354688282934126,-0.2988019143384828,-0.2782219342685117,-0.23552011780326065,-0.23457038771070948,-0.2301485278348041,-0.21079512190459315,-0.18943083333193034,-0.17539980859603155,-0.18943083333193034,-0.19287702327450962,-0.2081375106226817,-0.21277000643438715
4,T Vul,0.646934,0.064,8.606,-0.8515341755112233,-0.654877251268037,-0.5331098996898818,-0.36937776776581854,-0.16503010521155748,-0.08609969658714522,-0.0540603274817002,-0.06698297527682406,-0.05598320528757972,-0.027044430836395073,-0.005250187809699547,0.009846956214736302,0.0223001257353177,0.01720806398997432,0.10255848619262498,0.07343775766619753,0.08231628285954695,0.07343775766619665,0.04763787739723924,0.045725320029951,0.03260915858147495
5,FF Aql,0.650397,0.196,7.756,-0.2692260293251303,-0.1824098744472038,-0.10553475280583635,-0.08173169887358389,-0.00037997773544073965,0.07204058853763762,0.08799085613591373,-0.039124858660929185,-0.006760125848577214,0.04288928476000331,0.025063348274382502,0.05090974885535893,0.10383319303398952,0.10889317621915051,0.0672239961887584,0.07442220609774886,0.11148835525464929,0.07442220609774886,0.07461498978368564,0.11852719511627452,0.11855387372076454
6,T Vel,0.666501,0.289,10.022,0.3218469555090713,0.23638127955877186,0.2122464138908633,0.14005720221811302,0.09454846547431295,0.05742093626489808,0.036352394526920406,0.17741776622569327,0.12612999002947545,0.11908407423860767,0.07302441818430205,0.062355088931759006,0.03746545286009528,0.02323249107293357,-5.238458343281849e-05,-0.009343407534743164,0.004609053296842802,-0.009343407534743164,0.02279685684300592,0.012944767900971321,0.007111156762793058
7,VZ Cyg,0.687034,0.266,11.338,-0.09308085011060951,-0.10169654364014047,-0.10723948151193596,-0.09519162441652318,-0.09694447369198933,-0.0809868456244569,-0.0954025198910804,-0.11598947937806958,-0.11918404689774365,-0.1220164217646107,-0.10582402639714505,-0.10205082464320903,-0.08415208371408234,-0.09748353277873623,-0.07134247209290567,-0.08510236194723753,-0.09321739798143192,-0.08510236194723753,-0.09209897263766198,-0.07798329873804022,-0.09342781226962416
8,V350 Sgr,0.712165,0.299,9.853,-0.04604154462325738,-0.060785294178876015,-0.07418794099996706,-0.10928682874492379,-0.14213979205113336,-0.16209108608621925,-0.1506100888531785,-0.1789631066740398,-0.16225213543901607,-0.1599274218647846,-0.17097866823108765,-0.1717681096990944,-0.180456584354304,-0.16268464296313567,-0.20812575452509563,-0.18451369868409628,-0.17873844280687745,-0.18451369868409717,-0.17826848616665902,-0.18448592730166435,-0.1653337689892984
9,BG Lac,0.726883,0.3,11.146,0.1542403493030826,0.08840149821183108,0.06957096032529453,0.038459171842978535,0.05195438268564878,0.02511311757435042,0.01786105832384699,0.034434456234635036,-0.003053381993091353,-0.007708413447864437,-0.017145395321612966,0.025249557665811828,0.008559784257260006,0.0069779275794603635,-0.012658751572415028,-0.03900239558625884,-0.03808532993409042,-0.03900239558625884,0.014752445696606387,0.002053012796896958,0.0026999949618744523
10,delta Cep,0.729678,0.075,7.183,-1.114754086420241,-0.8834192155582441,-0.7886401686695339,-0.596609669926067,-0.342062087745842,-0.2775754113099209,-0.23949034344882758,-0.2792232290262868,-0.24560940075369952,-0.24969087515969335,-0.20882130252490239,-0.15582162182291448,-0.1621318348302978,-0.1635909754870859,-0.1562834109657656,-0.15176221139452295,-0.17039000015118955,-0.15176221139452384,-0.12841824253003598,-0.1451454935562877,-0.15242315995334277
11,CV Mon,0.730685,0.722,11.003,2.0439951891527866,1.638166738371464,1.3393723115101466,1.006443011983977,0.47111480838134545,0.30386989230851835,0.2024871256799452,0.14306181961136977,0.187072563149008,0.11319773344717188,0.12417775344872473,0.04739530921638835,0.04122184659325434,0.02980691882847264,-0.06712236586661646,0.02662662003604055,-0.022379088483284626,0.02662662003604055,0.0005450938274016437,0.012181130889807434,0.010713851598031177
12,V Cen,0.739882,0.292,8.913,0.24456590190863303,0.27548664730048555,0.29514159161195685,0.28435140778007284,0.28252026184881274,0.2716106826846749,0.26725654380041775,0.17393132539144052,0.22156712324155992,0.2495795937821641,0.25156833715224725,0.26677576082360677,0.26185124883001,0.2608401204374049,0.2741904841235847,0.29810083219739525,0.3142505778498448,0.29810083219739525,0.2891236038387097,0.2757038501510154,0.2699476318031513
