,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
0,0,V0465Mon,0.433514,10.965,10.372,9.474,8.835,8.436,8.365,12.236773181380435,0.2465343251345548
1,1,EVSct,0.490098,11.29,10.144,8.623,7.664,7.171,7.028,10.965259479873284,0.5954920973948642
2,2,SZTau,0.498166,7.365,6.526,5.517,4.827,4.414,4.314,8.357825582806313,0.3084286763858613
3,3,SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,10.093996745630628,0.3288344521633581
4,4,QZNor,0.578244,9.756,8.869,7.865,7.136,6.733,6.619,10.905521266544438,0.2975544527495295
5,5,ADGem,0.578408,10.547,9.855,9.039,8.527,8.147,8.077,12.426294357261664,0.1400194619911554
6,6,YAur,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,11.424778834597667,0.3804976126192573
7,7,STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,10.121118674761304,0.3627626921235791
8,8,BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,9.56465716912419,0.2701162624375104
9,9,SYCas,0.609712,10.85,9.873,8.752,7.909,7.448,7.343,11.677891406797704,0.3866270159524508
10,10,XSct,0.62305,11.138,10.011,8.62,7.479,6.951,6.826,11.114648876308102,0.5924365469707868
11,11,YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,11.73388347911998,0.1736704060667239
12,12,TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,8.799609271617035,0.0373464809687485
13,13,XYCas,0.653376,11.085,9.953,8.736,7.832,7.335,7.212,11.661368055041327,0.4443129009375878
14,14,TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,10.17660033600083,0.3354439011388883
15,15,VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,11.402505097664257,0.2486872583294177
16,16,CFCas,0.687994,12.338,11.128,9.691,8.701,8.132,7.966,12.45255450498149,0.6087086873019798
17,17,VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,11.23247493244264,0.2857948906985885
18,18,V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.079435638990368,0.8922841826433984
19,19,CRSer,0.724391,12.492,10.853,8.895,7.463,6.763,6.548,11.003017638117676,0.9745047834470668
20,20,V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,10.500667869239477,0.194345192970378
21,21,CVMon,0.730685,11.596,10.305,8.616,7.404,6.791,6.576,11.118800580030443,0.793132563385013
22,22,SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,11.55272208093833,0.4625072583336785
23,23,XLac,0.735997,9.306,8.405,7.317,6.608,6.157,6.046,10.810870634889785,0.2952723027503105
24,24,VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,9.277433322695396,0.2917152963515019
25,25,FMCas,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,11.472937268073236,0.3295229220339156
26,26,CSVel,0.771201,13.049,11.709,10.068,8.84,8.234,8.018,12.687220228688158,0.7675733211949196
27,27,MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,10.779703416360896,0.6619318659311445
28,28,FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,9.893257091898544,0.5773401583571722
29,29,CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,10.68520836988451,0.7579726499899793
30,30,RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.752222441629964,0.8267510703639285
31,31,RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,11.494609409067936,0.2655886404146785
32,32,XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,10.71248084128896,0.5075775112458811
33,33,BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,9.519813198538287,0.3119193565027758
34,34,VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,10.349031150564477,0.1898414716945415
35,35,V0495Cyg,0.827263,12.246,10.618,8.694,7.233,6.542,6.314,11.082048975110924,0.9481892371912798
36,36,USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,8.943040732551554,0.4138833572386901
37,37,TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,12.141871648972966,0.3176961539311462
