,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
0,0,V0465Mon,0.433514,10.965,10.372,9.474,8.835,8.436,8.365,12.256773181380437,0.2205412378864323
1,1,EVSct,0.490098,11.29,10.144,8.623,7.664,7.171,7.028,10.945259479873284,0.6201929494778174
2,2,SZTau,0.498166,7.365,6.526,5.517,4.827,4.414,4.314,8.357825582806313,0.3048995246568975
3,3,SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,10.073996745630629,0.3480630453830989
4,4,QZNor,0.578244,9.756,8.869,7.865,7.136,6.733,6.619,10.905521266544438,0.3023257360775946
5,5,ADGem,0.578408,10.547,9.855,9.039,8.527,8.147,8.077,12.446294357261664,0.1099062268410248
6,6,YAur,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,11.424778834597667,0.369730653304977
7,7,STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,10.141118674761303,0.3379892409558125
8,8,BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,9.58465716912419,0.2515696280827496
9,9,SYCas,0.609712,10.85,9.873,8.752,7.909,7.448,7.343,11.657891406797704,0.3953607739596605
10,10,XSct,0.62305,11.138,10.011,8.62,7.479,6.951,6.826,11.0346488763081,0.6621124833419002
11,11,YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,11.75388347911998,0.1432134909641634
12,12,TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,8.819609271617034,0.0137193581429565
13,13,XYCas,0.653376,11.085,9.953,8.736,7.832,7.335,7.212,11.621368055041328,0.4674291723718827
14,14,TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,10.196600336000827,0.315012539130746
15,15,VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,11.422505097664256,0.2310098667900493
16,16,CFCas,0.687994,12.338,11.128,9.691,8.701,8.132,7.966,12.472554504981492,0.5898840063405755
17,17,VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,11.19247493244264,0.3080966219378489
18,18,V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.079435638990368,0.8984038392039271
19,19,CRSer,0.724391,12.492,10.853,8.895,7.463,6.763,6.548,10.943017638117675,1.0192691044801083
20,20,V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,10.500667869239477,0.1931042726218818
21,21,CVMon,0.730685,11.596,10.305,8.616,7.404,6.791,6.576,11.158800580030444,0.764940089859428
22,22,SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,11.532722080938331,0.4757275738019634
23,23,XLac,0.735997,9.306,8.405,7.317,6.608,6.157,6.046,10.830870634889784,0.2708837340281771
24,24,VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,9.297433322695396,0.2666505738036548
25,25,FMCas,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,11.472937268073236,0.3281940141077716
26,26,CSVel,0.771201,13.049,11.709,10.068,8.84,8.234,8.018,12.707220228688158,0.7528199633570123
27,27,MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,10.759703416360896,0.6837592786897587
28,28,FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,9.913257091898544,0.5624337667583232
29,29,CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,10.66520836988451,0.7760756171706904
30,30,RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.712222441629962,0.8573169718513959
