,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,0,1,SSSct,0.564814,9.746,0.3712324517228951,9.165,8.218,7.095,6.381,5.937,5.845
1,1,1,2,RTAur,0.571489,8.078999999999999,0.0430688047439818,6.036,5.443,4.767,4.302,3.989,3.937
2,2,2,3,ADGem,0.578408,12.188999999999998,0.1338943579438287,10.547,9.855,9.039,8.527,8.147,8.077
3,3,3,4,SUCyg,0.584952,9.55,0.0482994091471929,7.455,6.886,6.196,5.703,5.387,5.324
4,4,4,5,YAur,0.586529,11.255,0.3650278150558782,10.512,9.614,8.571,7.743,7.284,7.167
5,5,5,7,STTau,0.605768,9.957,0.3487796897550522,9.066,8.219,7.138,6.352,5.898,5.788
6,6,6,8,BFOph,0.609329,9.35,0.2637523092625702,8.2,7.337,6.366,5.701,5.285,5.178
7,7,7,9,SYCas,0.609712,11.432,0.4081963273701375,10.85,9.873,8.752,7.909,7.448,7.343
8,8,8,12,RZCMa,0.628882,11.182,0.4459077996493168,10.698,9.698,8.469,7.629,7.177,7.027
9,9,9,13,YLac,0.635863,11.556,0.1616103928148869,9.874,9.144,8.277,7.706,7.316,7.225
10,10,10,14,V0402Cyg,0.639968,11.456,0.4145043188178957,10.897,9.867,8.669,7.895,7.41,7.299
11,11,11,15,TVul,0.646934,8.63,0.0301743341189042,6.39,5.753,5.054,4.601,4.27,4.205
12,12,12,16,XYCas,0.653376,11.399,0.4784331317541314,11.085,9.953,8.736,7.832,7.335,7.212
13,13,13,17,TVel,0.666501,10.003,0.3231178499364571,8.944,8.032,6.959,6.225,5.768,5.641
14,14,14,18,WWMon,0.66858,13.634,0.5945143850959995,13.637,12.51,11.137,10.064,9.507,9.392
15,15,15,19,RYCMa,0.670099,10.332999999999998,0.2502095319714851,8.953,8.108,7.119,6.455,6.045,5.936
16,16,16,20,VZCyg,0.687034,11.192,0.2590138527128278,9.836,8.956,7.933,7.283,6.872,6.759
17,17,17,21,CFCas,0.687994,12.232,0.6053692222400784,12.338,11.128,9.691,8.701,8.132,7.966
18,18,18,22,ASPer,0.696531,10.511,0.711020313606503,11.02,9.719,8.09,7.035,6.478,6.315
19,19,19,23,VLac,0.697493,11.041,0.3061824654293674,9.816,8.921,7.866,7.121,6.671,6.587
20,20,20,24,V350Sgr,0.712165,9.662,0.2931637353428213,8.382,7.474,6.416,5.712,5.257,5.165
21,21,21,25,V0386Cyg,0.720788,9.779,0.9239373879515688,11.167,9.627,7.742,6.482,5.809,5.587
22,22,22,27,BGLac,0.726883,11.067,0.3020358117063748,9.833,8.881,7.784,7.112,6.658,6.543
23,23,23,28,dCeph,0.729678,7.05,0.0315267893276599,4.612,3.959,3.209,2.748,2.392,2.325
24,24,24,29,V1162Aql,0.730464,10.304,0.20926455461503,8.677,7.789,6.845,6.22,5.807,5.714
25,25,25,30,CVMon,0.730685,10.978,0.7816899204244494,11.596,10.305,8.616,7.404,6.791,6.576
26,26,26,31,SWCas,0.735675,11.335,0.4850594771293586,10.808,9.703,8.387,7.5,6.982,6.859
