,level_0,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,Wvi,Wjk
21,23,28,XXSgr,0.807815,10.648,0.521,9.967,8.856,7.469,6.496,5.961,5.824,-5.33,-5.286
22,24,29,BBSgr,0.821971,9.784,0.281,7.924,6.94,5.822,5.099,4.639,4.51,-5.695,-5.678
23,25,30,VCar,0.82586,9.871,0.166,8.235,7.368,6.421,5.806,5.387,5.284,-4.919,-4.945
24,26,31,USgr,0.828997,9.058,0.402,7.786,6.69,5.426,4.587,4.093,3.954,-5.593,-5.54
25,27,32,TWCMa,0.844792,11.447,0.329,10.534,9.564,8.419,7.66,7.175,7.069,-4.804,-4.785
26,29,35,BKAur,0.903222,11.207,0.425,10.524,9.457,8.249,7.387,6.885,6.772,-4.831,-4.858
27,30,36,GHLup,0.967448,10.381,0.347,8.844,7.637,6.364,5.492,4.96,4.813,-5.992,-6.035
28,31,37,FNAql,0.976878,10.148,0.486,9.593,8.389,6.947,6.05,5.495,5.356,-5.438,-5.27
29,32,38,YZSgr,0.980171,10.183,0.281,8.372,7.351,6.214,5.472,5.003,4.903,-5.732,-5.671
30,33,39,SNor,0.989194,9.712,0.179,7.375,6.429,5.427,4.729,4.275,4.162,-5.839,-5.941
31,34,40,BZCyg,1.006127,11.72,0.885,11.837,10.221,8.324,6.886,6.155,5.924,-6.339,-6.458
32,35,42,TWNor,1.032868,11.529,1.157,13.63,11.701,9.287,7.506,6.694,6.39,-5.986,-5.907
33,36,43,ZLac,1.036854,11.209,0.37,9.514,8.414,7.148,6.346,5.827,5.693,-6.026,-5.966
34,37,44,XXCen,1.039548,10.839,0.271,8.803,7.819,6.736,5.991,5.53,5.407,-5.784,-5.834
35,38,45,AAGem,1.053181,12.456,0.309,10.809,9.729,8.581,7.734,7.2,7.106,-5.655,-5.782
36,39,46,RXAur,1.065337,10.644,0.263,8.631,7.669,6.59,5.819,5.355,5.269,-5.726,-5.753
37,40,47,UUMus,1.065819,11.88,0.404,10.936,9.794,8.486,7.528,6.989,6.828,-5.423,-5.534
38,41,48,RYCas,1.084181,11.922,0.618,11.321,9.95,8.403,7.175,6.551,6.373,-5.918,-6.101
39,42,49,UNor,1.101875,10.408,0.857,10.841,9.247,7.352,5.931,5.237,4.991,-5.994,-6.064
40,43,50,ZSct,1.110645,12.159,0.492,10.927,9.592,8.055,7.055,6.478,6.323,-6.487,-6.339
41,44,52,BNPup,1.135867,12.78,0.416,11.069,9.882,8.552,7.626,7.076,6.921,-6.292,-6.344
42,45,53,TTAql,1.138459,9.8,0.435,8.436,7.138,5.678,4.772,4.204,4.051,-6.388,-6.245
43,46,54,LSPup,1.150646,13.296,0.462,11.685,10.448,9.074,8.094,7.518,7.353,-6.353,-6.452
44,47,55,TXCyg,1.167607,10.316,1.13,11.363,9.489,7.228,5.462,4.637,4.372,-6.594,-6.694
45,48,56,UZSct,1.168739,12.613,1.02,13.124,11.247,9.184,7.534,6.746,6.534,-6.629,-6.768
46,49,57,RWCas,1.170032,12.586,0.38,10.462,9.233,7.871,6.934,6.367,6.237,-6.826,-6.829
47,50,59,SZCyg,1.179252,11.502,0.571,10.91,9.432,7.755,6.635,5.961,5.775,-6.348,-6.319
48,51,60,SVMon,1.182801,11.364,0.234,9.31,8.256,7.133,6.345,5.826,5.726,-5.973,-6.063
49,52,61,XCyg,1.214482,10.177,0.228,7.533,6.377,5.223,4.471,3.964,3.838,-6.744,-6.775
50,53,62,CDCyg,1.232334,11.843,0.493,10.217,8.948,7.448,6.463,5.89,5.72,-6.72,-6.634
51,54,64,SZAql,1.234029,11.548,0.534,10.033,8.634,7.018,5.955,5.347,5.16,-7.036,-6.935
52,55,68,VYCar,1.276818,11.255,0.242,8.642,7.463,6.28,5.463,4.945,4.806,-6.809,-6.9
53,56,70,VXCyg,1.303917,12.263,0.753,11.769,10.062,8.161,6.816,6.083,5.905,-7.051,-6.985
54,57,71,RYSco,1.307927,10.258,0.718,9.462,8.018,6.255,4.999,4.365,4.143,-6.739,-6.704
55,58,72,RZVel,1.309564,10.605,0.3,8.216,7.09,5.867,4.979,4.46,4.308,-6.634,-6.758
56,59,74,WZCar,1.361977,12.68,0.372,10.427,9.266,7.963,7.009,6.456,6.29,-6.737,-6.884
57,60,76,SWVel,1.370016,11.976,0.344,9.281,8.128,6.844,5.931,5.39,5.231,-7.124,-7.227
58,61,77,XPup,1.414321,12.192,0.421,9.702,8.507,7.107,6.18,5.6,5.431,-7.256,-7.276
59,62,78,RYVel,1.449158,11.812,0.545,9.744,8.371,6.834,5.7,5.123,4.928,-7.361,-7.415
60,63,80,AQPup,1.478624,12.544,0.518,10.081,8.705,7.14,6.102,5.483,5.299,-7.832,-7.797
61,64,82,UCar,1.58897,10.752,0.263,7.469,6.292,5.057,4.193,3.67,3.522,-7.61,-7.69
