,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
68,79,YZSgr,0.980171,10.361,0.281,8.372,7.351,6.214,5.472,5.003,4.903
69,80,SMus,0.98498,9.67,0.14,6.963,6.136,5.188,4.553,4.127,4.017
70,81,SNor,0.989194,9.888,0.179,7.375,6.429,5.427,4.729,4.275,4.162
71,82,DDCas,0.991759,12.353,0.45,11.076,9.879,8.507,7.627,7.068,6.948
72,83,betaDor,0.993131,7.703,0.051,4.545,3.743,2.947,2.438,2.029,1.959
73,84,BZCyg,1.006127,11.89,0.885,11.837,10.221,8.324,6.886,6.155,5.924
74,86,YSct,1.014575,11.248,0.757,11.194,9.632,7.841,6.578,5.896,5.691
75,88,ZLac,1.036854,11.37,0.37,9.514,8.414,7.148,6.346,5.827,5.693
76,89,VXPer,1.036883,13.118,0.475,10.492,9.299,7.919,6.98,6.437,6.298
77,90,XXCen,1.039548,10.999,0.271,8.803,7.819,6.736,5.991,5.53,5.407
78,91,TYSct,1.043507,11.638,0.965,12.507,10.818,8.825,7.355,6.638,6.429
79,92,SVPer,1.046469,12.383,0.408,10.023,8.977,7.734,6.891,6.355,6.237
80,93,V0438Cyg,1.049647,11.407,1.238,12.847,10.943,8.639,6.921,6.081,5.789
81,94,V340Nor,1.052579,11.19,0.322,9.526,8.371,7.168,6.272,5.732,5.586
82,95,AAGem,1.053181,12.612,0.309,10.809,9.729,8.581,7.734,7.2,7.106
83,96,RXAur,1.065337,10.796,0.263,8.631,7.669,6.59,5.819,5.355,5.269
84,97,UUMus,1.065819,12.033,0.404,10.936,9.794,8.486,7.528,6.989,6.828
85,98,RYCas,1.084181,12.069,0.618,11.321,9.95,8.403,7.175,6.551,6.373
86,99,UNor,1.101875,10.549,0.857,10.841,9.247,7.352,5.931,5.237,4.991
87,101,ZSct,1.110645,12.298,0.492,10.927,9.592,8.055,7.055,6.478,6.323
88,103,BNPup,1.135867,12.912,0.416,11.069,9.882,8.552,7.626,7.076,6.921
89,104,TTAql,1.138459,9.93,0.435,8.436,7.138,5.678,4.772,4.204,4.051
90,105,LSPup,1.150646,13.423,0.462,11.685,10.448,9.074,8.094,7.518,7.353
91,106,TXCyg,1.167607,10.438,1.13,11.363,9.489,7.228,5.462,4.637,4.372
92,108,RWCas,1.170032,12.707,0.38,10.462,9.233,7.871,6.934,6.367,6.237
93,110,SZCyg,1.179252,11.621,0.571,10.91,9.432,7.755,6.635,5.961,5.775
94,111,SVMon,1.182801,11.481,0.234,9.31,8.256,7.133,6.345,5.826,5.726
95,112,XCyg,1.214482,10.285,0.228,7.533,6.377,5.223,4.471,3.964,3.838
96,114,CDCyg,1.232334,11.945,0.493,10.217,8.948,7.448,6.463,5.89,5.72
97,116,SZAql,1.234029,11.65,0.534,10.033,8.634,7.018,5.955,5.347,5.16
98,120,VYCar,1.276818,11.344,0.242,8.642,7.463,6.28,5.463,4.945,4.806
99,124,RZVel,1.309564,10.684,0.3,8.216,7.09,5.867,4.979,4.46,4.308
100,125,WZSgr,1.339443,11.279,0.435,9.424,8.03,6.497,5.404,4.765,4.568
101,126,WZCar,1.361977,12.742,0.372,10.427,9.266,7.963,7.009,6.456,6.29
102,128,SWVel,1.370016,12.036,0.344,9.281,8.128,6.844,5.931,5.39,5.231
103,129,XPup,1.414321,12.238,0.421,9.702,8.507,7.107,6.18,5.6,5.431
104,130,TMon,1.431915,10.585,0.179,7.307,6.128,4.98,4.183,3.652,3.525
105,133,AQPup,1.478624,12.57,0.518,10.081,8.705,7.14,6.102,5.483,5.299
106,134,KNCen,1.531857,12.983,0.791,11.468,9.856,7.996,6.517,5.756,5.49
107,135,lCar,1.550816,8.496,0.146,5.009,3.729,2.557,1.766,1.212,1.093
108,136,UCar,1.58897,10.743,0.263,7.469,6.292,5.057,4.193,3.67,3.522
109,137,RSPup,1.61742,11.288,0.457,8.442,7.01,5.489,4.44,3.827,3.647
