,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,0,2,SZ Tau,0.498166,8.314,0.2972231262819587,7.365,6.526,5.517,4.827,4.414,4.314
1,1,1,3,SS Sct,0.564814,10.027,0.3372628593389952,9.165,8.218,7.095,6.381,5.937,5.845
2,2,2,4,QZ Nor,0.578244,10.851,0.3009875537009694,9.756,8.869,7.865,7.136,6.733,6.619
3,3,3,5,AD Gem,0.578408,12.393999999999998,0.1162997904145333,10.547,9.855,9.039,8.527,8.147,8.077
4,4,4,6,YA ur,0.586529,11.402,0.3712387475585107,10.512,9.614,8.571,7.743,7.284,7.167
5,5,5,9,ST Tau,0.605768,10.089,0.348311103406044,9.066,8.219,7.138,6.352,5.898,5.788
6,6,6,10,BF Oph,0.609329,9.53,0.2515990847368038,8.2,7.337,6.366,5.701,5.285,5.178
7,7,7,11,SY Cas,0.609712,11.626,0.4043103036906255,10.85,9.873,8.752,7.909,7.448,7.343
8,8,8,13,YL ac,0.635863,11.697,0.1528000953010221,9.874,9.144,8.277,7.706,7.316,7.225
9,9,9,14,TV ul,0.646934,8.754999999999999,0.0272449622173477,6.39,5.753,5.054,4.601,4.27,4.205
10,10,10,15,XY Cas,0.653376,11.605,0.4664648118769552,11.085,9.953,8.736,7.832,7.335,7.212
11,11,11,16,TV el,0.666501,10.133,0.3240132292582662,8.944,8.032,6.959,6.225,5.768,5.641
12,12,12,17,VZ Cyg,0.687034,11.348,0.2357107445918635,9.836,8.956,7.933,7.283,6.872,6.759
13,13,13,18,CF Cas,0.687994,12.408,0.6027367069530937,12.338,11.128,9.691,8.701,8.132,7.966
14,14,14,19,VL ac,0.697493,11.18,0.297496753034809,9.816,8.921,7.866,7.121,6.671,6.587
15,15,15,20,V0 386Cyg,0.720788,10.004,0.9022534529289123,11.167,9.627,7.742,6.482,5.809,5.587
16,16,16,21,CR Ser,0.724391,10.931,1.0075192791158618,12.492,10.853,8.895,7.463,6.763,6.548
17,17,17,22,V1 162Aql,0.730464,10.452,0.1910157549202722,8.677,7.789,6.845,6.22,5.807,5.714
18,18,18,23,CV Mon,0.730685,11.086,0.763382125060744,11.596,10.305,8.616,7.404,6.791,6.576
19,19,19,24,SW Cas,0.735675,11.485,0.481993660075294,10.808,9.703,8.387,7.5,6.982,6.859
20,20,20,25,XL ac,0.735997,10.76,0.2868020188920697,9.306,8.405,7.317,6.608,6.157,6.046
21,21,21,26,VC en,0.739882,9.251,0.2630177563875127,7.705,6.834,5.796,5.073,4.628,4.509
22,22,22,27,FM Cas,0.764123,11.412,0.3385830909347364,10.119,9.128,7.978,7.223,6.746,6.638
23,23,23,28,CS Vel,0.771201,12.655,0.7479491403294561,13.049,11.709,10.068,8.84,8.234,8.018
24,24,24,29,MW Cyg,0.774852,10.708,0.6769544322774192,10.841,9.483,7.874,6.799,6.209,6.041
25,25,25,30,FM Aql,0.786342,9.827,0.5639448024012719,9.546,8.27,6.717,5.794,5.235,5.075
26,26,26,31,CR Cep,0.794695,10.627,0.7709762006167702,11.048,9.655,7.929,6.754,6.098,5.935
