name,Identifier,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),RA_ICRS,DE_ICRS,plxDR3,mMplx,Period,mM0,Quality,FeH,MODE
lCar,lCar,1.550816,5.009,3.729,2.557,1.093,0.146,1.766,1.212,Gaia DR3 5250032958818831360,146.31159319123,-62.50786736246,1.9842,2.393,3.471174,1.503222,0.70813,0.795092,,-0.0584,0.474,146.31159319123,-62.50786736246,1.9612768711062845,8.537305465863179,35.54807,8.501,2.0,0.089,FU
betDor,betDor,0.993131,4.545,3.743,2.947,1.959,0.051,2.438,2.029,Gaia DR3 4757601523650165120,83.4063106733,-62.48976923943,2.9308,4.535,3.593462,1.049574,0.445045,0.60453,7.06,-0.3443,0.2101,83.4063106733,-62.48976923943,2.9290897969155134,7.666336569883047,9.8430805,7.729,2.0,,FU
etaAql,etaAql,0.85593,4.689,3.904,3.018,1.985,0.129,2.46,2.066,Gaia DR3 4240272953377646592,298.11824336044,1.00562189681,3.6715,2.561,3.747671,1.142468,0.535033,0.607434,10.82,-0.1891,0.3259,298.11824336044,1.00562189681,3.6812319233796633,7.170034102292488,7.1767864,7.062,2.0,0.084,FU
delCep,delCep,0.729678,4.612,3.959,3.209,2.325,0.075,2.748,2.392,Gaia DR3 2200153454733285248,337.2928846512,58.41520817274,3.5551,2.713,3.8506,0.970615,0.3811,0.589515,-12.82,-0.129,0.2539,337.2928846512,58.41520817274,3.5740478379155007,7.234198194233452,5.3663373,7.165,2.0,,FU
XSgr,XSgr,0.845893,5.311,4.561,3.655,2.521,0.237,3.016,2.618,Gaia DR3 4057701830728920064,266.89007492147,-27.83083461775,2.8057,1.222,4.327284,1.097953,0.452376,0.645577,-12.36,-0.1887,0.4168,266.89007492147,-27.83083461775,2.8255044885992557,7.744519992224434,7.0128255,7.56,2.0,-0.291,FU
SSge,SSge,0.923352,6.424,5.617,4.775,3.765,0.099,4.227,3.846,Gaia DR3 1820309639468685824,299.00526380027,16.63476346161,1.6673,4.003,5.461868,1.091549,0.446267,0.645282,-15.37,-0.1011,0.267,299.00526380027,16.63476346161,1.6676378600448067,8.88949126867048,8.382084,9.371,4.0,0.081,FU
YSgr,YSgr,0.761428,6.595,5.743,4.797,3.612,0.188,4.131,3.702,Gaia DR3 4096107909387492992,275.34576074156,-18.86003402735,1.9748,1.757,5.475163,1.16597,0.48065,0.685319,-6.18,-0.2457,0.1958,275.34576074156,-18.86003402735,2.007536964281258,8.486682247094269,5.7733507,8.177,4.0,0.048,FU
TMon,TMon,1.431915,7.307,6.128,4.98,3.525,0.179,4.183,3.652,Gaia DR3 3324535073449061504,96.30416910585,7.08569727313,0.7141,1.724,6.124317,1.512229,0.674398,0.837831,48.85,-0.1455,0.2646,96.30416910585,7.08569727313,0.7239258574538009,10.70152955401106,27.034296,10.595,2.0,0.203,FU
TVul,TVul,0.646934,6.39,5.753,5.054,4.205,0.06,4.601,4.27,Gaia DR3 1857884212378132096,312.86767706102,28.25048193691,1.6885,1.2,5.499797,0.823561,0.329035,0.494526,-10.39,0.1393,0.0222,312.86767706102,28.25048193691,1.717196118355105,8.825900509473547,4.4354124,8.728,1.0,-0.048,FU
SMus,SMus,0.98498,6.963,6.136,5.188,4.017,0.14,4.553,4.127,Gaia DR3 5855852527008107008,183.19580971297,-70.15179538057,1.1707,4.495,5.881265,1.082432,0.45271,0.629722,1.36,,,183.19580971297,-70.15179538057,1.164079093647366,9.670087552177986,9.660065,9.697,3.0,-0.01,FU
