,Unnamed: 0,index,name,logP,IRSB,EBV,V_mag,I_mag,J_mag,K_mag
0,0,0,HV1005,1.272209,18.594,0.1503130552065937,14.099,13.224,12.606,12.072
1,1,1,HV1006,1.152786,18.152,0.1813786704615224,14.386,13.479,12.835,12.305
2,2,3,HV12197,0.497456,18.363,0.1229011079516801,16.09,15.368,14.942,14.472
3,3,4,HV12198,0.546887,18.419,0.1242264720447626,15.946,15.23,14.748,14.317
4,5,6,HV12202,0.491519,18.279,0.1661911861484568,16.061,15.37,14.848,14.396
5,6,7,HV12203,0.470427,18.701,0.1061930183651926,16.126,15.445,15.031,14.583
6,7,8,HV12204,0.536402,18.259,0.0696111334975925,15.699,15.082,14.684,14.263
7,8,9,HV12452,0.941457,18.315,0.1033230836247968,14.753,13.941,13.424,12.961
8,9,10,HV12505,1.158115,18.772,0.248892409466575,14.836,13.808,13.122,12.52
9,10,11,HV12717,0.946628,18.197,0.0928626031846998,14.733,13.95,13.446,12.985
10,11,12,HV12815,1.41691,18.218,0.1321406722501374,13.489,12.52,11.922,11.363
11,12,13,HV12816,0.959466,18.685,0.0140573398430959,14.514,13.837,13.412,13.003
12,13,14,HV2257,1.595153,18.717,0.1101523143012122,13.025,12.049,11.43,10.882
13,14,15,HV2282,1.166636,18.435,0.131548210883561,14.329,13.428,12.855,12.338
14,15,16,HV2338,1.62535,18.528,0.0703247027304874,12.766,11.832,11.247,10.725
15,16,18,HV2405,0.840331,18.119,0.0798993835973848,15.152,14.355,13.908,13.443
16,17,19,HV2527,1.112251,18.907,0.1253315776389951,14.605,13.67,13.144,12.608
17,18,20,HV2538,1.142118,18.59,0.1281585643257242,14.478,13.468,12.937,12.397
18,19,21,HV2549,1.210289,18.049000000000003,0.0240607719246675,13.795,12.913,12.472,12.002
19,20,22,HV2827,1.896354,18.213,0.1368712765651754,12.304,11.193,10.5,9.904
20,21,23,HV5655,1.152657,19.083,0.1374408799911119,14.552,13.578,13.043,12.487
21,22,24,HV6093,0.679885,18.332,0.0546125125077892,15.309,14.628,14.213,13.8
22,23,26,HV876,1.356342,18.443,0.0654692739918823,13.654,12.727,12.214,11.704
23,24,28,HV878,1.367445,18.349,0.1815059834765563,13.542,12.915,12.162,11.666
24,25,29,HV879,1.566167,18.563,0.1505334485801345,13.36,12.309,11.662,11.083
25,26,31,HV899,1.492039,18.781,0.1212625378048214,13.4,12.446,11.832,11.289
26,27,33,HV909,1.574986,18.309,0.0156433531887413,12.755,11.917,11.399,10.914
27,28,34,HV914,0.837489,18.755000000000003,0.0761895834864093,14.925,14.153,13.69,13.249
28,29,35,LMC-CEP-0079,1.353098,18.716,0.2089048729602398,14.126,13.116,12.425,11.843
