,Unnamed: 0,gal,name,overtone,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,gplx,IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb_1,Mv_1,Mi_1,Mj_1,Mh_1,Mk_1,Wvi_1,Wjk_1,Radius_IRSB,Teq,Mass,mu,rd
21,23,MW,TYSct,0,1.043507,12.507,10.818,8.825,7.355,6.638,6.429,11.021042,9.899057,8.871976,11.91595055784764,11.479,0.965,,Gaia DR3 4256744187345732224,280.53296920017,-4.29349280288,4,0.905,,-3.055,-3.778,-4.549,-5.034,-5.405,-5.421,-5.746,-5.687,57.7,5498.0,3.2,-0.023049442152357713,-0.0023365481092997298
25,27,MW,SYCas,0,0.609712,10.85,9.873,8.752,7.909,7.448,7.343,10.227487,9.639541,8.883359,11.677891406797706,11.586,0.442,0.8255,Gaia DR3 422923956470923008,3.79086871838,58.42428046193,3,1.039,-0.2768,-2.607,-3.139,-3.702,-4.094,-4.396,-4.413,-4.573,-4.632,34.4,6005.0,3.7,-0.028108593202293974,-0.00033463339058498187
26,28,MW,XYCas,0,0.653376,11.085,9.953,8.736,7.832,7.335,7.212,10.25398,9.585123,8.798761,11.621368055041328,11.165,0.533,,Gaia DR3 426881614218441600,12.47192037703,60.12737898732,3,1.18,,-2.335,-2.934,-3.476,-3.836,-4.142,-4.158,-4.317,-4.379,30.1,6105.0,2.4,-0.02363194495867127,-0.0008495008441358753
27,30,MW,V0402Cyg,0,0.639968,10.897,9.867,8.669,7.895,7.41,7.299,10.121401,9.520483,8.773199,11.75849566861894,11.518,0.391,0.512,Gaia DR3 2060021625508894592,302.28231841529,37.15195204657,5,0.92,-0.2234,-2.275,-2.913,-3.617,-3.992,-4.336,-4.37,-4.708,-4.629,34.5,5760.0,3.4,-0.039504331381060354,-0.0002501995791533984
29,32,MW,V0438Cyg,0,1.049647,12.847,10.943,8.639,6.921,6.081,5.789,11.313254,9.948211,8.838357,11.222520857106748,11.25,1.238,1.958,Gaia DR3 2062267687221984128,304.72629821519,40.06447451486,5,1.094,-0.097,-3.642,-4.306,-5.042,-5.496,-5.893,-5.937,-6.184,-6.24,73.2,5508.0,5.2,-0.04747914289325195,-3.6299217239577075e-05
30,33,MW,XSct,0,0.62305,11.138,10.011,8.62,7.479,6.951,6.826,10.391963,9.592002,8.728516,10.8546488763081,12.098,0.589,,Gaia DR3 4104857784196182400,277.83228317708,-13.10818493797,3,0.799,,-3.452,-3.99,-4.635,-5.175,-5.491,-5.499,-5.636,-5.721,58.8,5671.0,11.3,0.016648876308101634,-0.0023604879994566508
31,34,MW,CVMon,0,0.730685,11.596,10.305,8.616,7.404,6.791,6.576,10.594475,9.701135,8.769544,10.978800580030445,11.066,0.722,0.5633,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,2,1.1,-1.4814,-2.525,-3.092,-3.868,-4.343,-4.697,-4.767,-5.07,-5.059,42.7,5470.0,4.2,-0.0471994199695569,0.0007335833012515058
32,35,MW,AAGem,0,1.053181,10.809,9.729,8.581,7.734,7.2,7.106,10.008104,9.393121,8.64468,12.300634761167014,12.456,0.309,0.5586,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,3,1.249,-0.2277,-2.954,-3.725,-4.482,-5.013,-5.437,-5.469,-5.655,-5.782,59.8,5369.0,3.4,-0.0553652388329855,0.0007233445313312159
33,36,MW,YAur,0,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,10.035061,9.457623,8.714322,11.204778834597668,11.682,0.375,,Gaia DR3 195373217573454464,82.16349483157,42.43772581388,3,1.122,,-2.757,-3.28,-3.847,-4.293,-4.617,-4.659,-4.728,-4.911,39.2,5849.0,5.3,-0.037221165402332446,0.0008375862943746926
34,37,MW,BNPup,0,1.135867,11.069,9.882,8.552,7.626,7.076,6.921,10.428416,9.638985,8.79757,12.388919204911469,12.78,0.416,,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,3,1.249,,-3.472,-4.24,-5.045,-5.546,-5.947,-6.019,-6.292,-6.344,77.4,5332.0,4.6,-0.07108079508853216,0.000989639300478018
