,Unnamed: 0,gal,name,overtone,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,gplx,IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb_1,Mv_1,Mi_1,Mj_1,Mh_1,Mk_1,Wvi_1,Wjk_1,Radius_IRSB,Teq,Mass,mu,rd
83,88,MW,SSSct,0,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,8.452847,7.893511,7.173412,10.073996745630629,10.447,0.325,0.5241,Gaia DR3 4251917636212432384,280.93130508578,-7.73109359922,4,0.843,-0.2802,-2.657,-3.279,-3.99,-4.373,-4.7,-4.727,-5.093,-4.971,40.6,5776.0,6.0,-0.01300325436937122,-0.0011779109031136992
84,89,MW,RWCam,0,1.215224,10.034,8.671,7.042,5.93,5.291,5.139,9.069653,8.229256,7.255794,10.557587712401588,11.221,0.633,,Gaia DR3 473043922712140928,58.59070073087,58.65332973792,2,8.013,,-3.866,-4.596,-5.422,-5.888,-6.3,-6.325,-6.706,-6.626,89.4,5365.0,5.0,-0.04341228759841265,-0.0009021415435525038
85,90,MW,SZAql,0,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,9.052635,8.201151,7.225074,11.256058008028884,11.548,0.534,,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,2,0.94,,-3.774,-4.641,-5.578,-6.096,-6.513,-6.593,-7.036,-6.935,104.2,5107.0,6.5,-0.07194199197111573,4.584225277604048e-06
86,91,MW,TVel,0,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,8.305958,7.774636,7.052883,10.05660033600083,10.133,0.289,0.5009,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,2,0.926,-0.3743,-2.411,-3.036,-3.742,-4.181,-4.534,-4.603,-4.839,-4.893,39.1,5604.0,4.1,-0.05639966399917107,0.0010494759180965652
87,92,MW,FNAql,0,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,8.70911,8.005132,7.103401,10.582928469687204,10.148,0.486,0.7629,Gaia DR3 4269036830424588800,288.19713780418,3.55739781345,2,1.125,-0.1958,-2.611,-3.328,-4.156,-4.556,-4.937,-4.979,-5.438,-5.27,47.1,5486.0,2.5,-0.065071530312796,3.343815248280091e-05
89,94,MW,V1162Aql,0,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,8.092654,7.593359,6.939383,10.340667869239477,10.132,0.195,0.2865,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,3,0.952,-0.0744,-2.281,-2.972,-3.67,-4.096,-4.439,-4.493,-4.75,-4.766,36.9,5663.0,3.0,-0.051332130760524564,0.00034790115878480243
90,95,MW,SWVel,0,1.370016,9.281,8.128,6.844,5.931,5.39,5.231,8.536652,7.787433,6.929191,11.74250303919865,11.976,0.344,,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,3,1.049,,-4.15,-4.96,-5.808,-6.369,-6.787,-6.877,-7.124,-7.227,117.6,5157.0,5.7,-0.07349696080134649,0.0009827538008085335
91,96,MW,RYVel,0,1.449158,9.744,8.371,6.834,5.7,5.123,4.928,8.770825,7.879678,6.983576,11.955188031554531,11.812,0.545,,Gaia DR3 5355057622307185280,155.17091157355,-55.32138032787,3,1.075,,-4.374,-5.2,-6.048,-6.626,-7.008,-7.093,-7.361,-7.415,130.2,5171.0,5.6,-0.07681196844546889,5.1163689920308286e-05
92,97,MW,XXCen,0,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,8.214571,7.621872,6.876737,11.102331520324078,10.839,0.271,,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,2,1.238,,-3.183,-3.896,-4.636,-5.103,-5.467,-5.536,-5.784,-5.834,61.0,5493.0,3.6,-0.07666847967592183,0.0011463088382600017
93,98,MW,FMAql,0,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,8.617665,7.822873,6.906029,9.893257091898544,10.527,0.589,,Gaia DR3 4312361436842603520,287.31662690693,10.55246519356,2,1.261,,-3.473,-4.159,-4.966,-5.288,-5.637,-5.679,-6.218,-5.947,63.6,5667.0,8.3,-0.0337429081014573,-0.0014972662096828238
94,99,MW,RXAur,0,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,7.931838,7.36267,6.635993,10.80361415548236,10.644,0.263,,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,3,0.982,,-3.126,-3.826,-4.57,-5.073,-5.442,-5.476,-5.726,-5.753,59.0,5494.0,3.1,-0.0403858445176386,-0.0009114313958228926
96,101,MW,VCar,0,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,7.650739,7.17335,6.511265,10.389031150564474,9.871,0.166,,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,2,1.042,,-2.338,-3.039,-3.776,-4.222,-4.581,-4.65,-4.919,-4.945,40.3,5541.0,2.8,-0.06196884943552661,0.0011002815824879275
98,103,MW,BFOph,0,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,7.575954,7.069333,6.408388,9.56465716912419,9.11,0.235,0.4736,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,2,0.837,-0.5115,-1.904,-2.534,-3.206,-3.63,-3.962,-4.022,-4.251,-4.292,29.6,5705.0,2.7,-0.04534283087580704,0.0006815009477185718
99,105,MW,VYCar,0,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,8.046384,7.337772,6.535224,11.096359923379694,11.255,0.242,,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,1,0.916,,-3.637,-4.573,-5.45,-6.02,-6.452,-6.542,-6.809,-6.9,102.1,5090.0,5.5,-0.07864007662030659,0.0008646893376664799
100,106,MW,RYSco,0,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,8.513703,7.489791,6.469172,10.476692647650534,10.258,0.718,,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,2,0.733,,-3.834,-4.56,-5.414,-5.936,-6.312,-6.391,-6.739,-6.704,92.9,5253.0,4.1,-0.041307352349468474,-0.0010079190468087473
101,108,MW,YZSgr,0,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,7.592309,7.014152,6.27917,10.244027307737111,10.183,0.281,0.1022,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,1,0.955,-0.78,-3.0,-3.742,-4.521,-4.976,-5.345,-5.388,-5.732,-5.671,56.9,5492.0,3.7,-0.03897269226288813,-0.0007737679714054368
102,109,MW,SUCyg,0,0.584952,7.455,6.886,6.196,5.703,5.387,5.324,7.175367,6.798264,6.286498,9.79732664404474,9.277,0.098,0.2263,Gaia DR3 2031776202613700480,296.20305948513,29.2646787722,4,3.443,-0.64,-2.236,-2.708,-3.273,-3.666,-3.947,-3.991,-4.152,-4.215,27.9,6032.0,2.5,-0.019673355955260874,-6.737704290159935e-05
104,111,MW,WGem,0,0.898368,7.865,6.95,5.901,5.204,4.763,4.693,7.355924,6.75011,6.033707,9.91019545058013,9.991,0.255,,Gaia DR3 3356940155020790656,98.73938107213,15.33046066377,6,1.225,,-3.205,-3.866,-4.591,-5.027,-5.377,-5.396,-5.718,-5.649,55.9,5651.0,4.6,-0.020804549419869645,-0.0015744357182460866
105,112,MW,RZVel,0,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,7.60386,6.850103,6.022648,10.793705173405876,10.605,0.3,0.693,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,2,1.244,-0.9696,-3.658,-4.489,-5.327,-5.909,-6.321,-6.412,-6.634,-6.758,95.7,5136.0,4.4,-0.0712948265941229,0.0008860256505213715
106,113,MW,BBSgr,0,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,7.13682,6.584278,5.878089,9.559813198538286,9.784,0.281,,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1,0.82,,-3.049,-3.753,-4.514,-4.95,-5.309,-5.382,-5.695,-5.678,56.5,5521.0,5.8,-0.04418680146171461,0.0001758325157801277
107,114,MW,VCen,0,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,7.228839,6.637,5.935676,9.197433322695396,9.191,0.294,0.6055,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,3,1.06,-0.4147,-2.73,-3.308,-3.973,-4.395,-4.735,-4.795,-5.006,-5.07,42.3,5706.0,4.0,-0.05356667730460529,0.0012843762575870943
108,115,MW,TTAql,0,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,7.582161,6.774303,5.906594,9.932871345899628,9.8,0.435,0.2198,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,2,1.076,-0.4549,-3.205,-4.067,-4.977,-5.438,-5.851,-5.916,-6.388,-6.245,74.7,5240.0,4.2,-0.06712865410037239,-0.00010365745783891267
111,118,MW,RSPup,0,1.61742,8.442,7.01,5.489,4.44,3.827,3.647,7.594005,6.638235,5.740647,11.05487314490565,11.307,0.457,,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,2,1.157,,-4.798,-5.775,-6.715,-7.298,-7.747,-7.836,-8.177,-8.206,186.1,5004.0,7.5,-0.07212685509434813,-4.4637606440800504e-05
112,119,MW,SNor,0,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,6.699772,6.175861,5.503014,9.728963126792776,9.712,0.179,0.2211,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,2,0.878,-0.129,-3.094,-3.861,-4.637,-5.152,-5.542,-5.619,-5.839,-5.941,64.5,5345.0,4.8,-0.0630368732072224,0.0011422423244545066
113,120,MW,USgr,0,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,7.129108,6.42923,5.63952,8.923040732551554,9.058,0.402,0.0018,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,2,0.853,-0.9225,-2.973,-3.666,-4.421,-4.85,-5.2,-5.259,-5.593,-5.54,53.2,5562.0,5.0,-0.054959267448445814,5.6086189132387165e-05
114,121,MW,UAql,0,0.846591,7.475,6.449,5.259,4.476,4.008,3.89,6.819616,6.16102,5.385125,8.712694514966282,9.043,0.36,0.6481,Gaia DR3 4207681367143932800,292.33901044157,-7.04412597366,3,3.09,-0.2496,-3.091,-3.758,-4.491,-4.906,-5.245,-5.291,-5.63,-5.556,53.4,5644.0,4.8,-0.03030548503371655,-0.0010102969498529957
115,122,MW,XCyg,0,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,6.810588,6.199011,5.442216,10.119499113710727,10.177,0.228,,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,2,1.277,,-3.608,-4.534,-5.402,-5.921,-6.346,-6.427,-6.744,-6.775,97.0,5151.0,5.9,-0.07750088628927188,0.0008924475402196097
116,123,MW,SMus,0,0.98498,6.963,6.136,5.188,4.553,4.127,4.017,6.333974,5.881265,5.251543,9.602141962137964,9.493,0.14,,Gaia DR3 5855852527008107008,183.19580971297,-70.15179538057,3,4.495,,-3.122,-3.812,-4.58,-5.072,-5.448,-5.53,-5.775,-5.844,61.4,5399.0,4.3,-0.07085803786203648,0.0016617379660675002
117,124,MW,UCar,0,1.58897,7.469,6.292,5.057,4.193,3.67,3.522,6.809177,6.157681,5.33878,11.122760074756943,10.752,0.263,0.3809,Gaia DR3 5338359442320395904,164.45072523345,-59.73217920344,2,1.229,-1.2903,-4.396,-5.31,-6.211,-6.807,-7.236,-7.331,-7.61,-7.69,147.1,5043.0,4.9,-0.08923992524305469,0.0009208591071304117
118,125,MW,TVul,0,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,5.828832,5.499797,5.005271,8.779609271617035,8.815,0.06,0.0222,Gaia DR3 1857884212378132096,312.86767706102,28.25048193691,1,1.2,0.1393,-2.679,-3.256,-3.879,-4.271,-4.58,-4.633,-4.846,-4.882,38.6,5864.0,4.3,-0.0353907283829642,0.0003961666630647037
119,126,MW,TMon,0,1.431915,7.307,6.128,4.98,4.183,3.652,3.525,6.798715,6.124317,5.286486,10.593288288206026,10.545,0.179,0.2646,Gaia DR3 3324535073449061504,96.30416910585,7.08569727313,2,1.724,-0.1455,-3.995,-4.995,-5.917,-6.531,-6.998,-7.089,-7.346,-7.472,133.5,4958.0,6.3,-0.09171171179397497,0.0014283176271198128
120,127,MW,YSgr,0,0.761428,6.595,5.743,4.797,4.131,3.702,3.612,5.955813,5.475163,4.789843,8.447025165978019,8.301,0.188,0.1958,Gaia DR3 4096107909387492992,275.34576074156,-18.86003402735,4,1.757,-0.2457,-2.501,-3.165,-3.873,-4.347,-4.709,-4.761,-4.972,-5.045,42.1,5568.0,3.7,-0.03397483402198098,0.00014059666143489968
121,128,MW,SSge,0,0.923352,6.424,5.617,4.775,4.227,3.846,3.765,5.908135,5.461868,4.816586,8.841839350480978,9.147,0.099,0.267,Gaia DR3 1820309639468685824,299.00526380027,16.63476346161,4,4.003,-0.1011,-3.142,-3.851,-4.567,-5.013,-5.359,-5.42,-5.679,-5.699,57.1,5591.0,4.4,-0.045160649519022655,-1.8307108052992294e-05
122,129,MW,RTAur,0,0.571489,6.036,5.443,4.767,4.302,3.989,3.937,5.636953,5.336251,4.809206,8.635428916451941,8.103,0.059,0.0057,Gaia DR3 3435571660360952704,97.14203156464,30.49297626135,3,6.435,-1.0595,-2.317,-2.849,-3.452,-3.857,-4.148,-4.189,-4.385,-4.417,31.1,5930.0,3.3,-0.007571083548059576,-0.0008710671639811998
123,130,MW,WSgr,0,0.880529,5.423,4.672,3.863,3.311,2.941,2.847,5.014106,4.585245,3.905923,8.12792057924312,7.155,0.108,0.0938,Gaia DR3 4050309195613114624,271.25513249315,-29.58010989671,5,3.952,-0.8508,-2.189,-2.832,-3.504,-3.946,-4.277,-4.349,-4.546,-4.627,34.5,5669.0,1.7,-0.06707942075687967,0.001459975850626502
125,132,MW,dCeph,0,0.729678,4.612,3.959,3.209,2.748,2.392,2.325,4.231699,3.8506,3.261085,7.211833790758262,7.278,0.075,0.2539,Gaia DR3 2200153454733285248,337.2928846512,58.41520817274,2,2.713,-0.129,-2.983,-3.562,-4.216,-4.601,-4.929,-4.982,-5.231,-5.245,45.5,5802.0,4.8,-0.06616620924173766,0.0014058804782716011
126,133,MW,etaAql,0,0.85593,4.689,3.904,3.018,2.46,2.066,1.985,4.282705,3.747671,3.140237,7.14831762378528,7.216,0.129,0.3259,Gaia DR3 4240272953377646592,298.11824336044,1.00562189681,2,2.561,-0.1891,-3.073,-3.731,-4.451,-4.878,-5.225,-5.28,-5.571,-5.558,53.3,5620.0,4.7,-0.047682376214719824,0.00024136751394959743
127,134,MW,betaDor,0,0.993131,4.545,3.743,2.947,2.438,2.029,1.959,4.038506,3.593462,2.988932,7.639078525279643,7.529,0.051,0.2101,Gaia DR3 4757601523650165120,83.4063106733,-62.48976923943,2,4.535,-0.3443,-3.199,-3.95,-4.682,-5.139,-5.529,-5.589,-5.818,-5.899,62.4,5498.0,4.4,-0.06992147472035626,0.0014544636653391063
128,135,MW,lCar,0,1.550816,5.009,3.729,2.557,1.766,1.212,1.093,4.179304,3.471174,2.676083,8.496721691503382,8.493,0.146,0.474,Gaia DR3 5250032958818831360,146.31159319123,-62.50786736246,2,2.393,-0.0584,-4.102,-5.236,-6.223,-6.864,-7.367,-7.456,-7.753,-7.863,160.9,4835.0,6.6,-0.09627830849661834,0.001396574414212981
