,name,logP,mMplx,EBV,BV,BI,BJ,BH,BK,VI,VJ,VH,VK,IJ,IH,IK,JH,JK,HK
0,lCar,1.550816,8.537305465863179,0.146,1.1356206000000002,2.1250505200000003,2.7711588060000003,3.2709466700000007,3.363213194,0.9894299200000002,1.635538206,2.1353260700000005,2.2275925940000003,0.6461082859999999,1.14589615,1.238162674,0.4997878640000001,0.5920543880000001,0.092266524
1,betDor,0.993131,7.666336569883047,0.051,0.7515661,1.4837916199999999,1.9421787609999996,2.332241645,2.392903239,0.7322255199999999,1.1906126609999996,1.580675545,1.6413371389999998,0.4583871409999999,0.8484500250000001,0.909111619,0.3900628840000003,0.4507244780000001,0.06066159399999985
2,etaAql,0.85593,7.170034102292488,0.129,0.6574319000000001,1.3821199800000001,1.812099219,2.158199455,2.2155787809999996,0.7246880800000002,1.154667319,1.500767555,1.5581468809999999,0.4299792389999998,0.776079475,0.8334588009999997,0.3461002360000001,0.4034795619999999,0.057379325999999745
3,delCep,0.729678,7.234198194233452,0.075,0.5788325,1.2350465,1.621615825,1.9497671250000002,2.003034175,0.656214,1.0427833249999998,1.370934625,1.424201675,0.38656932499999985,0.7147206250000002,0.7679876749999999,0.3281513000000003,0.38141835,0.05326704999999973
4,XSgr,0.845893,7.744519992224434,0.237,0.5156306999999999,1.12526694,1.529066007,1.8390641149999998,1.8926679929999999,0.6096362400000002,1.013435307,1.3234334150000002,1.3770372929999999,0.4037990669999998,0.7137971749999998,0.7674010529999999,0.30999810800000016,0.36360198600000015,0.053603877999999994
5,WSgr,0.880529,8.162114988820546,0.108,0.6441988000000003,1.31814696,1.762966788,2.09286466,2.167089212,0.6739481599999997,1.1187679879999997,1.4486658599999997,1.5228904119999997,0.44481982800000003,0.7747177000000002,0.8489422520000001,0.3298978720000001,0.404122424,0.07422455199999986
6,YOph,1.233609,9.37917574920652,0.647,0.7251816999999989,1.5581211399999992,2.003032516999999,2.3307910649999983,2.3993214829999996,0.8329394400000003,1.2778508170000005,1.605609365,1.6741397830000002,0.44491137700000016,0.7726699249999998,0.8412003430000001,0.3277585479999996,0.3962889659999999,0.06853041800000031
7,RTAur,0.571489,8.67871650478855,0.059,0.5346548999999999,1.1368765799999991,1.543324449,1.8344168049999996,1.8756135509999998,0.6022216799999993,1.008669549,1.2997619049999998,1.3409586509999998,0.40644786900000074,0.6975402250000005,0.7387369710000006,0.2910923559999997,0.3322891019999998,0.04119674600000005
8,SSge,0.923352,8.88949126867048,0.099,0.7090989000000003,1.4273013799999998,1.877052889,2.2212926050000004,2.284165111,0.7182024799999996,1.1679539889999997,1.5121937049999998,1.5750662109999998,0.44975150900000005,0.7939912250000003,0.8568637310000002,0.34423971600000025,0.4071122220000002,0.06287250599999997
9,YSgr,0.761428,8.486682247094269,0.188,0.6660867999999993,1.3769965599999998,1.8564236679999995,2.2156162599999996,2.2711923319999996,0.7109097600000006,1.1903368680000002,1.5495294600000005,1.605105532,0.4794271079999995,0.8386196999999997,0.8941957719999996,0.35919259200000025,0.4147686640000001,0.05557607199999987
