,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,DR3Name,RAdeg,DEdeg,RUWE,RA_ICRS,DE_ICRS,QLT,Mvpl,Mipl,Mjpl,Mkpl,Wvipl
0,77,V0 465Mon,0.433514,10.549,0.244,10.965,10.372,9.474,8.835,8.436,8.365,-0.616,-0.965,-1.554,-1.944,-2.256,-2.278,-2.468,-2.507,Gaia DR3 3111232222844668800,107.03879622929,-0.06571183676,1.236,107.03879622929,-0.06571183676,3,-2.4569528,-3.1469796,-3.4510906,-3.80116,-3.9976666
1,24,EV Sct,0.490098,11.401,0.655,11.29,10.144,8.623,7.664,7.171,7.028,-2.883,-3.371,-4.065,-4.355,-4.613,-4.625,-5.138,-4.81,Gaia DR3 4156512638614879104,279.16500634512,-8.18483389548,1.009,279.16500634512,-8.18483389548,3,-2.6091638,-3.3116956,-3.6296697,-3.9848883,-4.1855254
2,59,SZ Tau,0.498166,8.814,0.295,7.365,6.526,5.517,4.827,4.414,4.314,-2.697,-3.242,-3.876,-4.266,-4.572,-4.614,-4.861,-4.853,Gaia DR3 3409635486731094400,69.31155292631,18.54301200791,0.966,69.31155292631,18.54301200791,2,-2.6308665,-3.3351815,-3.6551323,-4.011085,-4.212311
3,48,SS Sct,0.564814,10.447,0.325,9.165,8.218,7.095,6.381,5.937,5.845,-2.657,-3.279,-3.99,-4.373,-4.7,-4.727,-5.093,-4.971,Gaia DR3 4251917636212432384,280.93130508578,-7.73109359922,0.843,280.93130508578,-7.73109359922,4,-2.8101497,-3.5291939,-3.8654733,-4.227491,-4.4335823
4,35,QZ Nor,0.578244,10.811,0.263,9.756,8.869,7.865,7.136,6.733,6.619,-2.168,-2.791,-3.462,-3.923,-4.232,-4.293,-4.503,-4.547,Gaia DR3 5932565900081831040,242.83526242559,-54.35413510061,1.032,242.83526242559,-54.35413510061,3,-2.8462765,-3.5682886,-3.9078584,-4.271098,-4.47817
5,3,AD Gem,0.578408,12.514,0.173,10.547,9.855,9.039,8.527,8.147,8.077,-2.699,-3.218,-3.815,-4.15,-4.468,-4.504,-4.74,-4.746,Gaia DR3 3378049163365268608,100.78129641785,20.93910595532,0.969,100.78129641785,20.93910595532,3,-2.8467178,-3.568766,-3.9083762,-4.271631,-4.4787145
6,101,YA ur,0.586529,11.682,0.375,10.512,9.614,8.571,7.743,7.284,7.167,-2.757,-3.28,-3.847,-4.293,-4.617,-4.659,-4.728,-4.911,Gaia DR3 195373217573454464,82.16349483157,42.43772581388,1.122,82.16349483157,42.43772581388,3,-2.8685632,-3.5924063,-3.934006,-4.298,-4.5056763
7,1,AA Mon,0.595294,13.099,0.792,13.133,12.734,11.085,9.846,9.198,9.013,-3.317,-2.935,-3.569,-4.0,-4.364,-4.39,-4.571,-4.659,Gaia DR3 3102535635624415872,104.34904133924,-3.84333603279,1.163,104.34904133924,-3.84333603279,4,-2.892141,-3.617921,-3.9616683,-4.32646,-4.534776
8,66,TY Mon,0.604502,13.06,0.545,12.062,11.743,11.043,9.405,8.866,8.723,-3.304,-3.081,-3.087,-4.169,-4.512,-4.547,-3.102,-4.807,Gaia DR3 3113680251125330304,104.16581674911,0.19004033275,1.037,104.16581674911,0.19004033275,3,-2.9169106,-3.6447258,-3.9907289,-4.356358,-4.5653467
9,49,ST Tau,0.605768,10.249,0.368,9.066,8.219,7.138,6.352,5.898,5.788,-2.74,-3.22,-3.834,-4.244,-4.566,-4.602,-4.788,-4.849,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,1.351,86.26316893008,13.57635184119,3,-2.9203162,-3.648411,-3.9947243,-4.360469,-4.56955
10,7,BF Oph,0.609329,9.11,0.235,8.2,7.337,6.366,5.701,5.285,5.178,-1.904,-2.534,-3.206,-3.63,-3.962,-4.022,-4.251,-4.292,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,0.837,256.52291020043,-26.58056513078,2,-2.9298954,-3.658777,-4.0059624,-4.372031,-4.5813723
11,56,SY Cas,0.609712,11.586,0.442,10.85,9.873,8.752,7.909,7.448,7.343,-2.607,-3.139,-3.702,-4.094,-4.396,-4.413,-4.573,-4.632,Gaia DR3 422923956470923008,3.79086871838,58.42428046193,1.039,3.79086871838,58.42428046193,3,-2.9309256,-3.659892,-4.0071716,-4.373275,-4.582644
12,97,XS ct,0.62305,12.098,0.589,11.138,10.011,8.62,7.479,6.951,6.826,-3.452,-3.99,-4.635,-5.175,-5.491,-5.499,-5.636,-5.721,Gaia DR3 4104857784196182400,277.83228317708,-13.10818493797,0.799,277.83228317708,-13.10818493797,3,-2.9668047,-3.6987188,-4.049266,-4.416583,-4.626926
13,102,YL ac,0.635863,12.057,0.217,9.874,9.144,8.277,7.706,7.316,7.225,-3.101,-3.614,-4.206,-4.556,-4.868,-4.915,-5.125,-5.163,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,1.053,332.26206158309,51.04584489597,2,-3.0012717,-3.7360177,-4.089704,-4.458187,-4.669465
14,62,TV ul,0.646934,8.815,0.06,6.39,5.753,5.054,4.601,4.27,4.205,-2.679,-3.256,-3.879,-4.271,-4.58,-4.633,-4.846,-4.882,Gaia DR3 1857884212378132096,312.86767706102,28.25048193691,1.2,312.86767706102,28.25048193691,1,-3.0310526,-3.7682452,-4.1246443,-4.494135,-4.7062206
15,100,XY Cas,0.653376,11.165,0.533,11.085,9.953,8.736,7.832,7.335,7.212,-2.335,-2.934,-3.476,-3.836,-4.142,-4.158,-4.317,-4.379,Gaia DR3 426881614218441600,12.47192037703,60.12737898732,1.18,12.47192037703,60.12737898732,3,-3.0483818,-3.7869978,-4.1449747,-4.515052,-4.727608
16,61,TV el,0.666501,10.133,0.289,8.944,8.032,6.959,6.225,5.768,5.641,-2.411,-3.036,-3.742,-4.181,-4.534,-4.603,-4.839,-4.893,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,0.926,129.42006775171,-47.36194868437,2,-3.0836878,-3.8252048,-4.1863976,-4.5576687,-4.7711835
17,90,VZ Cyg,0.687034,11.588,0.266,9.836,8.956,7.933,7.283,6.872,6.759,-2.877,-3.491,-4.178,-4.556,-4.872,-4.931,-5.243,-5.189,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,1.314,327.92264896468,43.13402308887,1,-3.1389217,-3.8849764,-4.2511997,-4.6243396,-4.839353
18,13,CF Cas,0.687994,12.348,0.553,12.338,11.128,9.691,8.701,8.132,7.966,-2.349,-3.005,-3.743,-4.169,-4.539,-4.595,-4.886,-4.888,Gaia DR3 2011892703004353792,359.57487036665,61.2210537331,1.036,359.57487036665,61.2210537331,3,-3.1415043,-3.887771,-4.2542295,-4.6274567,-4.8425403
19,86,VL ac,0.697493,11.46,0.335,9.816,8.921,7.866,7.121,6.671,6.587,-3.062,-3.622,-4.252,-4.655,-4.985,-5.002,-5.23,-5.241,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,1.094,342.15828864485,56.32153324908,3,-3.1670566,-3.9154224,-4.2842083,-4.6583,-4.874077
20,75,V0 386Cyg,0.720788,9.744,0.841,11.167,9.627,7.742,6.482,5.809,5.587,-2.135,-2.835,-3.654,-4.055,-4.426,-4.481,-4.926,-4.774,Gaia DR3 1968971582984827136,318.66846943872,41.716336531,0.951,318.66846943872,41.716336531,4,-3.22972,-3.9832342,-4.357727,-4.7339387,-4.951416
21,17,CR Ser,0.724391,11.711,1.036,12.492,10.853,8.895,7.463,6.763,6.548,-3.602,-4.205,-4.851,-5.225,-5.554,-5.561,-5.853,-5.793,Gaia DR3 4147381366335558784,272.50887793975,-13.54596188866,1.19,272.50887793975,-13.54596188866,2,-3.239412,-3.9937224,-4.369098,-4.745638,-4.963378
22,81,V1 162Aql,0.730464,10.132,0.195,8.677,7.789,6.845,6.22,5.807,5.714,-2.281,-2.972,-3.67,-4.096,-4.439,-4.493,-4.75,-4.766,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,0.952,298.08749761841,-11.3669243656,3,-3.2557483,-4.011401,-4.3882647,-4.7653565,-4.9835405
23,21,CV Mon,0.730685,11.066,0.722,11.596,10.305,8.616,7.404,6.791,6.576,-2.525,-3.092,-3.868,-4.343,-4.697,-4.767,-5.07,-5.059,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,1.1,99.27018871085,3.06396219477,2,-3.256343,-4.0120444,-4.3889623,-4.766074,-4.9842744
24,53,SW Cas,0.735675,11.805,0.467,10.808,9.703,8.387,7.5,6.982,6.859,-2.973,-3.61,-4.335,-4.745,-5.096,-5.126,-5.458,-5.388,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,1.123,346.79198165636,58.55419147277,3,-3.2697659,-4.0265703,-4.404711,-4.7822766,-5.000841
25,95,XL ac,0.735997,11.48,0.336,9.306,8.405,7.317,6.608,6.157,6.046,-3.596,-4.161,-4.822,-5.189,-5.519,-5.563,-5.849,-5.82,Gaia DR3 2004036486267748352,342.26322668964,56.4281966365,1.01,342.26322668964,56.4281966365,2,-3.2706323,-4.027508,-4.405727,-4.7833223,-5.00191
26,85,VC en,0.739882,9.191,0.294,7.705,6.834,5.796,5.073,4.628,4.509,-2.73,-3.308,-3.973,-4.395,-4.735,-4.795,-5.006,-5.07,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,1.06,218.13779279681,-56.88774644776,3,-3.2810829,-4.038817,-4.417988,-4.795937,-5.014808
