name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,BPmag,Gmag,"RPmag ",IRSB,gplx,EBV,E(BP-RP),Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,Radius_IRSB,Teq,Teff,RUWE,QLT,[Fe/H],Mass,RA_ICRS,DE_ICRS,DR3Name,ID,GDR3_Source,RA,DEC,Period,logP_2,distance,sig_distance,Radius,sig_Radius,mM0,sig_mM0,Mbol,M_B,M_V,M_I,M_J,M_H,M_K,W_VI,W_JK,W_G,EBV_2,RV_gamma,ph_shift,gal,MODE,Quality,FeH
YAur,0.586529,10.512,9.614,8.571,7.284,7.743,7.167,10.035061,9.457623,8.714322,11.575,11.204778834597668,0.375,,-2.65,-3.172,-3.74,-4.186,-4.51,-4.552,-4.621,-4.804,39.2,5849.0,,1.122,3,,5.3,82.16349483157,42.43772581388,Gaia DR3 195373217573454464,YAur,195373217573454464,82.1635,42.43773,3.8594823,0.586529,2102.9,134.3,37.3,2.4,11.614,0.139,-3.207,-2.689,-3.211,-3.779,-4.225,-4.549,-4.591,-4.66,-4.843,-4.6657815,0.375,11.48,0.005,MW,FU,3.0,-0.044
CSOri,0.589855,12.27,11.371,9.923,8.953,9.425,8.85,11.868765,11.259904,10.461692,13.597,12.61566306026272,0.383,0.8586,-2.947,-3.467,,-4.534,-4.868,-4.894,,-5.142,46.6,5763.0,6390.5,1.331,4,-0.4788,7.5,91.85610843665,11.15197644618,Gaia DR3 3330259852538068608,CSOri,3330259852538068608,91.85611,11.15197,3.889153,0.589855,5337.1,613.6,44.3,5.1,13.637,0.25,-3.517,-2.987,-3.507,,-4.574,-4.908,-4.934,,-5.182,-5.050535,0.383,38.41,0.08,MW,FU,4.0,
AAMon,0.595294,13.133,12.734,11.085,9.198,9.846,9.013,13.095647,12.185216,11.227003,12.989,12.250058676111092,0.792,1.2863,-3.207,-2.825,-3.459,-3.89,-4.254,-4.28,-4.461,-4.549,34.8,5758.0,6367.8,1.163,4,-0.2141,4.0,104.34904133924,-3.84333603279,Gaia DR3 3102535635624415872,AAMon,3102535635624415872,104.34904,-3.84333,3.938166,0.595294,4032.8,188.5,33.1,1.5,13.028,0.101,-2.878,-3.246,-2.865,-3.498,-3.929,-4.293,-4.319,-4.5,-4.588,-4.3932076,0.792,67.23,-0.015,MW,FU,4.0,-0.151
TYMon,0.604502,12.062,11.743,11.043,8.866,9.405,8.723,11.954486,11.283051,10.445519,12.948,12.460813473022402,0.545,,-3.192,-2.968,-2.975,-4.057,-4.4,-4.435,-2.99,-4.695,37.6,5741.0,,1.037,3,,4.5,104.16581674911,0.19004033275,Gaia DR3 3113680251125330304,TYMon,3113680251125330304,104.16583,0.19003,4.022555,0.604502,3956.7,155.6,35.6,1.4,12.987,0.085,-3.025,-3.231,-3.007,-3.014,-4.096,-4.439,-4.474,-3.029,-4.734,-4.570986,0.545,57.81,0.07,MW,FU,3.0,-0.105
STTau,0.605768,9.066,8.219,7.138,5.898,6.352,5.788,8.609181,8.051365,7.311717,10.137,10.141118674761305,0.368,0.6637,-2.628,-3.107,-3.722,-4.132,-4.454,-4.49,-4.676,-4.737,38.1,5853.0,6099.0,1.351,3,-0.3466,4.7,86.26316893008,13.57635184119,Gaia DR3 3346584610911570176,STTau,3346584610911570176,86.26317,13.57636,4.0342984,0.605768,1082.8,14.2,36.1,0.5,10.173,0.028,-3.139,-2.664,-3.143,-3.758,-4.168,-4.49,-4.526,-4.712,-4.773,-4.5868177,0.368,0.97,-0.015,MW,FU,3.0,-0.061
BFOph,0.609329,8.2,7.337,6.366,5.285,5.701,5.178,7.575954,7.069333,6.408388,9.11,9.56465716912419,0.235,0.4736,-1.904,-2.534,-3.206,-3.63,-3.962,-4.022,-4.251,-4.292,29.6,5705.0,5934.4,0.837,2,-0.5115,2.7,256.52291020043,-26.58056513078,Gaia DR3 4111834567779557376,BFOph,4111834567779557376,256.52291,-26.58056,4.0675135,0.609329,719.1,7.2,31.5,0.3,9.284,0.022,-2.732,-2.078,-2.707,-3.38,-3.804,-4.136,-4.196,-4.425,-4.466,-4.4330425,0.235,-28.63,-0.06,MW,FU,2.0,0.027
SYCas,0.609712,10.85,9.873,8.752,7.448,7.909,7.343,10.227487,9.639541,8.883359,11.472,11.677891406797706,0.442,0.8255,-2.493,-3.025,-3.588,-3.98,-4.282,-4.299,-4.459,-4.518,34.4,6005.0,6404.5,1.039,3,-0.2768,3.7,3.79086871838,58.42428046193,Gaia DR3 422923956470923008,SYCas,422923956470923008,3.79089,58.42429,4.0711017,0.609712,2005.1,54.5,32.6,0.9,11.511,0.059,-3.029,-2.532,-3.063,-3.627,-4.019,-4.321,-4.338,-4.498,-4.557,-4.4253016,0.442,-47.02,0.04,MW,FU,3.0,-0.024
V0508Mon,0.616329,11.057,10.5,9.459,8.275,8.717,8.193,10.769706,10.251835,9.543302,13.005,12.17763400852138,0.307,0.5341,-3.247,-3.497,-4.149,-4.577,-4.909,-4.93,-5.161,-5.173,47.0,5788.0,5966.1,1.707,4,-0.162,7.1,101.78916618531,3.96710116502,Gaia DR3 3127458403131746048,V0508Mon,3127458403131746048,101.78917,3.9671,4.1336055,0.616329,4061.9,214.1,44.5,2.3,13.044,0.114,-3.547,-3.286,-3.535,-4.188,-4.616,-4.948,-4.969,-5.2,-5.212,-5.1223326,0.307,67.29,0.0,MW,FU,4.0,-0.184
XSct,0.62305,11.138,10.011,8.62,6.951,7.479,6.826,10.391963,9.592002,8.728516,11.981,10.8546488763081,0.589,,-3.335,-3.872,-4.518,-5.058,-5.374,-5.382,-5.519,-5.604,58.8,5671.0,,0.799,3,,11.3,277.83228317708,-13.10818493797,Gaia DR3 4104857784196182400,XSct,4104857784196182400,277.83228,-13.10818,4.1980734,0.62305,2533.8,218.9,55.6,4.8,12.019,0.188,-3.941,-3.373,-3.91,-4.556,-5.096,-5.412,-5.42,-5.557,-5.642,-5.5875483,0.589,11.8,0.05,MW,FU,3.0,
RZCMa,0.628882,10.698,9.698,8.469,7.177,7.629,7.027,9.896969,9.302669,8.542116,10.942,10.986010203765472,0.443,0.729,-2.118,-2.675,-3.343,-3.731,-4.024,-4.085,-4.379,-4.329,31.9,5815.0,6087.3,1.626,5,-0.3109,3.0,110.38689819352,-16.68721769549,Gaia DR3 3027940437469882880,RZCMa,3027940437469882880,110.38691,-16.68722,4.254828,0.628882,1570.5,61.9,30.1,1.2,10.98,0.086,-2.717,-2.156,-2.713,-3.381,-3.769,-4.062,-4.123,-4.417,-4.367,-4.2515507,0.443,30.2,-0.015,MW,FU,5.0,-0.072
YLac,0.635863,9.874,9.144,8.277,7.316,7.706,7.225,9.470252,9.062985,8.430668,11.936,11.63388347911998,0.217,0.0505,-2.98,-3.493,-4.085,-4.435,-4.747,-4.794,-5.004,-5.042,43.3,5981.0,5189.8,1.053,2,-0.8522,5.6,332.26206158309,51.04584489597,Gaia DR3 1977074811892425600,YLac,1977074811892425600,332.26208,51.04586,4.3237743,0.635863,2481.7,35.5,40.9,0.6,11.974,0.031,-3.503,-3.018,-3.531,-4.123,-4.473,-4.785,-4.832,-5.042,-5.08,-4.886226,0.217,-22.27,-0.005,MW,FU,2.0,-0.06
V0402Cyg,0.639968,10.897,9.867,8.669,7.41,7.895,7.299,10.121401,9.520483,8.773199,11.396,11.758495668618941,0.391,0.512,-2.153,-2.791,-3.495,-3.87,-4.214,-4.248,-4.586,-4.507,34.5,5760.0,5710.0,0.92,5,-0.2234,3.4,302.28231841529,37.15195204657,Gaia DR3 2060021625508894592,V0402Cyg,2060021625508894592,302.28233,37.15197,4.364836,0.639968,1934.9,43.7,32.5,0.7,11.433,0.049,-2.843,-2.19,-2.828,-3.532,-3.907,-4.251,-4.285,-4.623,-4.544,-4.4741,0.391,-12.74,-0.015,MW,FU,5.0,0.01
TVul,0.646934,6.39,5.753,5.054,4.27,4.601,4.205,5.828832,5.499797,5.005271,8.69,8.779609271617035,0.06,0.0222,-2.554,-3.132,-3.754,-4.146,-4.455,-4.508,-4.721,-4.757,38.6,5864.0,5912.6,1.2,1,0.1393,4.3,312.86767706102,28.25048193691,Gaia DR3 1857884212378132096,TVul,1857884212378132096,312.86766,28.25051,4.4354124,0.646934,556.6,4.6,36.3,0.3,8.728,0.018,-3.163,-2.592,-3.169,-3.792,-4.184,-4.493,-4.546,-4.759,-4.795,-4.792969,0.06,1.71,0.025,MW,FU,1.0,-0.048
FFAql,0.65039,6.128,5.373,4.501,3.577,3.921,3.49,5.599523,5.170657,4.543815,8.578,8.54242373613131,0.196,,-3.28,-3.838,-4.462,-4.842,-5.116,-5.163,-5.431,-5.384,51.5,5956.0,,1.055,5,,7.8,284.56144590723,17.36087233039,Gaia DR3 4514145288240593408,FFAql,4514145288240593408,284.56145,17.36091,4.470849,0.65039,528.6,15.2,48.5,1.4,8.616,0.062,-3.857,-3.318,-3.876,-4.5,-4.88,-5.154,-5.201,-5.469,-5.422,-5.451188,0.196,-10.89,0.015,MW,FO,5.0,0.043
XYCas,0.653376,11.085,9.953,8.736,7.335,7.832,7.212,10.25398,9.585123,8.798761,11.039,11.621368055041328,0.533,,-2.209,-2.808,-3.35,-3.71,-4.016,-4.032,-4.191,-4.253,30.1,6105.0,,1.18,3,,2.4,12.47192037703,60.12737898732,Gaia DR3 426881614218441600,XYCas,426881614218441600,12.47193,60.12738,4.5016937,0.653376,1641.4,51.4,28.3,0.9,11.076,0.068,-2.796,-2.246,-2.845,-3.387,-3.747,-4.053,-4.069,-4.228,-4.29,-4.2557917,0.533,-40.62,0.0,MW,FU,3.0,-0.008
TVel,0.666501,8.944,8.032,6.959,5.768,6.225,5.641,8.305958,7.774636,7.0528827,10.003,10.05660033600083,0.289,0.5009,-2.281,-2.906,-3.612,-4.051,-4.404,-4.473,-4.709,-4.763,39.1,5604.0,5705.7,0.926,2,-0.3743,4.1,129.42006775171,-47.36194868437,Gaia DR3 5521459979795304320,TVel,5521459979795304320,129.42011,-47.36197,4.6398187,0.666501,1018.6,11.4,36.7,0.4,10.04,0.024,-2.989,-2.318,-2.943,-3.649,-4.088,-4.441,-4.51,-4.746,-4.8,-4.646206,0.289,5.53,0.0,MW,FU,2.0,-0.037
