name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,BPmag,Gmag,"RPmag ",IRSB,gplx,EBV,E(BP-RP),Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,Radius_IRSB,Teq,Teff,RUWE,QLT,[Fe/H],Mass,RA_ICRS,DE_ICRS,DR3Name,ID,GDR3_Source,RA,DEC,Period,logP_2,distance,sig_distance,Radius,sig_Radius,mM0,sig_mM0,Mbol,M_B,M_V,M_I,M_J,M_H,M_K,W_VI,W_JK,W_G,EBV_2,RV_gamma,ph_shift,gal,MODE,Quality,FeH
delCep,0.729678,4.612,3.959,3.209,2.392,2.748,2.325,4.231699,3.8506,3.261085,7.13,7.211833790758262,0.075,0.2539,-2.835,-3.414,-4.068,-4.453,-4.781,-4.834,-5.083,-5.097,45.5,5802.0,6355.6,2.713,2,-0.129,4.8,337.2928846512,58.41520817274,Gaia DR3 2200153454733285248,delCep,2200153454733285248,337.29277,58.4152,5.3663373,0.729678,271.0,4.6,42.4,0.7,7.165,0.037,-3.45,-2.87,-3.449,-4.103,-4.488,-4.816,-4.869,-5.118,-5.132,-5.1585665,0.075,-18.58,0.0,MW,FU,2.0,
V1162Aql,0.730464,8.677,7.789,6.845,5.807,6.22,5.714,8.092654,7.593359,6.939382,9.984,10.340667869239475,0.195,0.2865,-2.133,-2.824,-3.522,-3.948,-4.291,-4.345,-4.602,-4.618,36.9,5663.0,5737.2,0.952,3,-0.0744,3.0,298.08749761841,-11.3669243656,Gaia DR3 4190143160245024256,V1162Aql,4190143160245024256,298.08746,-11.36688,5.376058,0.730464,1008.5,26.7,34.4,0.9,10.018,0.057,-2.891,-2.167,-2.859,-3.556,-3.982,-4.325,-4.379,-4.636,-4.652,-4.615856,0.195,14.07,-0.01,MW,FU,3.0,0.005
CVMon,0.730685,11.596,10.305,8.616,6.791,7.404,6.576,10.594475,9.701135,8.769544,10.918,10.978800580030445,0.722,0.5633,-2.377,-2.944,-3.72,-4.195,-4.549,-4.619,-4.922,-4.911,42.7,5470.0,4616.4,1.1,2,-1.4814,4.2,99.27018871085,3.06396219477,Gaia DR3 3127142323596470144,CVMon,3127142323596470144,99.27019,3.06397,5.378795,0.730685,1550.8,24.1,39.8,0.6,10.953,0.034,-3.054,-2.412,-2.979,-3.755,-4.23,-4.584,-4.654,-4.957,-4.946,-4.7192345,0.722,19.46,0.02,MW,FU,2.0,-0.061
SWCas,0.735675,10.808,9.703,8.387,6.982,7.5,6.859,10.004331,9.355734,8.538896,11.655,11.512722080938333,0.467,0.8127,-2.823,-3.461,-4.185,-4.595,-4.946,-4.976,-5.308,-5.238,49.2,5677.0,5971.6,1.123,3,-0.5406,5.6,346.79198165636,58.55419147277,Gaia DR3 2010285491880986112,SWCas,2010285491880986112,346.79201,58.5542,5.4409533,0.735675,2177.4,65.2,45.8,1.4,11.69,0.065,-3.524,-2.858,-3.496,-4.22,-4.63,-4.981,-5.011,-5.343,-5.273,-5.1185923,0.467,-39.59,0.015,MW,FU,3.0,0.046
XLac,0.735997,9.306,8.405,7.317,6.157,6.608,6.046,8.662595,8.115799,7.413769,11.33,11.290870634889785,0.336,0.4597,-3.446,-4.011,-4.672,-5.039,-5.369,-5.413,-5.699,-5.67,59.3,5833.0,5817.7,1.01,2,-0.1248,8.3,342.26322668964,56.4281966365,Gaia DR3 2004036486267748352,XLac,2004036486267748352,342.26325,56.4282,5.444989,0.735997,1875.1,38.8,55.2,1.1,11.365,0.045,-4.046,-3.481,-4.046,-4.707,-5.074,-5.404,-5.448,-5.734,-5.705,-5.62197,0.336,-25.33,0.04,MW,FU,2.0,-0.015
VCen,0.739882,7.705,6.834,5.796,4.628,5.073,4.509,7.228839,6.637,5.935676,9.041,9.197433322695396,0.294,0.6055,-2.58,-3.157,-3.823,-4.245,-4.585,-4.645,-4.856,-4.92,42.3,5706.0,5988.6,1.06,3,-0.4147,4.0,218.13779279681,-56.88774644776,Gaia DR3 5891675303053080704,VCen,5891675303053080704,218.13785,-56.88772,5.493916,0.739882,653.2,20.6,39.3,1.2,9.075,0.068,-3.212,-2.614,-3.191,-3.857,-4.279,-4.619,-4.679,-4.89,-4.954,-4.895009,0.294,-23.41,0.0,MW,FU,3.0,-0.04
RZGem,0.742669,11.055,10.006,8.662,7.164,7.703,7.01,10.396838,9.675486,8.828489,11.655,12.518599690025018,0.563,0.8364,-2.982,-3.469,-4.098,-4.483,-4.82,-4.861,-5.077,-5.121,45.2,5880.0,5803.5,2.989,4,-0.285,4.5,90.65244278873,22.23414673031,Gaia DR3 3423693395726613504,RZGem,3423693395726613504,90.65245,22.23415,5.5292854,0.742669,2617.6,262.6,50.8,5.1,12.089,0.218,-3.891,-3.416,-3.904,-4.532,-4.917,-5.254,-5.295,-5.511,-5.555,-5.3933773,0.563,17.17,0.095,MW,FU,4.0,-0.196
YSgr,0.761428,6.595,5.743,4.797,3.702,4.131,3.612,5.955813,5.475163,4.789844,8.143,8.447025165978019,0.188,0.1958,-2.343,-3.008,-3.715,-4.189,-4.551,-4.603,-4.814,-4.887,42.1,5568.0,5371.7,1.757,4,-0.2457,3.7,275.34576074156,-18.86003402735,Gaia DR3 4096107909387492992,YSgr,4096107909387492992,275.34578,-18.86,5.7733507,0.761428,432.0,14.2,39.0,1.3,8.177,0.071,-3.093,-2.377,-3.042,-3.749,-4.223,-4.585,-4.637,-4.848,-4.921,-4.91718,0.188,-1.75,-0.03,MW,FU,4.0,0.048
FMCas,0.764123,10.119,9.128,7.978,6.746,7.223,6.638,9.334805,8.797508,8.054358,11.055,11.492937268073236,0.325,0.4114,-2.311,-2.976,-3.715,-4.138,-4.499,-4.542,-4.86,-4.82,40.9,5604.0,5625.7,1.081,3,-0.0682,3.4,3.61765603372,56.25293038823,Gaia DR3 422226488141991296,FMCas,422226488141991296,3.61768,56.25293,5.809289,0.764123,1650.8,49.0,37.9,1.1,11.089,0.064,-3.054,-2.345,-3.01,-3.749,-4.172,-4.533,-4.576,-4.894,-4.854,-4.7243404,0.325,-29.3,0.0,MW,FU,3.0,-0.148
CSVel,0.771201,13.049,11.709,10.068,8.234,8.84,8.018,12.0446,11.1879,10.216908,12.515,12.547220228688158,0.737,,-2.584,-3.192,-3.894,-4.371,-4.712,-4.78,-4.992,-5.061,46.0,5567.0,,0.905,3,,4.3,145.29271952315,-53.81603750378,Gaia DR3 5308893149150949248,CSVel,5308893149150949248,145.29275,-53.81606,5.9047437,0.771201,3233.8,110.1,42.5,1.4,12.549,0.074,-3.277,-2.618,-3.225,-3.928,-4.405,-4.746,-4.814,-5.026,-5.095,-4.8337135,0.737,26.96,0.015,MW,FU,3.0,0.021
MWCyg,0.774852,10.841,9.483,7.874,6.209,6.799,6.041,9.850045,9.016481,8.090841,10.267,11.199703416360896,0.635,0.9076,-2.113,-2.834,-3.64,-4.067,-4.43,-4.47,-4.889,-4.747,40.1,5508.0,5186.2,1.208,4,-2.2118,3.2,303.09510555228,32.87159966536,Gaia DR3 2055014277739104896,MWCyg,2055014277739104896,303.09512,32.87162,5.9545918,0.774852,1148.3,17.2,37.1,0.6,10.3,0.032,-2.932,-2.146,-2.868,-3.673,-4.1,-4.463,-4.503,-4.922,-4.78,-4.626006,0.635,0.03,0.02,MW,FU,4.0,0.02
FMAql,0.786342,9.546,8.27,6.717,5.235,5.794,5.075,8.617665,7.822873,6.906029,10.363,9.893257091898544,0.589,,-3.309,-3.995,-4.802,-5.124,-5.473,-5.515,-6.054,-5.783,63.6,5667.0,,1.261,2,,8.3,287.31662690693,10.55246519356,Gaia DR3 4312361436842603520,FMAql,4312361436842603520,287.31663,10.55249,6.114234,0.786342,1200.2,28.2,58.8,1.4,10.396,0.051,-4.057,-3.342,-4.028,-4.835,-5.157,-5.506,-5.548,-6.087,-5.816,-5.8252354,0.589,-5.07,-0.01,MW,FU,2.0,0.082
CRCep,0.794695,11.048,9.655,7.929,6.098,6.754,5.935,9.933943,9.031693,8.090185,9.94,10.66520836988451,0.709,,-1.892,-2.576,-3.403,-3.855,-4.256,-4.278,-4.687,-4.569,37.0,5432.0,,1.056,2,,2.5,341.60317447817,59.44218743844,Gaia DR3 2008504454839717120,CRCep,2008504454839717120,341.60321,59.4422,6.2329698,0.794695,987.6,13.0,34.1,0.4,9.973,0.029,-2.693,-1.925,-2.609,-3.436,-3.888,-4.289,-4.311,-4.72,-4.602,-4.4444456,0.709,-32.15,0.085,MW,FU,2.0,-0.165
RSCas,0.799056,11.423,9.944,8.217,6.227,6.884,6.03,10.305975,9.329637,8.343407,10.317,10.872222441629962,0.833,1.2549,-2.419,-3.064,-3.736,-4.218,-4.577,-4.607,-4.779,-4.874,42.2,5628.0,5867.0,1.045,4,-0.1898,3.3,354.31690503772,62.42898845585,Gaia DR3 2015820463470505600,RSCas,2015820463470505600,354.31692,62.42899,6.2958736,0.799056,1174.7,31.5,38.9,1.0,10.35,0.058,-3.131,-2.452,-3.097,-3.769,-4.251,-4.61,-4.64,-4.812,-4.907,-4.7492437,0.833,-32.97,0.015,MW,FU,4.0,0.115
XVul,0.800689,10.28,8.835,7.137,5.426,6.021,5.255,9.223192,8.322478,7.3467994,9.437,10.238056595920463,0.742,,-2.297,-2.999,-3.757,-4.116,-4.445,-4.467,-4.934,-4.709,38.7,5756.0,,1.059,5,,2.7,299.36918285728,26.5564491634,Gaia DR3 2027263738133623168,XVul,2027263738133623168,299.36919,26.55647,6.3195906,0.800689,783.4,20.4,35.7,0.9,9.47,0.056,-3.041,-2.33,-3.032,-3.79,-4.149,-4.478,-4.5,-4.967,-4.742,-4.7126694,0.742,-15.1,0.02,MW,FU,5.0,0.076
RRLac,0.807281,9.753,8.842,7.816,6.619,7.058,6.527,9.21242,8.684987,7.924542,10.772,11.674609409067937,0.319,0.6044,-2.369,-2.963,-3.582,-4.015,-4.339,-4.368,-4.547,-4.61,37.1,5813.0,6193.9,1.1,4,-0.168,2.5,340.36049512807,56.43277230583,Gaia DR3 2006989121667184384,RRLac,2006989121667184384,340.36053,56.43279,6.4162464,0.807281,1448.7,24.4,34.2,0.6,10.805,0.037,-2.991,-2.402,-2.996,-3.615,-4.048,-4.372,-4.401,-4.58,-4.643,-4.5669823,0.319,-38.88,0.03,MW,FU,4.0,-0.01
XXSgr,0.807815,9.967,8.856,7.469,5.961,6.496,5.824,9.241948,8.539941,7.664947,10.477,10.592480841288962,0.521,,-2.714,-3.307,-4.031,-4.473,-4.82,-4.853,-5.159,-5.115,47.3,5628.0,,1.1,3,,4.1,276.18541940721,-16.79717387453,Gaia DR3 4096979650282842112,XXSgr,4096979650282842112,276.18542,-16.79717,6.424141,0.807815,1264.5,43.6,43.5,1.5,10.51,0.075,-3.375,-2.747,-3.339,-4.064,-4.506,-4.853,-4.886,-5.192,-5.148,-4.9663615,0.521,12.36,-0.045,MW,FU,3.0,0.061
AWPer,0.810474,8.533,7.467,6.19,4.83,5.308,4.715,7.769703,7.085648,6.285039,9.915,9.74509548902599,0.489,0.6817,-3.451,-4.027,-4.686,-5.069,-5.371,-5.388,-5.707,-5.608,58.9,5883.0,5650.5,1.156,5,-0.5843,6.6,71.9429804233,36.72278112168,Gaia DR3 174489098011145216,AWPer,174489098011145216,71.94298,36.7228,6.4635925,0.810474,976.2,30.6,54.2,1.7,9.948,0.068,-4.044,-3.484,-4.06,-4.719,-5.102,-5.404,-5.421,-5.74,-5.641,-5.683213,0.489,12.19,0.015,MW,FU,5.0,0.045
BBSgr,0.821971,7.924,6.94,5.822,4.639,5.099,4.51,7.13682,6.584278,5.87809,9.61,9.559813198538286,0.281,,-2.875,-3.579,-4.34,-4.776,-5.135,-5.208,-5.521,-5.504,56.5,5521.0,,0.82,1,,5.8,282.74947248862,-20.29525298445,Gaia DR3 4085919765884068736,BBSgr,4085919765884068736,282.74947,-20.29523,6.636988,0.821971,847.9,5.1,51.9,0.3,9.642,0.013,-3.672,-2.907,-3.611,-4.372,-4.808,-5.167,-5.24,-5.553,-5.536,-5.449311,0.281,8.27,0.015,MW,FU,1.0,0.074
VCar,0.82586,8.235,7.368,6.421,5.387,5.806,5.284,7.650739,7.17335,6.511265,9.695,10.389031150564474,0.166,,-2.162,-2.864,-3.6,-4.046,-4.405,-4.474,-4.743,-4.769,40.3,5541.0,,1.042,2,,2.8,127.18202311384,-60.12256315649,Gaia DR3 5302258008774271488,VCar,5302258008774271488,127.18206,-60.12257,6.696687,0.82586,881.8,16.3,37.0,0.7,9.727,0.04,-2.952,-2.194,-2.895,-3.632,-4.078,-4.437,-4.506,-4.775,-4.801,-4.718652,0.166,11.7,0.0,MW,FU,2.0,-0.026
V0495Cyg,0.827263,12.246,10.618,8.694,6.542,7.233,6.314,10.934063,9.849618,8.819245,12.365,11.622048975110923,0.978,,-4.257,-4.906,-5.592,-6.054,-6.394,-6.427,-6.655,-6.684,97.2,5674.0,,1.318,4,,18.3,303.99301316376,35.01469729736,Gaia DR3 2055809495218465152,V0495Cyg,2055809495218465152,303.99303,35.01472,6.718356,0.827263,3015.1,140.6,89.2,4.2,12.397,0.101,-4.969,-4.289,-4.938,-5.624,-6.086,-6.426,-6.459,-6.687,-6.716,-6.5655355,0.978,-8.72,0.07,MW,FU,4.0,0.145
USgr,0.828997,7.786,6.69,5.426,4.093,4.587,3.954,7.129108,6.42923,5.63952,8.881,8.923040732551554,0.402,0.0018,-2.796,-3.489,-4.244,-4.673,-5.023,-5.082,-5.416,-5.363,53.2,5562.0,4382.0,0.853,2,-0.9225,5.0,277.97220951561,-19.1250998575,Gaia DR3 4092905375639902464,USgr,4092905375639902464,277.97222,-19.12507,6.745234,0.828997,606.2,10.8,48.8,0.9,8.913,0.039,-3.572,-2.828,-3.521,-4.276,-4.705,-5.055,-5.114,-5.448,-5.395,-5.313987,0.402,2.68,0.0,MW,FU,2.0,0.066
V496Aql,0.832958,8.901,7.753,7.745,5.15,5.647,5.04,8.014097,7.352778,6.528344,9.587,9.948829239317085,0.397,,-2.366,-3.117,-2.622,-4.314,-4.67,-4.7,-1.854,-4.965,44.1,5599.0,,1.558,4,,3.3,287.08654406189,-7.43776920988,Gaia DR3 4204653587029046400,V496Aql,4204653587029046400,287.08654,-7.43775,6.807035,0.832958,838.8,26.3,40.4,1.3,9.618,0.068,-3.194,-2.397,-3.148,-2.653,-4.345,-4.701,-4.731,-1.885,-4.996,-5.088151,0.397,5.05,-0.055,MW,FU,4.0,
TWCMa,0.844792,10.534,9.564,8.419,7.175,7.66,7.069,9.807674,9.219297,8.575474,11.266,11.901871648972966,0.329,,-2.124,-2.765,-3.493,-3.916,-4.283,-4.324,-4.623,-4.604,37.4,5605.0,,1.149,3,,2.2,110.50990452423,-14.31817971516,Gaia DR3 3031875585286182144,TWCMa,3031875585286182144,110.50991,-14.31819,6.9950695,0.844792,1817.1,23.6,34.2,0.4,11.297,0.028,-2.836,-2.155,-2.796,-3.524,-3.947,-4.314,-4.355,-4.654,-4.635,-4.4188833,0.329,74.39,-0.05,MW,FU,3.0,
XSgr,0.845893,5.311,4.561,3.655,2.618,3.016,2.521,4.77966,4.327284,3.681707,7.529,7.716269118243055,0.237,0.4168,-3.221,-3.734,-4.34,-4.737,-5.05,-5.099,-5.28,-5.348,51.7,5882.0,6114.3,1.222,2,-0.1887,4.5,266.89007492147,-27.83083461775,Gaia DR3 4057701830728920064,XSgr,4057701830728920064,266.8901,-27.83079,7.0128255,0.845893,325.1,5.4,47.4,0.8,7.56,0.036,-3.751,-3.252,-3.765,-4.371,-4.768,-5.081,-5.13,-5.311,-5.379,-5.3188276,0.237,-13.07,0.0,MW,FU,2.0,-0.291
UAql,0.846591,7.475,6.449,5.259,4.008,4.476,3.89,6.819616,6.16102,5.3851247,8.861,8.712694514966282,0.36,0.6481,-2.909,-3.576,-4.309,-4.724,-5.063,-5.109,-5.448,-5.374,53.4,5644.0,5649.5,3.09,3,-0.2496,4.8,292.33901044157,-7.04412597366,Gaia DR3 4207681367143932800,UAql,4207681367143932800,292.339,-7.04409,7.0241055,0.846591,600.4,19.0,48.9,1.5,8.892,0.069,-3.64,-2.94,-3.607,-4.34,-4.755,-5.094,-5.14,-5.479,-5.405,-5.4565125,0.36,-0.19,0.015,MW,FU,3.0,0.111
etaAql,0.85593,4.689,3.904,3.018,2.066,2.46,1.985,4.282705,3.747671,3.1402369,7.032,7.14831762378528,0.129,0.3259,-2.889,-3.547,-4.267,-4.694,-5.041,-5.096,-5.387,-5.374,53.3,5620.0,5808.3,2.561,2,-0.1891,4.7,298.11824336044,1.00562189681,Gaia DR3 4240272953377646592,etaAql,4240272953377646592,298.1182,1.00566,7.1767864,0.85593,258.5,4.5,48.7,0.8,7.062,0.038,-3.614,-2.919,-3.578,-4.297,-4.724,-5.071,-5.126,-5.417,-5.404,-5.485018,0.129,-14.68,0.0,MW,FU,2.0,0.084
V0600Aql,0.859672,11.527,10.036,8.199,6.45,7.074,6.272,10.304283,9.388953,8.407346,11.139,11.259348318024383,0.798,0.0043,-2.988,-3.683,-4.507,-4.818,-5.155,-5.174,-5.789,-5.418,54.6,5710.0,3818.8,1.126,4,-0.2468,4.8,290.25978306915,8.51632750768,Gaia DR3 4307944836090489600,V0600Aql,4307944836090489600,290.25977,8.51633,7.23889,0.859672,1714.1,28.6,49.9,0.8,11.17,0.036,-3.732,-3.019,-3.714,-4.538,-4.849,-5.186,-5.205,-5.82,-5.449,-5.385228,0.798,3.42,0.01,MW,FU,4.0,-0.08
V0459Cyg,0.860413,12.035,10.601,8.837,7.073,7.715,6.903,11.019217,10.057569,9.072443,11.52,11.882068946790401,0.73,,-2.574,-3.278,-4.116,-4.494,-4.873,-4.898,-5.418,-5.175,49.4,5519.0,,1.086,4,,3.9,317.72653587334,49.14204142755,Gaia DR3 2165771172070496512,V0459Cyg,2165771172070496512,317.72655,49.14206,7.2512527,0.860413,2042.4,67.8,45.1,1.5,11.551,0.072,-3.369,-2.605,-3.309,-4.147,-4.525,-4.904,-4.929,-5.449,-5.206,-5.1923027,0.73,-21.74,0.025,MW,FU,4.0,0.055
V0336Aql,0.863534,11.152,9.85,8.63,6.69,7.254,6.554,10.255092,9.433443,8.525646,10.619,11.32859689426671,0.613,1.1354,-2.06,-2.749,,-3.943,-4.287,-4.301,,-4.547,37.1,5610.0,6260.2,1.096,4,-0.2145,2.1,285.33220795089,0.14700310624,Gaia DR3 4265899816338237696,V0336Aql,4265899816338237696,285.33221,0.14701,7.3035502,0.863534,1348.7,26.7,33.9,0.7,10.65,0.043,-2.818,-2.091,-2.78,,-3.974,-4.318,-4.332,,-4.578,-4.502503,0.613,23.0,-0.075,MW,FU,4.0,0.111
CKSct,0.870124,12.165,10.575,8.778,6.82,7.498,6.652,10.93036,9.911044,8.9206705,10.438,11.40572101874594,0.757,1.2191,-1.476,-2.308,-3.147,-3.654,-4.06,-4.077,-4.447,-4.368,34.4,5347.0,5784.6,0.971,2,0.0828,1.7,280.25276444138,-6.09722740672,Gaia DR3 4253442933709196288,CKSct,4253442933709196288,280.25276,-6.09722,7.4152193,0.870124,1240.6,27.5,31.4,0.7,10.468,0.048,-2.442,-1.506,-2.339,-3.177,-3.684,-4.09,-4.107,-4.477,-4.398,-4.3753643,0.757,-1.34,0.055,MW,FU,2.0,0.133
TZMon,0.870882,11.459,10.796,9.468,8.006,8.551,7.856,11.233583,10.510648,9.667273,13.551,12.40368207514518,0.42,0.8522,-3.869,-4.114,-4.908,-5.396,-5.791,-5.856,-6.142,-6.173,78.2,5369.0,5881.3,1.236,4,-0.2279,10.1,104.50389379431,-0.37596337895,Gaia DR3 3112475495616980992,TZMon,3112475495616980992,104.50389,-0.37596,7.428172,0.870882,5203.6,312.7,71.3,4.3,13.582,0.13,-4.241,-3.9,-4.144,-4.939,-5.427,-5.822,-5.887,-6.173,-6.204,-6.0473423,0.42,54.14,0.08,MW,FU,4.0,-0.064
V1344Aql,0.873787,9.131,7.766,6.311,4.729,5.279,4.59,8.014604,7.250043,6.381505,10.969,9.712609588121726,0.546,0.5901,-4.148,-4.967,-5.73,-6.205,-6.559,-6.589,-6.915,-6.853,107.4,5529.0,5299.9,0.917,4,-0.2792,19.8,287.99653924734,4.3548290869,Gaia DR3 4293157229319068544,V1344Aql,4293157229319068544,287.99655,4.35486,7.4780264,0.873787,1584.4,92.8,97.9,5.7,10.999,0.127,-5.057,-4.178,-4.997,-5.76,-6.235,-6.589,-6.619,-6.945,-6.883,-6.851844,0.546,-4.0,-0.075,MW,FU,4.0,0.101
RSOri,0.878917,9.376,8.414,7.253,6.018,6.489,5.917,8.788838,8.193092,7.4433384,11.137,11.001908401272402,0.352,0.5525,-3.251,-3.861,-4.575,-4.98,-5.325,-5.355,-5.684,-5.614,59.9,5687.0,5707.3,1.119,4,-0.1611,5.6,95.55497028344,14.67812664531,Gaia DR3 3368698813404804352,RSOri,3368698813404804352,95.55497,14.67813,7.566881,0.878917,1712.0,53.8,54.6,1.7,11.168,0.068,-3.912,-3.282,-3.891,-4.606,-5.011,-5.356,-5.386,-5.715,-5.645,-5.5313587,0.352,43.65,0.005,MW,FU,4.0,-0.02
WSgr,0.880529,5.423,4.672,3.863,2.941,3.311,2.847,5.014106,4.585245,3.9059231,6.963,8.12792057924312,0.108,0.0938,-1.997,-2.641,-3.312,-3.754,-4.085,-4.157,-4.354,-4.435,34.5,5669.0,5125.1,3.952,5,-0.8508,1.7,271.25513249315,-29.58010989671,Gaia DR3 4050309195613114624,WSgr,4050309195613114624,271.2551,-29.58009,7.595022,0.880529,250.4,13.5,31.4,1.7,6.993,0.117,-2.696,-2.027,-2.671,-3.342,-3.784,-4.115,-4.187,-4.384,-4.465,-4.5133023,0.108,-27.88,0.01,MW,FU,5.0,-0.002
GHCyg,0.893092,11.159,9.896,8.43,6.799,7.356,6.638,10.179724,9.393191,8.509033,12.108,11.717694705460506,0.63,,-3.615,-4.251,-4.915,-5.346,-5.677,-5.713,-5.951,-5.965,70.1,5741.0,,1.073,6,,7.5,299.79497615604,29.45072316718,Gaia DR3 2030063919381336832,GHCyg,2030063919381336832,299.79499,29.45074,7.817934,0.893092,2676.8,122.2,63.8,2.9,12.138,0.099,-4.291,-3.645,-4.281,-4.945,-5.376,-5.707,-5.743,-5.981,-5.995,-5.91912,0.63,-2.73,0.005,MW,FU,6.0,0.126
VYCyg,0.895256,10.822,9.582,8.079,6.548,7.102,6.396,9.990324,9.205185,8.323429,11.147,11.429397374880352,0.606,,-2.889,-3.525,-4.259,-4.617,-4.953,-4.984,-5.4,-5.236,50.1,5747.0,,1.073,5,,3.6,316.06930218182,39.97223311596,Gaia DR3 1873112207907294848,VYCyg,1873112207907294848,316.06932,39.97225,7.856986,0.895256,1718.9,52.2,45.5,1.4,11.176,0.066,-3.563,-2.918,-3.554,-4.288,-4.646,-4.982,-5.013,-5.429,-5.265,-5.1379147,0.606,-11.66,-0.015,MW,FU,5.0,-0.064
RXCam,0.898288,8.888,7.669,6.223,4.724,5.266,4.599,7.921562,7.179552,6.326295,9.506,10.854503346390041,0.532,,-2.869,-3.555,-4.327,-4.742,-5.093,-5.112,-5.524,-5.366,54.2,5606.0,,2.143,5,,4.3,61.24359254184,58.65978110563,Gaia DR3 470361114339849472,RXCam,470361114339849472,61.2436,58.65978,7.912032,0.898288,807.3,28.4,49.2,1.7,9.535,0.076,-3.623,-2.898,-3.584,-4.356,-4.771,-5.122,-5.141,-5.553,-5.395,-5.3864555,0.532,-0.06,0.0,MW,FU,5.0,0.019
WGem,0.898368,7.865,6.95,5.901,4.763,5.204,4.693,7.355924,6.75011,6.033707,9.795,9.91019545058013,0.255,,-3.009,-3.669,-4.395,-4.831,-5.181,-5.2,-5.522,-5.453,55.9,5651.0,,1.225,6,,4.6,98.73938107213,15.33046066377,Gaia DR3 3356940155020790656,WGem,3356940155020790656,98.73939,15.33047,7.913488,0.898368,922.2,59.7,50.8,3.3,9.824,0.141,-3.727,-3.038,-3.699,-4.424,-4.86,-5.21,-5.229,-5.551,-5.482,-5.5861025,0.255,1.45,0.08,MW,FU,6.0,-0.05
UVul,0.902584,8.419,7.125,5.542,4.099,4.631,3.957,7.601454,6.700444,5.7924933,9.006,9.363454954252909,0.603,,-3.139,-3.829,-4.648,-4.944,-5.259,-5.281,-5.917,-5.513,47.7,5760.0,,2.883,3,,3.2,294.15720454195,20.33293147254,Gaia DR3 1825621002188696448,UVul,1825621002188696448,294.1572,20.33294,7.990686,0.902584,641.2,11.6,52.1,0.9,9.035,0.039,-3.865,-3.168,-3.858,-4.677,-4.973,-5.288,-5.31,-5.946,-5.542,-5.7715816,0.603,-0.27,0.005,MW,FU,3.0,0.082
DLCas,0.903126,10.121,8.968,7.575,6.101,6.651,5.949,9.289058,8.57736,7.724942,11.647,11.049373376975083,0.488,0.7861,-3.591,-4.256,-5.031,-5.456,-5.831,-5.885,-6.234,-6.181,64.9,5515.0,5814.4,1.883,4,-0.2499,6.2,7.49409611203,60.21195729734,Gaia DR3 428620663657823232,DLCas,428620663657823232,7.49412,60.21196,8.000664,0.903126,2164.3,61.2,70.7,2.0,11.677,0.061,-4.341,-3.621,-4.285,-5.061,-5.486,-5.861,-5.915,-6.264,-6.211,-6.0714593,0.488,-36.74,0.005,MW,FU,4.0,-0.024
BKAur,0.903222,10.524,9.457,8.249,6.885,7.387,6.772,9.716227,9.128825,8.322496,11.408,11.677938427875784,0.425,0.6489,-2.682,-3.323,-3.994,-4.422,-4.771,-4.799,-5.032,-5.059,38.3,5733.0,6079.9,1.007,3,-0.0671,2.0,77.66762373902,49.68760306511,Gaia DR3 261548119462093568,BKAur,261548119462093568,77.66762,49.68761,8.002433,0.903222,1938.4,61.9,41.7,1.3,11.437,0.069,-3.364,-2.711,-3.352,-4.023,-4.451,-4.8,-4.828,-5.061,-5.088,-4.9562626,0.425,-34.54,-0.005,MW,FU,3.0,0.005
SSge,0.923352,6.424,5.617,4.775,3.846,4.227,3.765,5.908135,5.461868,4.816586,9.342,8.841839350480978,0.099,0.267,-3.337,-4.046,-4.762,-5.208,-5.554,-5.615,-5.874,-5.894,57.1,5591.0,5639.0,4.003,4,-0.1011,4.4,299.00526380027,16.63476346161,Gaia DR3 1820309639468685824,SSge,1820309639468685824,299.00526,16.6348,8.382084,0.923352,748.5,17.2,62.1,1.4,9.371,0.05,-4.118,-3.366,-4.074,-4.791,-5.237,-5.583,-5.644,-5.903,-5.923,-5.983075,0.099,-15.67,-0.005,MW,FU,4.0,0.081
GHLup,0.967448,8.844,7.637,6.364,4.96,5.492,4.813,7.864696,7.213343,6.4247494,10.563,10.22261827152559,0.347,,-3.187,-4.047,-4.881,-5.398,-5.806,-5.883,-6.174,-6.217,67.5,5261.0,,0.95,3,,5.6,231.15974101293,-52.85387016499,Gaia DR3 5888819699572539264,GHLup,5888819699572539264,231.15975,-52.85386,9.2778635,0.967448,1312.2,23.6,72.9,1.3,10.59,0.039,-4.201,-3.214,-4.074,-4.908,-5.425,-5.833,-5.91,-6.201,-6.244,-6.1125565,0.347,-16.37,-0.04,MW,FU,3.0,0.089
FNAql,0.976878,9.593,8.389,6.947,5.495,6.05,5.356,8.70911,8.005132,7.1034007,10.327,10.582928469687205,0.486,0.7629,-2.79,-3.507,-4.335,-4.735,-5.116,-5.158,-5.617,-5.449,47.1,5486.0,5499.4,1.125,2,-0.1958,2.5,288.19713780418,3.55739781345,Gaia DR3 4269036830424588800,FNAql,4269036830424588800,288.19715,3.55742,9.481522,0.976878,1176.9,19.8,50.8,0.9,10.354,0.036,-3.601,-2.817,-3.534,-4.362,-4.762,-5.143,-5.185,-5.644,-5.476,-5.3997154,0.486,12.91,0.01,MW,FU,2.0,-0.083
