name,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),RA_ICRS,DE_ICRS,plxDR3,mMplx,Period,mM0
VXPer,1.036883,10.492,9.299,7.919,6.298,0.475,6.98,6.437,Gaia DR3 506779550797525760,31.95200190538,58.44353350743,0.3636,1.122,8.893997,1.551426,0.699904,0.851521,,-0.2182,0.8165,31.95200190538,58.44353350743,0.3921911079498416,12.032511286029786,10.886367,13.453
CRCep,0.794695,11.048,9.655,7.929,5.935,0.709,6.754,6.098,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,0.6727,1.056,9.031693,1.843758,0.902249,0.941508,-24.7,,,341.60317447817,59.44218743844,0.6991364560132636,10.777190256394054,6.2329698,9.973
FMCas,0.764123,10.119,9.128,7.978,6.638,0.325,7.223,6.746,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,0.4463,1.081,8.797508,1.280448,0.537297,0.743151,-37.31,-0.0682,0.4114,3.61765603372,56.25293038823,0.4658200030981689,11.658909330309495,5.809289,11.089
VXCyg,1.303917,11.769,10.062,8.161,5.905,0.753,6.816,6.083,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,0.2878,0.998,9.421895,2.121063,1.097628,1.023436,-15.58,0.163,1.2215,314.33678002732,40.17748649759,0.32106299488409235,12.467048737564072,20.133396,12.358
RSCas,0.799056,11.423,9.944,8.217,6.03,0.833,6.884,6.227,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,0.6029,1.045,9.329637,1.962568,0.976338,0.98623,-39.21,-0.1898,1.2549,354.31690503772,62.42898845585,0.6321993518768109,10.99572976864851,6.2958736,10.35
BKAur,0.903222,10.524,9.457,8.249,6.772,0.425,7.387,6.885,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,0.3927,1.007,9.128825,1.39373,0.587401,0.806329,-37.04,-0.0671,0.6489,77.66762373902,49.68760306511,0.42475575238114144,11.859303654284332,8.002433,11.437
BZCyg,1.006127,11.837,10.221,8.324,5.924,0.885,6.886,6.155,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,0.4718,1.138,9.456697,2.054071,1.053965,1.000107,-16.57,-0.219,1.3121,311.49912578441,45.30693439453,0.5014226161897489,11.49898040748436,10.142079,11.916
SWCas,0.735675,10.808,9.703,8.387,6.859,0.467,7.5,6.982,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,0.4363,1.123,9.355734,1.465435,0.648597,0.816838,-32.01,-0.5406,0.8127,346.79198165636,58.55419147277,0.46125949534382754,11.68027340245187,5.4409533,11.69
RYCas,1.084181,11.321,9.95,8.403,6.373,0.618,7.175,6.551,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,0.3297,1.134,9.384336,1.74932,0.858231,0.891089,-92.26,-1.8015,0.7186,358.02927448682,58.74171978277,0.361690031975352,12.208317300230512,12.138946,12.092
TWCMa,0.844792,10.534,9.564,8.419,7.069,0.329,7.66,7.175,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,0.3598,1.149,9.219297,1.232201,0.588377,0.643824,62.79,,,110.50990452423,-14.31817971516,0.379510227629855,12.103882577849669,6.9950695,11.297
GHCyg,0.893092,11.159,9.896,8.43,6.638,0.63,7.356,6.799,Gaia DR3 2030063919381336832,299.79497615604,29.45072316718,0.3891,1.073,9.393191,1.670691,0.786532,0.884158,,,,299.79497615604,29.45072316718,0.4163786436795454,11.902557769126211,7.817934,12.138
DDCas,0.991759,11.076,9.879,8.507,6.948,0.45,7.627,7.068,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,0.3221,1.049,9.469182,1.480394,0.661828,0.818566,-62.72,-1.1153,0.0309,359.39564965836,62.71824065724,0.34722805034859505,12.296925990929065,9.812035,12.379
YAur,0.586529,10.512,9.614,8.571,7.167,0.375,7.743,7.284,Gaia DR3 195373217573454464,82.16349483157,42.43772581388,0.5061,1.122,9.457623,1.320739,0.577438,0.7433,15.6,,,82.16349483157,42.43772581388,0.5371749391947513,11.349421283286414,3.8594823,11.614
AAGem,1.053181,10.809,9.729,8.581,7.106,0.309,7.734,7.2,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,0.2749,1.249,9.393121,1.363424,0.614984,0.748441,,-0.2277,0.5586,91.64560763763,26.32921983415,0.30963550773175963,12.545746210105019,11.3026705,12.648
V0438Cyg,1.049647,12.847,10.943,8.639,5.789,1.238,6.921,6.081,Gaia DR3 2062267687221984128,304.72629821519,40.06447451486,0.4929,1.094,9.948211,2.474897,1.365044,1.109854,,-0.097,1.958,304.72629821519,40.06447451486,0.5325027539977432,11.368390708996074,11.211069,11.432
V0495Cyg,0.827263,12.246,10.618,8.694,6.314,0.978,7.233,6.542,Gaia DR3 2055809495218465152,303.99301316376,35.01469729736,0.4007,1.318,9.849618,2.114818,1.084445,1.030373,-5.13,,,303.99301316376,35.01469729736,0.4367947073131049,11.798613163314204,6.718356,12.397
XYCas,0.653376,11.085,9.953,8.736,7.212,0.533,7.832,7.335,Gaia DR3 426881614218441600,12.47192037703,60.12737898732,0.4069,1.18,9.585123,1.455218,0.668857,0.786362,-37.01,,,12.47192037703,60.12737898732,0.43694330091770417,11.797874573685071,4.5016937,11.076
SYCas,0.609712,10.85,9.873,8.752,7.343,0.442,7.909,7.448,Gaia DR3 422923956470923008,3.79086871838,58.42428046193,0.4018,1.039,9.639541,1.344128,0.587946,0.756182,,-0.2768,0.8255,3.79086871838,58.42428046193,0.4247657513515505,11.859252537300778,4.0711017,11.511
CKSct,0.870124,12.165,10.575,8.778,6.652,0.757,7.498,6.82,Gaia DR3 4253442933709196288,280.25276444138,-6.09722740672,0.4498,0.971,9.911044,2.009689,1.019316,0.990374,12.06,0.0828,1.2191,280.25276444138,-6.09722740672,0.48642660842272284,11.564913381926086,7.4152193,10.468
TYSct,1.043507,12.507,10.818,8.825,6.429,0.965,7.355,6.638,Gaia DR3 4256744187345732224,280.53296920017,-4.29349280288,0.3279,0.905,9.899057,2.149066,1.121984,1.027081,8.63,,,280.53296920017,-4.29349280288,0.37681848692297226,12.119338993147352,11.053682,11.663
CRSer,0.724391,12.492,10.853,8.895,6.548,1.036,7.463,6.763,Gaia DR3 4147381366335558784,272.50887793975,-13.54596188866,0.5351,1.19,10.01851,2.14095,1.103185,1.037766,-2.17,,,272.50887793975,-13.54596188866,0.5759096686145506,11.198228151449277,5.301405,11.6
UZSct,1.168739,13.124,11.247,9.184,6.534,1.02,7.534,6.746,Gaia DR3 4104869264724284544,277.8431918063,-12.92871602632,0.2758,0.913,10.364139,2.354671,1.258821,1.09585,59.41,0.2063,1.2352,277.8431918063,-12.92871602632,0.3201175430643087,12.47345262510475,14.748197,12.755
CYAur,1.141376,13.446,11.867,9.962,7.774,0.768,8.708,7.961,Gaia DR3 206577210999441536,74.41700356968,46.09253021377,0.2316,1.16,11.216944,1.984124,0.899126,1.084998,,,,74.41700356968,46.09253021377,0.2642422608350101,12.889988617564725,13.847649,13.757
WWMon,0.66858,13.637,12.51,11.137,9.392,0.605,10.064,9.507,Gaia DR3 3326443821335586816,98.40492430617,9.20356771487,0.1831,1.094,12.31651,1.656837,0.734677,0.92216,65.84,-0.4897,0.9973,98.40492430617,9.20356771487,0.19566250238358507,13.542461982294023,4.662083,13.291
