name,logP,B_mag,V_mag,I_mag,K_mag,IRSB,sig_mM0_IRSB,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,EBV,sig_EBV,J_mag,H_mag,dist_IRSB,sig_dist_IRSB
CFCas,0.687994,12.338,11.128,9.691,7.966,12.212,0.025,-2.213,-2.869,-3.607,-4.033,-4.403,-4.459,-4.75,-4.752,0.553,0.02,8.701,8.132,2769.3,32.4
CKSct,0.870124,12.165,10.575,8.778,6.652,10.438,0.048,-1.476,-2.308,-3.147,-3.654,-4.06,-4.077,-4.447,-4.368,0.757,0.02,7.498,6.82,1223.4,27.2
CNSct,0.999665,14.501,12.479,9.61,6.769,11.603,0.027,-2.205,-3.019,,-4.749,-5.23,-5.297,,-5.675,1.206,0.02,7.991,7.078,2092.4,26.2
CPCep,1.251989,12.223,10.577,8.773,6.537,12.78,0.042,-3.303,-4.3,-5.282,-5.935,-6.433,-6.492,-6.806,-6.875,0.649,0.02,7.457,6.726,3597.9,69.5
CRCep,0.794695,11.048,9.655,7.929,5.935,9.94,0.029,-1.892,-2.576,-3.403,-3.855,-4.256,-4.278,-4.687,-4.569,0.709,0.02,6.754,6.098,972.7,12.8
CRSer,0.724391,12.492,10.853,8.895,6.548,11.565,0.112,-3.456,-4.059,-4.705,-5.079,-5.408,-5.415,-5.707,-5.647,1.036,0.02,7.463,6.763,2055.9,106.0
CSOri,0.589855,12.27,11.371,9.923,8.85,13.597,0.25,-2.947,-3.467,,-4.534,-4.868,-4.894,,-5.142,0.383,0.02,9.425,8.953,5241.4,602.6
CSVel,0.771201,13.049,11.709,10.068,8.018,12.515,0.074,-2.584,-3.192,-3.894,-4.371,-4.712,-4.78,-4.992,-5.061,0.737,0.02,8.84,8.234,3184.1,108.4
CTCar,1.256661,12.182,12.226,10.931,8.578,15.09,0.047,-5.319,-4.706,-5.279,-6.161,-6.632,-6.731,-6.169,-7.124,0.57,0.02,9.467,8.792,10421.8,224.0
CVMon,0.730685,11.596,10.305,8.616,6.576,10.918,0.034,-2.377,-2.944,-3.72,-4.195,-4.549,-4.619,-4.922,-4.911,0.722,0.02,7.404,6.791,1526.0,23.8
