name,logP,B_mag,V_mag,I_mag,K_mag,IRSB,sig_mM0_IRSB,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,EBV,sig_EBV,J_mag,H_mag,dist_IRSB,sig_dist_IRSB
XVul,0.800689,10.28,8.835,7.137,5.255,9.437,0.056,-2.297,-2.999,-3.757,-4.116,-4.445,-4.467,-4.934,-4.709,0.742,0.02,6.021,5.426,771.7,20.1
XXCen,1.039548,8.803,7.819,6.736,5.407,10.999,0.025,-3.343,-4.057,-4.796,-5.263,-5.627,-5.696,-5.944,-5.994,0.271,0.02,5.991,5.53,1584.3,18.6
XXSgr,0.807815,9.967,8.856,7.469,5.824,10.477,0.075,-2.714,-3.307,-4.031,-4.473,-4.82,-4.853,-5.159,-5.115,0.521,0.02,6.496,5.961,1245.8,43.0
XYCas,0.653376,11.085,9.953,8.736,7.212,11.039,0.068,-2.209,-2.808,-3.35,-3.71,-4.016,-4.032,-4.191,-4.253,0.533,0.02,7.832,7.335,1613.4,50.5
YAur,0.586529,10.512,9.614,8.571,7.167,11.575,0.139,-2.65,-3.172,-3.74,-4.186,-4.51,-4.552,-4.621,-4.804,0.375,0.02,7.743,7.284,2065.1,131.9
YLac,0.635863,9.874,9.144,8.277,7.225,11.936,0.031,-2.98,-3.493,-4.085,-4.435,-4.747,-4.794,-5.004,-5.042,0.217,0.02,7.706,7.316,2438.8,34.9
YOph,1.233609,7.531,6.166,4.524,2.682,8.78,0.025,-3.987,-4.705,-5.526,-5.953,-6.29,-6.347,-6.803,-6.617,0.647,0.02,3.437,2.869,570.2,6.6
YSct,1.014575,11.194,9.632,7.841,5.691,11.248,0.042,-3.257,-4.06,-4.894,-5.384,-5.794,-5.848,-6.185,-6.168,0.757,0.02,6.578,5.896,1776.9,34.7
YSgr,0.761428,6.595,5.743,4.797,3.612,8.143,0.071,-2.343,-3.008,-3.715,-4.189,-4.551,-4.603,-4.814,-4.887,0.188,0.02,4.131,3.702,425.3,13.9
YZAur,1.259902,11.716,10.349,8.951,6.732,13.138,0.041,-3.698,-4.529,,-6.04,-6.547,-6.613,,-7.006,0.538,0.02,7.605,6.906,4242.4,80.5
YZSgr,0.980171,8.372,7.351,6.214,4.903,10.361,0.028,-3.178,-3.92,-4.699,-5.154,-5.523,-5.566,-5.91,-5.849,0.281,0.02,5.472,5.003,1181.0,15.2
ZLac,1.036854,9.514,8.414,7.148,5.693,11.37,0.049,-3.422,-4.15,-4.949,-5.373,-5.759,-5.82,-6.187,-6.127,0.37,0.02,6.346,5.827,1879.3,42.2
ZSct,1.110645,10.927,9.592,8.055,6.323,12.298,0.026,-3.453,-4.296,-5.209,-5.707,-6.107,-6.164,-6.626,-6.478,0.492,0.02,7.055,6.478,2881.5,34.9
ZetaGem,1.006497,4.708,3.849,3.117,2.131,7.932,0.048,-3.284,-4.13,,-5.333,-5.739,-5.806,,-6.132,0.014,0.02,2.612,2.201,385.9,8.5
betaDor,0.993131,4.545,3.743,2.947,1.959,7.703,0.031,-3.373,-4.124,-4.856,-5.313,-5.703,-5.763,-5.992,-6.073,0.051,0.02,2.438,2.029,347.2,4.9
dCeph,0.729678,4.612,3.959,3.209,2.325,7.13,0.037,-2.835,-3.414,-4.068,-4.453,-4.781,-4.834,-5.083,-5.097,0.075,0.02,2.748,2.392,266.6,4.5
etaAql,0.85593,4.689,3.904,3.018,1.985,7.032,0.038,-2.889,-3.547,-4.267,-4.694,-5.041,-5.096,-5.387,-5.374,0.129,0.02,2.46,2.066,254.9,4.4
lCar,1.550816,5.009,3.729,2.557,1.093,8.496,0.023,-4.105,-5.238,-6.226,-6.867,-7.37,-7.459,-7.756,-7.866,0.146,0.02,1.766,1.212,500.2,5.2
xSgr,0.845893,5.311,4.561,3.655,2.521,7.529,0.036,-3.221,-3.734,-4.34,-4.737,-5.05,-5.099,-5.28,-5.348,0.237,0.02,3.016,2.618,320.5,5.4
