,name,logP,BV,BI,BJ,BH,BK,VI,VJ,VH,VK,IJ,IH,IK,JH,JK,HK
0,V0 465Mon,0.433514,0.34868279999999996,0.9377397599999997,1.327693839999999,1.6392125199999998,1.6613490799999997,0.5890569599999997,0.9790110399999989,1.2905297199999999,1.3126662799999997,0.3899540799999993,0.7014727600000003,0.72360932,0.31151868000000094,0.3336552400000007,0.022136559999999736
1,EV Sct,0.490098,0.490148499999999,1.1818137,1.4722682999999992,1.7304311499999985,1.7422608499999996,0.6916652000000008,0.9821198000000002,1.24028265,1.2521123500000007,0.29045459999999956,0.548617449999999,0.5604471499999997,0.2581628499999995,0.26999255000000016,0.011829700000000692
2,SZ Tau,0.498166,0.5436165000000004,1.1790992999999999,1.5679987000000002,1.8752323500000005,1.9161556500000003,0.6354827999999995,1.0243821999999998,1.3316158500000002,1.3725391499999997,0.3888994000000004,0.6961330500000007,0.7370563500000002,0.3072336500000003,0.3481569499999999,0.04092329999999965
3,SS Sct,0.564814,0.6215774999999991,1.3330754999999994,1.7153544999999988,2.0428322499999987,2.0697477499999994,0.7114980000000002,1.0937769999999998,1.4212547499999997,1.4481702500000002,0.3822789999999995,0.7097567499999995,0.7366722499999999,0.32747775,0.3543932500000005,0.026915500000000522
4,QZ Nor,0.578244,0.6236581000000004,1.29465802,1.75521918,2.0639257900000003,2.1252574100000006,0.6709999199999996,1.1315610799999996,1.4402676900000002,1.50159931,0.4605611600000001,0.7692677700000006,0.8305993900000004,0.3087066100000005,0.37003823000000036,0.06133161999999988
5,AD Gem,0.578408,0.5187751000000002,1.115729420000001,1.4511517800000013,1.7691260900000003,1.8044811100000007,0.5969543200000007,0.9323766800000012,1.2503509900000003,1.2857060100000006,0.3354223600000005,0.6533966699999995,0.6887516899999997,0.31797430999999904,0.35332932999999933,0.035355020000000285
6,YA ur,0.586529,0.5225124999999997,1.0907025000000008,1.5359475,1.8604987500000005,1.9024012500000007,0.5681900000000011,1.0134350000000003,1.337986250000001,1.379888750000001,0.4452449999999994,0.76979625,0.8116987499999999,0.32455125000000057,0.3664537500000006,0.041902499999999995
7,AA Mon,0.595294,-0.394029600000001,0.25217167999999823,0.6827931199999986,1.0468373599999983,1.073231439999999,0.6462012799999992,1.0768227199999996,1.4408669599999997,1.46726104,0.4306214400000007,0.7946656800000003,0.8210597600000007,0.36404423999999974,0.3904383200000002,0.026394080000000486
8,TY Mon,0.604502,-0.22670850000000098,-0.21676569999999984,0.8649636999999997,1.2085648499999995,1.2424231499999987,0.009942800000001029,1.0916722000000008,1.4352733500000008,1.4691316499999996,1.0817294,1.4253305499999995,1.4591888499999983,0.34360114999999974,0.37745944999999864,0.0338582999999989
9,ST Tau,0.605768,0.47852160000000127,1.0935747200000008,1.5039644800000003,1.8260254400000009,1.8623297600000006,0.6150531199999996,1.025442879999999,1.34750384,1.3838081599999992,0.4103897599999996,0.7324507200000002,0.7687550399999996,0.3220609600000007,0.3583652800000001,0.03630431999999943
10,BF Oph,0.609329,0.6276944999999996,1.3011468999999996,1.7262870999999995,2.058032549999999,2.1179714499999993,0.6734524000000002,1.0985926000000001,1.4303380499999996,1.4902769499999997,0.4251402000000001,0.7568856499999995,0.8168245499999998,0.3317454499999995,0.3916843499999997,0.05993890000000021
