,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
56,56,56,68,FNAql,0.976878,10.707,0.4342554672731556,9.593,8.389,6.947,6.05,5.495,5.356
57,57,57,69,YZSgr,0.980171,10.361,0.258484541106689,8.372,7.351,6.214,5.472,5.003,4.903
58,58,58,70,SMus,0.98498,9.59,0.1482363527872922,6.963,6.136,5.188,4.553,4.127,4.017
59,59,59,71,SNor,0.989194,9.708,0.2129190848609143,7.375,6.429,5.427,4.729,4.275,4.162
60,60,60,72,DDCas,0.991759,12.353,0.4203032907631981,11.076,9.879,8.507,7.627,7.068,6.948
61,61,61,73,betaDor,0.993131,7.603000000000001,0.0421167597471659,4.545,3.743,2.947,2.438,2.029,1.959
62,62,62,75,BZCyg,1.006127,11.19,0.9448321910355426,11.837,10.221,8.324,6.886,6.155,5.924
63,63,63,77,ZetaGem,1.006497,7.832,0.0366090077071852,4.708,3.849,3.117,2.612,2.201,2.131
64,64,64,78,YSct,1.014575,11.028,0.7801592736732346,11.194,9.632,7.841,6.578,5.896,5.691
65,65,65,79,TWNor,1.032868,11.591,1.2443221266405282,13.63,11.701,9.287,7.506,6.694,6.39
66,66,66,80,ZLac,1.036854,11.35,0.3212445366901997,9.514,8.414,7.148,6.346,5.827,5.693
67,67,67,81,VXPer,1.036883,11.878,0.4379073880806237,10.492,9.299,7.919,6.98,6.437,6.298
68,68,68,82,XXCen,1.039548,11.119,0.2370218858732959,8.803,7.819,6.736,5.991,5.53,5.407
69,69,69,83,TYSct,1.043507,11.778,0.946826666870963,12.507,10.818,8.825,7.355,6.638,6.429
70,70,70,84,SVPer,1.046469,11.903,0.3602841997095114,10.023,8.977,7.734,6.891,6.355,6.237
71,71,71,85,V0438Cyg,1.049647,11.067,1.2138453122213837,12.847,10.943,8.639,6.921,6.081,5.789
72,72,72,87,AAGem,1.053181,12.772,0.3596534981703749,10.809,9.729,8.581,7.734,7.2,7.106
73,73,73,88,RXAur,1.065337,11.036,0.2502635142294095,8.631,7.669,6.59,5.819,5.355,5.269
74,74,74,89,UUMus,1.065819,12.553,0.4399808050922421,10.936,9.794,8.486,7.528,6.989,6.828
75,75,75,90,RYCas,1.084181,12.029,0.691663658621224,11.321,9.95,8.403,7.175,6.551,6.373
76,76,76,91,UNor,1.101875,10.629,0.8771383241145949,10.841,9.247,7.352,5.931,5.237,4.991
77,77,77,93,ZSct,1.110645,12.138,0.4847709533875093,10.927,9.592,8.055,7.055,6.478,6.323
78,78,78,95,BNPup,1.135867,12.892,0.4038819754821119,11.069,9.882,8.552,7.626,7.076,6.921
79,79,79,96,TTAql,1.138459,10.01,0.4018305908105193,8.436,7.138,5.678,4.772,4.204,4.051
80,80,80,97,CYAur,1.141376,13.536,0.782838409891637,13.446,11.867,9.962,8.708,7.961,7.774
81,81,81,98,LSPup,1.150646,13.363,0.4573823964146964,11.685,10.448,9.074,8.094,7.518,7.353
