,level_0,index,ID,logP,IRSB,plx,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,DR3Name,Gmag,BPmag,RPmag,RA_ICRS,DE_ICRS
30,33,35,RRLac,0.807281,10.943,11.674609409067935,0.319,9.753,8.842,7.816,7.058,6.619,6.527,Gaia DR3 2006989121667184384,8.684987,9.21242,7.924542,340.36049512807,56.43277230583
31,34,36,XXSgr,0.807815,10.648,10.592480841288962,0.521,9.967,8.856,7.469,6.496,5.961,5.824,Gaia DR3 4096979650282842112,8.539941,9.241948,7.664947,276.18541940721,-16.79717387453
32,35,37,BBSgr,0.821971,9.784,9.559813198538286,0.281,7.924,6.94,5.822,5.099,4.639,4.51,Gaia DR3 4085919765884068736,6.584278,7.13682,5.878089,282.74947248862,-20.29525298445
33,36,38,VCar,0.82586,9.871,10.389031150564474,0.166,8.235,7.368,6.421,5.806,5.387,5.284,Gaia DR3 5302258008774271488,7.17335,7.650739,6.511265,127.18202311384,-60.12256315649
34,37,39,V0495Cyg,0.827263,12.541,11.622048975110925,0.978,12.246,10.618,8.694,7.233,6.542,6.314,Gaia DR3 2055809495218465152,9.849618,10.934063,8.819245,303.99301316376,35.01469729736
35,38,40,USgr,0.828997,9.058,8.923040732551554,0.402,7.786,6.69,5.426,4.587,4.093,3.954,Gaia DR3 4092905375639902464,6.42923,7.129108,5.63952,277.97220951561,-19.1250998575
36,39,41,TWCMa,0.844792,11.447,11.901871648972966,0.329,10.534,9.564,8.419,7.66,7.175,7.069,Gaia DR3 3031875585286182144,9.219297,9.807674,8.575474,110.50990452423,-14.31817971516
37,40,42,xSgr,0.845893,7.711,7.716269118243055,0.237,5.311,4.561,3.655,3.016,2.618,2.521,Gaia DR3 4057701830728920064,4.327284,4.77966,3.681707,266.89007492147,-27.83083461775
38,41,43,V0600Aql,0.859672,11.325,11.259348318024385,0.798,11.527,10.036,8.199,7.074,6.45,6.272,Gaia DR3 4307944836090489600,9.388953,10.304283,8.407346,290.25978306915,8.51632750768
39,42,44,V0459Cyg,0.860413,11.706,11.8820689467904,0.73,12.035,10.601,8.837,7.715,7.073,6.903,Gaia DR3 2165771172070496512,10.057569,11.019217,9.072442,317.72653587334,49.14204142755
40,43,46,CKSct,0.870124,10.626,11.40572101874594,0.757,12.165,10.575,8.778,7.498,6.82,6.652,Gaia DR3 4253442933709196288,9.911044,10.93036,8.920671,280.25276444138,-6.09722740672
41,44,47,TZMon,0.870882,13.74,12.40368207514518,0.42,11.459,10.796,9.468,8.551,8.006,7.856,Gaia DR3 3112475495616980992,10.510648,11.233583,9.667273,104.50389379431,-0.37596337895
42,45,48,V1344Aql,0.873787,11.159,9.712609588121726,0.546,9.131,7.766,6.311,5.279,4.729,4.59,Gaia DR3 4293157229319068544,7.250043,8.014604,6.381505,287.99653924734,4.3548290869
43,46,49,RSOri,0.878917,11.328,11.001908401272402,0.352,9.376,8.414,7.253,6.489,6.018,5.917,Gaia DR3 3368698813404804352,8.193092,8.788838,7.443338,95.55497028344,14.67812664531
44,47,50,BKAur,0.903222,11.207,11.677938427875784,0.425,10.524,9.457,8.249,7.387,6.885,6.772,Gaia DR3 261548119462093568,9.128825,9.716227,8.322496,77.66762373902,49.68760306511
45,48,51,GHLup,0.967448,10.381,10.22261827152559,0.347,8.844,7.637,6.364,5.492,4.96,4.813,Gaia DR3 5888819699572539264,7.213343,7.864696,6.424749,231.15974101293,-52.85387016499
46,49,52,FNAql,0.976878,10.148,10.582928469687204,0.486,9.593,8.389,6.947,6.05,5.495,5.356,Gaia DR3 4269036830424588800,8.005132,8.70911,7.103401,288.19713780418,3.55739781345
47,50,53,YZSgr,0.980171,10.183,10.244027307737111,0.281,8.372,7.351,6.214,5.472,5.003,4.903,Gaia DR3 4099189015819292800,7.014152,7.592309,6.27917,282.36912121969,-16.72304157114
48,51,54,SNor,0.989194,9.712,9.728963126792776,0.179,7.375,6.429,5.427,4.729,4.275,4.162,Gaia DR3 5835124087174043136,6.175861,6.699772,5.503014,244.7159519047,-57.89980282729
49,52,55,DDCas,0.991759,12.178,12.077054664486075,0.45,11.076,9.879,8.507,7.627,7.068,6.948,Gaia DR3 2013029941628292352,9.469182,10.13101,8.650616,359.39564965836,62.71824065724
50,53,56,BZCyg,1.006127,11.72,11.344383530323435,0.885,11.837,10.221,8.324,6.886,6.155,5.924,Gaia DR3 2070224337474904064,9.456697,10.510661,8.45659,311.49912578441,45.30693439453
51,54,57,SYAur,1.006262,11.936,11.519353307836806,0.432,10.09,9.07,7.843,7.008,6.524,6.405,Gaia DR3 201509768065410944,8.798152,9.384711,8.009101,78.16345237446,42.83178007665
52,55,58,YSct,1.014575,11.08,11.143930014246289,0.757,11.194,9.632,7.841,6.578,5.896,5.691,Gaia DR3 4156450099578283776,8.931744,9.911994,7.900858,279.51377343258,-8.36894716336
53,56,59,TWNor,1.032868,11.529,11.971016997017266,1.157,13.63,11.701,9.287,7.506,6.694,6.39,Gaia DR3 5981406000300438016,10.565082,12.008674,9.417015,241.23009532876,-51.95352728432
54,57,60,ZLac,1.036854,11.209,11.32206851288647,0.37,9.514,8.414,7.148,6.346,5.827,5.693,Gaia DR3 2007201567928631296,8.185639,8.862301,7.358641,340.21724149798,56.82945573799
55,58,61,XXCen,1.039548,10.839,11.102331520324078,0.271,8.803,7.819,6.736,5.991,5.53,5.407,Gaia DR3 5871922507947292032,7.621872,8.214571,6.876737,205.07765290606,-57.61318392067
56,59,62,TYSct,1.043507,11.479,11.91595055784764,0.965,12.507,10.818,8.825,7.355,6.638,6.429,Gaia DR3 4256744187345732224,9.899057,11.021042,8.871976,280.53296920017,-4.29349280288
57,60,64,V340Nor,1.052579,11.034,11.4064412652367,0.322,9.526,8.371,7.168,6.272,5.732,5.586,Gaia DR3 5932569709575669504,8.036095,8.69774,7.251307,243.32248330227,-54.23489685836
58,61,65,AAGem,1.053181,12.456,12.300634761167014,0.309,10.809,9.729,8.581,7.734,7.2,7.106,Gaia DR3 3430067092837622272,9.393121,10.008104,8.64468,91.64560763763,26.32921983415
59,62,66,RXAur,1.065337,10.644,10.80361415548236,0.263,8.631,7.669,6.59,5.819,5.355,5.269,Gaia DR3 200708636406382720,7.36267,7.931838,6.635993,75.34662500842,39.9603810927
60,63,67,UUMus,1.065819,11.88,12.313232382609929,0.404,10.936,9.794,8.486,7.528,6.989,6.828,Gaia DR3 5332375453374624640,9.441485,10.127277,8.624062,178.07378070609,-65.4041820158
