,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
60,BZCyg,1.006127,11.72,0.885,11.837,10.221,8.324,6.886,6.155,5.924
61,ZetaGem,1.006497,7.762,0.014,4.708,3.849,3.117,2.612,2.201,2.131
62,YSct,1.014575,11.08,0.757,11.194,9.632,7.841,6.578,5.896,5.691
63,TWNor,1.032868,11.529,1.157,13.63,11.701,9.287,7.506,6.694,6.39
64,ZLac,1.036854,11.209,0.37,9.514,8.414,7.148,6.346,5.827,5.693
65,XXCen,1.039548,10.839,0.271,8.803,7.819,6.736,5.991,5.53,5.407
66,TYSct,1.043507,11.479,0.965,12.507,10.818,8.825,7.355,6.638,6.429
67,V0438Cyg,1.049647,11.25,1.238,12.847,10.943,8.639,6.921,6.081,5.789
68,AAGem,1.053181,12.456,0.309,10.809,9.729,8.581,7.734,7.2,7.106
69,RXAur,1.065337,10.644,0.263,8.631,7.669,6.59,5.819,5.355,5.269
70,UUMus,1.065819,11.88,0.404,10.936,9.794,8.486,7.528,6.989,6.828
71,RYCas,1.084181,11.922,0.618,11.321,9.95,8.403,7.175,6.551,6.373
72,UNor,1.101875,10.408,0.857,10.841,9.247,7.352,5.931,5.237,4.991
73,ZSct,1.110645,12.159,0.492,10.927,9.592,8.055,7.055,6.478,6.323
74,BNPup,1.135867,12.78,0.416,11.069,9.882,8.552,7.626,7.076,6.921
75,TTAql,1.138459,9.8,0.435,8.436,7.138,5.678,4.772,4.204,4.051
76,LSPup,1.150646,13.296,0.462,11.685,10.448,9.074,8.094,7.518,7.353
77,TXCyg,1.167607,10.316,1.13,11.363,9.489,7.228,5.462,4.637,4.372
78,RWCas,1.170032,12.586,0.38,10.462,9.233,7.871,6.934,6.367,6.237
79,SZCyg,1.179252,11.502,0.571,10.91,9.432,7.755,6.635,5.961,5.775
80,SVMon,1.182801,11.364,0.234,9.31,8.256,7.133,6.345,5.826,5.726
81,XCyg,1.214482,10.177,0.228,7.533,6.377,5.223,4.471,3.964,3.838
82,CDCyg,1.232334,11.843,0.493,10.217,8.948,7.448,6.463,5.89,5.72
83,SZAql,1.234029,11.548,0.534,10.033,8.634,7.018,5.955,5.347,5.16
84,VYCar,1.276818,11.255,0.242,8.642,7.463,6.28,5.463,4.945,4.806
85,RZVel,1.309564,10.605,0.3,8.216,7.09,5.867,4.979,4.46,4.308
86,WZSgr,1.339443,11.21,0.435,9.424,8.03,6.497,5.404,4.765,4.568
87,WZCar,1.361977,12.68,0.372,10.427,9.266,7.963,7.009,6.456,6.29
88,SWVel,1.370016,11.976,0.344,9.281,8.128,6.844,5.931,5.39,5.231
89,XPup,1.414321,12.192,0.421,9.702,8.507,7.107,6.18,5.6,5.431
90,TMon,1.431915,10.545,0.179,7.307,6.128,4.98,4.183,3.652,3.525
91,AQPup,1.478624,12.544,0.518,10.081,8.705,7.14,6.102,5.483,5.299
92,UCar,1.58897,10.752,0.263,7.469,6.292,5.057,4.193,3.67,3.522
93,RSPup,1.61742,11.307,0.457,8.442,7.01,5.489,4.44,3.827,3.647
