,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
0,0,V0465Mon,0.433514,10.965,10.372,9.474,8.835,8.436,8.365,12.296773181380436,0.206052315133103
1,1,EVSct,0.490098,11.29,10.144,8.623,7.664,7.171,7.028,10.885259479873284,0.6490291445275315
2,2,SZTau,0.498166,7.365,6.526,5.517,4.827,4.414,4.314,8.357825582806313,0.3057074102267881
3,3,SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,10.073996745630629,0.3505505676731278
4,4,QZNor,0.578244,9.756,8.869,7.865,7.136,6.733,6.619,10.865521266544436,0.3226116953566601
5,5,ADGem,0.578408,10.547,9.855,9.039,8.527,8.147,8.077,12.486294357261665,0.0929331640163297
6,6,YAur,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,11.444778834597669,0.3619999991981888
7,7,STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,10.161118674761305,0.3315709310273653
8,8,BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,9.58465716912419,0.2535539998057088
9,9,SYCas,0.609712,10.85,9.873,8.752,7.909,7.448,7.343,11.637891406797705,0.4083047433614091
10,10,XSct,0.62305,11.138,10.011,8.62,7.479,6.951,6.826,11.0746488763081,0.6412874094434758
11,11,YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,11.77388347911998,0.1346107067102265
12,12,TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,8.819609271617034,0.0155203589035588
13,13,XYCas,0.653376,11.085,9.953,8.736,7.832,7.335,7.212,11.601368055041329,0.4795824710770348
14,14,TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,10.21660033600083,0.3064938753895763
15,15,VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,11.422505097664256,0.2317763939363305
16,16,CFCas,0.687994,12.338,11.128,9.691,8.701,8.132,7.966,12.49255450498149,0.5826999229115823
17,17,VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,11.21247493244264,0.299000427880403
18,18,V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.079435638990368,0.899071871950623
19,19,CRSer,0.724391,12.492,10.853,8.895,7.463,6.763,6.548,10.923017638117676,1.02869121159713
20,20,V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,10.500667869239477,0.1955253767192276
21,21,CVMon,0.730685,11.596,10.305,8.616,7.404,6.791,6.576,11.158800580030444,0.7662303827261966
22,22,SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,11.55272208093833,0.4668657271225938
23,23,XLac,0.735997,9.306,8.405,7.317,6.608,6.157,6.046,10.850870634889784,0.2636669224502873
24,24,VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,9.317433322695395,0.2578808948351831
25,25,FMCas,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,11.492937268073236,0.3215121929036351
26,26,CSVel,0.771201,13.049,11.709,10.068,8.84,8.234,8.018,12.687220228688158,0.7633877159848079
27,27,MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,10.759703416360896,0.6838096940456538
28,28,FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,9.913257091898544,0.5632970403160233
29,29,CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,10.68520836988451,0.7702028216824347
30,30,RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.692222441629962,0.8690571828585054
31,31,RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,11.474609409067936,0.2713175012944712
32,32,XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,10.71248084128896,0.5101143102813683
33,33,BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,9.559813198538286,0.2813385317768963
34,34,VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,10.389031150564476,0.1582891527896117
35,35,V0495Cyg,0.827263,12.246,10.618,8.694,7.233,6.542,6.314,11.022048975110923,0.9942132039026518
36,36,USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,8.963040732551553,0.3984990765499557
37,37,TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,12.181871648972963,0.2916508464654045
38,38,xSgr,0.845893,5.311,4.561,3.655,3.016,2.618,2.521,7.696269118243055,0.1182754927285579
39,39,V0600Aql,0.859672,11.527,10.036,8.199,7.074,6.45,6.272,11.219348318024384,0.7661095429071002
40,40,V0459Cyg,0.860413,12.035,10.601,8.837,7.715,7.073,6.903,11.8820689467904,0.7323726775567339
41,41,CKSct,0.870124,12.165,10.575,8.778,7.498,6.82,6.652,11.52572101874594,0.873592665815695
42,42,V1344Aql,0.873787,9.131,7.766,6.311,5.279,4.729,4.59,9.592609588121729,0.5958926268538185
43,43,RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,11.101908401272402,0.2971853728510601
44,44,BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,11.977938427875785,0.3720937496643389
