name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,EBV,mM0_IRSB,gmod
YSct,1.014575,11.194,9.632,7.841,5.896,6.578,5.691,0.757,11.175,11.426256196374702
TWNor,1.032868,13.63,11.701,9.287,6.694,7.506,6.39,1.157,11.716,12.491281351860028
ZLac,1.036854,9.514,8.414,7.148,5.827,6.346,5.693,0.37,11.395,11.564139477026
XXCen,1.039548,8.803,7.819,6.736,5.53,5.991,5.407,0.271,11.024,11.291878712480937
TYSct,1.043507,12.507,10.818,8.825,6.638,7.355,6.429,0.965,11.663,12.421292916653172
V0438Cyg,1.049647,12.847,10.943,8.639,6.081,6.921,5.789,1.238,11.432,11.536205909226382
AAGem,1.053181,10.809,9.729,8.581,7.2,7.734,7.106,0.309,12.648,12.80412630078266
RXAur,1.065337,8.631,7.669,6.59,5.355,5.819,5.269,0.263,11.009,11.04435499636357
UUMus,1.065819,10.936,9.794,8.486,6.989,7.528,6.828,0.404,12.057,12.676807204524835
RYCas,1.084181,11.321,9.95,8.403,6.551,7.175,6.373,0.618,12.092,12.409405264284235
UNor,1.101875,10.841,9.247,7.352,5.237,5.931,4.991,0.857,10.572,11.12049210554163
ZSct,1.110645,10.927,9.592,8.055,6.478,7.055,6.323,0.492,12.15,12.482408436379625
BNPup,1.135867,11.069,9.882,8.552,7.076,7.626,6.921,0.416,12.933,12.755695771962795
TTAql,1.138459,8.436,7.138,5.678,4.204,4.772,4.051,0.435,9.952,10.082545140924168
LSPup,1.150646,11.685,10.448,9.074,7.518,8.094,7.353,0.462,13.395,13.577846330777405
TXCyg,1.167607,11.363,9.489,7.228,4.637,5.462,4.372,1.13,10.226,10.497072066750192
UZSct,1.168739,13.124,11.247,9.184,6.746,7.534,6.534,1.02,12.755,12.797028690800843
RWCas,1.170032,10.462,9.233,7.871,6.367,6.934,6.237,0.38,12.718,12.580637728886632
SZCyg,1.179252,10.91,9.432,7.755,5.961,6.635,5.775,0.571,11.641,11.891003879986663
SVMon,1.182801,9.31,8.256,7.133,5.826,6.345,5.726,0.234,11.501,11.820571573593636
