,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
0,0,V0465Mon,0.433514,10.965,10.372,9.474,8.835,8.436,8.365,12.116773181380436,0.2765952066120177
1,1,EVSct,0.490098,11.29,10.144,8.623,7.664,7.171,7.028,11.105259479873284,0.5106609971379412
2,2,SZTau,0.498166,7.365,6.526,5.517,4.827,4.414,4.314,8.337825582806314,0.3168789378514631
3,3,SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,10.153996745630629,0.3211361923335323
4,4,QZNor,0.578244,9.756,8.869,7.865,7.136,6.733,6.619,10.865521266544436,0.3448525009556443
5,5,ADGem,0.578408,10.547,9.855,9.039,8.527,8.147,8.077,12.406294357261665,0.1122347223526769
6,6,YAur,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,11.304778834597668,0.4338488613775759
7,7,STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,10.041118674761304,0.3769314712122839
8,8,BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,9.544657169124193,0.2901999427180196
9,9,SYCas,0.609712,10.85,9.873,8.752,7.909,7.448,7.343,11.617891406797703,0.3928951767574278
10,10,XSct,0.62305,11.138,10.011,8.62,7.479,6.951,6.826,10.9946488763081,0.687926634142732
11,11,YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,11.67388347911998,0.1531883806856236
12,12,TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,8.739609271617036,0.0352217785767367
13,13,XYCas,0.653376,11.085,9.953,8.736,7.832,7.335,7.212,11.641368055041328,0.4387697080828659
14,14,TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,10.13660033600083,0.3657002389326965
15,15,VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,11.422505097664256,0.2276673598568516
16,16,CFCas,0.687994,12.338,11.128,9.691,8.701,8.132,7.966,12.472554504981492,0.6145837799515566
17,17,VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,11.19247493244264,0.2882386896692015
18,18,V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.199435638990368,0.8691649885271155
19,19,CRSer,0.724391,12.492,10.853,8.895,7.463,6.763,6.548,11.063017638117676,0.9476238594377596
20,20,V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,10.480667869239475,0.2069956665671797
21,21,CVMon,0.730685,11.596,10.305,8.616,7.404,6.791,6.576,11.098800580030444,0.8151040702997476
22,22,SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,11.592722080938332,0.4476890298544878
23,23,XLac,0.735997,9.306,8.405,7.317,6.608,6.157,6.046,10.810870634889785,0.2642848061006682
24,24,VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,9.217433322695396,0.3014397912538555
25,25,FMCas,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,11.492937268073236,0.3285496375070791
26,26,CSVel,0.771201,13.049,11.709,10.068,8.84,8.234,8.018,12.647220228688155,0.7994560686019473
27,27,MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,10.879703416360895,0.6421819940604485
28,28,FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,10.073257091898544,0.4740787509681909
29,29,CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,10.76520836988451,0.7523621670966626
30,30,RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.712222441629962,0.8706377375806079
31,31,RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,11.434609409067937,0.2618452926652085
32,32,XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,10.692480841288962,0.5036161455282255
33,33,BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,9.539813198538289,0.3016812878945377
34,34,VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,10.329031150564472,0.190066562115189
35,35,V0495Cyg,0.827263,12.246,10.618,8.694,7.233,6.542,6.314,11.082048975110926,0.9703519132435848
36,36,USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,8.983040732551554,0.3903720832745131
37,37,TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,12.141871648972966,0.302775096983692
38,38,xSgr,0.845893,5.311,4.561,3.655,3.016,2.618,2.521,7.556269118243055,0.1370623495318057
39,39,V0600Aql,0.859672,11.527,10.036,8.199,7.074,6.45,6.272,11.479348318024384,0.6112487432442015
40,40,V0459Cyg,0.860413,12.035,10.601,8.837,7.715,7.073,6.903,12.0420689467904,0.6550900340309325
41,41,CKSct,0.870124,12.165,10.575,8.778,7.498,6.82,6.652,11.70572101874594,0.826580943058264
42,42,V1344Aql,0.873787,9.131,7.766,6.311,5.279,4.729,4.59,9.732609588121726,0.5400305855291768
43,43,RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,11.101908401272402,0.2621366326950759
44,44,BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,11.957938427875783,0.3508680596966297
45,45,GHLup,0.967448,8.844,7.637,6.364,5.492,4.96,4.813,10.22261827152559,0.4435652554906751
46,46,FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,10.882928469687204,0.4022682661167938
47,47,YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,10.424027307737113,0.2364950808749548
48,48,SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,9.648963126792776,0.2429885848743841
49,49,DDCas,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,12.497054664486075,0.3841825336090417
50,50,BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,11.184383530323435,0.969010075451193
51,51,SYAur,1.006262,10.09,9.07,7.843,7.008,6.524,6.405,11.939353307836804,0.2660577067092865
52,52,YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,11.143930014246289,0.7903754099705251
