ID,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,overtone,BPmag,Gmag,RPmag,plx,IRSB,sig_mM0_IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk
lCar,5.009,3.729,2.557,1.766,1.212,1.093,0,4.179304,3.471174,2.676083,8.496721691503382,8.493,0.023,0.146,0.474,Gaia DR3 5250032958818831360,146.31159319123,-62.50786736246,2,2.393,-0.0584,-4.102,-5.236,-6.223,-6.864,-7.367,-7.456,-7.753,-7.863
VCar,8.235,7.368,6.421,5.806,5.387,5.284,0,7.650739,7.17335,6.511265,10.389031150564474,9.871,0.04,0.166,,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,2,1.042,,-2.338,-3.039,-3.776,-4.222,-4.581,-4.65,-4.919,-4.945
ADGem,10.547,9.855,9.039,8.527,8.147,8.077,0,10.124643,9.70913,9.139031,11.946294357261664,12.514,0.054,0.173,0.1589,Gaia DR3 3378049163365268608,100.78129641785,20.93910595532,3,0.969,-0.1667,-2.699,-3.218,-3.815,-4.15,-4.468,-4.504,-4.74,-4.746
SNor,7.375,6.429,5.427,4.729,4.275,4.162,0,6.699772,6.175861,5.503014,9.728963126792777,9.712,0.024,0.179,0.2211,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,2,0.878,-0.129,-3.094,-3.861,-4.637,-5.152,-5.542,-5.619,-5.839,-5.941
TMon,7.307,6.128,4.98,4.183,3.652,3.525,0,6.798715,6.124317,5.286486,10.593288288206026,10.545,0.031,0.179,0.2646,Gaia DR3 3324535073449061504,96.30416910585,7.08569727313,2,1.724,-0.1455,-3.995,-4.995,-5.917,-6.531,-6.998,-7.089,-7.346,-7.472
YSgr,6.595,5.743,4.797,4.131,3.702,3.612,0,5.955813,5.475163,4.789843,8.447025165978019,8.301,0.071,0.188,0.1958,Gaia DR3 4096107909387492992,275.34576074156,-18.86003402735,4,1.757,-0.2457,-2.501,-3.165,-3.873,-4.347,-4.709,-4.761,-4.972,-5.045
V1162Aql,8.677,7.789,6.845,6.22,5.807,5.714,0,8.092654,7.593359,6.939383,10.340667869239475,10.132,0.057,0.195,0.2865,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,3,0.952,-0.0744,-2.281,-2.972,-3.67,-4.096,-4.439,-4.493,-4.75,-4.766
YLac,9.874,9.144,8.277,7.706,7.316,7.225,0,9.470252,9.062985,8.430667,11.63388347911998,12.057,0.031,0.217,0.0505,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,2,1.053,-0.8522,-3.101,-3.614,-4.206,-4.556,-4.868,-4.915,-5.125,-5.163
XCyg,7.533,6.377,5.223,4.471,3.964,3.838,0,6.810588,6.199011,5.442216,10.119499113710727,10.177,0.015,0.228,,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,2,1.277,,-3.608,-4.534,-5.402,-5.921,-6.346,-6.427,-6.744,-6.775
SVMon,9.31,8.256,7.133,6.345,5.826,5.726,0,8.755854,8.132302,7.330363,11.493701472036832,11.364,0.033,0.234,0.4102,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,3,1.006,-0.1313,-3.044,-3.864,-4.691,-5.24,-5.675,-5.728,-5.973,-6.063
BFOph,8.2,7.337,6.366,5.701,5.285,5.178,0,7.575954,7.069333,6.408388,9.56465716912419,9.11,0.022,0.235,0.4736,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,2,0.837,-0.5115,-1.904,-2.534,-3.206,-3.63,-3.962,-4.022,-4.251,-4.292
