,Unnamed: 0,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,1,SSSct,0.564814,9.746,0.3751722308332339,9.165,8.218,7.095,6.381,5.937,5.845
1,1,2,RTAur,0.571489,8.039,0.0334306951108451,6.036,5.443,4.767,4.302,3.989,3.937
2,2,3,ADGem,0.578408,12.149,0.1324848261847011,10.547,9.855,9.039,8.527,8.147,8.077
3,3,4,SUCyg,0.584952,9.49,0.0348223396372203,7.455,6.886,6.196,5.703,5.387,5.324
4,4,5,YAur,0.586529,11.275,0.3677694601410859,10.512,9.614,8.571,7.743,7.284,7.167
5,5,7,STTau,0.605768,9.937,0.3437818602788736,9.066,8.219,7.138,6.352,5.898,5.788
6,6,8,BFOph,0.609329,9.33,0.269718564666323,8.2,7.337,6.366,5.701,5.285,5.178
7,7,9,SYCas,0.609712,11.452,0.4096201721105739,10.85,9.873,8.752,7.909,7.448,7.343
8,8,12,RZCMa,0.628882,11.182,0.4371080619655005,10.698,9.698,8.469,7.629,7.177,7.027
9,9,13,YLac,0.635863,11.516,0.1578408146969943,9.874,9.144,8.277,7.706,7.316,7.225
10,10,14,V0402Cyg,0.639968,11.456,0.423374779052797,10.897,9.867,8.669,7.895,7.41,7.299
11,11,15,TVul,0.646934,8.57,0.0280217146815433,6.39,5.753,5.054,4.601,4.27,4.205
12,12,16,XYCas,0.653376,11.419,0.4943623474024329,11.085,9.953,8.736,7.832,7.335,7.212
13,13,17,TVel,0.666501,9.983,0.3248078111855172,8.944,8.032,6.959,6.225,5.768,5.641
14,14,18,WWMon,0.66858,13.674,0.5983475561089189,13.637,12.51,11.137,10.064,9.507,9.392
15,15,19,RYCMa,0.670099,10.313,0.2464524903729054,8.953,8.108,7.119,6.455,6.045,5.936
16,16,20,VZCyg,0.687034,11.152,0.2566171103329128,9.836,8.956,7.933,7.283,6.872,6.759
17,17,21,CFCas,0.687994,12.272,0.6133449139546903,12.338,11.128,9.691,8.701,8.132,7.966
18,18,22,ASPer,0.696531,10.551,0.7068246463797434,11.02,9.719,8.09,7.035,6.478,6.315
19,19,23,VLac,0.697493,11.021,0.3050313210564235,9.816,8.921,7.866,7.121,6.671,6.587
20,20,24,V350Sgr,0.712165,9.642,0.2941235225927242,8.382,7.474,6.416,5.712,5.257,5.165
21,21,25,V0386Cyg,0.720788,9.859,0.932977174685482,11.167,9.627,7.742,6.482,5.809,5.587
22,22,27,BGLac,0.726883,11.047,0.3033096441099987,9.833,8.881,7.784,7.112,6.658,6.543
23,23,28,dCeph,0.729678,6.97,0.0278478542428545,4.612,3.959,3.209,2.748,2.392,2.325
24,24,29,V1162Aql,0.730464,10.284,0.2143842097786659,8.677,7.789,6.845,6.22,5.807,5.714
25,25,30,CVMon,0.730685,11.037999999999998,0.7706834929950496,11.596,10.305,8.616,7.404,6.791,6.576
26,26,31,SWCas,0.735675,11.335,0.4874088153465034,10.808,9.703,8.387,7.5,6.982,6.859
27,27,32,VCen,0.739882,9.141,0.2707014938597728,7.705,6.834,5.796,5.073,4.628,4.509
28,28,33,RZGem,0.742669,11.595,0.5037510725901505,11.055,10.006,8.662,7.703,7.164,7.01
29,29,34,YSgr,0.761428,8.323,0.2102375188833507,6.595,5.743,4.797,4.131,3.702,3.612
30,30,35,FMCas,0.764123,11.275,0.3472221778320564,10.119,9.128,7.978,7.223,6.746,6.638
31,31,36,CSVel,0.771201,12.615,0.7594333447231015,13.049,11.709,10.068,8.84,8.234,8.018
32,32,37,MWCyg,0.774852,10.567,0.7053506153292748,10.841,9.483,7.874,6.799,6.209,6.041
33,33,38,CRCep,0.794695,10.52,0.7898715353103997,11.048,9.655,7.929,6.754,6.098,5.935
34,34,39,RSCas,0.799056,10.677,0.859182703615471,11.423,9.944,8.217,6.884,6.227,6.03
35,35,40,XVul,0.800689,9.817,0.7600828834068428,10.28,8.835,7.137,6.021,5.426,5.255
36,36,41,RRLac,0.807281,11.392,0.2634763848747469,9.753,8.842,7.816,7.058,6.619,6.527
37,37,42,XXSgr,0.807815,10.597,0.5139540134031678,9.967,8.856,7.469,6.496,5.961,5.824
38,38,43,AWPer,0.810474,9.495,0.425861655228871,8.533,7.467,6.19,5.308,4.83,4.715
39,39,44,BBSgr,0.821971,9.37,0.3017238212281474,7.924,6.94,5.822,5.099,4.639,4.51
40,40,45,VCar,0.82586,10.215,0.1747356305488333,8.235,7.368,6.421,5.806,5.387,5.284
41,41,47,USgr,0.828997,8.801,0.4165213014672816,7.786,6.69,5.426,4.587,4.093,3.954
42,42,48,TWCMa,0.844792,12.006,0.3150341679515765,10.534,9.564,8.419,7.66,7.175,7.069
43,43,49,xSgr,0.845893,7.588999999999999,0.1232543670331343,5.311,4.561,3.655,3.016,2.618,2.521
44,44,50,UAql,0.846591,8.801,0.3454208245311771,7.475,6.449,5.259,4.476,4.008,3.89
45,45,51,etaAql,0.85593,7.032,0.0995449700379467,4.689,3.904,3.018,2.46,2.066,1.985
46,46,53,V0459Cyg,0.860413,11.68,0.7702565179325663,12.035,10.601,8.837,7.715,7.073,6.903
47,47,55,CKSct,0.870124,11.438,0.8770267451322666,12.165,10.575,8.778,7.498,6.82,6.652
48,48,58,RSOri,0.878917,10.977,0.302782181801463,9.376,8.414,7.253,6.489,6.018,5.917
49,49,60,GHCyg,0.893092,11.688,0.5859038096030897,11.159,9.896,8.43,7.356,6.799,6.638
50,50,61,VYCyg,0.895256,11.387,0.5603648577959082,10.822,9.582,8.079,7.102,6.548,6.396
51,51,62,RXCam,0.898288,9.606,0.5276561985118644,8.888,7.669,6.223,5.266,4.724,4.599
52,52,63,WGem,0.898368,9.835,0.2223574595163694,7.865,6.95,5.901,5.204,4.763,4.693
53,53,65,DLCas,0.903126,11.047,0.4846343604223841,10.121,8.968,7.575,6.651,6.101,5.949
