,Identifier,name,logP,IRSB,EBV,V_mag,I_mag,J_mag,K_mag
0,HV1328,HV1328,1.199692,18.315,-0.1560874323845948,14.122,13.401,12.962,12.567
1,HV1333,HV1333,1.212084,19.335,0.0145646585249353,14.682,13.841,13.253,12.771
2,HV1335,HV1335,1.1578,18.764,-0.0411211004349798,14.761,13.963,13.428,12.961
3,HV1345,HV1345,1.12967,18.811,-0.0525359059040203,14.747,13.992,13.437,12.947
4,HV822,HV822,1.223807,19.058,0.0010280599486601,14.517,13.654,13.107,12.596
5,HV837,HV837,1.630904,18.758,-0.0118916021331252,13.239,12.284,11.788,11.153
6,cep0320,SMC-CEP-0320,1.253893,18.705,-0.1209862407178584,14.17,13.444,12.947,12.54
7,cep0518,SMC-CEP-0518,1.197888,19.091,0.2070961535802812,15.193,14.173,13.461,12.946
8,cep0524,SMC-CEP-0524,1.022321,19.14,0.0440332204480189,15.394,14.531,13.948,13.486
9,cep0958,SMC-CEP-0958,1.379643,19.012,0.0812275028431574,14.287,13.382,12.726,12.203
10,cep1365,SMC-CEP-1365,1.194727,18.62,0.1354017039584168,14.579,13.728,12.962,12.466
11,cep1385,SMC-CEP-1385,1.199259,18.612,0.1124178437165886,14.772,13.864,13.19,12.706
12,cep1403,SMC-CEP-1403,1.459128,18.73,0.1815667187220328,14.357,13.336,12.626,12.019
13,cep1410,SMC-CEP-1410,0.963223,18.635,0.0118366997086899,15.217,14.38,13.832,13.349
14,cep1680,SMC-CEP-1680,0.689176,19.001,-0.0355574634904012,15.983,15.246,14.715,14.311
15,cep1686,SMC-CEP-1686,1.540177,18.992,0.0041551894439561,13.559,12.652,12.094,11.559
16,cep1693,SMC-CEP-1693,0.89775,18.82,0.1001254571943806,15.634,14.74,14.119,13.639
17,cep1712,SMC-CEP-1712,1.006814,19.008,0.1500998888565133,15.551,14.601,13.939,13.465
18,cep1717,SMC-CEP-1717,0.823504,19.037000000000003,0.0379537257229923,15.887,15.064,14.481,14.058
19,cep1723,SMC-CEP-1723,1.215794,19.167,0.1801262413711363,14.994,14.0,13.302,12.785
20,cep1729,SMC-CEP-1729,0.631889,18.927,0.0784226405289543,16.35,15.575,14.908,14.616
21,cep1750,SMC-CEP-1750,1.310784,19.169,0.12129913362624,14.603,13.636,12.99,12.43
22,cep1761,SMC-CEP-1761,0.595415,18.996,-0.0075790522894565,16.305,15.578,15.006,14.665
23,cep1765,SMC-CEP-1765,0.750044,18.98,-0.0001724132753,16.048,15.268,14.714,14.293
24,cep1797,SMC-CEP-1797,1.615447,18.76,0.1022318290697593,13.783,12.731,12.156,11.443
25,cep1977,SMC-CEP-1977,1.838831,18.585,0.0242084022459049,12.917,11.843,11.373,10.815
26,cep2533,SMC-CEP-2533,1.084483,18.455,-0.0903232057423787,14.625,13.903,13.379,13.007
27,cep2905,SMC-CEP-2905,1.580231,18.988,0.1674532589201564,13.994,12.887,12.268,11.58
28,cep3311,SMC-CEP-3311,1.696679,18.694,-0.115534823402705,13.218,12.161,11.921,11.2
29,cep3927,SMC-CEP-3927,1.517905,18.642,0.0561241589882058,13.755,12.922,12.212,11.669
30,cep4017,SMC-CEP-4017,1.527325,18.7,0.0054773985466122,13.751,12.779,12.289,11.652
31,cep4444,SMC-CEP-4444,1.621557,19.05,-0.0091665526311668,12.98,12.131,11.522,11.061
