,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
39,42,YSgr,0.761428,8.143,0.188,6.595,5.743,4.797,4.131,3.702,3.612
40,43,FMCas,0.764123,11.055,0.325,10.119,9.128,7.978,7.223,6.746,6.638
41,44,CSVel,0.771201,12.515,0.737,13.049,11.709,10.068,8.84,8.234,8.018
42,45,MWCyg,0.774852,10.267,0.635,10.841,9.483,7.874,6.799,6.209,6.041
43,46,FMAql,0.786342,10.363,0.589,9.546,8.27,6.717,5.794,5.235,5.075
44,47,CRCep,0.794695,9.94,0.709,11.048,9.655,7.929,6.754,6.098,5.935
45,48,RSCas,0.799056,10.317,0.833,11.423,9.944,8.217,6.884,6.227,6.03
46,49,XVul,0.800689,9.437,0.742,10.28,8.835,7.137,6.021,5.426,5.255
47,50,RRLac,0.807281,10.772,0.319,9.753,8.842,7.816,7.058,6.619,6.527
48,51,XXSgr,0.807815,10.477,0.521,9.967,8.856,7.469,6.496,5.961,5.824
49,52,AWPer,0.810474,9.915,0.489,8.533,7.467,6.19,5.308,4.83,4.715
50,53,BBSgr,0.821971,9.61,0.281,7.924,6.94,5.822,5.099,4.639,4.51
51,54,VCar,0.82586,9.695,0.166,8.235,7.368,6.421,5.806,5.387,5.284
52,55,V0495Cyg,0.827263,12.365,0.978,12.246,10.618,8.694,7.233,6.542,6.314
53,56,USgr,0.828997,8.881,0.402,7.786,6.69,5.426,4.587,4.093,3.954
54,58,TWCMa,0.844792,11.266,0.329,10.534,9.564,8.419,7.66,7.175,7.069
55,59,xSgr,0.845893,7.529,0.237,5.311,4.561,3.655,3.016,2.618,2.521
56,60,UAql,0.846591,8.861,0.36,7.475,6.449,5.259,4.476,4.008,3.89
57,61,etaAql,0.85593,7.032,0.129,4.689,3.904,3.018,2.46,2.066,1.985
58,62,V0600Aql,0.859672,11.139,0.798,11.527,10.036,8.199,7.074,6.45,6.272
59,63,V0459Cyg,0.860413,11.52,0.73,12.035,10.601,8.837,7.715,7.073,6.903
60,64,CKSct,0.870124,10.438,0.757,12.165,10.575,8.778,7.498,6.82,6.652
61,66,V1344Aql,0.873787,10.969,0.546,9.131,7.766,6.311,5.279,4.729,4.59
62,67,RSOri,0.878917,11.137,0.352,9.376,8.414,7.253,6.489,6.018,5.917
63,68,WSgr,0.880529,6.963,0.108,5.423,4.672,3.863,3.311,2.941,2.847
64,69,GHCyg,0.893092,12.108,0.63,11.159,9.896,8.43,7.356,6.799,6.638
65,70,VYCyg,0.895256,11.147,0.606,10.822,9.582,8.079,7.102,6.548,6.396
66,71,RXCam,0.898288,9.506,0.532,8.888,7.669,6.223,5.266,4.724,4.599
67,72,WGem,0.898368,9.795,0.255,7.865,6.95,5.901,5.204,4.763,4.693
68,73,UVul,0.902584,9.006,0.603,8.419,7.125,5.542,4.631,4.099,3.957
69,74,DLCas,0.903126,11.647,0.488,10.121,8.968,7.575,6.651,6.101,5.949
70,75,BKAur,0.903222,11.408,0.425,10.524,9.457,8.249,7.387,6.885,6.772
71,76,SSge,0.923352,9.342,0.099,6.424,5.617,4.775,4.227,3.846,3.765
72,77,GHLup,0.967448,10.563,0.347,8.844,7.637,6.364,5.492,4.96,4.813
73,78,FNAql,0.976878,10.327,0.486,9.593,8.389,6.947,6.05,5.495,5.356
74,79,YZSgr,0.980171,10.361,0.281,8.372,7.351,6.214,5.472,5.003,4.903
75,80,SMus,0.98498,9.67,0.14,6.963,6.136,5.188,4.553,4.127,4.017
76,81,SNor,0.989194,9.888,0.179,7.375,6.429,5.427,4.729,4.275,4.162
77,82,DDCas,0.991759,12.353,0.45,11.076,9.879,8.507,7.627,7.068,6.948
78,83,betaDor,0.993131,7.703,0.051,4.545,3.743,2.947,2.438,2.029,1.959
79,84,BZCyg,1.006127,11.89,0.885,11.837,10.221,8.324,6.886,6.155,5.924
80,85,SYAur,1.006262,12.106,0.432,10.09,9.07,7.843,7.008,6.524,6.405
81,86,YSct,1.014575,11.248,0.757,11.194,9.632,7.841,6.578,5.896,5.691
82,87,TWNor,1.032868,11.691,1.157,13.63,11.701,9.287,7.506,6.694,6.39
83,88,ZLac,1.036854,11.37,0.37,9.514,8.414,7.148,6.346,5.827,5.693
84,89,VXPer,1.036883,13.118,0.475,10.492,9.299,7.919,6.98,6.437,6.298
85,90,XXCen,1.039548,10.999,0.271,8.803,7.819,6.736,5.991,5.53,5.407
86,91,TYSct,1.043507,11.638,0.965,12.507,10.818,8.825,7.355,6.638,6.429
87,92,SVPer,1.046469,12.383,0.408,10.023,8.977,7.734,6.891,6.355,6.237
88,93,V0438Cyg,1.049647,11.407,1.238,12.847,10.943,8.639,6.921,6.081,5.789
89,94,V340Nor,1.052579,11.19,0.322,9.526,8.371,7.168,6.272,5.732,5.586
90,95,AAGem,1.053181,12.612,0.309,10.809,9.729,8.581,7.734,7.2,7.106
91,96,RXAur,1.065337,10.796,0.263,8.631,7.669,6.59,5.819,5.355,5.269
92,97,UUMus,1.065819,12.033,0.404,10.936,9.794,8.486,7.528,6.989,6.828
93,98,RYCas,1.084181,12.069,0.618,11.321,9.95,8.403,7.175,6.551,6.373
94,99,UNor,1.101875,10.549,0.857,10.841,9.247,7.352,5.931,5.237,4.991
95,101,ZSct,1.110645,12.298,0.492,10.927,9.592,8.055,7.055,6.478,6.323
96,103,BNPup,1.135867,12.912,0.416,11.069,9.882,8.552,7.626,7.076,6.921
97,104,TTAql,1.138459,9.93,0.435,8.436,7.138,5.678,4.772,4.204,4.051
98,105,LSPup,1.150646,13.423,0.462,11.685,10.448,9.074,8.094,7.518,7.353
99,106,TXCyg,1.167607,10.438,1.13,11.363,9.489,7.228,5.462,4.637,4.372
100,107,UZSct,1.168739,12.735,1.02,13.124,11.247,9.184,7.534,6.746,6.534
101,108,RWCas,1.170032,12.707,0.38,10.462,9.233,7.871,6.934,6.367,6.237
102,109,VWCen,1.177138,12.694,0.439,11.586,10.248,8.77,7.654,7.014,6.819
103,110,SZCyg,1.179252,11.621,0.571,10.91,9.432,7.755,6.635,5.961,5.775
104,111,SVMon,1.182801,11.481,0.234,9.31,8.256,7.133,6.345,5.826,5.726
105,112,XCyg,1.214482,10.285,0.228,7.533,6.377,5.223,4.471,3.964,3.838
106,113,RWCam,1.215224,11.329,0.633,10.034,8.671,7.042,5.93,5.291,5.139
107,114,CDCyg,1.232334,11.945,0.493,10.217,8.948,7.448,6.463,5.89,5.72
108,115,YOph,1.233609,8.78,0.647,7.531,6.166,4.524,3.437,2.869,2.682
109,116,SZAql,1.234029,11.65,0.534,10.033,8.634,7.018,5.955,5.347,5.16
110,118,CPCep,1.251989,12.78,0.649,12.223,10.577,8.773,7.457,6.726,6.537
111,120,VYCar,1.276818,11.344,0.242,8.642,7.463,6.28,5.463,4.945,4.806
112,122,VXCyg,1.303917,12.343,0.753,11.769,10.062,8.161,6.816,6.083,5.905
113,123,RYSco,1.307927,10.337,0.718,9.462,8.018,6.255,4.999,4.365,4.143
114,124,RZVel,1.309564,10.684,0.3,8.216,7.09,5.867,4.979,4.46,4.308
115,125,WZSgr,1.339443,11.279,0.435,9.424,8.03,6.497,5.404,4.765,4.568
116,126,WZCar,1.361977,12.742,0.372,10.427,9.266,7.963,7.009,6.456,6.29
117,128,SWVel,1.370016,12.036,0.344,9.281,8.128,6.844,5.931,5.39,5.231
118,129,XPup,1.414321,12.238,0.421,9.702,8.507,7.107,6.18,5.6,5.431
119,130,TMon,1.431915,10.585,0.179,7.307,6.128,4.98,4.183,3.652,3.525
120,131,RYVel,1.449158,11.847,0.545,9.744,8.371,6.834,5.7,5.123,4.928
121,132,KQSco,1.457818,12.237,0.869,11.747,9.81,7.658,6.025,5.218,4.947
122,133,AQPup,1.478624,12.57,0.518,10.081,8.705,7.14,6.102,5.483,5.299
123,134,KNCen,1.531857,12.983,0.791,11.468,9.856,7.996,6.517,5.756,5.49
124,135,lCar,1.550816,8.496,0.146,5.009,3.729,2.557,1.766,1.212,1.093
125,136,UCar,1.58897,10.743,0.263,7.469,6.292,5.057,4.193,3.67,3.522
126,137,RSPup,1.61742,11.288,0.457,8.442,7.01,5.489,4.44,3.827,3.647
127,138,SVVul,1.652569,11.388,0.462,8.7,7.213,5.67,4.668,4.09,3.93
128,140,SVul,1.837426,12.908,0.787,10.85,8.961,6.941,5.536,4.832,4.6
