,Unnamed: 0,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,2,SZ Tau,0.498166,8.294,0.312043649571103,7.365,6.526,5.517,4.827,4.414,4.314
1,1,3,SS Sct,0.564814,10.027,0.3213412641466519,9.165,8.218,7.095,6.381,5.937,5.845
2,2,4,QZ Nor,0.578244,10.851,0.3333376012232177,9.756,8.869,7.865,7.136,6.733,6.619
3,3,5,AD Gem,0.578408,12.354,0.1179227473323779,10.547,9.855,9.039,8.527,8.147,8.077
4,4,6,YA ur,0.586529,11.382,0.429708266362204,10.512,9.614,8.571,7.743,7.284,7.167
5,5,9,ST Tau,0.605768,10.069,0.3838165971798623,9.066,8.219,7.138,6.352,5.898,5.788
6,6,10,BF Oph,0.609329,9.51,0.2629775631110893,8.2,7.337,6.366,5.701,5.285,5.178
7,7,11,SY Cas,0.609712,11.626,0.4395679708747763,10.85,9.873,8.752,7.909,7.448,7.343
8,8,13,YL ac,0.635863,11.657,0.1638943430570958,9.874,9.144,8.277,7.706,7.316,7.225
9,9,14,TV ul,0.646934,8.715,0.0444725097228423,6.39,5.753,5.054,4.601,4.27,4.205
10,10,15,XY Cas,0.653376,11.605,0.4905130583895177,11.085,9.953,8.736,7.832,7.335,7.212
11,11,16,TV el,0.666501,10.113,0.3188753851259905,8.944,8.032,6.959,6.225,5.768,5.641
12,12,17,VZ Cyg,0.687034,11.328,0.231107650173579,9.836,8.956,7.933,7.283,6.872,6.759
13,13,18,CF Cas,0.687994,12.428,0.568152165432587,12.338,11.128,9.691,8.701,8.132,7.966
14,14,19,VL ac,0.697493,11.16,0.3231572946445515,9.816,8.921,7.866,7.121,6.671,6.587
15,15,20,V0 386Cyg,0.720788,10.064,0.828812412395997,11.167,9.627,7.742,6.482,5.809,5.587
16,16,21,CR Ser,0.724391,11.011,0.9988557496740224,12.492,10.853,8.895,7.463,6.763,6.548
17,17,22,V1 162Aql,0.730464,10.432,0.19688736893301,8.677,7.789,6.845,6.22,5.807,5.714
18,18,23,CV Mon,0.730685,11.106,0.7790933416246414,11.596,10.305,8.616,7.404,6.791,6.576
