,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
0,0,V0465Mon,0.433514,10.965,10.372,9.474,8.835,8.436,8.365,12.236773181380435,0.2484196877624514
1,1,EVSct,0.490098,11.29,10.144,8.623,7.664,7.171,7.028,10.965259479873284,0.5843362575236989
2,2,SZTau,0.498166,7.365,6.526,5.517,4.827,4.414,4.314,8.357825582806313,0.3016970977441875
3,3,SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,10.073996745630629,0.3254391271267847
4,4,QZNor,0.578244,9.756,8.869,7.865,7.136,6.733,6.619,10.925521266544438,0.2769424953062982
5,5,ADGem,0.578408,10.547,9.855,9.039,8.527,8.147,8.077,12.406294357261665,0.1700764598186482
6,6,YAur,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,11.444778834597669,0.3834512630625857
7,7,STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,10.141118674761303,0.3649161170076695
8,8,BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,9.56465716912419,0.2646821672483326
9,9,SYCas,0.609712,10.85,9.873,8.752,7.909,7.448,7.343,11.697891406797703,0.398573047472083
10,10,XSct,0.62305,11.138,10.011,8.62,7.479,6.951,6.826,11.1746488763081,0.5479534046692917
11,11,YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,11.71388347911998,0.2096785585485586
12,12,TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,8.799609271617035,0.0538744330374219
13,13,XYCas,0.653376,11.085,9.953,8.736,7.832,7.335,7.212,11.661368055041327,0.4843242834994683
14,14,TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,10.15660033600083,0.3386332848226211
15,15,VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,11.382505097664255,0.2647120823090051
16,16,CFCas,0.687994,12.338,11.128,9.691,8.701,8.132,7.966,12.432554504981493,0.6014373085637991
17,17,VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,11.23247493244264,0.30320943590846
18,18,V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.03943563899037,0.8816926631683304
19,19,CRSer,0.724391,12.492,10.853,8.895,7.463,6.763,6.548,11.003017638117676,0.9868449204855854
20,20,V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,10.480667869239475,0.207460114748601
21,21,CVMon,0.730685,11.596,10.305,8.616,7.404,6.791,6.576,11.118800580030443,0.7607486642372375
22,22,SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,11.55272208093833,0.4610918815427617
23,23,XLac,0.735997,9.306,8.405,7.317,6.608,6.157,6.046,10.790870634889783,0.3243349976939876
24,24,VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,9.277433322695396,0.3073457636694136
