,name,logP,EBV,IRSB,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
25,CVMon,0.730685,0.800961685261039,10.918,11.596,10.305,8.616,7.404,6.791,6.576,10.594475,9.701135,8.769544,11.078800580030444,0.5633,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,2,1.1,-1.4814
26,SWCas,0.735675,0.4658719636797219,11.655,10.808,9.703,8.387,7.5,6.982,6.859,10.004331,9.355734,8.538896,11.512722080938332,0.8127,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,3,1.123,-0.5406
27,VCen,0.739882,0.3269717437092858,9.041,7.705,6.834,5.796,5.073,4.628,4.509,7.228839,6.637,5.935676,9.237433322695397,0.6055,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,3,1.06,-0.4147
28,RZGem,0.742669,0.5559588253109441,11.655,11.055,10.006,8.662,7.703,7.164,7.01,10.396838,9.675486,8.828489,11.65859969002502,0.8364,Gaia DR3 3423693395726613504,90.65244278873,22.23414673031,4,2.989,-0.285
29,YSgr,0.761428,0.2386624980850258,8.143,6.595,5.743,4.797,4.131,3.702,3.612,5.955813,5.475163,4.789843,8.447025165978019,0.1958,Gaia DR3 4096107909387492992,275.34576074156,-18.86003402735,4,1.757,-0.2457
30,FMCas,0.764123,0.3549777440035211,11.055,10.119,9.128,7.978,7.223,6.746,6.638,9.334805,8.797508,8.054358,11.412937268073236,0.4114,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,3,1.081,-0.0682
31,CSVel,0.771201,0.7749288807762005,12.515,13.049,11.709,10.068,8.84,8.234,8.018,12.0446,11.1879,10.216908,12.667220228688157,,Gaia DR3 5308893149150949248,145.29271952315,-53.81603750378,3,0.905,
32,MWCyg,0.774852,0.6594511896064252,10.267,10.841,9.483,7.874,6.799,6.209,6.041,9.850045,9.016481,8.090841,10.739703416360896,0.9076,Gaia DR3 2055014277739104896,303.09510555228,32.87159966536,4,1.208,-2.2118
33,CRCep,0.794695,0.7605974710558003,9.94,11.048,9.655,7.929,6.754,6.098,5.935,9.933943,9.031693,8.090185,10.64520836988451,,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,2,1.056,
34,RSCas,0.799056,0.8212756344653627,10.317,11.423,9.944,8.217,6.884,6.227,6.03,10.305975,9.329637,8.343407,10.73222244162996,1.2549,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,4,1.045,-0.1898
35,XVul,0.800689,0.6636370695139366,9.437,10.28,8.835,7.137,6.021,5.426,5.255,9.223192,8.322478,7.346799,10.018056595920465,,Gaia DR3 2027263738133623168,299.36918285728,26.5564491634,5,1.059,
36,RRLac,0.807281,0.2424426939575754,10.772,9.753,8.842,7.816,7.058,6.619,6.527,9.21242,8.684987,7.924542,11.494609409067936,0.6044,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,4,1.1,-0.168
37,XXSgr,0.807815,0.4935900097628963,10.477,9.967,8.856,7.469,6.496,5.961,5.824,9.241948,8.539941,7.664947,10.692480841288962,,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,3,1.1,
38,AWPer,0.810474,0.3516843314212596,9.915,8.533,7.467,6.19,5.308,4.83,4.715,7.769703,7.085648,6.285039,9.64509548902599,0.6817,Gaia DR3 174489098011145216,71.9429804233,36.72278112168,5,1.156,-0.5843
39,BBSgr,0.821971,0.340033802630734,9.61,7.924,6.94,5.822,5.099,4.639,4.51,7.13682,6.584278,5.878089,9.479813198538286,,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1,0.82,
40,VCar,0.82586,0.2190538527568149,9.695,8.235,7.368,6.421,5.806,5.387,5.284,7.650739,7.17335,6.511265,10.309031150564474,,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,2,1.042,
41,USgr,0.828997,0.4159351075104538,8.881,7.786,6.69,5.426,4.587,4.093,3.954,7.129108,6.42923,5.63952,8.923040732551554,0.0018,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,2,0.853,-0.9225
42,TWCMa,0.844792,0.334864202186981,11.266,10.534,9.564,8.419,7.66,7.175,7.069,9.807674,9.219297,8.575474,12.101871648972963,,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,3,1.149,
43,xSgr,0.845893,0.1633567983200308,7.529,5.311,4.561,3.655,3.016,2.618,2.521,4.77966,4.327284,3.681707,7.636269118243055,0.4168,Gaia DR3 4057701830728920064,266.89007492147,-27.83083461775,2,1.222,-0.1887
44,UAql,0.846591,0.3252077267874906,8.861,7.475,6.449,5.259,4.476,4.008,3.89,6.819616,6.16102,5.385125,8.932694514966283,0.6481,Gaia DR3 4207681367143932800,292.33901044157,-7.04412597366,3,3.09,-0.2496
45,etaAql,0.85593,0.123921274747324,7.032,4.689,3.904,3.018,2.46,2.066,1.985,4.282705,3.747671,3.140237,7.14831762378528,0.3259,Gaia DR3 4240272953377646592,298.11824336044,1.00562189681,2,2.561,-0.1891
46,V0459Cyg,0.860413,0.7228006888401178,11.52,12.035,10.601,8.837,7.715,7.073,6.903,11.019217,10.057569,9.072442,11.8220689467904,,Gaia DR3 2165771172070496512,317.72653587334,49.14204142755,4,1.086,
47,CKSct,0.870124,0.7796059927232509,10.438,12.165,10.575,8.778,7.498,6.82,6.652,10.93036,9.911044,8.920671,11.56572101874594,1.2191,Gaia DR3 4253442933709196288,280.25276444138,-6.09722740672,2,0.971,0.0828
48,RSOri,0.878917,0.2880681612336543,11.137,9.376,8.414,7.253,6.489,6.018,5.917,8.788838,8.193092,7.443338,11.081908401272402,0.5525,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,4,1.119,-0.1611
49,GHCyg,0.893092,0.5427677402363883,12.108,11.159,9.896,8.43,7.356,6.799,6.638,10.179724,9.393191,8.509033,11.737694705460504,,Gaia DR3 2030063919381336832,299.79497615604,29.45072316718,6,1.073,
50,VYCyg,0.895256,0.5205267045114166,11.147,10.822,9.582,8.079,7.102,6.548,6.396,9.990324,9.205185,8.323429,11.509397374880352,,Gaia DR3 1873112207907294848,316.06930218182,39.97223311596,5,1.073,
51,RXCam,0.898288,0.4517778997191858,9.506,8.888,7.669,6.223,5.266,4.724,4.599,7.921562,7.179552,6.326295,9.87450334639004,,Gaia DR3 470361114339849472,61.24359254184,58.65978110563,5,2.143,
52,WGem,0.898368,0.1717437879508668,9.795,7.865,6.95,5.901,5.204,4.763,4.693,7.355924,6.75011,6.033707,9.950195450580129,,Gaia DR3 3356940155020790656,98.73938107213,15.33046066377,6,1.225,
53,DLCas,0.903126,0.5103479432598568,11.647,10.121,8.968,7.575,6.651,6.101,5.949,9.289058,8.57736,7.724942,11.089373376975082,0.7861,Gaia DR3 428620663657823232,7.49409611203,60.21195729734,4,1.883,-0.2499
54,BKAur,0.903222,0.3553432639906798,11.408,10.524,9.457,8.249,7.387,6.885,6.772,9.716227,9.128825,8.322496,11.977938427875785,0.6489,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,3,1.007,-0.0671
55,SSge,0.923352,0.074740518937839,9.342,6.424,5.617,4.775,4.227,3.846,3.765,5.908135,5.461868,4.816586,9.14183935048098,0.267,Gaia DR3 1820309639468685824,299.00526380027,16.63476346161,4,4.003,-0.1011
56,FNAql,0.976878,0.4676710860484971,10.327,9.593,8.389,6.947,6.05,5.495,5.356,8.70911,8.005132,7.103401,10.722928469687204,0.7629,Gaia DR3 4269036830424588800,288.19713780418,3.55739781345,2,1.125,-0.1958
57,YZSgr,0.980171,0.2437957409828783,10.361,8.372,7.351,6.214,5.472,5.003,4.903,7.592309,7.014152,6.27917,10.384027307737112,0.1022,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,1,0.955,-0.78
58,SMus,0.98498,0.1830829189622738,9.67,6.963,6.136,5.188,4.553,4.127,4.017,6.333974,5.881265,5.251543,9.542141962137965,,Gaia DR3 5855852527008107008,183.19580971297,-70.15179538057,3,4.495,
59,SNor,0.989194,0.2366296546853713,9.888,7.375,6.429,5.427,4.729,4.275,4.162,6.699772,6.175861,5.503014,9.668963126792775,0.2211,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,2,0.878,-0.129
60,DDCas,0.991759,0.4353643346457788,12.353,11.076,9.879,8.507,7.627,7.068,6.948,10.13101,9.469182,8.650616,12.377054664486076,0.0309,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,4,1.049,-1.1153
61,betaDor,0.993131,0.0782766431091526,7.703,4.545,3.743,2.947,2.438,2.029,1.959,4.038506,3.593462,2.988932,7.539078525279644,0.2101,Gaia DR3 4757601523650165120,83.4063106733,-62.48976923943,2,4.535,-0.3443
62,BZCyg,1.006127,0.934390546063284,11.89,11.837,10.221,8.324,6.886,6.155,5.924,10.510661,9.456697,8.45659,11.204383530323437,1.3121,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,3,1.138,-0.219
63,ZetaGem,1.006497,0.0769034769455201,7.932,4.708,3.849,3.117,2.612,2.201,2.131,3.973537,3.539513,2.986609,7.764406174568671,,Gaia DR3 3366754155291545344,106.02717676047,20.57029427416,1,2.778,
64,YSct,1.014575,0.7973320393879346,11.248,11.194,9.632,7.841,6.578,5.896,5.691,9.911994,8.931744,7.900858,11.043930014246287,1.1386,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,4,0.944,0.0047
65,TWNor,1.032868,1.198659970668614,11.691,13.63,11.701,9.287,7.506,6.694,6.39,12.008674,10.565082,9.417015,11.651016997017264,,Gaia DR3 5981406000300438016,241.23009532876,-51.95352728432,3,0.891,
66,ZLac,1.036854,0.3715808254920328,11.37,9.514,8.414,7.148,6.346,5.827,5.693,8.862301,8.185639,7.358641,11.282068512886472,,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,2,1.055,
67,VXPer,1.036883,0.4234657642969751,13.118,10.492,9.299,7.919,6.98,6.437,6.298,9.593902,8.893997,8.042476,11.876746421977783,0.8165,Gaia DR3 506779550797525760,31.95200190538,58.44353350743,5,1.122,-0.2182
68,XXCen,1.039548,0.2479235728778989,10.999,8.803,7.819,6.736,5.991,5.53,5.407,8.214571,7.621872,6.876737,11.08233152032408,,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,2,1.238,
69,TYSct,1.043507,0.8559972633347165,11.638,12.507,10.818,8.825,7.355,6.638,6.429,11.021042,9.899057,8.871976,11.85595055784764,,Gaia DR3 4256744187345732224,280.53296920017,-4.29349280288,4,0.905,
70,SVPer,1.046469,0.3779866278663976,12.383,10.023,8.977,7.734,6.891,6.355,6.237,9.318793,8.696445,7.905073,12.408793924236631,,Gaia DR3 203496585576324224,72.44976511863,42.28970434341,3,11.693,
71,V0438Cyg,1.049647,1.2206777443613326,11.407,12.847,10.943,8.639,6.921,6.081,5.789,11.313254,9.948211,8.838357,11.082520857106749,1.958,Gaia DR3 2062267687221984128,304.72629821519,40.06447451486,5,1.094,-0.097
72,AAGem,1.053181,0.3208820480635566,12.612,10.809,9.729,8.581,7.734,7.2,7.106,10.008104,9.393121,8.64468,12.760634761167015,0.5586,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,3,1.249,-0.2277
73,RXAur,1.065337,0.1774818231845092,10.796,8.631,7.669,6.59,5.819,5.355,5.269,7.931838,7.36267,6.635993,11.04361415548236,,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,3,0.982,
74,UUMus,1.065819,0.4444879611680509,12.033,10.936,9.794,8.486,7.528,6.989,6.828,10.127277,9.441485,8.624062,12.493232382609929,,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,3,1.006,
75,RYCas,1.084181,0.6192887031447769,12.069,11.321,9.95,8.403,7.175,6.551,6.373,10.242566,9.384336,8.493246,12.016823112034368,0.7186,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,3,1.134,-1.8015
76,UNor,1.101875,0.8584179234529357,10.549,10.841,9.247,7.352,5.931,5.237,4.991,9.551569,8.493722,7.443438,10.5946660375116,1.3007,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,2,0.984,-0.16
