,Unnamed: 0,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,1,SSSct,0.564814,9.806,0.3361973336591937,9.165,8.218,7.095,6.381,5.937,5.845
1,1,2,RTAur,0.571489,7.919,0.0883145422882746,6.036,5.443,4.767,4.302,3.989,3.937
2,2,3,ADGem,0.578408,12.209,0.1322630160589945,10.547,9.855,9.039,8.527,8.147,8.077
3,3,4,SUCyg,0.584952,9.33,0.112810632868908,7.455,6.886,6.196,5.703,5.387,5.324
4,4,5,YAur,0.586529,11.114999999999998,0.4440626871794851,10.512,9.614,8.571,7.743,7.284,7.167
5,5,7,STTau,0.605768,9.837,0.3974993318962089,9.066,8.219,7.138,6.352,5.898,5.788
6,6,8,BFOph,0.609329,9.33,0.2764218535705051,8.2,7.337,6.366,5.701,5.285,5.178
7,7,9,SYCas,0.609712,11.332,0.4532914216223801,10.85,9.873,8.752,7.909,7.448,7.343
8,8,12,RZCMa,0.628882,11.162,0.4451203584464018,10.698,9.698,8.469,7.629,7.177,7.027
9,9,13,YLac,0.635863,11.516,0.1765276190695304,9.874,9.144,8.277,7.706,7.316,7.225
10,10,14,V0402Cyg,0.639968,11.556,0.3765039313035171,10.897,9.867,8.669,7.895,7.41,7.299
11,11,15,TVul,0.646934,8.53,0.0570695541687883,6.39,5.753,5.054,4.601,4.27,4.205
12,12,16,XYCas,0.653376,11.379,0.5025180673628311,11.085,9.953,8.736,7.832,7.335,7.212
13,13,17,TVel,0.666501,10.023,0.3301384417184826,8.944,8.032,6.959,6.225,5.768,5.641
14,14,18,WWMon,0.66858,13.474,0.666613770203871,13.637,12.51,11.137,10.064,9.507,9.392
15,15,19,RYCMa,0.670099,10.293,0.2602382581919009,8.953,8.108,7.119,6.455,6.045,5.936
16,16,20,VZCyg,0.687034,11.212,0.2419155743813584,9.836,8.956,7.933,7.283,6.872,6.759
17,17,21,CFCas,0.687994,12.372,0.5782051118244186,12.338,11.128,9.691,8.701,8.132,7.966
18,18,22,ASPer,0.696531,10.611,0.6412117029902898,11.02,9.719,8.09,7.035,6.478,6.315
19,19,23,VLac,0.697493,10.961,0.3338581677675446,9.816,8.921,7.866,7.121,6.671,6.587
20,20,24,V350Sgr,0.712165,9.682,0.2890840194108051,8.382,7.474,6.416,5.712,5.257,5.165
21,21,25,V0386Cyg,0.720788,10.059,0.83728464517895,11.167,9.627,7.742,6.482,5.809,5.587
22,22,27,BGLac,0.726883,11.187,0.2533801132833816,9.833,8.881,7.784,7.112,6.658,6.543
23,23,28,dCeph,0.729678,6.99,0.0438964759933371,4.612,3.959,3.209,2.748,2.392,2.325
24,24,29,V1162Aql,0.730464,10.304,0.2063912824033824,8.677,7.789,6.845,6.22,5.807,5.714
25,25,30,CVMon,0.730685,10.998,0.7878915309083263,11.596,10.305,8.616,7.404,6.791,6.576
26,26,31,SWCas,0.735675,11.375,0.4647065221141709,10.808,9.703,8.387,7.5,6.982,6.859
27,27,32,VCen,0.739882,9.121,0.3010031862610396,7.705,6.834,5.796,5.073,4.628,4.509
28,28,33,RZGem,0.742669,11.555,0.534162486148666,11.055,10.006,8.662,7.703,7.164,7.01
29,29,34,YSgr,0.761428,8.283000000000001,0.2393040784475426,6.595,5.743,4.797,4.131,3.702,3.612
30,30,35,FMCas,0.764123,11.335,0.326526430825154,10.119,9.128,7.978,7.223,6.746,6.638
31,31,36,CSVel,0.771201,12.535,0.793860658381821,13.049,11.709,10.068,8.84,8.234,8.018
32,32,37,MWCyg,0.774852,10.667,0.6409840032577667,10.841,9.483,7.874,6.799,6.209,6.041
33,33,38,CRCep,0.794695,10.62,0.7349008144810585,11.048,9.655,7.929,6.754,6.098,5.935
34,34,39,RSCas,0.799056,10.577,0.8910057411791373,11.423,9.944,8.217,6.884,6.227,6.03
35,35,40,XVul,0.800689,9.937,0.6752296958615831,10.28,8.835,7.137,6.021,5.426,5.255
36,36,41,RRLac,0.807281,11.252,0.3194029904483109,9.753,8.842,7.816,7.058,6.619,6.527
37,37,42,XXSgr,0.807815,10.537,0.5319815076831484,9.967,8.856,7.469,6.496,5.961,5.824
38,38,43,AWPer,0.810474,9.395,0.4415926661481837,8.533,7.467,6.19,5.308,4.83,4.715
39,39,44,BBSgr,0.821971,9.45,0.2802046187292829,7.924,6.94,5.822,5.099,4.639,4.51
40,40,45,VCar,0.82586,10.255,0.1723010202843083,8.235,7.368,6.421,5.806,5.387,5.284
41,41,47,USgr,0.828997,8.841000000000001,0.3936182670203937,7.786,6.69,5.426,4.587,4.093,3.954
42,42,48,TWCMa,0.844792,12.046,0.3102732119085465,10.534,9.564,8.419,7.66,7.175,7.069
43,43,49,xSgr,0.845893,7.469,0.1915659599532177,5.311,4.561,3.655,3.016,2.618,2.521
44,44,50,UAql,0.846591,8.821000000000002,0.3339108307546198,7.475,6.449,5.259,4.476,4.008,3.89
45,45,51,etaAql,0.85593,7.052,0.1084038572848081,4.689,3.904,3.018,2.46,2.066,1.985
46,46,53,V0459Cyg,0.860413,11.88,0.665648990404268,12.035,10.601,8.837,7.715,7.073,6.903
47,47,55,CKSct,0.870124,11.438,0.8209592220844657,12.165,10.575,8.778,7.498,6.82,6.652
48,48,58,RSOri,0.878917,10.957,0.3070148466078929,9.376,8.414,7.253,6.489,6.018,5.917
49,49,60,GHCyg,0.893092,11.588,0.6108850519866302,11.159,9.896,8.43,7.356,6.799,6.638
50,50,61,VYCyg,0.895256,11.467,0.5137393649894961,10.822,9.582,8.079,7.102,6.548,6.396
51,51,62,RXCam,0.898288,9.626,0.493494930642105,8.888,7.669,6.223,5.266,4.724,4.599
52,52,63,WGem,0.898368,9.775,0.2359873786522636,7.865,6.95,5.901,5.204,4.763,4.693
53,53,65,DLCas,0.903126,11.127,0.4588530195687226,10.121,8.968,7.575,6.651,6.101,5.949
54,54,66,BKAur,0.903222,11.848,0.3981153615143257,10.524,9.457,8.249,7.387,6.885,6.772
55,55,67,SSge,0.923352,9.042,0.0817941553225633,6.424,5.617,4.775,4.227,3.846,3.765
56,56,68,FNAql,0.976878,10.807,0.4135578823262831,9.593,8.389,6.947,6.05,5.495,5.356
57,57,69,YZSgr,0.980171,10.321000000000002,0.2597175785780519,8.372,7.351,6.214,5.472,5.003,4.903
58,58,70,SMus,0.98498,9.53,0.1522910489832909,6.963,6.136,5.188,4.553,4.127,4.017
59,59,71,SNor,0.989194,9.668,0.2136423047138025,7.375,6.429,5.427,4.729,4.275,4.162
60,60,72,DDCas,0.991759,12.453,0.3929470609673317,11.076,9.879,8.507,7.627,7.068,6.948
61,61,73,betaDor,0.993131,7.583,0.0250499937512049,4.545,3.743,2.947,2.438,2.029,1.959
62,62,75,BZCyg,1.006127,11.25,0.9426324049501724,11.837,10.221,8.324,6.886,6.155,5.924
63,63,77,ZetaGem,1.006497,7.812,0.0176784608513744,4.708,3.849,3.117,2.612,2.201,2.131
64,64,78,YSct,1.014575,11.148,0.7668234649027864,11.194,9.632,7.841,6.578,5.896,5.691
65,65,79,TWNor,1.032868,11.631,1.2762581151169547,13.63,11.701,9.287,7.506,6.694,6.39
66,66,80,ZLac,1.036854,11.39,0.3044017412580873,9.514,8.414,7.148,6.346,5.827,5.693
67,67,81,VXPer,1.036883,12.138,0.4382479940859888,10.492,9.299,7.919,6.98,6.437,6.298
68,68,82,XXCen,1.039548,11.059,0.2476708318815745,8.803,7.819,6.736,5.991,5.53,5.407
69,69,83,TYSct,1.043507,11.758,0.9656464617621452,12.507,10.818,8.825,7.355,6.638,6.429
70,70,84,SVPer,1.046469,11.922999999999998,0.342732269468303,10.023,8.977,7.734,6.891,6.355,6.237
71,71,85,V0438Cyg,1.049647,11.227,1.208859079764678,12.847,10.943,8.639,6.921,6.081,5.789
72,72,87,AAGem,1.053181,12.752,0.3453543070688393,10.809,9.729,8.581,7.734,7.2,7.106
73,73,88,RXAur,1.065337,10.896,0.2675559366487275,8.631,7.669,6.59,5.819,5.355,5.269
74,74,89,UUMus,1.065819,12.493,0.4522406413947085,10.936,9.794,8.486,7.528,6.989,6.828
75,75,90,RYCas,1.084181,11.929,0.7156385466330578,11.321,9.95,8.403,7.175,6.551,6.373
76,76,91,UNor,1.101875,10.609,0.9021513464166088,10.841,9.247,7.352,5.931,5.237,4.991
77,77,93,ZSct,1.110645,12.158,0.4824035061604139,10.927,9.592,8.055,7.055,6.478,6.323
78,78,95,BNPup,1.135867,12.892,0.4026337505883432,11.069,9.882,8.552,7.626,7.076,6.921
79,79,96,TTAql,1.138459,10.11,0.3816805705192452,8.436,7.138,5.678,4.772,4.204,4.051
80,80,97,CYAur,1.141376,13.796,0.7253043919501091,13.446,11.867,9.962,8.708,7.961,7.774
81,81,98,LSPup,1.150646,13.383,0.4522579996709689,11.685,10.448,9.074,8.094,7.518,7.353
82,82,99,TXCyg,1.167607,10.038,1.2278666753579983,11.363,9.489,7.228,5.462,4.637,4.372
83,83,100,UZSct,1.168739,12.195,1.1128295112547892,13.124,11.247,9.184,7.534,6.746,6.534
84,84,101,RWCas,1.170032,12.307,0.4049825114788007,10.462,9.233,7.871,6.934,6.367,6.237
85,85,103,SZCyg,1.179252,11.961,0.5831550067454105,10.91,9.432,7.755,6.635,5.961,5.775
86,86,104,SVMon,1.182801,11.881,0.25420426680589,9.31,8.256,7.133,6.345,5.826,5.726
87,87,105,XCyg,1.214482,10.185,0.2102188256399031,7.533,6.377,5.223,4.471,3.964,3.838
88,88,106,RWCam,1.215224,11.309,0.5670495675620311,10.034,8.671,7.042,5.93,5.291,5.139
89,89,107,CDCyg,1.232334,12.025,0.4368008537001908,10.217,8.948,7.448,6.463,5.89,5.72
90,90,108,SZAql,1.234029,11.47,0.5135158642985376,10.033,8.634,7.018,5.955,5.347,5.16
91,91,110,CPCep,1.251989,12.82,0.7596394422993644,12.223,10.577,8.773,7.457,6.726,6.537
92,92,113,VYCar,1.276818,11.324,0.2591594104884146,8.642,7.463,6.28,5.463,4.945,4.806
93,93,115,VXCyg,1.303917,12.303,0.7756827314244854,11.769,10.062,8.161,6.816,6.083,5.905
