name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,gplx,IRSB,EBV,DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
YAur,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,10.035061,9.457623,8.714322,11.204778834597668,11.682,0.375,Gaia DR3 195373217573454464,82.16349483157,42.43772581388,3,1.122,
BNPup,1.135867,11.069,9.882,8.552,7.626,7.076,6.921,10.428416,9.638985,8.79757,12.388919204911467,12.78,0.416,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,3,1.249,
DDCas,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,10.13101,9.469182,8.650616,12.077054664486077,12.178,0.45,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,4,1.049,-1.1153
UUMus,1.065819,10.936,9.794,8.486,7.528,6.989,6.828,10.127277,9.441485,8.624062,12.313232382609929,11.88,0.404,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,3,1.006,
TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,9.807674,9.219297,8.575474,11.901871648972966,11.447,0.329,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,3,1.149,
RYCas,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,10.242566,9.384336,8.493246,11.996823112034367,11.922,0.618,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,3,1.134,-1.8015
SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,10.004331,9.355734,8.538896,11.512722080938333,11.805,0.467,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,3,1.123,-0.5406
BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,10.510661,9.456697,8.45659,11.344383530323437,11.72,0.885,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,3,1.138,-0.219
YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,9.470252,9.062985,8.430667,11.63388347911998,12.057,0.217,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,2,1.053,-0.8522
BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,9.716227,9.128825,8.322496,11.677938427875784,11.207,0.425,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,3,1.007,-0.0671
RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.305975,9.329637,8.343407,10.872222441629962,10.485,0.833,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,4,1.045,-0.1898
VXCyg,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,10.519523,9.421895,8.398459,12.23020280080577,12.263,0.753,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,3,0.998,0.163
ZSct,1.110645,10.927,9.592,8.055,7.055,6.478,6.323,10.054388,9.223479,8.362758,12.066442294122076,12.159,0.492,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,3,0.903,-0.5432
FMCas,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,9.334805,8.797508,8.054358,11.492937268073236,11.212,0.325,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,3,1.081,-0.0682
WZCar,1.361977,10.427,9.266,7.963,7.009,6.456,6.29,9.702198,8.997776,8.172882,12.483841530446382,12.68,0.372,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,2,1.376,-0.1606
VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,9.251616,8.745005,8.053975,11.162505097664255,11.588,0.266,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,1,1.314,-0.2581
CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,9.933943,9.031693,8.090185,10.66520836988451,10.107,0.709,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,2,1.056,
MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,9.850045,9.016481,8.090841,11.199703416360896,10.428,0.635,Gaia DR3 2055014277739104896,303.09510555228,32.87159966536,4,1.208,-2.2118
RWCas,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,9.516718,8.834319,8.018065,12.150423688538691,12.586,0.38,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,3,1.262,
VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,9.305993,8.771336,7.997581,11.372474932442639,11.46,0.335,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,3,1.094,-0.2824
YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,9.911994,8.931744,7.900858,11.143930014246287,11.08,0.757,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,4,0.944,0.0047
RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,9.21242,8.684987,7.924542,11.674609409067937,10.943,0.319,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,4,1.1,-0.168
SZCyg,1.179252,10.91,9.432,7.755,6.635,5.961,5.775,9.855323,8.952725,8.012443,11.579416265073641,11.502,0.571,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,2,0.956,
V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.015031,8.998431,7.964559,10.159435638990368,9.744,0.841,Gaia DR3 1968971582984827136,318.66846943872,41.716336531,4,0.951,-0.1374
XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,9.241948,8.539941,7.664947,10.592480841288962,10.648,0.521,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,3,1.1,
CDCyg,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,9.376083,8.587173,7.69426,11.831463238585702,11.843,0.493,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,1,1.007,-0.0117
UNor,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,9.551569,8.493722,7.443438,10.894666037511602,10.408,0.857,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,2,0.984,-0.16
RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,8.788838,8.193092,7.443338,11.001908401272402,11.328,0.352,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,4,1.119,-0.1611
TXCyg,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,9.865825,8.521427,7.313939,10.297969519686204,10.316,1.13,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,3,0.952,
ZLac,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,8.862301,8.185639,7.358641,11.32206851288647,11.209,0.37,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,2,1.055,
AQPup,1.478624,10.081,8.705,7.14,6.102,5.483,5.299,9.253232,8.315241,7.369619,12.415260552745407,12.544,0.518,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,2,1.18,0.3209
STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,8.609181,8.051365,7.311717,10.141118674761305,10.249,0.368,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,3,1.351,-0.3466
SVMon,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,8.755854,8.132302,7.330363,11.493701472036832,11.364,0.234,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,3,1.006,-0.1313
XPup,1.414321,9.702,8.507,7.107,6.18,5.6,5.431,9.122233,8.347651,7.425146,11.818070902897958,12.192,0.421,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,2,1.038,
SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,8.452847,7.893511,7.173412,10.073996745630627,10.447,0.325,Gaia DR3 4251917636212432384,280.93130508578,-7.73109359922,4,0.843,-0.2802
SZAql,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,9.052635,8.201151,7.225074,11.256058008028884,11.548,0.534,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,2,0.94,
TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,8.305958,7.774636,7.052883,10.05660033600083,10.133,0.289,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,2,0.926,-0.3743
FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,8.70911,8.005132,7.103401,10.582928469687205,10.148,0.486,Gaia DR3 4269036830424588800,288.19713780418,3.55739781345,2,1.125,-0.1958
V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,8.092654,7.593359,6.939383,10.340667869239475,10.132,0.195,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,3,0.952,-0.0744
SWVel,1.370016,9.281,8.128,6.844,5.931,5.39,5.231,8.536652,7.787433,6.929191,11.74250303919865,11.976,0.344,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,3,1.049,
RYVel,1.449158,9.744,8.371,6.834,5.7,5.123,4.928,8.770825,7.879678,6.983576,11.955188031554531,11.812,0.545,Gaia DR3 5355057622307185280,155.17091157355,-55.32138032787,3,1.075,
XXCen,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,8.214571,7.621872,6.876737,11.102331520324078,10.839,0.271,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,2,1.238,
FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,8.617665,7.822873,6.906029,9.893257091898544,10.527,0.589,Gaia DR3 4312361436842603520,287.31662690693,10.55246519356,2,1.261,
RXAur,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,7.931838,7.36267,6.635993,10.803614155482359,10.644,0.263,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,3,0.982,
VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,7.650739,7.17335,6.511265,10.389031150564474,9.871,0.166,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,2,1.042,
BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,7.575954,7.069333,6.408388,9.56465716912419,9.11,0.235,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,2,0.837,-0.5115
VYCar,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,8.046384,7.337772,6.535224,11.096359923379694,11.255,0.242,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,1,0.916,
RYSco,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,8.513703,7.489791,6.469172,10.476692647650534,10.258,0.718,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,2,0.733,
YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,7.592309,7.014152,6.27917,10.244027307737111,10.183,0.281,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,1,0.955,-0.78
RZVel,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,7.60386,6.850103,6.022648,10.793705173405876,10.605,0.3,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,2,1.244,-0.9696
BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,7.13682,6.584278,5.878089,9.559813198538286,9.784,0.281,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1,0.82,
VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,7.228839,6.637,5.935676,9.197433322695396,9.191,0.294,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,3,1.06,-0.4147
TTAql,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,7.582161,6.774303,5.906594,9.932871345899628,9.8,0.435,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,2,1.076,-0.4549
RSPup,1.61742,8.442,7.01,5.489,4.44,3.827,3.647,7.594005,6.638235,5.740647,11.05487314490565,11.307,0.457,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,2,1.157,
SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,6.699772,6.175861,5.503014,9.728963126792777,9.712,0.179,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,2,0.878,-0.129
USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,7.129108,6.42923,5.63952,8.923040732551554,9.058,0.402,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,2,0.853,-0.9225
XCyg,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,6.810588,6.199011,5.442216,10.119499113710727,10.177,0.228,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,2,1.277,
UCar,1.58897,7.469,6.292,5.057,4.193,3.67,3.522,6.809177,6.157681,5.33878,11.122760074756943,10.752,0.263,Gaia DR3 5338359442320395904,164.45072523345,-59.73217920344,2,1.229,-1.2903
TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,5.828832,5.499797,5.005271,8.779609271617035,8.815,0.06,Gaia DR3 1857884212378132096,312.86767706102,28.25048193691,1,1.2,0.1393
