,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,2,SZ Tau,0.498166,8.814,0.295,7.365,6.526,5.517,4.827,4.414,4.314
1,3,SS Sct,0.564814,10.447,0.325,9.165,8.218,7.095,6.381,5.937,5.845
2,4,QZ Nor,0.578244,10.811,0.263,9.756,8.869,7.865,7.136,6.733,6.619
3,5,AD Gem,0.578408,12.514,0.173,10.547,9.855,9.039,8.527,8.147,8.077
4,6,YA ur,0.586529,11.682,0.375,10.512,9.614,8.571,7.743,7.284,7.167
5,9,ST Tau,0.605768,10.249,0.368,9.066,8.219,7.138,6.352,5.898,5.788
6,10,BF Oph,0.609329,9.11,0.235,8.2,7.337,6.366,5.701,5.285,5.178
7,11,SY Cas,0.609712,11.586,0.442,10.85,9.873,8.752,7.909,7.448,7.343
8,12,XS ct,0.62305,12.098,0.589,11.138,10.011,8.62,7.479,6.951,6.826
9,13,YL ac,0.635863,12.057,0.217,9.874,9.144,8.277,7.706,7.316,7.225
10,14,TV ul,0.646934,8.815,0.06,6.39,5.753,5.054,4.601,4.27,4.205
11,15,XY Cas,0.653376,11.165,0.533,11.085,9.953,8.736,7.832,7.335,7.212
12,16,TV el,0.666501,10.133,0.289,8.944,8.032,6.959,6.225,5.768,5.641
13,17,VZ Cyg,0.687034,11.588,0.266,9.836,8.956,7.933,7.283,6.872,6.759
14,18,CF Cas,0.687994,12.348,0.553,12.338,11.128,9.691,8.701,8.132,7.966
15,19,VL ac,0.697493,11.46,0.335,9.816,8.921,7.866,7.121,6.671,6.587
16,20,V0 386Cyg,0.720788,9.744,0.841,11.167,9.627,7.742,6.482,5.809,5.587
17,21,CR Ser,0.724391,11.711,1.036,12.492,10.853,8.895,7.463,6.763,6.548
18,22,V1 162Aql,0.730464,10.132,0.195,8.677,7.789,6.845,6.22,5.807,5.714
19,23,CV Mon,0.730685,11.066,0.722,11.596,10.305,8.616,7.404,6.791,6.576
20,24,SW Cas,0.735675,11.805,0.467,10.808,9.703,8.387,7.5,6.982,6.859
21,25,XL ac,0.735997,11.48,0.336,9.306,8.405,7.317,6.608,6.157,6.046
22,26,VC en,0.739882,9.191,0.294,7.705,6.834,5.796,5.073,4.628,4.509
23,27,FM Cas,0.764123,11.212,0.325,10.119,9.128,7.978,7.223,6.746,6.638
24,28,CS Vel,0.771201,12.675,0.737,13.049,11.709,10.068,8.84,8.234,8.018
25,29,MW Cyg,0.774852,10.428,0.635,10.841,9.483,7.874,6.799,6.209,6.041
26,30,FM Aql,0.786342,10.527,0.589,9.546,8.27,6.717,5.794,5.235,5.075
27,31,CR Cep,0.794695,10.107,0.709,11.048,9.655,7.929,6.754,6.098,5.935
28,32,RS Cas,0.799056,10.485,0.833,11.423,9.944,8.217,6.884,6.227,6.03
29,33,RR Lac,0.807281,10.943,0.319,9.753,8.842,7.816,7.058,6.619,6.527
30,34,XX Sgr,0.807815,10.648,0.521,9.967,8.856,7.469,6.496,5.961,5.824
31,35,BB Sgr,0.821971,9.784,0.281,7.924,6.94,5.822,5.099,4.639,4.51
32,36,VC ar,0.82586,9.871,0.166,8.235,7.368,6.421,5.806,5.387,5.284
33,38,US gr,0.828997,9.058,0.402,7.786,6.69,5.426,4.587,4.093,3.954
34,39,TW CMa,0.844792,11.447,0.329,10.534,9.564,8.419,7.66,7.175,7.069
35,40,xS gr,0.845893,7.711,0.237,5.311,4.561,3.655,3.016,2.618,2.521
