,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,IRSB,EBV,DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
16,16,TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,9.807674,9.219297,8.575474,12.081871648972966,11.447,0.3108050013865139,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,3,1.149,
17,17,RYCas,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,10.242566,9.384336,8.493246,11.976823112034367,11.922,0.6514274848916468,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,3,1.134,-1.8015
18,18,SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,10.004331,9.355734,8.538896,11.472722080938333,11.805,0.4652905132555624,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,3,1.123,-0.5406
19,19,BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,10.510661,9.456697,8.45659,11.184383530323435,11.72,0.9244577625774446,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,3,1.138,-0.219
20,20,YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,9.470252,9.062985,8.430667,11.67388347911998,12.057,0.1630813814208929,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,2,1.053,-0.8522
21,21,BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,9.716227,9.128825,8.322496,11.937938427875784,11.207,0.3678767881805396,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,3,1.007,-0.0671
22,22,RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.305975,9.329637,8.343407,10.69222244162996,10.485,0.8395952770448236,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,4,1.045,-0.1898
23,23,VXCyg,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,10.519523,9.421895,8.398459,12.090202800805772,12.263,0.7986362808748254,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,3,0.998,0.163
24,24,ZSct,1.110645,10.927,9.592,8.055,7.055,6.478,6.323,10.054388,9.223479,8.362758,12.046442294122077,12.159,0.5264395975947738,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,3,0.903,-0.5432
25,25,FMCas,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,9.334805,8.797508,8.054358,11.392937268073236,11.212,0.3355275131689879,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,3,1.081,-0.0682
26,26,WZCar,1.361977,10.427,9.266,7.963,7.009,6.456,6.29,9.702198,8.997776,8.172882,12.863841530446384,12.68,0.3640190929786839,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,2,1.376,-0.1606
27,27,VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,9.251616,8.745005,8.053975,11.322505097664257,11.588,0.2542953281238556,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,1,1.314,-0.2581
28,28,CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,9.933943,9.031693,8.090185,10.60520836988451,10.107,0.7544947955428767,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,2,1.056,
29,29,MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,9.850045,9.016481,8.090841,10.699703416360896,10.428,0.664963238016541,Gaia DR3 2055014277739104896,303.09510555228,32.87159966536,4,1.208,-2.2118
30,30,RWCas,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,9.516718,8.834319,8.018065,12.190423688538692,12.586,0.4129626184136507,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,3,1.262,
31,31,VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,9.305993,8.771336,7.997581,11.15247493244264,11.46,0.2939243939359836,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,3,1.094,-0.2824
32,32,YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,9.911994,8.931744,7.900858,11.023930014246288,11.08,0.7945787381726307,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,4,0.944,0.0047
33,33,RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,9.21242,8.684987,7.924542,11.434609409067937,10.943,0.2702843398388899,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,4,1.1,-0.168
34,34,SZCyg,1.179252,10.91,9.432,7.755,6.635,5.961,5.775,9.855323,8.952725,8.012443,11.65941626507364,11.502,0.6535255834042536,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,2,0.956,
35,35,V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.015031,8.998431,7.964559,9.999435638990368,9.744,0.890173336323972,Gaia DR3 1968971582984827136,318.66846943872,41.716336531,4,0.951,-0.1374
36,36,XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,9.241948,8.539941,7.664947,10.63248084128896,10.648,0.5162928787132163,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,3,1.1,
37,37,CDCyg,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,9.376083,8.587173,7.69426,11.8514632385857,11.843,0.472330147953425,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,1,1.007,-0.0117
38,38,UNor,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,9.551569,8.493722,7.443438,10.574666037511602,10.408,0.8775767307780112,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,2,0.984,-0.16
39,39,RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,8.788838,8.193092,7.443338,11.021908401272402,11.328,0.3089121107798031,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,4,1.119,-0.1611
40,40,TXCyg,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,9.865825,8.521427,7.313939,10.017969519686204,10.316,1.1683054180320185,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,3,0.952,
41,41,ZLac,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,8.862301,8.185639,7.358641,11.28206851288647,11.209,0.3433331478280712,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,2,1.055,
42,42,AQPup,1.478624,10.081,8.705,7.14,6.102,5.483,5.299,9.253232,8.315241,7.369619,12.175260552745408,12.544,0.4790644273550559,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,2,1.18,0.3209
43,43,STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,8.609181,8.051365,7.311717,10.061118674761303,10.249,0.3519563946442259,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,3,1.351,-0.3466
44,44,SVMon,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,8.755854,8.132302,7.330363,11.773701472036832,11.364,0.2557867978498524,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,3,1.006,-0.1313
45,45,XPup,1.414321,9.702,8.507,7.107,6.18,5.6,5.431,9.122233,8.347651,7.425146,12.158070902897958,12.192,0.3753789029231857,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,2,1.038,
46,46,SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,8.452847,7.893511,7.173412,9.993996745630628,10.447,0.3365148813660508,Gaia DR3 4251917636212432384,280.93130508578,-7.73109359922,4,0.843,-0.2802
47,47,SZAql,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,9.052635,8.201151,7.225074,11.256058008028884,11.548,0.5660153709390404,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,2,0.94,
48,48,TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,8.305958,7.774636,7.052883,10.11660033600083,10.133,0.3290818860665793,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,2,0.926,-0.3743
49,49,FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,8.70911,8.005132,7.103401,10.702928469687205,10.148,0.4656199715025124,Gaia DR3 4269036830424588800,288.19713780418,3.55739781345,2,1.125,-0.1958
50,50,V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,8.092654,7.593359,6.939383,10.420667869239477,10.132,0.2078183935502895,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,3,0.952,-0.0744
51,51,SWVel,1.370016,9.281,8.128,6.844,5.931,5.39,5.231,8.536652,7.787433,6.929191,11.84250303919865,11.976,0.3310370328834898,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,3,1.049,
52,52,RYVel,1.449158,9.744,8.371,6.834,5.7,5.123,4.928,8.770825,7.879678,6.983576,11.715188031554533,11.812,0.5021209106400772,Gaia DR3 5355057622307185280,155.17091157355,-55.32138032787,3,1.075,
53,53,XXCen,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,8.214571,7.621872,6.876737,11.042331520324078,10.839,0.2463140144191215,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,2,1.238,
54,54,FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,8.617665,7.822873,6.906029,9.813257091898544,10.527,0.5645379025990431,Gaia DR3 4312361436842603520,287.31662690693,10.55246519356,2,1.261,
