name,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),mMplx,Period,mM0
SNor,0.989194,7.375,6.429,5.427,4.162,0.179,4.729,4.275,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,1.0774,0.878,6.175861,1.196758,0.523911,0.672847,-0.22,-0.129,0.2211,9.801063709316807,9.7542515,9.914
RSPup,1.61742,8.442,7.01,5.489,3.647,0.457,4.44,3.827,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,0.5693,1.157,6.638235,1.853358,0.95577,0.897588,31.8,,,11.18956144845464,41.440025,11.291
TTAql,1.138459,8.436,7.138,5.678,4.051,0.435,4.772,4.204,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,0.9627,1.076,6.774303,1.675568,0.807858,0.86771,,-0.4549,0.2198,10.012201662846625,13.75495,9.952
VCen,0.739882,7.705,6.834,5.796,4.509,0.294,5.073,4.628,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,1.3898,1.06,6.637,1.293163,0.591839,0.701324,-17.81,-0.4147,0.6055,9.253674536741,5.493916,9.075
BBSgr,0.821971,7.924,6.94,5.822,4.51,0.281,5.099,4.639,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1.1516,0.82,6.584278,1.258731,0.552543,0.706188,3.72,,,9.626426814990605,6.636988,9.642
RZVel,1.309564,8.216,7.09,5.867,4.308,0.3,4.979,4.46,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,0.652,1.244,6.850103,1.581212,0.753757,0.827455,26.46,-0.9696,0.693,10.912703981873618,20.396893,10.698
VYCar,1.276818,8.642,7.463,6.28,4.806,0.242,5.463,4.945,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,0.5535,0.916,7.337772,1.51116,0.708612,0.802548,,,,11.233730155298584,18.91551,11.36
GHLup,0.967448,8.844,7.637,6.364,4.813,0.347,5.492,4.96,Gaia DR3 5888819699572539264,231.15974101293,-52.85387016499,0.8408,0.95,7.213343,1.439947,0.651353,0.788594,-17.83,,,10.313512735964563,9.2778635,10.59
BFOph,0.609329,8.2,7.337,6.366,5.178,0.235,5.701,5.285,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,1.1538,0.837,7.069333,1.167566,0.506621,0.660945,-27.15,-0.5115,0.4736,9.631421859037507,4.0675135,9.284
VCar,0.82586,8.235,7.368,6.421,5.284,0.166,5.806,5.387,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,0.7927,1.042,7.17335,1.139474,0.477389,0.662085,20.13,,,10.4873315372246,6.696687,9.727
