,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,0,1,SSSct,0.564814,9.726,0.3715992329227241,9.165,8.218,7.095,6.381,5.937,5.845
1,1,1,2,RTAur,0.571489,8.099,0.0391553308332897,6.036,5.443,4.767,4.302,3.989,3.937
2,2,2,3,ADGem,0.578408,12.188999999999998,0.139438848630984,10.547,9.855,9.039,8.527,8.147,8.077
3,3,3,4,SUCyg,0.584952,9.55,0.0502852372885327,7.455,6.886,6.196,5.703,5.387,5.324
4,4,4,5,YAur,0.586529,11.295,0.3641766462146928,10.512,9.614,8.571,7.743,7.284,7.167
5,5,5,7,STTau,0.605768,9.957,0.3536400492389741,9.066,8.219,7.138,6.352,5.898,5.788
6,6,6,8,BFOph,0.609329,9.33,0.2720117606216498,8.2,7.337,6.366,5.701,5.285,5.178
7,7,7,9,SYCas,0.609712,11.472,0.3989510593826901,10.85,9.873,8.752,7.909,7.448,7.343
8,8,8,12,RZCMa,0.628882,11.162,0.4472500815928687,10.698,9.698,8.469,7.629,7.177,7.027
9,9,9,13,YLac,0.635863,11.556,0.1676883956385335,9.874,9.144,8.277,7.706,7.316,7.225
10,10,10,14,V0402Cyg,0.639968,11.436,0.418652839209605,10.897,9.867,8.669,7.895,7.41,7.299
11,11,11,15,TVul,0.646934,8.61,0.0378805485878764,6.39,5.753,5.054,4.601,4.27,4.205
12,12,12,16,XYCas,0.653376,11.419,0.4737093785670483,11.085,9.953,8.736,7.832,7.335,7.212
13,13,13,17,TVel,0.666501,10.003,0.3300713769926707,8.944,8.032,6.959,6.225,5.768,5.641
14,14,14,18,WWMon,0.66858,13.674,0.5855922355074077,13.637,12.51,11.137,10.064,9.507,9.392
15,15,15,19,RYCMa,0.670099,10.313,0.2561236635415044,8.953,8.108,7.119,6.455,6.045,5.936
16,16,16,20,VZCyg,0.687034,11.172,0.2631753061579857,9.836,8.956,7.933,7.283,6.872,6.759
17,17,17,21,CFCas,0.687994,12.232,0.6095802729222743,12.338,11.128,9.691,8.701,8.132,7.966
18,18,18,22,ASPer,0.696531,10.471,0.7067614884060364,11.02,9.719,8.09,7.035,6.478,6.315
19,19,19,23,VLac,0.697493,11.061,0.3020521441703117,9.816,8.921,7.866,7.121,6.671,6.587
20,20,20,24,V350Sgr,0.712165,9.662,0.295063282906721,8.382,7.474,6.416,5.712,5.257,5.165
21,21,21,25,V0386Cyg,0.720788,9.759,0.9250614282079668,11.167,9.627,7.742,6.482,5.809,5.587
22,22,22,27,BGLac,0.726883,11.047,0.3081835890436261,9.833,8.881,7.784,7.112,6.658,6.543
23,23,23,28,dCeph,0.729678,7.029999999999999,0.0406946948428952,4.612,3.959,3.209,2.748,2.392,2.325
24,24,24,29,V1162Aql,0.730464,10.304,0.2107877449200592,8.677,7.789,6.845,6.22,5.807,5.714
25,25,25,30,CVMon,0.730685,10.978,0.7829337461073178,11.596,10.305,8.616,7.404,6.791,6.576
26,26,26,31,SWCas,0.735675,11.335,0.4828610619830285,10.808,9.703,8.387,7.5,6.982,6.859
27,27,27,32,VCen,0.739882,9.161,0.2827075502964231,7.705,6.834,5.796,5.073,4.628,4.509
28,28,28,33,RZGem,0.742669,11.575,0.5182364321414756,11.055,10.006,8.662,7.703,7.164,7.01
29,29,29,34,YSgr,0.761428,8.363000000000001,0.2109510149450162,6.595,5.743,4.797,4.131,3.702,3.612
30,30,30,35,FMCas,0.764123,11.275,0.3485460522924007,10.119,9.128,7.978,7.223,6.746,6.638
31,31,31,36,CSVel,0.771201,12.575,0.7620589275548173,13.049,11.709,10.068,8.84,8.234,8.018
32,32,32,37,MWCyg,0.774852,10.507,0.6962988821210138,10.841,9.483,7.874,6.799,6.209,6.041
33,33,33,38,CRCep,0.794695,10.48,0.7788178255421498,11.048,9.655,7.929,6.754,6.098,5.935
34,34,34,39,RSCas,0.799056,10.637,0.8402197914458689,11.423,9.944,8.217,6.884,6.227,6.03
35,35,35,40,XVul,0.800689,9.757,0.7441230272439069,10.28,8.835,7.137,6.021,5.426,5.255
36,36,36,41,RRLac,0.807281,11.432,0.2604208575171927,9.753,8.842,7.816,7.058,6.619,6.527
37,37,37,42,XXSgr,0.807815,10.577,0.5199614312148944,9.967,8.856,7.469,6.496,5.961,5.824
38,38,38,43,AWPer,0.810474,9.495,0.4244398231217027,8.533,7.467,6.19,5.308,4.83,4.715
39,39,39,44,BBSgr,0.821971,9.39,0.306632063801919,7.924,6.94,5.822,5.099,4.639,4.51
40,40,40,45,VCar,0.82586,10.255,0.17876840696536,8.235,7.368,6.421,5.806,5.387,5.284
41,41,41,47,USgr,0.828997,8.781,0.4195607338966671,7.786,6.69,5.426,4.587,4.093,3.954
42,42,42,48,TWCMa,0.844792,12.046,0.317571630927739,10.534,9.564,8.419,7.66,7.175,7.069
43,43,43,49,xSgr,0.845893,7.648999999999998,0.1407379539220744,5.311,4.561,3.655,3.016,2.618,2.521
44,44,44,50,UAql,0.846591,8.821000000000002,0.34794835671906,7.475,6.449,5.259,4.476,4.008,3.89
45,45,45,51,etaAql,0.85593,7.092,0.1089638279687051,4.689,3.904,3.018,2.46,2.066,1.985
46,46,46,53,V0459Cyg,0.860413,11.62,0.7630841108149073,12.035,10.601,8.837,7.715,7.073,6.903
47,47,47,55,CKSct,0.870124,11.398,0.8436389004909163,12.165,10.575,8.778,7.498,6.82,6.652
48,48,48,58,RSOri,0.878917,10.997,0.3109450241332809,9.376,8.414,7.253,6.489,6.018,5.917
49,49,49,60,GHCyg,0.893092,11.668,0.5800362256105548,11.159,9.896,8.43,7.356,6.799,6.638
50,50,50,61,VYCyg,0.895256,11.367,0.5628973878939341,10.822,9.582,8.079,7.102,6.548,6.396
51,51,51,62,RXCam,0.898288,9.586,0.5242107261804472,8.888,7.669,6.223,5.266,4.724,4.599
52,52,52,63,WGem,0.898368,9.875,0.2222372408104091,7.865,6.95,5.901,5.204,4.763,4.693
53,53,53,65,DLCas,0.903126,11.027,0.4928438586376877,10.121,8.968,7.575,6.651,6.101,5.949
54,54,54,66,BKAur,0.903222,11.928,0.3724406935223755,10.524,9.457,8.249,7.387,6.885,6.772
55,55,55,67,SSge,0.923352,9.122,0.0693451785721658,6.424,5.617,4.775,4.227,3.846,3.765
56,56,56,68,FNAql,0.976878,10.647,0.48458581329539,9.593,8.389,6.947,6.05,5.495,5.356
57,57,57,69,YZSgr,0.980171,10.341,0.2702546118144038,8.372,7.351,6.214,5.472,5.003,4.903
58,58,58,70,SMus,0.98498,9.61,0.1354532428854949,6.963,6.136,5.188,4.553,4.127,4.017
59,59,59,71,SNor,0.989194,9.728,0.1941827173572546,7.375,6.429,5.427,4.729,4.275,4.162
60,60,60,72,DDCas,0.991759,12.313,0.4461377482360723,11.076,9.879,8.507,7.627,7.068,6.948
61,61,61,73,betaDor,0.993131,7.603000000000001,0.022375102960783,4.545,3.743,2.947,2.438,2.029,1.959
62,62,62,75,BZCyg,1.006127,11.25,0.9126077505729024,11.837,10.221,8.324,6.886,6.155,5.924
63,63,63,77,ZetaGem,1.006497,7.832,0.00089131807549,4.708,3.849,3.117,2.612,2.201,2.131
64,64,64,78,YSct,1.014575,11.008,0.7990070550650693,11.194,9.632,7.841,6.578,5.896,5.691
65,65,65,79,TWNor,1.032868,11.591,1.2733626135583005,13.63,11.701,9.287,7.506,6.694,6.39
66,66,66,80,ZLac,1.036854,11.29,0.3513657723436337,9.514,8.414,7.148,6.346,5.827,5.693
67,67,67,81,VXPer,1.036883,11.878,0.4471144226710548,10.492,9.299,7.919,6.98,6.437,6.298
68,68,68,82,XXCen,1.039548,11.119,0.2325628877737687,8.803,7.819,6.736,5.991,5.53,5.407
69,69,69,83,TYSct,1.043507,11.798,0.946578679852264,12.507,10.818,8.825,7.355,6.638,6.429
70,70,70,84,SVPer,1.046469,11.943,0.3411036012294528,10.023,8.977,7.734,6.891,6.355,6.237
71,71,71,85,V0438Cyg,1.049647,11.107,1.2106495162161144,12.847,10.943,8.639,6.921,6.081,5.789
72,72,72,87,AAGem,1.053181,12.872,0.3000462445182655,10.809,9.729,8.581,7.734,7.2,7.106
73,73,73,88,RXAur,1.065337,11.096,0.2162994836669152,8.631,7.669,6.59,5.819,5.355,5.269
74,74,74,89,UUMus,1.065819,12.593,0.4154761077711649,10.936,9.794,8.486,7.528,6.989,6.828
75,75,75,90,RYCas,1.084181,12.129,0.6285353312989141,11.321,9.95,8.403,7.175,6.551,6.373
76,76,76,91,UNor,1.101875,10.669,0.8690965805063692,10.841,9.247,7.352,5.931,5.237,4.991
77,77,77,93,ZSct,1.110645,12.058,0.5340131687115761,10.927,9.592,8.055,7.055,6.478,6.323
78,78,78,95,BNPup,1.135867,12.912,0.3985260425158077,11.069,9.882,8.552,7.626,7.076,6.921
79,79,79,96,TTAql,1.138459,9.91,0.4623653360344071,8.436,7.138,5.678,4.772,4.204,4.051
80,80,80,97,CYAur,1.141376,13.516,0.8139410425628677,13.446,11.867,9.962,8.708,7.961,7.774
81,81,81,98,LSPup,1.150646,13.383,0.4425588277804923,11.685,10.448,9.074,8.094,7.518,7.353
82,82,82,99,TXCyg,1.167607,10.178,1.1546949598365877,11.363,9.489,7.228,5.462,4.637,4.372
83,83,83,100,UZSct,1.168739,12.355,1.0261749368868986,13.124,11.247,9.184,7.534,6.746,6.534
84,84,84,101,RWCas,1.170032,12.307,0.4085278555750986,10.462,9.233,7.871,6.934,6.367,6.237
85,85,85,103,SZCyg,1.179252,11.741,0.6479829073954918,10.91,9.432,7.755,6.635,5.961,5.775
86,86,86,104,SVMon,1.182801,11.961,0.2314268551359242,9.31,8.256,7.133,6.345,5.826,5.726
87,87,87,105,XCyg,1.214482,10.105,0.2423211074142034,7.533,6.377,5.223,4.471,3.964,3.838
88,88,88,106,RWCam,1.215224,11.289,0.5832809695522315,10.034,8.671,7.042,5.93,5.291,5.139
89,89,89,107,CDCyg,1.232334,11.965,0.4722304957222745,10.217,8.948,7.448,6.463,5.89,5.72
90,90,90,108,SZAql,1.234029,11.35,0.5650702753261634,10.033,8.634,7.018,5.955,5.347,5.16
91,91,91,110,CPCep,1.251989,12.739999999999998,0.7627388494372667,12.223,10.577,8.773,7.457,6.726,6.537
92,92,92,113,VYCar,1.276818,11.324,0.2596872386168553,8.642,7.463,6.28,5.463,4.945,4.806
93,93,93,115,VXCyg,1.303917,12.223,0.7971878102423628,11.769,10.062,8.161,6.816,6.083,5.905
94,94,94,116,RYSco,1.307927,10.617,0.671840109261693,9.462,8.018,6.255,4.999,4.365,4.143
95,95,95,117,RZVel,1.309564,11.004,0.2778684596797168,8.216,7.09,5.867,4.979,4.46,4.308
96,96,96,118,WZSgr,1.339443,11.239,0.5184248419555174,9.424,8.03,6.497,5.404,4.765,4.568
97,97,97,119,BMPer,1.360896,12.175,0.9503370181384652,12.21,10.401,8.214,6.8,6.012,5.773
98,98,98,120,WZCar,1.361977,13.162,0.3286887464240533,10.427,9.266,7.963,7.009,6.456,6.29
99,99,99,122,SWVel,1.370016,12.136,0.2988737692836326,9.281,8.128,6.844,5.931,5.39,5.231
100,100,100,123,XPup,1.414321,12.438,0.3524237107752513,9.702,8.507,7.107,6.18,5.6,5.431
101,101,101,124,TMon,1.431915,10.645,0.1913006188039108,7.307,6.128,4.98,4.183,3.652,3.525
102,102,102,125,RYVel,1.449158,12.007,0.4771869121885599,9.744,8.371,6.834,5.7,5.123,4.928
103,103,103,126,KQSco,1.457818,11.797,0.9944431183215048,11.747,9.81,7.658,6.025,5.218,4.947
104,104,104,127,AQPup,1.478624,12.43,0.4639720749573708,10.081,8.705,7.14,6.102,5.483,5.299
105,105,105,128,KNCen,1.531857,12.863,0.7619881474637115,11.468,9.856,7.996,6.517,5.756,5.49
106,106,106,129,lCar,1.550816,8.596,0.179486003499483,5.009,3.729,2.557,1.766,1.212,1.093
107,107,107,130,UCar,1.58897,11.223,0.1956280536744325,7.469,6.292,5.057,4.193,3.67,3.522
108,108,108,131,RSPup,1.61742,11.308,0.4092763427078221,8.442,7.01,5.489,4.44,3.827,3.647
