,index,name,logP,IRSB,EBV,V_mag,I_mag,J_mag,K_mag
0,0,HV1005,1.272209,18.514,0.138,14.099,13.224,12.606,12.072
1,1,HV1006,1.152786,18.252,0.149,14.386,13.479,12.835,12.305
2,3,HV12197,0.497456,18.343,0.1,16.09,15.368,14.942,14.472
3,4,HV12198,0.546887,18.419,0.1,15.946,15.23,14.748,14.317
5,6,HV12202,0.491519,18.419,0.1,16.061,15.37,14.848,14.396
6,7,HV12203,0.470427,18.661,0.1,16.126,15.445,15.031,14.583
7,8,HV12204,0.536402,18.319,0.1,15.699,15.082,14.684,14.263
8,9,HV12452,0.941457,18.375,0.171,14.753,13.941,13.424,12.961
9,10,HV12505,1.158115,18.652,0.127,14.836,13.808,13.122,12.52
10,11,HV12717,0.946628,18.217,0.151,14.733,13.95,13.446,12.985
11,12,HV12815,1.41691,18.358,0.11,13.489,12.52,11.922,11.363
12,13,HV12816,0.959466,18.605,0.11,14.514,13.837,13.412,13.003
13,14,HV2257,1.595153,18.757,0.112,13.025,12.049,11.43,10.882
14,15,HV2282,1.166636,18.415,0.097,14.329,13.428,12.855,12.338
15,16,HV2338,1.62535,18.608,0.101,12.766,11.832,11.247,10.725
16,18,HV2405,0.840331,17.999,0.095,15.152,14.355,13.908,13.443
17,19,HV2527,1.112251,18.767,0.126,14.605,13.67,13.144,12.608
18,20,HV2538,1.142118,18.55,0.106,14.478,13.468,12.937,12.397
19,21,HV2549,1.210289,18.129,0.101,13.795,12.913,12.472,12.002
20,22,HV2827,1.896354,18.253,0.12,12.304,11.193,10.5,9.904
21,23,HV5655,1.152657,18.923,0.115,14.552,13.578,13.043,12.487
22,24,HV6093,0.679885,18.372,0.062,15.309,14.628,14.213,13.8
23,26,HV876,1.356342,18.383,0.095,13.654,12.727,12.214,11.704
24,28,HV878,1.367445,18.489,0.111,13.542,12.915,12.162,11.666
25,29,HV879,1.566167,18.503,0.16,13.36,12.309,11.662,11.083
26,31,HV899,1.492039,18.741,0.094,13.4,12.446,11.832,11.289
27,33,HV909,1.574986,18.349,0.111,12.755,11.917,11.399,10.914
28,34,HV914,0.837489,18.835,0.128,14.925,14.153,13.69,13.249
29,35,LMC-CEP-0079,1.353098,18.636,0.14,14.126,13.116,12.425,11.843
