,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,0,1,SSSct,0.564814,9.706,0.3557414079891986,9.165,8.218,7.095,6.381,5.937,5.845
1,1,1,2,RTAur,0.571489,8.119,0.0625495356249151,6.036,5.443,4.767,4.302,3.989,3.937
2,2,2,3,ADGem,0.578408,12.209,0.1300830869581035,10.547,9.855,9.039,8.527,8.147,8.077
3,3,3,4,SUCyg,0.584952,9.59,0.0775678157710064,7.455,6.886,6.196,5.703,5.387,5.324
4,4,4,5,YAur,0.586529,11.335,0.403850707784697,10.512,9.614,8.571,7.743,7.284,7.167
5,5,5,7,STTau,0.605768,9.997,0.3705170139654333,9.066,8.219,7.138,6.352,5.898,5.788
6,6,6,8,BFOph,0.609329,9.35,0.2722294226125561,8.2,7.337,6.366,5.701,5.285,5.178
7,7,7,9,SYCas,0.609712,11.472,0.4317351384783519,10.85,9.873,8.752,7.909,7.448,7.343
8,8,8,12,RZCMa,0.628882,11.162,0.4458422439345173,10.698,9.698,8.469,7.629,7.177,7.027
9,9,9,13,YLac,0.635863,11.576,0.166610125400837,9.874,9.144,8.277,7.706,7.316,7.225
10,10,10,14,V0402Cyg,0.639968,11.436,0.396060412479405,10.897,9.867,8.669,7.895,7.41,7.299
11,11,11,15,TVul,0.646934,8.63,0.0444370506184487,6.39,5.753,5.054,4.601,4.27,4.205
12,12,12,16,XYCas,0.653376,11.419,0.4950658745650386,11.085,9.953,8.736,7.832,7.335,7.212
13,13,13,17,TVel,0.666501,10.023,0.3253186631587407,8.944,8.032,6.959,6.225,5.768,5.641
14,14,14,18,WWMon,0.66858,13.694,0.6308960244720355,13.637,12.51,11.137,10.064,9.507,9.392
15,15,15,19,RYCMa,0.670099,10.332999999999998,0.2548762843943452,8.953,8.108,7.119,6.455,6.045,5.936
16,16,16,20,VZCyg,0.687034,11.152,0.2525547919252186,9.836,8.956,7.933,7.283,6.872,6.759
17,17,17,21,CFCas,0.687994,12.232,0.5925109781889342,12.338,11.128,9.691,8.701,8.132,7.966
18,18,18,22,ASPer,0.696531,10.411,0.6800619624209896,11.02,9.719,8.09,7.035,6.478,6.315
