,Unnamed: 0,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
58,58,63,UU Mus,1.065819,12.52,0.4510502703183607,10.936,9.794,8.486,7.528,6.989,6.828
59,59,64,RY Cas,1.084181,12.062,0.6271082070289157,11.321,9.95,8.403,7.175,6.551,6.373
60,60,65,UN or,1.101875,10.628,0.8671918788900091,10.841,9.247,7.352,5.931,5.237,4.991
61,61,66,ZS ct,1.110645,12.139,0.4936400407853395,10.927,9.592,8.055,7.055,6.478,6.323
62,62,68,BN Pup,1.135867,12.84,0.4373200820592729,11.069,9.882,8.552,7.626,7.076,6.921
63,63,69,TT Aql,1.138459,9.96,0.4649497214353453,8.436,7.138,5.678,4.772,4.204,4.051
64,64,70,LS Pup,1.150646,13.276,0.4965315201323458,11.685,10.448,9.074,8.094,7.518,7.353
65,65,71,TX Cyg,1.167607,10.096,1.1132235209842378,11.363,9.489,7.228,5.462,4.637,4.372
66,66,72,UZ Sct,1.168739,12.333,0.9525724577079016,13.124,11.247,9.184,7.534,6.746,6.534
67,67,73,RW Cas,1.170032,12.266,0.4120043245787116,10.462,9.233,7.871,6.934,6.367,6.237
68,68,74,VW Cen,1.177138,12.755,0.655460016674542,11.586,10.248,8.77,7.654,7.014,6.819
69,69,75,SZ Cyg,1.179252,11.702,0.6994129106390421,10.91,9.432,7.755,6.635,5.961,5.775
70,70,76,SV Mon,1.182801,11.844,0.2687502516208174,9.31,8.256,7.133,6.345,5.826,5.726
71,71,77,XC yg,1.214482,10.057,0.2834418906120188,7.533,6.377,5.223,4.471,3.964,3.838
72,72,78,CD Cyg,1.232334,11.903,0.4735804348650964,10.217,8.948,7.448,6.463,5.89,5.72
73,73,79,YO ph,1.233609,8.878,0.4947029618719863,7.531,6.166,4.524,3.437,2.869,2.682
74,74,80,SZ Aql,1.234029,11.308,0.5656950122051042,10.033,8.634,7.018,5.955,5.347,5.16
75,75,82,CP Cep,1.251989,12.644,0.7827493762186067,12.223,10.577,8.773,7.457,6.726,6.537
76,76,84,VY Car,1.276818,11.195,0.3058665141345736,8.642,7.463,6.28,5.463,4.945,4.806
77,77,86,VX Cyg,1.303917,12.183,0.7498773692502559,11.769,10.062,8.161,6.816,6.083,5.905
