,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,0,1,SSSct,0.564814,10.006,0.2879451667582725,9.165,8.218,7.095,6.381,5.937,5.845
1,1,1,2,RTAur,0.571489,7.699,0.1617675555958263,6.036,5.443,4.767,4.302,3.989,3.937
2,2,2,3,ADGem,0.578408,11.949,0.213798344350296,10.547,9.855,9.039,8.527,8.147,8.077
3,3,3,4,SUCyg,0.584952,8.93,0.2416100010446922,7.455,6.886,6.196,5.703,5.387,5.324
4,4,4,5,YAur,0.586529,10.895,0.4836046715116021,10.512,9.614,8.571,7.743,7.284,7.167
5,5,5,7,STTau,0.605768,9.396999999999998,0.5271958828268483,9.066,8.219,7.138,6.352,5.898,5.788
6,6,6,8,BFOph,0.609329,9.39,0.2514862714541531,8.2,7.337,6.366,5.701,5.285,5.178
7,7,7,9,SYCas,0.609712,11.412,0.4155386933704562,10.85,9.873,8.752,7.909,7.448,7.343
8,8,8,12,RZCMa,0.628882,11.242,0.4205186306964195,10.698,9.698,8.469,7.629,7.177,7.027
9,9,9,13,YLac,0.635863,11.236,0.2644869099022905,9.874,9.144,8.277,7.706,7.316,7.225
10,10,10,14,V0402Cyg,0.639968,11.756,0.3212588348223775,10.897,9.867,8.669,7.895,7.41,7.299
11,11,11,15,TVul,0.646934,8.370000000000001,0.11114048283603,6.39,5.753,5.054,4.601,4.27,4.205
12,12,12,16,XYCas,0.653376,11.839,0.340667402408825,11.085,9.953,8.736,7.832,7.335,7.212
13,13,13,17,TVel,0.666501,9.883,0.3638289082232789,8.944,8.032,6.959,6.225,5.768,5.641
14,14,14,18,WWMon,0.66858,13.294,0.7051793065251387,13.637,12.51,11.137,10.064,9.507,9.392
15,15,15,19,RYCMa,0.670099,10.213,0.2865677636215157,8.953,8.108,7.119,6.455,6.045,5.936
16,16,16,20,VZCyg,0.687034,11.272,0.2301841968679225,9.836,8.956,7.933,7.283,6.872,6.759
17,17,17,21,CFCas,0.687994,12.512,0.5210026520400843,12.338,11.128,9.691,8.701,8.132,7.966
18,18,18,22,ASPer,0.696531,11.031,0.5374624393330778,11.02,9.719,8.09,7.035,6.478,6.315
19,19,19,23,VLac,0.697493,10.801,0.3834176427999596,9.816,8.921,7.866,7.121,6.671,6.587
20,20,20,24,V350Sgr,0.712165,9.582,0.3212001915023113,8.382,7.474,6.416,5.712,5.257,5.165
21,21,21,25,V0386Cyg,0.720788,10.539,0.682916145208812,11.167,9.627,7.742,6.482,5.809,5.587
22,22,22,27,BGLac,0.726883,11.287,0.2338002073216016,9.833,8.881,7.784,7.112,6.658,6.543
23,23,23,28,dCeph,0.729678,6.65,0.1579446868602221,4.612,3.959,3.209,2.748,2.392,2.325
24,24,24,29,V1162Aql,0.730464,10.484,0.1533033723839446,8.677,7.789,6.845,6.22,5.807,5.714
25,25,25,30,CVMon,0.730685,10.758,0.8491422491884814,11.596,10.305,8.616,7.404,6.791,6.576
