,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,IRSB,EBV,DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
27,VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,9.251616,8.745005,8.053975,11.162505097664257,11.308,0.2432681367815993,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,1,1.314,-0.2581
28,CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,9.933943,9.031693,8.090185,10.66520836988451,10.687,0.7383239169272323,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,2,1.056,
29,MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,9.850045,9.016481,8.090841,11.199703416360896,10.788,0.6409409721173449,Gaia DR3 2055014277739104896,303.09510555228,32.87159966536,4,1.208,-2.2118
30,RWCas,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,9.516718,8.834319,8.018065,12.150423688538693,12.206,0.4118726660517091,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,3,1.262,
31,VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,9.305993,8.771336,7.997581,11.37247493244264,11.1,0.3073202211792414,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,3,1.094,-0.2824
32,YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,9.911994,8.931744,7.900858,11.143930014246289,11.08,0.7809285410137403,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,4,0.944,0.0047
33,RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,9.21242,8.684987,7.924542,11.674609409067935,11.363,0.2852740021701945,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,4,1.1,-0.168
34,SZCyg,1.179252,10.91,9.432,7.755,6.635,5.961,5.775,9.855323,8.952725,8.012443,11.57941626507364,11.742,0.6301563203124534,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,2,0.956,
35,V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.015031,8.998431,7.964559,10.159435638990368,10.124,0.8601414779063895,Gaia DR3 1968971582984827136,318.66846943872,41.716336531,4,0.951,-0.1374
36,XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,9.241948,8.539941,7.664947,10.592480841288962,10.628,0.5122191210531716,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,3,1.1,
37,CDCyg,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,9.376083,8.587173,7.69426,11.831463238585702,11.883,0.4558202757187308,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,1,1.007,-0.0117
