col1,name,logP,HST,IRSB,gplx,EBV,EBV_2,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,M_B,M_V,M_R,M_I,M_J,M_H,M_K,modu,excessu,M_Bu,M_Vu,M_Ru,M_Iu,M_Ju,M_Hu,M_Ku,Mb,Mv,Mi,Mj,Mh,Mk,DR3Name,RUWE,Gmag,BPmag,RA_ICRS,DE_ICRS,RPmag,QLT,Star,logP_2,BMAG,VMAG,RcMAG,IcMAG,Wvi,Wbi,JMAG,HMAG,KsMAG
0,RT Aur,0.571489,8.099,7.999,8.635428916451941,0.059,0.059,6.036,5.443,4.767,4.302,3.989,3.937,-2.31,-2.84,-3.2,-3.4,-3.94,-4.15,-4.24,8.169,0.202,-1.64,-2.31,-2.79,-3.11,-3.74,-3.99,-4.12,-2.213,-2.745,-3.348,-3.753,-4.044,-4.085,Gaia DR3 3435571660360952704,6.435,5.336251,5.636953,97.14203156464,30.49297626135,4.809206,3,RT Aur,0.571489,-2.31,-2.84,,-3.4,-4.28,-4.35,-3.94,-4.15,-4.24
1,QZ Nor,0.578244,10.512,10.706,11.425521266544438,0.253,0.263,9.756,8.869,7.865,7.136,6.733,6.619,-1.83,-2.47,-2.85,-3.15,-3.67,-3.91,-4.01,10.258,0.184,-2.37,-2.94,-3.27,-3.51,-3.99,-4.21,-4.29,-2.063,-2.686,-3.357,-3.818,-4.127,-4.188,Gaia DR3 5932565900081831040,1.032,8.623737,9.117518,242.83526242559,-54.35413510061,7.946956,3,QZ Nor,0.578244,-1.83,-2.47,-2.85,-3.15,-4.21,-4.29,-3.67,-3.91,-4.01
2,SU Cyg,0.584952,9.622,9.17,9.79732664404474,0.098,0.098,7.455,6.886,6.196,5.703,5.387,5.324,-2.61,-3.08,-3.38,-3.63,-4.08,-4.28,-4.36,9.625,0.163,-2.34,-2.87,-3.22,-3.53,-4.02,-4.24,-4.33,-2.129,-2.601,-3.166,-3.559,-3.84,-3.884,Gaia DR3 2031776202613700480,3.443,6.798264,7.175367,296.20305948513,29.2646787722,6.286498,4,SU Cyg,0.584952,-2.61,-3.08,-3.38,-3.63,-4.47,-4.5,-4.08,-4.28,-4.36
3,Y Lac,0.635863,11.783,11.936,11.63388347911998,0.207,0.217,9.874,9.144,8.277,7.706,7.316,7.225,-2.79,-3.31,-3.65,-3.9,-4.33,-4.58,-4.66,11.979,0.263,-2.36,-2.94,-3.32,-3.62,-4.08,-4.35,-4.44,-2.98,-3.493,-4.085,-4.435,-4.747,-4.794,Gaia DR3 1977074811892425600,1.053,9.062985,9.470252,332.26206158309,51.04584489597,8.430668,2,Y Lac,0.635863,-2.79,-3.31,-3.65,-3.9,-4.81,-4.86,-4.33,-4.58,-4.66
4,T Vul,0.646934,8.606,8.69,8.779609271617035,0.064,0.064,6.39,5.753,5.054,4.601,4.27,4.205,-2.48,-3.06,-3.41,-3.66,-4.12,-4.36,-4.45,8.654,0.17,-1.99,-2.67,-3.11,-3.45,-3.98,-4.25,-4.36,-2.554,-3.132,-3.754,-4.146,-4.455,-4.508,Gaia DR3 1857884212378132096,1.2,5.499797,5.828832,312.86767706102,28.25048193691,5.005271,1,T Vul,0.646934,-2.48,-3.06,-3.41,-3.66,-4.58,-4.68,-4.12,-4.36,-4.45
5,FF Aql,0.65039,7.756,8.578,8.54242373613131,0.196,0.196,6.128,5.373,4.501,3.921,3.577,3.49,-2.46,-3.02,-3.35,-3.64,-4.09,-4.29,-4.37,7.606,0.183,-2.66,-3.21,-3.53,-3.81,-4.25,-4.45,-4.52,-3.28,-3.838,-4.462,-4.842,-5.116,-5.163,Gaia DR3 4514145288240593408,1.055,5.170657,5.599523,284.56144590723,17.36087233039,4.543815,5,FF Aql,0.650397,-2.46,-3.02,-3.35,-3.64,-4.6,-4.65,-4.09,-4.29,-4.37
6,T Vel,0.666501,10.022,10.003,10.05660033600083,0.289,0.289,8.944,8.032,6.959,6.225,5.768,5.641,-2.28,-2.93,-3.32,-3.64,-4.13,-4.41,-4.51,9.922,0.189,-2.8,-3.35,-3.66,-3.89,-4.32,-4.57,-4.65,-2.281,-2.906,-3.612,-4.051,-4.404,-4.473,Gaia DR3 5521459979795304320,0.926,7.774636,8.305958,129.42006775171,-47.36194868437,7.0528827,2,T Vel,0.666501,-2.28,-2.93,-3.32,-3.64,-4.74,-4.81,-4.13,-4.41,-4.51
7,VZ Cyg,0.687034,11.338,11.452,11.162505097664255,0.266,0.266,9.836,8.956,7.933,7.283,6.872,6.759,-2.62,-3.23,-3.62,-3.88,-4.36,-4.6,-4.7,11.476,0.291,-2.38,-3.01,-3.42,-3.7,-4.2,-4.45,-4.55,-2.741,-3.355,-4.042,-4.42,-4.736,-4.795,Gaia DR3 1960750328384177408,1.314,8.745005,9.251616,327.92264896468,43.13402308887,8.053974,1,VZ Cyg,0.687034,-2.62,-3.23,-3.62,-3.88,-4.9,-4.98,-4.36,-4.6,-4.7
8,V350 Sgr,0.712165,9.853,9.982,10.397456924021109,0.299,0.299,8.382,7.474,6.416,5.712,5.257,5.165,-2.74,-3.34,-3.73,-4.02,-4.51,-4.78,-4.85,9.984,0.279,-2.69,-3.27,-3.65,-3.92,-4.4,-4.66,-4.73,-2.865,-3.475,-4.153,-4.552,-4.9,-4.932,Gaia DR3 4080122796947250176,2.427,7.248875,7.80918,281.32289948318,-20.64739456406,6.557424,2,V350 Sgr,0.712165,-2.74,-3.34,-3.73,-4.02,-5.06,-5.13,-4.51,-4.78,-4.85
9,BG Lac,0.726883,11.146,11.247,11.042322127203757,0.3,0.3,9.833,8.881,7.784,7.112,6.658,6.543,-2.56,-3.22,-3.62,-3.91,-4.36,-4.64,-4.73,11.196,0.282,-2.59,-3.23,-3.61,-3.89,-4.33,-4.6,-4.69,-2.684,-3.334,-4.052,-4.418,-4.764,-4.819,Gaia DR3 1960981328902089088,1.43,8.614144,9.158546,330.10475637179,43.44535204904,7.9073715,2,BG Lac,0.726883,-2.56,-3.22,-3.62,-3.91,-4.99,-5.08,-4.36,-4.64,-4.73
10,delta Cep,0.729678,7.183,7.13,7.211833790758262,0.075,0.075,4.612,3.959,3.209,2.748,2.392,2.325,-2.88,-3.47,-3.87,-4.11,-4.55,-4.82,-4.91,7.433,0.148,-2.32,-2.99,-3.44,-3.75,-4.23,-4.53,-4.63,-2.835,-3.414,-4.068,-4.453,-4.781,-4.834,Gaia DR3 2200153454733285248,2.713,3.8506,4.231699,337.2928846512,58.41520817274,3.261085,2,delta Cep,0.729678,-2.88,-3.47,-3.87,-4.11,-5.11,-5.18,-4.55,-4.82,-4.91
11,CV Mon,0.730685,11.003,10.918,10.978800580030445,0.722,0.722,11.596,10.305,8.616,7.404,6.791,6.576,-2.46,-3.04,-3.51,-3.78,-4.35,-4.62,-4.72,10.83,0.597,-3.15,-3.61,-3.98,-4.14,-4.64,-4.87,-4.94,-2.377,-2.944,-3.72,-4.195,-4.549,-4.619,Gaia DR3 3127142323596470144,1.1,9.701135,10.594475,99.27018871085,3.06396219477,8.769544,2,CV Mon,0.730685,-2.46,-3.04,-3.51,-3.78,-4.94,-4.93,-4.35,-4.62,-4.72
12,V Cen,0.739882,8.913,9.041,9.197433322695396,0.292,0.294,7.705,6.834,5.796,5.073,4.628,4.509,-2.45,-3.03,-3.4,-3.68,-4.16,-4.43,-4.52,8.578,0.307,-2.72,-3.32,-3.7,-3.99,-4.48,-4.76,-4.85,-2.58,-3.157,-3.823,-4.245,-4.585,-4.645,Gaia DR3 5891675303053080704,1.06,6.637,7.228839,218.13779279681,-56.88774644776,5.935676,3,V Cen,0.739882,-2.45,-3.03,-3.4,-3.68,-4.68,-4.74,-4.16,-4.43,-4.52
13,Y Sgr,0.761428,8.358,8.143,8.447025165978019,0.191,0.188,6.595,5.743,4.797,4.131,3.702,3.612,-2.57,-3.23,-3.63,-3.95,-4.45,-4.75,-4.83,8.248,0.103,-3.05,-3.62,-3.95,-4.2,-4.64,-4.91,-4.97,-2.343,-3.008,-3.715,-4.189,-4.551,-4.603,Gaia DR3 4096107909387492992,1.757,5.475163,5.955813,275.34576074156,-18.86003402735,4.789844,4,Y Sgr,0.761428,-2.57,-3.23,-3.63,-3.95,-5.07,-5.15,-4.45,-4.75,-4.83
