,Identifier,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),RA_ICRS,DE_ICRS,plxDR3,mMplx,Period,name_1,mM0,Quality,FeH,mMplx_1a,name,MODE
48,SSSct,0.564814,9.165,8.218,7.095,5.845,0.325,6.381,5.937,Gaia DR3 4251917636212432384,280.93130508578,-7.73109359922,0.8985,0.843,7.893511,1.279434,0.559335,0.720099,-9.79,-0.2802,0.5241,280.93130508578,-7.73109359922,0.9294973127953838,10.15875930724322,3.67125,SS Sct,10.386,4.0,0.039,10.232409592775038,SSSct,FU
7,RTAur,0.571489,6.036,5.443,4.767,3.937,0.059,4.302,3.989,Gaia DR3 3435571660360952704,97.14203156464,30.49297626135,1.8153,6.435,5.336251,0.827747,0.300702,0.527045,5.42,-1.0595,0.0057,97.14203156464,30.49297626135,1.8376241894910432,8.67871650478855,3.7281122,RT Aur,8.248,3.0,0.062,8.705257961739548,RTAur,FU
117,ADGem,0.578408,10.547,9.855,9.039,8.077,0.173,8.527,8.147,Gaia DR3 3378049163365268608,100.78129641785,20.93910595532,0.3356,0.969,9.70913,0.985612,0.415513,0.570099,51.55,-0.1667,0.1589,100.78129641785,20.93910595532,0.3710760704719916,12.152685255163252,3.787983,ADGem,12.448,3.0,-0.186,12.370890239216688,ADGem,FU
27,SUCyg,0.584952,7.455,6.886,6.196,5.324,0.098,5.703,5.387,Gaia DR3 2031776202613700480,296.20305948513,29.2646787722,1.0275,3.443,6.798264,0.888869,0.377103,0.511766,-9.0,-0.64,0.2263,296.20305948513,29.2646787722,1.0608289301559972,9.871773225070816,3.8454928,SU Cyg,9.209,4.0,-0.068,9.941090847259469,SUCyg,FU
100,YAur,0.586529,10.512,9.614,8.571,7.167,0.375,7.743,7.284,Gaia DR3 195373217573454464,82.16349483157,42.43772581388,0.5061,1.122,9.457623,1.320739,0.577438,0.7433,15.6,,,82.16349483157,42.43772581388,0.5371749391947513,11.349421283286414,3.8594823,Y Aur,11.614,3.0,-0.044,11.47881831345606,YAur,FU
127,CSOri,0.589855,12.27,11.371,9.923,8.85,0.383,9.425,8.953,Gaia DR3 3330259852538068608,91.85610843665,11.15197644618,0.2305,1.331,11.259904,1.407073,0.608861,0.798212,54.56,-0.4788,0.8586,91.85610843665,11.15197644618,0.262824686291206,12.90166922644916,3.889153,CS Ori,13.637,4.0,,13.186645351371665,CSOri,FU
53,STTau,0.605768,9.066,8.219,7.138,5.788,0.368,6.352,5.898,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,0.8812,1.351,8.051365,1.297464,0.557817,0.739648,1.46,-0.3466,0.6637,86.26316893008,13.57635184119,0.9000791286564376,10.228596543757622,4.0342984,ST Tau,10.173,3.0,-0.061,10.274627557606353,STTau,FU
33,BFOph,0.609329,8.2,7.337,6.366,5.178,0.235,5.701,5.285,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,1.1538,0.837,7.069333,1.167566,0.506621,0.660945,-27.15,-0.5115,0.4736,256.52291020043,-26.58056513078,1.184992572454706,9.631421859037507,4.0675135,BF Oph,9.284,2.0,0.027,9.689347326889385,BFOph,FU
109,SYCas,0.609712,10.85,9.873,8.752,7.343,0.442,7.909,7.448,Gaia DR3 422923956470923008,3.79086871838,58.42428046193,0.4018,1.039,9.639541,1.344128,0.587946,0.756182,,-0.2768,0.8255,3.79086871838,58.42428046193,0.4247657513515505,11.859252537300778,4.0711017,SY Cas,11.511,3.0,-0.024,11.979950337938844,SYCas,FU
103,XSct,0.62305,11.138,10.011,8.62,6.826,0.589,7.479,6.951,Gaia DR3 4104857784196182400,277.83228317708,-13.10818493797,0.596,0.799,9.592002,1.663447,0.799961,0.863486,15.51,,,277.83228317708,-13.10818493797,0.6376371066435819,10.977132087752032,4.1980734,X Sct,12.019,3.0,,11.123768701298818,XSct,FU
96,RZCMa,0.628882,10.698,9.698,8.469,7.027,0.443,7.629,7.177,Gaia DR3 3027940437469882880,110.38689819352,-16.68721769549,0.5627,1.626,9.302669,1.354853,0.5943,0.760552,30.05,-0.3109,0.729,110.38689819352,-16.68721769549,0.5980354344606628,11.11636541337888,4.254828,RZ CMa,10.98,5.0,-0.072,11.24861542423004,RZCMa,FU
89,YLac,0.635863,9.874,9.144,8.277,7.225,0.217,7.706,7.316,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,0.4085,1.053,9.062985,1.039585,0.407267,0.632318,,-0.8522,0.0505,332.26206158309,51.04584489597,0.4342195543116651,11.811453113776578,4.3237743,Y Lac,11.974,2.0,-0.06,11.944039695657828,YLac,FU
107,V0402Cyg,0.639968,10.897,9.867,8.669,7.299,0.391,7.895,7.41,Gaia DR3 2060021625508894592,302.28231841529,37.15195204657,0.3859,0.92,9.520483,1.348202,0.600918,0.747284,-17.96,-0.2234,0.512,302.28231841529,37.15195204657,0.4079394014830587,11.947021728130672,4.364836,V0402 Cyg,11.433,5.0,0.01,12.067626107143017,V0402Cyg,FU
11,TVul,0.646934,6.39,5.753,5.054,4.205,0.06,4.601,4.27,Gaia DR3 1857884212378132096,312.86767706102,28.25048193691,1.6885,1.2,5.499797,0.823561,0.329035,0.494526,-10.39,0.1393,0.0222,312.86767706102,28.25048193691,1.717196118355105,8.825900509473547,4.4354124,T Vul,8.728,1.0,-0.048,8.862494675142848,TVul,FU
108,XYCas,0.653376,11.085,9.953,8.736,7.212,0.533,7.832,7.335,Gaia DR3 426881614218441600,12.47192037703,60.12737898732,0.4069,1.18,9.585123,1.455218,0.668857,0.786362,-37.01,,,12.47192037703,60.12737898732,0.4369433009177041,11.797874573685071,4.5016937,XY Cas,11.076,3.0,-0.008,11.952561550733574,XYCas,FU
45,TVel,0.666501,8.944,8.032,6.959,5.641,0.289,6.225,5.768,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,0.9309,0.926,7.774636,1.253075,0.531322,0.721753,6.51,-0.3743,0.5009,129.42006775171,-47.36194868437,0.9372713526535202,10.140673284092124,4.6398187,T Vel,10.04,2.0,-0.037,10.15548484848086,TVel,FU
126,WWMon,0.66858,13.637,12.51,11.137,9.392,0.605,10.064,9.507,Gaia DR3 3326443821335586816,98.40492430617,9.20356771487,0.1831,1.094,12.31651,1.656837,0.734677,0.92216,65.84,-0.4897,0.9973,98.40492430617,9.20356771487,0.195662502383585,13.542461982294023,4.662083,WW Mon,13.291,5.0,-0.223,13.686558278491518,WWMon,FU
50,RYCMa,0.670099,8.953,8.108,7.119,5.936,0.239,6.455,6.045,Gaia DR3 3046774762417915136,109.1568033685,-11.48729732864,0.8006,1.29,7.938902,1.221569,0.510564,0.711005,46.41,-0.1008,0.3669,109.1568033685,-11.48729732864,0.8228447913455686,10.423410378124547,4.678418,RY CMa,10.75,5.0,,10.482922071154569,RYCMa,FU
