,0.42,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.420000
0,EVSct,-1.00697181799484,-0.536127954004301,-0.9695423984732313,-0.5451615478849551,-1.0784898106141012,-0.6891282068784701,-1.0557423667015164,-0.6790535009002217,-1.004030080682465,-0.578767853920608,-0.9695423984732207,-0.5451615478849449,-1.0140531454898958,0.044501198794622866
1,SZTau,-1.0963013071859888,-0.4085972946438651,-1.0528312828850859,-0.42402976936571374,-0.9907386552839144,-0.40913046291908306,-0.952300411584986,-0.39509863831792996,-0.9887774321441996,-0.35749765653800075,-1.052831282885083,-0.42402976936571074,-1.0222967286615428,0.05546267448428954
2,SSSct,-0.5842226266229915,-0.327080922107926,-0.5960249561851647,-0.36930705318820073,-0.6230918242937898,-0.417287827305957,-0.5815049602726962,-0.3779130089221355,-0.6233007772112443,-0.3982381203511442,-0.5960249561851548,-0.3693070531881921,-0.6006950167951736,0.01705157147854493
3,QZNor,-0.9746335518146025,-0.1513794167375232,-0.9484411295884256,-0.17522528151073005,-0.8583237575389067,-0.13063101439239022,-0.8734558727726646,-0.18235419845456852,-0.8301017306634209,-0.057647592385158174,-0.9484411295884254,-0.17522528151073144,-0.9055661953277409,0.04967766213995025
4,ADGem,-0.39633509813662626,-0.4426044632281196,-0.3996874030919042,-0.44921928008252404,-0.3884568817563157,-0.43642838862965555,-0.33756276834102344,-0.37417379400356493,-0.32725108446547435,-0.3831575616018559,-0.39968740309189976,-0.4492192800825213,-0.3748301064805406,0.02576282863630859
5,YAur,-0.5182414727380869,-0.4189704845311295,-0.48957482089219645,-0.4067612777767288,-0.3651642863464278,-0.2916635280895699,-0.42373673572421994,-0.3453375265068894,-0.4191795987437444,-0.34043454428768644,-0.48957482089219406,-0.4067612777767219,-0.45091195588947824,0.05941219654326023
6,STTau,-0.7661089765670284,-0.4254898495597299,-0.6926040302447487,-0.37939967345069875,-0.6221161803704858,-0.33016343276790033,-0.6333751752193171,-0.3504241409623029,-0.6527331492058165,-0.3425553523484374,-0.6926040302447433,-0.37939967345068865,-0.6765902569753567,0.05723855869252468
7,BFOph,-0.57576674134821,-0.06887185666103515,-0.5777301316434849,-0.09042652844642603,-0.5239684444311803,-0.05756859316406496,-0.4828465466223361,-0.03950592471080914,-0.4592457882899691,0.021833705269998456,-0.577730131643476,-0.0904265284464195,-0.5328812973297761,0.04010453363743433
8,SYCas,-0.8029344461516977,-0.4093814226952255,-0.7938719193097546,-0.42421574549154445,-0.7184068255850028,-0.36931860036893843,-0.789367843908719,-0.45405600307282573,-0.812191872204225,-0.44684185551913186,-0.7938719193097513,-0.4242157454915376,-0.7851074710781917,0.03486310183753845
9,XSct,-0.42039661172947834,-0.5696115500417701,-0.3685611733201484,-0.5422695323845796,-0.27448655615779616,-0.4559888554971417,-0.5149126206086867,-0.6715742307964692,-0.512378285902517,-0.6863077345934977,-0.3685611733201461,-0.5422695323845695,-0.4098827368397954,0.08829130110702232
