ex_-1.0,rd_-1.0,ex_-0.98,rd_-0.98,ex_-0.96,rd_-0.96,ex_-0.94,rd_-0.94,ex_-0.92,rd_-0.92,ex_-0.9,rd_-0.9,ex_-0.88,rd_-0.88,ex_-0.86,rd_-0.86,ex_-0.84,rd_-0.84,ex_-0.82,rd_-0.82,ex_-0.8,rd_-0.8,ex_-0.78,rd_-0.78,ex_-0.76,rd_-0.76,ex_-0.74,rd_-0.74,ex_-0.72,rd_-0.72,ex_-0.7,rd_-0.7,ex_-0.68,rd_-0.68,ex_-0.66,rd_-0.66,ex_-0.64,rd_-0.64,ex_-0.62,rd_-0.62,ex_-0.6,rd_-0.6,ex_-0.58,rd_-0.58,ex_-0.56,rd_-0.56,ex_-0.54,rd_-0.54,ex_-0.52,rd_-0.52,ex_-0.5,rd_-0.5,ex_-0.48,rd_-0.48,ex_-0.46,rd_-0.46,ex_-0.44,rd_-0.44,ex_-0.42,rd_-0.42,ex_-0.4,rd_-0.4,ex_-0.38,rd_-0.38,ex_-0.36,rd_-0.36,ex_-0.34,rd_-0.34,ex_-0.32,rd_-0.32,ex_-0.3,rd_-0.3,ex_-0.28,rd_-0.28,ex_-0.26,rd_-0.26,ex_-0.24,rd_-0.24,ex_-0.22,rd_-0.22,ex_-0.2,rd_-0.2,ex_-0.18,rd_-0.18,ex_-0.16,rd_-0.16,ex_-0.14,rd_-0.14,ex_-0.12,rd_-0.12,ex_-0.1,rd_-0.1,ex_-0.08,rd_-0.08,ex_-0.06,rd_-0.06,ex_-0.04,rd_-0.04,ex_-0.02,rd_-0.02,ex_0.0,rd_0.0,ex_0.02,rd_0.02,ex_0.04,rd_0.04,ex_0.06,rd_0.06,ex_0.08,rd_0.08,ex_0.1,rd_0.1,ex_0.12,rd_0.12,ex_0.14,rd_0.14,ex_0.16,rd_0.16,ex_0.18,rd_0.18,ex_0.2,rd_0.2,ex_0.22,rd_0.22,ex_0.24,rd_0.24,ex_0.26,rd_0.26,ex_0.28,rd_0.28,ex_0.3,rd_0.3,ex_0.32,rd_0.32,ex_0.34,rd_0.34,ex_0.36,rd_0.36,ex_0.38,rd_0.38,ex_0.4,rd_0.4,ex_0.42,rd_0.42,ex_0.44,rd_0.44,ex_0.46,rd_0.46,ex_0.48,rd_0.48,ex_0.5,rd_0.5,ex_0.52,rd_0.52,ex_0.54,rd_0.54,ex_0.56,rd_0.56,ex_0.58,rd_0.58,ex_0.6,rd_0.6,ex_0.62,rd_0.62,ex_0.64,rd_0.64,ex_0.66,rd_0.66,ex_0.68,rd_0.68,ex_0.7,rd_0.7,ex_0.72,rd_0.72,ex_0.74,rd_0.74,ex_0.76,rd_0.76,ex_0.78,rd_0.78,ex_0.8,rd_0.8,ex_0.82,rd_0.82,ex_0.84,rd_0.84,ex_0.86,rd_0.86,ex_0.88,rd_0.88,ex_0.9,rd_0.9,ex_0.92,rd_0.92,ex_0.94,rd_0.94,ex_0.96,rd_0.96,ex_0.98,rd_0.98
-0.10725043971905958,-0.033247636312908474,-0.10389786287151377,-0.03220833749016927,-0.10054528602396796,-0.03116903866743007,-0.09719270917642216,-0.030129739844690872,-0.09384013232887638,-0.029090441021951678,-0.09048755548133057,-0.028051142199212478,-0.08713497863378476,-0.027011843376473277,-0.08378240178623898,-0.025972544553734087,-0.08042982493869318,-0.024933245730994886,-0.07707724809114737,-0.023893946908255685,-0.07372467124360159,-0.022854648085516495,-0.07037209439605578,-0.021815349262777294,-0.06701951754850997,-0.020776050440038094,-0.06366694070096417,-0.019736751617298893,-0.06031436385341835,-0.018697452794559692,-0.05696178700587256,-0.017658153971820495,-0.053609210158326766,-0.016618855149081298,-0.05025663331078097,-0.015579556326342102,-0.046904056463235165,-0.014540257503602902,-0.04355147961568936,-0.013500958680863701,-0.04019890276814355,-0.012461659858124502,-0.03684632592059776,-0.011422361035385305,-0.033493749073051964,-0.01038306221264611,-0.030141172225506156,-0.009343763389906909,-0.026788595377960363,-0.008304464567167713,-0.023436018530414555,-0.007265165744428512,-0.020083441682868748,-0.006225866921689313,-0.016730864835322955,-0.005186568098950116,-0.013378287987777149,-0.004147269276210916,-0.010025711140231356,-0.0031079704534717205,-0.006673134292685561,-0.002068671630732524,-0.0033205574451397545,-0.001029372807993324,3.2019402406053e-05,9.92601474587643e-06,0.0033845962499518462,0.0010492248374850725,0.006737173097497647,0.0020885236602242708,0.010089749945043454,0.0031278224829634706,0.013442326792589247,0.0041671213057026665,0.01679490364013505,0.0052064201284418654,0.020147480487680856,0.006245718951181066,0.023500057335226657,0.007285017773920264,0.02685263418277245,0.00832431659665946,0.030205211030318257,0.00936361541939866,0.03355778787786406,0.01040291424213786,0.03691036472540985,0.011442213064877055,0.04026294157295566,0.012481511887616255,0.04361551842050145,0.013520810710355451,0.04696809526804726,0.014560109533094652,0.05032067211559306,0.015599408355833849,0.05367324896313886,0.016638707178573048,0.05702582581068466,0.017678006001312245,0.06037840265823046,0.018717304824051446,0.06373097950577626,0.019756603646790643,0.06708355635332205,0.020795902469529837,0.07043613320086785,0.021835201292269034,0.07378871004841366,0.022874500115008235,0.07714128689595946,0.023913798937747435,0.08049386374350526,0.024953097760486632,0.08384644059105106,0.02599239658322583,0.08719901743859686,0.027031695405965027,0.09055159428614266,0.028070994228704228,0.09390417113368847,0.02911029305144343,0.09725674798123425,0.03014959187418262,0.10060932482878006,0.03118889069692182,0.10396190167632587,0.03222818951966102,0.10731447852387167,0.033267488342400224,0.11066705537141745,0.034306787165139414,0.11401963221896326,0.03534608598787861,0.11737220906650907,0.036385384810617816,0.12072478591405486,0.037424683633357006,0.12407736276160067,0.03846398245609621,0.1274299396091465,0.03950328127883542,0.13078251645669228,0.04054258010157461,0.13413509330423806,0.0415818789243138,0.13748767015178387,0.042621177747053,0.14084024699932968,0.0436604765697922,0.14419282384687548,0.0446997753925314,0.1475454006944213,0.045739074215270605,0.1508979775419671,0.0467783730380098,0.1542505543895129,0.047817671860749006,0.15760313123705869,0.048856970683488196,0.16095570808460447,0.049896269506227386,0.16430828493215027,0.05093556832896659,0.16766086177969608,0.05197486715170579,0.1710134386272419,0.053014165974444985,0.1743660154747877,0.05405346479718419,0.1777185923223335,0.055092763619923386,0.18107116916987928,0.056132062442662584,0.1844237460174251,0.05717136126540178,0.1877763228649709,0.05821066008814098,0.1911288997125167,0.05924995891088018,0.1944814765600625,0.06028925773361938,0.1978340534076083,0.06132855655635858,0.2011866302551541,0.062367855379097774,0.2045392071026999,0.06340715420183697,0.20789178395024568,0.06444645302457616,0.2112443607977915,0.06548575184731537,0.2145969376453373,0.06652505067005457,0.21794951449288308,0.06756434949279376,0.22130209134042889,0.06860364831553296,0.2246546681879747,0.06964294713827215
-0.25337030139935623,-0.07854479343380044,-0.2500177245518104,-0.07750549461106124,-0.24666514770426462,-0.07646619578832203,-0.2433125708567188,-0.07542689696558284,-0.23995999400917303,-0.07438759814284364,-0.23660741716162723,-0.07334829932010445,-0.23325484031408142,-0.07230900049736524,-0.22990226346653564,-0.07126970167462605,-0.22654968661898983,-0.07023040285188685,-0.22319710977144402,-0.06919110402914765,-0.21984453292389824,-0.06815180520640846,-0.21649195607635244,-0.06711250638366927,-0.21313937922880663,-0.06607320756093006,-0.20978680238126082,-0.06503390873819086,-0.20643422553371502,-0.06399460991545165,-0.20308164868616924,-0.06295531109271246,-0.19972907183862343,-0.061916012269973265,-0.19637649499107762,-0.06087671344723407,-0.19302391814353181,-0.059837414624494864,-0.189671341295986,-0.05879811580175567,-0.1863187644484402,-0.05775881697901646,-0.18296618760089442,-0.05671951815627727,-0.17961361075334864,-0.05568021933353808,-0.17626103390580283,-0.054640920510798885,-0.17290845705825703,-0.05360162168805968,-0.16955588021071122,-0.052562322865320484,-0.1662033033631654,-0.05152302404258128,-0.1628507265156196,-0.05048372521984208,-0.1594981496680738,-0.04944442639710288,-0.15614557282052802,-0.04840512757436369,-0.15279299597298224,-0.0473658287516245,-0.14944041912543643,-0.04632652992888529,-0.14608784227789062,-0.045287231106146096,-0.14273526543034482,-0.0442479322834069,-0.139382688582799,-0.043208633460667695,-0.1360301117352532,-0.0421693346379285,-0.13267753488770742,-0.0411300358151893,-0.12932495804016161,-0.0400907369924501,-0.1259723811926158,-0.039051438169710906,-0.12261980434507001,-0.03801213934697171,-0.11926722749752423,-0.03697284052423251,-0.11591465064997843,-0.035933541701493314,-0.11256207380243262,-0.03489424287875412,-0.10920949695488683,-0.03385494405601492,-0.10585692010734102,-0.032815645233275716,-0.10250434325979522,-0.03177634641053652,-0.09915176641224942,-0.03073704758779732,-0.09579918956470361,-0.02969774876505812,-0.09244661271715782,-0.028658449942318923,-0.08909403586961202,-0.02761915111957973,-0.08574145902206622,-0.02657985229684053,-0.08238888217452041,-0.025540553474101328,-0.07903630532697462,-0.02450125465136213,-0.07568372847942882,-0.023461955828622937,-0.07233115163188301,-0.022422657005883737,-0.06897857478433721,-0.021383358183144536,-0.06562599793679141,-0.02034405936040534,-0.0622734210892456,-0.019304760537666138,-0.058920844241699806,-0.01826546171492694,-0.055568267394154006,-0.017226162892187744,-0.0522156905466082,-0.016186864069448543,-0.048863113699062405,-0.015147565246709346,-0.045510536851516604,-0.014108266423970148,-0.0421579600039708,-0.013068967601230948,-0.038805383156425,-0.01202966877849175,-0.0354528063088792,-0.010990369955752553,-0.032100229461333396,-0.009951071133013353,-0.028747652613787596,-0.008911772310274155,-0.025395075766241802,-0.00787247348753496,-0.022042498918695995,-0.006833174664795759,-0.018689922071150188,-0.005793875842056559,-0.015337345223604396,-0.004754577019317363,-0.011984768376058602,-0.003715278196578167,-0.008632191528512795,-0.0026759793738389665,-0.005279614680967001,-0.0016366805510997704,-0.0019270378334211938,-0.0005973817283605701,0.0014255390141246136,0.00044191709437863024,0.004778115861670407,0.0014812159171178263,0.008130692709216214,0.0025205147398570265,0.011483269556762007,0.0035598135625962224,0.0148358464043078,0.004599112385335419,0.01818842325185361,0.0056384112080746195,0.021541000099399417,0.006677710030813819,0.024893576946945224,0.00771700885355302,0.028246153794491018,0.008756307676292216,0.03159873064203681,0.009795606499031412,0.034951307489582605,0.010834905321770607,0.03830388433712841,0.011874204144509808,0.04165646118467422,0.012913502967249009,0.045009038032220026,0.01395280178998821,0.048361614879765834,0.01499210061272741,0.05171419172731161,0.016031399435466602,0.05506676857485742,0.017070698258205803,0.05841934542240323,0.018109997080945003,0.06177192226994901,0.019149295903684194,0.06512449911749481,0.02018859472642339,0.06847707596504062,0.02122789354916259,0.0718296528125864,0.022267192371901785,0.0751822296601322,0.023306491194640983,0.07853480650767801,0.024345790017380183
-0.03533830154698354,-0.010954873479564897,-0.03198572469943773,-0.009915574656825696,-0.028633147851891923,-0.008876275834086497,-0.025280571004346115,-0.007836977011347297,-0.021927994156800336,-0.0067976781886081045,-0.01857541730925453,-0.005758379365868904,-0.015222840461708723,-0.004719080543129704,-0.011870263614162943,-0.003679781720390513,-0.008517686766617136,-0.002640482897651312,-0.005165109919071328,-0.0016011840749121117,-0.0018125330715255486,-0.0005618852521729201,0.0015400437760202587,0.00047741357056628025,0.004892620623566066,0.0015167123933054806,0.008245197471111873,0.002556011216044681,0.01159777431865768,0.003595310038783881,0.014950351166203473,0.004634608861523077,0.01830292801374927,0.005673907684262273,0.021655504861295062,0.00671320650700147,0.02500808170884087,0.00775250532974067,0.028360658556386677,0.008791804152479871,0.031713235403932484,0.00983110297521907,0.03506581225147828,0.010870401797958267,0.03841838909902407,0.011909700620697463,0.04177096594656988,0.012948999443436663,0.04512354279411567,0.013988298266175859,0.04847611964166148,0.01502759708891506,0.051828696489207286,0.01606689591165426,0.05518127333675308,0.017106194734393457,0.05853385018429889,0.018145493557132655,0.06188642703184468,0.019184792379871852,0.06523900387939047,0.020224091202611046,0.06859158072693627,0.021263390025350246,0.07194415757448208,0.022302688848089447,0.07529673442202788,0.023341987670828644,0.07864931126957368,0.02438128649356784,0.08200188811711949,0.025420585316307042,0.08535446496466527,0.026459884139046236,0.08870704181221108,0.027499182961785437,0.09205961865975688,0.028538481784524637,0.09541219550730269,0.029577780607263834,0.09876477235484847,0.030617079430003028,0.10211734920239428,0.03165637825274223,0.10546992604994009,0.032695677075481426,0.10882250289748588,0.03373497589822062,0.11217507974503169,0.03477427472095983,0.11552765659257748,0.03581357354369902,0.11888023344012329,0.03685287236643822,0.1222328102876691,0.03789217118917742,0.1255853871352149,0.038931470011916616,0.1289379639827607,0.03997076883465582,0.1322905408303065,0.04101006765739502,0.1356431176778523,0.04204936648013422,0.13899569452539812,0.04308866530287342,0.1423482713729439,0.04412796412561261,0.1457008482204897,0.04516726294835181,0.1490534250680355,0.04620656177109101,0.1524060019155813,0.0472458605938302,0.1557585787631271,0.048285159416569405,0.1591111556106729,0.0493244582393086,0.1624637324582187,0.050363757062047806,0.16581630930576452,0.051403055884787004,0.1691688861533103,0.052442354707526194,0.1725214630008561,0.0534816535302654,0.17587403984840191,0.054520952353004595,0.17922661669594772,0.0555602511757438,0.1825791935434935,0.05659954999848299,0.1859317703910393,0.05763884882122219,0.18928434723858512,0.05867814764396139,0.19263692408613092,0.05971744646670059,0.19598950093367673,0.06075674528943979,0.19934207778122254,0.06179604411217899,0.20269465462876832,0.06283534293491819,0.2060472314763141,0.06387464175765738,0.2093998083238599,0.06491394058039657,0.2127523851714057,0.06595323940313577,0.21610496201895152,0.06699253822587498,0.21945753886649733,0.06803183704861418,0.22281011571404313,0.06907113587135337,0.22616269256158894,0.07011043469409257,0.22951526940913472,0.07114973351683176,0.2328678462566805,0.07218903233957095,0.2362204231042263,0.07322833116231016,0.23957299995177211,0.07426762998504936,0.24292557679931792,0.07530692880778855,0.24627815364686373,0.07634622763052776,0.24963073049440954,0.07738552645326696,0.25298330734195534,0.07842482527600617,0.2563358841895011,0.07946412409874534,0.25968846103704696,0.08050342292148456,0.2630410378845927,0.08154272174422375,0.2663936147321386,0.08258202056696297,0.2697461915796843,0.08362131938970215,0.27309876842723013,0.08466061821244135,0.27645134527477594,0.08569991703518055,0.2798039221223217,0.08673921585791973,0.28315649896986755,0.08777851468065895,0.2865090758174133,0.08881781350339812,0.2898616526649591,0.08985711232613733,0.2932142295125049,0.09089641114887653,0.2965668063600507,0.09193570997161574
-0.20860715762702198,-0.06466821886437682,-0.20525458077947617,-0.06362892004163762,-0.20190200393193036,-0.06258962121889841,-0.19854942708438456,-0.061550322396159214,-0.19519685023683878,-0.060511023573420024,-0.19184427338929297,-0.05947172475068083,-0.18849169654174716,-0.05843242592794162,-0.18513911969420138,-0.05739312710520243,-0.18178654284665557,-0.056353828282463235,-0.17843396599910977,-0.05531452945972403,-0.175081389151564,-0.05427523063698484,-0.17172881230401818,-0.053235931814245636,-0.16837623545647237,-0.05219663299150644,-0.16502365860892657,-0.051157334168767235,-0.16167108176138076,-0.05011803534602804,-0.15831850491383498,-0.04907873652328885,-0.15496592806628917,-0.04803943770054964,-0.15161335121874336,-0.047000138877810446,-0.14826077437119756,-0.04596084005507124,-0.14490819752365175,-0.044921541232332045,-0.14155562067610594,-0.04388224240959285,-0.13820304382856016,-0.04284294358685365,-0.13485046698101438,-0.04180364476411446,-0.13149789013346858,-0.04076434594137526,-0.12814531328592277,-0.03972504711863606,-0.12479273643837697,-0.03868574829589686,-0.12144015959083117,-0.037646449473157664,-0.11808758274328537,-0.03660715065041847,-0.11473500589573957,-0.03556785182767927,-0.11138242904819377,-0.03452855300494007,-0.10802985220064798,-0.033489254182200875,-0.10467727535310217,-0.03244995535946168,-0.10132469850555637,-0.031410656536722474,-0.09797212165801057,-0.03037135771398328,-0.09461954481046476,-0.02933205889124408,-0.09126696796291896,-0.02829276006850488,-0.08791439111537318,-0.027253461245765685,-0.08456181426782737,-0.026214162423026488,-0.08120923742028156,-0.025174863600287287,-0.07785666057273576,-0.024135564777548087,-0.07450408372518998,-0.023096265954808893,-0.07115150687764417,-0.022056967132069692,-0.06779893003009836,-0.021017668309330495,-0.06444635318255257,-0.019978369486591298,-0.061093776335006754,-0.018939070663852094,-0.05774119948746096,-0.0178997718411129,-0.05438862263991515,-0.0168604730183737,-0.05103604579236935,-0.015821174195634502,-0.04768346894482355,-0.014781875372895301,-0.04433089209727775,-0.013742576550156104,-0.04097831524973195,-0.012703277727416905,-0.03762573840218615,-0.011663978904677708,-0.03427316155464035,-0.010624680081938509,-0.03092058470709455,-0.009585381259199312,-0.02756800785954875,-0.008546082436460113,-0.024215431012002946,-0.007506783613720914,-0.02086285416445715,-0.006467484790981717,-0.017510277316911346,-0.005428185968242518,-0.014157700469365547,-0.00438888714550332,-0.01080512362181975,-0.003349588322764123,-0.007452546774273942,-0.002310289500024922,-0.004099969926728148,-0.001270990677285726,-0.0007473930791823482,-0.00023169185454652796,0.002605183768363459,0.0008076069681926723,0.00595776061590926,0.0018469057909318706,0.009310337463455052,0.0028862046136710665,0.01266291431100086,0.003925503436410267,0.01601549115854666,0.004964802259149466,0.019368068006092455,0.006004101081888661,0.022720644853638262,0.007043399904627862,0.02607322170118407,0.008082698727367062,0.029425798548729863,0.009121997550106259,0.03277837539627566,0.010161296372845454,0.036130952243821464,0.011200595195584655,0.03948352909136726,0.01223989401832385,0.042836105938913065,0.013279192841063051,0.04618868278645887,0.014318491663802252,0.049541259634004665,0.015357790486541447,0.05289383648155047,0.016397089309280646,0.056246413329096266,0.017436388132019844,0.05959899017664206,0.01847568695475904,0.06295156702418786,0.019514985777498238,0.06630414387173367,0.02055428460023744,0.06965672071927947,0.02159358342297664,0.07300929756682527,0.022632882245715833,0.07636187441437106,0.02367218106845503,0.07971445126191685,0.024711479891194228,0.08306702810946266,0.025750778713933428,0.08641960495700847,0.02679007753667263,0.08977218180455428,0.027829376359411826,0.09312475865210008,0.028868675182151027,0.09647733549964586,0.02990797400489022,0.09982991234719167,0.03094727282762942,0.10318248919473748,0.03198657165036862,0.10653506604228326,0.03302587047310781,0.10988764288982907,0.03406516929584701,0.11324021973737487,0.03510446811858621,0.11659279658492065,0.03614376694132541,0.11994537343246646,0.037183065764064605,0.12329795028001227,0.0382223645868038
-0.23916184389856066,-0.07414017160855381,-0.23580926705101485,-0.0731008727858146,-0.23245669020346904,-0.0720615739630754,-0.22910411335592323,-0.07102227514033621,-0.22575153650837745,-0.06998297631759702,-0.22239895966083165,-0.06894367749485782,-0.21904638281328584,-0.06790437867211861,-0.21569380596574006,-0.06686507984937942,-0.21234122911819425,-0.06582578102664022,-0.20898865227064845,-0.06478648220390103,-0.20563607542310267,-0.06374718338116184,-0.20228349857555686,-0.06270788455842263,-0.19893092172801105,-0.06166858573568343,-0.19557834488046524,-0.06062928691294423,-0.19222576803291944,-0.05958998809020503,-0.18887319118537366,-0.05855068926746584,-0.18552061433782785,-0.05751139044472664,-0.18216803749028204,-0.056472091621987436,-0.17881546064273623,-0.05543279279924824,-0.17546288379519043,-0.054393493976509034,-0.17211030694764462,-0.05335419515376984,-0.16875773010009884,-0.05231489633103065,-0.16540515325255306,-0.05127559750829145,-0.16205257640500725,-0.05023629868555225,-0.15869999955746145,-0.04919699986281305,-0.15534742270991564,-0.04815770104007385,-0.15199484586236983,-0.047118402217334654,-0.14864226901482402,-0.04607910339459545,-0.14528969216727822,-0.04503980457185625,-0.14193711531973244,-0.044000505749117055,-0.13858453847218666,-0.042961206926377865,-0.13523196162464085,-0.04192190810363867,-0.13187938477709504,-0.040882609280899464,-0.12852680792954924,-0.039843310458160267,-0.12517423108200343,-0.03880401163542106,-0.12182165423445764,-0.03776471281268187,-0.11846907738691186,-0.036725413989942675,-0.11511650053936605,-0.03568611516720348,-0.11176392369182024,-0.034646816344464273,-0.10841134684427443,-0.033607517521725076,-0.10505876999672865,-0.032568218698985886,-0.10170619314918285,-0.03152891987624668,-0.09835361630163704,-0.030489621053507485,-0.09500103945409125,-0.029450322230768287,-0.09164846260654544,-0.028411023408029087,-0.08829588575899965,-0.027371724585289893,-0.08494330891145384,-0.026332425762550692,-0.08159073206390803,-0.02529312693981149,-0.07823815521636224,-0.024253828117072294,-0.07488557836881644,-0.0232145292943331,-0.07153300152127064,-0.0221752304715939,-0.06818042467372483,-0.0211359316488547,-0.06482784782617904,-0.020096632826115502,-0.06147527097863323,-0.0190573340033763,-0.05812269413108743,-0.018018035180637104,-0.05477011728354162,-0.016978736357897904,-0.05141754043599583,-0.015939437535158706,-0.04806496358845002,-0.014900138712419507,-0.04471238674090423,-0.013860839889680312,-0.041359809893358426,-0.012821541066941113,-0.03800723304581262,-0.011782242244201912,-0.034654656198266826,-0.010742943421462717,-0.031302079350721025,-0.009703644598723518,-0.027949502503175218,-0.008664345775984319,-0.024596925655629417,-0.00762504695324512,-0.021244348808083624,-0.0065857481305059236,-0.017891771960537817,-0.005546449307766724,-0.014539195112992018,-0.004507150485027526,-0.011186618265446225,-0.0034678516622883297,-0.007834041417900417,-0.0024285528395491295,-0.004481464570354609,-0.001389254016809929,-0.001128887722808816,-0.00034995519407073295,0.0022236891247369773,0.000689343628668463,0.005576265972282785,0.0017286424514076635,0.008928842819828578,0.002767941274146859,0.012281419667374385,0.0038072400968860594,0.015633996514920194,0.0048465389196252606,0.018986573362465987,0.005885837742364457,0.022339150210011795,0.006925136565103657,0.025691727057557588,0.007964435387842852,0.02904430390510338,0.00900373421058205,0.03239688075264919,0.010043033033321248,0.035749457600194996,0.011082331856060449,0.039102034447740804,0.01212163067879965,0.0424546112952866,0.013160929501538845,0.04580718814283239,0.014200228324278042,0.049159764990378184,0.015239527147017238,0.05251234183792399,0.01627882596975644,0.0558649186854698,0.01731812479249564,0.059217495533015606,0.01835742361523484,0.0625700723805614,0.019396722437974037,0.06592264922810719,0.020436021260713227,0.069275226075653,0.021475320083452428,0.0726278029231988,0.02251461890619163,0.07598037977074458,0.023553917728930823,0.07933295661829039,0.024593216551670023,0.0826855334658362,0.02563251537440922,0.08603811031338197,0.026671814197148414,0.08939068716092778,0.027711113019887615,0.09274326400847359,0.028750411842626816
-0.32777616883567634,-0.10161061233905967,-0.32442359198813053,-0.10057131351632047,-0.3210710151405847,-0.09953201469358128,-0.3177184382930389,-0.09849271587084207,-0.3143658614454931,-0.09745341704810287,-0.31101328459794736,-0.09641411822536369,-0.3076607077504015,-0.09537481940262447,-0.30430813090285574,-0.09433552057988528,-0.30095555405530994,-0.09329622175714608,-0.29760297720776413,-0.09225692293440689,-0.2942504003602184,-0.0912176241116677,-0.2908978235126725,-0.09017832528892848,-0.28754524666512676,-0.0891390264661893,-0.2841926698175809,-0.08809972764345009,-0.28084009297003515,-0.0870604288207109,-0.27748751612248934,-0.08602112999797171,-0.27413493927494353,-0.0849818311752325,-0.2707823624273977,-0.0839425323524933,-0.2674297855798519,-0.0829032335297541,-0.2640772087323061,-0.0818639347070149,-0.2607246318847603,-0.0808246358842757,-0.25737205503721455,-0.07978533706153651,-0.25401947818966875,-0.07874603823879732,-0.25066690134212294,-0.07770673941605812,-0.24731432449457713,-0.07666744059331891,-0.24396174764703132,-0.07562814177057972,-0.24060917079948552,-0.07458884294784052,-0.2372565939519397,-0.07354954412510131,-0.2339040171043939,-0.07251024530236211,-0.23055144025684812,-0.07147094647962292,-0.22719886340930234,-0.07043164765688373,-0.22384628656175654,-0.06939234883414452,-0.22049370971421073,-0.06835305001140533,-0.21714113286666492,-0.06731375118866613,-0.2137885560191191,-0.06627445236592693,-0.2104359791715733,-0.06523515354318773,-0.20708340232402753,-0.06419585472044853,-0.20373082547648172,-0.06315655589770934,-0.2003782486289359,-0.062117257074970136,-0.1970256717813901,-0.06107795825223094,-0.19367309493384433,-0.06003865942949174,-0.19032051808629852,-0.058999360606752545,-0.1869679412387527,-0.05796006178401334,-0.1836153643912069,-0.05692076296127414,-0.1802627875436611,-0.055881464138534946,-0.17691021069611532,-0.05484216531579575,-0.1735576338485695,-0.05380286649305655,-0.1702050570010237,-0.05276356767031735,-0.16685248015347792,-0.05172426884757816,-0.16349990330593211,-0.05068497002483896,-0.1601473264583863,-0.049645671202099756,-0.1567947496108405,-0.04860637237936056,-0.1534421727632947,-0.047567073556621355,-0.1500895959157489,-0.046527774733882164,-0.1467370190682031,-0.04548847591114297,-0.1433844422206573,-0.04444917708840376,-0.14003186537311152,-0.04340987826566457,-0.1366792885255657,-0.042370579442925375,-0.1333267116780199,-0.04133128062018617,-0.1299741348304741,-0.040291981797446974,-0.1266215579829283,-0.03925268297470777,-0.12326898113538252,-0.03821338415196859,-0.11991640428783672,-0.03717408532922938,-0.11656382744029091,-0.036134786506490185,-0.1132112505927451,-0.03509548768375098,-0.10985867374519932,-0.03405618886101179,-0.10650609689765352,-0.033016890038272594,-0.10315352005010771,-0.03197759121553339,-0.09980094320256191,-0.030938292392794196,-0.09644836635501611,-0.029898993570054995,-0.0930957895074703,-0.028859694747315794,-0.0897432126599245,-0.027820395924576597,-0.08639063581237871,-0.026781097101837403,-0.0830380589648329,-0.025741798279098203,-0.07968548211728711,-0.024702499456359005,-0.0763329052697413,-0.023663200633619805,-0.0729803284221955,-0.022623901810880604,-0.0696277515746497,-0.02158460298814141,-0.0662751747271039,-0.02054530416540221,-0.0629225978795581,-0.019506005342663012,-0.0595700210320123,-0.018466706519923815,-0.056217444184466496,-0.017427407697184615,-0.05286486733692069,-0.016388108874445414,-0.04951229048937488,-0.015348810051706215,-0.04615971364182909,-0.014309511228967018,-0.042807136794283294,-0.013270212406227822,-0.0394545599467375,-0.012230913583488627,-0.036101983099191694,-0.011191614760749426,-0.032749406251645886,-0.010152315938010225,-0.02939682940410008,-0.009113017115271025,-0.026044252556554272,-0.008073718292531824,-0.022691675709008492,-0.007034419469792633,-0.019339098861462685,-0.005995120647053433,-0.015986522013916878,-0.004955821824314232,-0.0126339451663711,-0.003916523001575041,-0.009281368318825292,-0.002877224178835841,-0.005928791471279484,-0.0018379253560966403,-0.002576214623733705,-0.0007986265333574487,0.0007763622238121024,0.00024067228938175176,0.00412893907135791,0.0012799711121209523
