,-0.6,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.600000
0,EVSct,-0.4340929242751534,-0.19371131656463597,-0.4038737051578635,-0.1791231344044771,-0.4038737051578634,-0.17912313440447694,-0.41273734362930176,-0.06087794508660168,-0.396109841255485,0.12099873658009862,-0.37904783244437457,0.33014575944813557,-0.40495589198667364,0.016640012318191802
1,SZTau,-0.4557585295126226,-0.17106214810909512,-0.4545402100229893,-0.18311618075479216,-0.4545402100229897,-0.18311618075479205,-0.6534822471916916,-0.24577497740616905,-0.8910273061282576,-0.3041911604780324,-1.229153032614323,-0.43199335521176374,-0.689750255915479,0.2881500865613995
2,SSSct,-0.22040877657528815,-0.11792774363308944,-0.2234401942909497,-0.1323077452705762,-0.22344019429095013,-0.13230774527057587,-0.26479694813190646,-0.10672814849998132,-0.34564730312760417,-0.10230257956569619,-0.40578165775372127,-0.06519416224994966,-0.28058584569506995,0.07107367595575276
3,QZNor,-0.39529569919037993,-0.042600655759668954,-0.40619692998679324,-0.061771023871759465,-0.4061969299867933,-0.06177102387175929,-0.6506372537269196,-0.15961601926637337,-0.8785321332786802,-0.1914642024833826,-1.2769066573170884,-0.35606439234646253,-0.6689609339144424,0.32322240838131405
4,ADGem,-0.11128240722141132,-0.17194356271731528,-0.11279590400217425,-0.17903085632943988,-0.1127959040021742,-0.17903085632943946,-0.12629945823208524,-0.19871229782128486,-0.17242577151069075,-0.2564165388816198,-0.25139934893076055,-0.352671384466415,-0.14783313231654938,0.05096670234375006
5,YAur,-0.15602029216976904,-0.189206348474699,-0.1648119371405156,-0.2035484756593776,-0.1648119371405159,-0.2035484756593775,-0.36519197502974193,-0.4005027185517426,-0.5629388249804533,-0.59666780020096,-0.8579354062047027,-0.8929219031126204,-0.37861839544428305,0.2597676542348511
6,STTau,-0.28531301000675163,-0.17334964684348103,-0.2671700436532832,-0.16250795990810424,-0.26717004365328345,-0.16250795990810402,-0.4263919921878633,-0.26246951500233057,-0.603977630740277,-0.36302078460954573,-0.8462328219422334,-0.5157398575460245,-0.449375923697282,0.21418059035413856
7,BFOph,-0.20282704523723044,0.010420892312401581,-0.21526384151554162,-0.005244945865758407,-0.21526384151554187,-0.005244945865758176,-0.3332929731931721,-0.03945684394481004,-0.47196358161710394,-0.0651966612146138,-0.7206954206372435,-0.17838549108278656,-0.3598844506193056,0.18706089209249854
8,SYCas,-0.3001903856180794,-0.15934041893253467,-0.3114212486027733,-0.17603009131695188,-0.31142124860277365,-0.17603009131695177,-0.49984065405752864,-0.30003852566645806,-0.6824952852667434,-0.3975764287685436,-0.9035643412949128,-0.5182199508401223,-0.5014888605738018,0.2262753502638591
9,XSct,-0.1165856846716506,-0.27763935913930676,-0.10965017220840519,-0.2823867212455712,-0.10965017220840526,-0.28238672124557096,-0.35881985727401905,-0.5564352222375638,-0.5218305969727626,-0.7600445365397155,-0.6702597446908211,-0.9645642846500075,-0.314466038004344,0.22158978440511354
